LGA_CODE_2016,C11_F_u_a_a_h_FH_One_PFam,C11_F_u_a_a_h_FH_oth_fa,C11_F_u_a_a_h_FH_Tot,C11_F_u_a_a_h_LP_H,C11_F_u_a_a_h_GH,C11_F_u_a_a_h_OH,C11_F_u_a_a_h_Tot,C11_F_u_a_T_FH_CF_no_ch,C11_F_u_a_T_FH_CF_w_ch,C11_F_u_a_T_FH_One_PFam,C11_F_u_a_T_FH_oth_fa,C11_F_u_a_T_FH_Tot,C11_F_u_a_T_LP_H,C11_F_u_a_T_GH,C11_F_u_a_T_OH,C11_F_u_a_T_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_T_FH_CF_no_ch,C11_OD_T_FH_CF_w_ch,C11_OD_T_FH_One_PFam,C11_OD_T_FH_oth_fa,C11_OD_T_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_T_T,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_T,C11_T_FH_CF_no_ch,C11_T_FH_CF_w_ch,C11_T_FH_One_PFam,C11_T_FH_oth_fa,C11_T_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_T_T,C16_S_h_FH_CF_no_ch,C16_S_h_FH_CF_w_ch,C16_S_h_FH_One_PFam,C16_S_h_FH_oth_fa,C16_S_h_FH_Tot,C16_S_h_LP_H,C16_S_h_GH,C16_S_h_OH,C16_S_h_Tot,C16_Sd_r_t_1_FH_CF_no_ch,C16_Sd_r_t_1_FH_CF_w_ch,C16_Sd_r_t_1_FH_One_PFam,C16_Sd_r_t_1_FH_oth_fa,C16_Sd_r_t_1_FH_Tot,C16_Sd_r_t_1_LP_H,C16_Sd_r_t_1_GH,C16_Sd_r_t_1_OH,C16_Sd_r_t_1_Tot,C16_Sd_r_t_2m_FH_CF_no_ch,C16_Sd_r_t_2m_FH_CF_w_ch,C16_Sd_r_t_2m_FH_One_PFam,C16_Sd_r_t_2m_FH_oth_fa,C16_Sd_r_t_2m_FH_Tot,C16_Sd_r_t_2m_LP_H,C16_Sd_r_t_2m_GH,C16_Sd_r_t_2m_OH,C16_Sd_r_t_2m_Tot,C16_Sd_r_t_T_FH_CF_no_ch,C16_Sd_r_t_T_FH_CF_w_ch,C16_Sd_r_t_T_FH_One_PFam,C16_Sd_r_t_T_FH_oth_fa,C16_Sd_r_t_T_FH_Tot,C16_Sd_r_t_T_LP_H,C16_Sd_r_t_T_GH,C16_Sd_r_t_T_OH,C16_Sd_r_t_T_Tot,C16_F_u_a_1_2_FH_CF_no_ch,C16_F_u_a_1_2_FH_CF_w_ch,C16_F_u_a_1_2_FH_One_PFam,C16_F_u_a_1_2_FH_oth_fa,C16_F_u_a_1_2_FH_Tot,C16_F_u_a_1_2_LP_H,C16_F_u_a_1_2_GH,C16_F_u_a_1_2_OH,C16_F_u_a_1_2_Tot,C16_F_u_a_3_FH_CF_no_ch,C16_F_u_a_3_FH_CF_w_ch,C16_F_u_a_3_FH_One_PFam,C16_F_u_a_3_FH_oth_fa,C16_F_u_a_3_FH_Tot,C16_F_u_a_3_LP_H,C16_F_u_a_3_GH,C16_F_u_a_3_OH,C16_F_u_a_3_Tot,C16_F_u_a_4m_FH_CF_no_ch,C16_F_u_a_4m_FH_CF_w_ch,C16_F_u_a_4m_FH_One_PFam,C16_F_u_a_4m_FH_oth_fa,C16_F_u_a_4m_FH_Tot,C16_F_u_a_4m_LP_H,C16_F_u_a_4m_GH,C16_F_u_a_4m_OH,C16_F_u_a_4m_Tot,C16_F_u_a_a_h_FH_CF_no_ch,C16_F_u_a_a_h_FH_CF_w_ch,C16_F_u_a_a_h_FH_One_PFam,C16_F_u_a_a_h_FH_oth_fa,C16_F_u_a_a_h_FH_Tot,C16_F_u_a_a_h_LP_H,C16_F_u_a_a_h_GH,C16_F_u_a_a_h_OH,C16_F_u_a_a_h_Tot,C16_F_u_a_T_FH_CF_no_ch,C16_F_u_a_T_FH_CF_w_ch,C16_F_u_a_T_FH_One_PFam,C16_F_u_a_T_FH_oth_fa,C16_F_u_a_T_FH_Tot,C16_F_u_a_T_LP_H,C16_F_u_a_T_GH,C16_F_u_a_T_OH,C16_F_u_a_T_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_T_FH_CF_no_ch,C16_OD_T_FH_CF_w_ch,C16_OD_T_FH_One_PFam,C16_OD_T_FH_oth_fa,C16_OD_T_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_T_T,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_T,C16_T_FH_CF_no_ch,C16_T_FH_CF_w_ch,C16_T_FH_One_PFam,C16_T_FH_oth_fa
LGA16400,0,0,13,15,0,0,24,270,89,115,3,484,571,47,199,1295,123,10,16,4,158,299,9,152,617,0,3,6,0,6,7,3,0,20,5,3,7,0,21,15,3,11,42,133,18,29,5,180,318,17,164,678,6,0,4,0,12,5,0,4,23,7494,7017,2861,172,17543,5891,547,1255,25231,6663,6670,2312,159,15804,4021,469,1194,21493,492,138,273,11,915,1006,53,261,2240,495,286,253,7,1043,451,67,133,1691,991,421,523,23,1957,1458,115,392,3927,73,22,37,0,135,246,13,38,432,56,15,13,0,83,81,6,40,209,107,16,26,3,153,157,16,36,359,0,4,5,0,10,13,0,3,27,232,56,83,7,383,495,31,118,1023,161,10,23,4,197,308,24,245,773,10,6,0,0,15,3,0,6,19,9,10,10,0,32,15,0,9,48,177,27,34,8,245,320,25,249,842,31,18,13,0,62,56,7,39,163,8095,7185,2969,194
LGA16490,0,0,18,25,3,5,48,404,238,172,36,851,1434,113,294,2690,47,15,11,3,75,89,4,105,269,3,3,0,0,5,5,0,0,13,14,11,3,0,24,17,3,12,56,64,33,12,3,110,113,3,109,336,8,4,0,0,10,5,0,0,15,4892,6646,1918,194,13648,4809,501,1139,20097,4156,6227,1453,106,11943,2451,263,947,15609,319,255,169,14,763,776,42,107,1692,285,224,153,23,680,503,54,75,1314,601,479,323,38,1447,1276,99,189,3005,129,110,83,6,326,585,38,107,1058,85,73,32,5,193,272,23,65,547,182,126,61,12,373,513,42,111,1045,0,7,0,0,7,4,0,3,17,396,310,171,19,902,1376,104,293,2665,8,3,6,0,21,28,0,67,110,5,5,0,0,15,3,0,18,36,4,6,5,0,15,11,0,5,29,20,18,13,0,53,38,0,85,182,18,19,3,5,45,31,5,3,80,5196,7052,1960,170
LGA16550,7,0,38,29,9,3,76,6329,3559,1966,694,12551,9158,3631,2714,28062,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,4,4,36,36,17,3,99,53,45,25,226,36,36,17,3,99,53,45,32,229,10,6,3,0,28,25,12,3,63,11086,13327,4422,1052,29882,12994,4685,3730,51292,2919,6436,1296,250,10902,1821,595,466,13785,683,1351,339,55,2424,798,178,186,3588,949,2265,596,86,3894,760,252,280,5188,1627,3621,932,136,6314,1562,434,463,8776,1217,1012,541,89,2853,2004,752,557,6170,3622,1987,1092,263,6965,4620,2189,1256,15031,2326,1281,518,249,4380,2832,1433,956,9598,13,12,3,0,30,31,11,7,77,7183,4293,2154,602,14229,9493,4382,2773,30878,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,3,106,79,44,11,241,130,77,49,494,106,75,44,11,241,132,81,54,504,28,50,9,0,89,85,15,21,216,11863,14471,4437,1002
LGA16610,0,0,0,3,0,0,6,93,36,91,8,229,407,19,53,705,40,4,9,4,55,98,3,238,393,0,0,0,0,3,0,0,0,9,17,14,0,0,25,4,0,5,43,50,17,11,4,87,105,3,249,440,3,0,0,0,5,0,0,0,4,2480,2175,1130,89,5877,2381,205,556,9014,2181,2010,990,92,5272,1711,190,509,7693,76,21,29,3,130,188,14,29,357,34,20,23,7,79,55,15,24,175,108,43,55,4,212,249,28,50,535,77,42,67,7,197,403,31,81,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,67,7,197,405,31,81,716,52,3,10,0,61,111,8,240,420,0,0,3,0,3,0,0,14,14,9,8,3,0,22,11,3,5,37,58,14,12,0,86,128,10,260,475,9,9,4,0,15,15,0,8,38,2429,2124,1126,109
LGA16650,7,0,46,36,5,8,90,3273,2733,1304,318,7629,4138,923,1067,13761,10,0,6,0,17,55,0,23,103,0,0,0,0,3,0,0,5,8,46,42,20,9,122,47,24,43,238,53,42,30,15,139,107,26,72,344,19,15,8,0,40,14,3,7,57,8354,11854,3857,643,24712,8195,1502,1950,36359,3686,7274,1921,272,13151,2421,483,575,16630,771,1002,369,50,2188,1099,125,155,3570,475,827,234,33,1561,418,65,99,2147,1246,1824,603,76,3752,1516,187,255,5711,244,225,139,22,632,550,108,124,1417,874,871,475,91,2314,1291,210,301,4116,3350,2420,844,249,6865,2705,1194,866,11629,15,14,9,0,47,32,9,4,97,4495,3532,1470,361,9857,4585,1519,1295,17255,12,3,0,0,13,52,3,26,85,0,0,0,0,0,0,0,15,15,59,61,26,10,155,86,31,43,316,68,63,26,12,170,137,33,79,417,40,18,15,3,79,63,8,20,167,9529,12713,4040,726
LGA16700,4,0,13,11,3,0,26,3096,1906,855,262,6126,4842,1054,724,12745,4,0,0,0,4,10,0,65,73,0,0,0,0,0,0,0,3,3,13,16,4,0,27,14,0,7,51,13,16,4,0,29,23,0,76,131,12,6,0,0,17,7,0,5,27,8980,13110,3467,611,26165,9504,2006,1481,39157,4364,9523,1910,294,16094,2753,686,572,20102,586,842,283,33,1751,732,104,129,2710,891,1412,392,57,2742,1186,229,155,4312,1479,2251,676,89,4494,1919,325,282,7020,287,209,116,26,642,641,57,97,1439,1689,1314,525,165,3693,2392,588,343,7016,2268,1439,417,162,4282,1740,613,373,7012,9,8,0,0,12,8,0,8,29,4250,2966,1061,357,8631,4786,1265,820,15498,5,0,0,0,4,7,0,44,53,0,0,0,0,0,0,0,3,3,23,22,6,0,53,36,16,9,114,29,24,6,0,61,41,16,58,174,40,55,17,0,116,79,15,13,221,10157,14819,3670,741
LGA16900,3,0,4,7,0,0,13,204,81,170,18,476,631,37,73,1216,74,10,25,3,105,179,5,41,330,0,0,0,0,0,0,0,3,3,11,11,17,0,33,13,0,8,49,79,18,37,3,141,187,8,45,384,0,0,0,0,0,5,0,0,4,5818,8155,3220,225,17414,4640,379,564,23001,5144,7844,2686,168,15849,2799,299,724,19666,417,163,271,24,872,735,43,101,1756,381,315,287,15,996,577,70,87,1730,798,481,551,36,1871,1320,118,182,3486,158,77,155,11,406,474,33,91,1002,0,0,0,0,4,7,0,6,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4,162,77,156,11,409,485,33,99,1025,75,6,15,4,101,200,3,45,348,0,0,0,0,0,0,0,15,15,13,8,10,0,31,17,6,7,57,94,8,26,4,133,212,7,68,415,40,14,11,0,67,45,3,16,129,6236,8428,3434,223
LGA16950,9,0,21,32,0,8,68,250,53,133,17,449,1018,47,106,1625,157,11,22,5,196,389,14,164,766,0,3,0,0,3,0,0,0,9,16,17,4,0,39,12,3,12,67,179,35,30,5,245,404,13,175,832,17,12,0,0,28,32,0,0,61,11893,8669,4260,281,25102,9959,865,1817,37754,11713,8541,3931,257,24440,8083,834,2070,35435,415,114,176,25,724,1183,67,189,2165,121,30,84,5,238,348,21,71,672,529,146,255,24,959,1537,95,257,2841,165,52,93,10,320,570,32,111,1034,0,0,0,0,7,13,0,5,28,0,0,0,0,0,0,0,0,4,0,0,3,0,3,10,0,0,13,164,55,100,10,335,600,29,120,1079,276,46,35,7,366,555,21,243,1177,5,3,0,0,12,12,0,20,37,14,6,12,0,27,19,0,9,57,296,54,48,10,403,581,18,272,1272,75,64,18,0,154,117,4,31,308,12772,8856,4360,302
LGA17000,0,0,0,3,0,0,3,61,22,38,0,123,217,12,33,388,21,3,7,0,31,50,4,41,123,3,3,0,0,5,0,0,16,21,0,6,0,0,13,9,0,7,27,25,12,7,0,42,61,5,56,167,0,0,0,0,3,3,0,0,3,2120,2984,795,52,5952,1602,202,403,8164,1951,2733,705,63,5457,1207,122,488,7281,66,55,65,3,185,171,20,32,408,23,9,29,0,65,108,9,15,193,91,63,91,8,250,277,32,48,610,34,19,33,6,83,169,11,43,314,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,34,19,31,6,90,170,11,43,315,11,3,3,0,21,26,3,23,71,3,0,4,0,9,6,0,0,15,3,0,0,0,4,0,0,6,13,19,3,6,0,26,38,3,35,95,9,16,4,0,26,26,0,6,57,2096,2835,842,75
LGA17040,0,0,0,5,0,6,9,62,35,26,4,125,189,40,274,632,16,4,0,0,17,34,4,142,193,3,3,0,0,6,7,3,9,22,8,4,3,0,18,12,0,12,39,21,12,3,0,38,53,5,162,255,15,11,3,0,30,45,0,459,525,2172,1969,667,50,4861,2122,219,1527,8728,2047,1839,614,41,4538,1696,159,646,7047,37,20,13,0,67,90,8,42,214,37,18,17,0,68,86,17,114,286,79,37,26,0,141,177,26,155,501,48,18,20,3,90,199,44,477,804,13,3,3,0,17,25,7,54,110,3,4,0,0,5,20,5,40,75,0,0,0,0,0,0,0,0,4,63,25,25,3,114,245,53,572,994,17,13,0,0,24,38,3,154,228,3,4,0,0,7,11,0,11,25,8,5,3,0,14,13,0,4,33,25,20,6,0,47,63,6,173,283,63,44,15,0,122,112,11,160,404,2271,1959,682,49
LGA17080,0,0,0,0,0,0,0,38,7,20,3,67,194,8,43,314,0,0,0,0,4,25,0,34,64,3,0,0,0,3,6,0,0,4,11,0,0,0,14,10,0,0,24,13,4,0,0,22,33,0,34,96,4,0,0,0,4,16,0,0,20,1696,1548,532,38,3811,1586,91,264,5749,1686,1341,533,47,3605,1345,87,421,5459,15,0,5,0,19,86,0,12,124,0,0,3,0,8,18,3,3,31,19,3,7,0,25,102,4,15,150,24,11,7,3,44,104,6,31,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,7,3,41,104,6,31,185,6,3,0,0,12,13,0,23,41,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,3,12,8,3,7,0,15,14,0,24,53,8,15,3,0,22,9,3,3,41,1745,1366,551,50
LGA17100,0,0,0,0,0,0,4,1294,1393,487,139,3314,1038,465,524,5341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,0,25,9,0,4,41,8,8,4,0,25,9,0,4,41,0,0,0,0,6,3,0,0,7,2567,4565,1229,249,8617,2151,613,806,12180,1053,2789,591,89,4518,639,141,186,5482,20,39,24,0,87,49,8,10,156,117,257,121,13,514,101,48,62,719,143,302,138,15,600,157,53,70,879,221,341,87,18,660,381,100,58,1192,485,690,193,50,1428,480,191,117,2216,818,897,259,104,2085,501,492,420,3497,0,0,0,0,0,3,0,0,3,1528,1928,535,171,4166,1366,780,596,6910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,12,6,77,31,26,12,147,23,34,12,6,77,31,26,12,143,20,22,14,6,63,26,21,8,123,2771,5077,1292,293
LGA17150,16,0,53,63,4,3,124,4107,1881,1664,225,7876,7154,998,1129,17161,27,10,23,0,59,95,3,44,197,0,0,0,0,3,3,0,16,20,29,31,25,3,84,57,6,15,160,51,37,46,3,139,154,10,73,377,5,3,0,0,12,5,0,0,18,19357,29526,7581,706,57169,16307,1869,2445,77788,12264,25261,4433,411,42366,5722,616,1018,49718,544,542,277,20,1376,1039,43,147,2606,2093,2325,1093,74,5581,2155,175,324,8238,2636,2868,1371,88,6956,3189,219,477,10843,826,452,337,22,1638,1826,157,322,3945,2281,1324,1054,121,4793,3263,492,554,9103,1380,680,400,61,2524,1793,211,353,4877,8,0,3,0,11,11,3,3,23,4496,2463,1794,213,8967,6887,869,1230,17950,31,16,16,0,63,102,10,38,209,0,0,0,0,0,3,0,10,21,46,38,23,0,109,63,20,26,217,83,52,40,3,170,170,27,75,442,53,46,16,4,117,69,12,12,209,19528,30692,7647,713
LGA17200,13,0,37,65,3,22,128,15515,3875,2027,1279,22695,24020,7127,9590,63432,3,0,0,0,6,3,3,0,11,0,0,0,0,0,0,0,493,493,49,35,14,4,101,72,72,51,293,47,36,14,8,104,75,72,544,793,93,35,40,6,179,320,38,53,587,20669,7535,3717,1668,33589,29226,10355,11977,85150,417,608,152,29,1205,374,144,132,1851,988,607,253,48,1904,1036,464,265,3667,3601,2585,1107,251,7544,3276,2614,1254,14688,4588,3190,1363,305,9446,4308,3084,1517,18355,658,160,108,35,955,1321,333,512,3128,2430,687,465,150,3733,4026,1176,1340,10270,17099,4568,1856,1122,24646,21345,8312,8218,62521,14,3,0,0,14,9,9,3,36,20193,5414,2430,1312,29348,26702,9836,10077,75958,4,0,0,0,3,3,0,7,14,7,0,0,0,7,35,0,605,641,69,37,9,3,124,151,90,95,467,76,37,12,3,132,187,96,702,1122,114,57,16,9,194,289,87,143,716,25387,9308,3975,1654
LGA17310,5,0,5,21,0,0,26,215,71,161,22,461,979,76,142,1653,20,10,6,0,35,78,8,93,208,5,0,0,0,7,9,0,0,15,6,8,4,0,29,29,6,7,69,35,19,14,0,70,108,11,102,292,8,6,3,0,20,12,3,9,34,6083,5892,2753,220,14945,5609,586,869,22009,5671,5718,2446,198,14034,4342,546,1217,20136,218,80,148,21,469,936,74,145,1627,55,22,34,0,113,206,27,43,392,276,105,186,24,582,1147,97,190,2020,41,28,37,3,113,277,13,71,472,4,3,3,0,6,11,0,3,21,4,0,0,0,8,13,0,0,13,3,0,0,0,3,0,0,0,3,46,25,44,4,125,300,12,72,516,33,7,4,0,43,70,0,199,308,4,3,0,0,10,5,0,4,20,53,36,111,8,217,63,14,10,309,91,47,121,8,263,137,16,217,637,42,24,20,0,90,43,9,21,160,6121,5924,2813,235
LGA17350,0,0,0,0,0,0,3,14,3,5,0,22,94,0,3,123,0,0,0,0,0,0,0,12,16,0,3,0,0,5,0,0,0,9,3,0,0,0,6,0,0,0,7,5,3,0,0,11,4,0,16,34,0,0,0,0,0,0,0,0,3,714,593,220,14,1537,708,47,61,2356,701,603,224,11,1535,566,49,91,2246,8,3,0,0,9,28,0,4,44,0,0,0,0,0,0,0,0,0,8,3,0,0,9,28,0,4,44,11,11,5,0,25,93,0,11,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,25,93,0,11,123,4,0,0,0,4,4,0,14,15,0,0,0,0,0,0,0,0,3,6,0,0,0,7,10,0,0,19,8,0,0,0,12,11,0,13,34,3,4,0,0,11,3,0,0,14,738,613,228,11
LGA17400,0,0,0,0,0,0,0,11,3,6,0,16,59,0,4,76,9,12,3,0,26,29,0,28,88,3,0,3,3,11,8,0,5,25,3,0,0,0,3,3,0,0,8,15,13,5,3,40,41,0,38,118,0,0,0,0,7,4,0,0,5,861,587,285,29,1765,858,58,183,2867,887,470,263,17,1631,839,58,266,2805,4,3,0,0,11,46,0,6,61,0,0,0,0,0,0,0,0,0,4,3,0,0,11,46,0,6,61,7,3,3,0,10,25,0,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,10,25,0,8,45,11,5,0,0,10,8,0,74,92,0,0,0,0,0,4,0,13,15,3,0,0,0,4,6,3,0,13,12,3,0,0,15,24,3,83,126,3,0,0,0,3,14,0,0,22,909,483,264,18
LGA17420,13,0,53,18,0,5,72,572,337,194,21,1128,724,100,125,2083,7,3,0,0,13,28,0,3,46,0,0,0,0,3,0,0,0,5,4,0,0,0,4,4,0,0,13,9,5,0,0,19,30,0,3,57,8,7,0,0,15,20,0,0,30,10734,23509,3845,354,38439,5053,697,929,45111,9141,23073,3099,289,35602,3353,458,877,40297,334,116,81,6,536,415,15,57,1014,964,2157,563,40,3725,753,139,121,4737,1293,2271,646,47,4255,1168,156,174,5752,146,142,63,13,363,260,12,23,654,242,242,113,18,616,243,30,45,933,318,259,98,15,692,326,71,80,1168,9,0,5,0,11,3,0,0,20,716,644,280,40,1685,835,113,146,2784,18,4,4,0,21,17,3,12,54,0,8,0,0,9,4,0,0,11,3,8,0,0,13,7,0,0,25,22,21,3,0,41,28,4,12,88,22,53,10,0,91,37,0,4,133,11195,26052,4048,380
LGA17550,16,4,47,63,3,10,123,1045,354,517,46,1955,1951,243,476,4620,294,38,53,6,391,659,30,418,1502,0,0,3,0,5,12,0,36,53,16,5,9,0,31,27,3,5,71,310,51,61,6,431,695,31,469,1626,15,4,4,0,26,18,0,11,59,10162,8172,4191,291,22817,9569,1266,2220,35880,7210,7436,2789,198,17635,4500,796,1360,24287,1145,435,535,58,2171,1890,173,235,4478,587,383,367,15,1356,786,107,194,2444,1730,816,905,71,3524,2677,287,429,6918,397,140,243,14,795,1149,110,190,2242,318,120,215,18,672,614,83,217,1586,301,49,55,6,415,317,22,166,919,3,0,0,0,4,0,0,0,5,1020,307,516,35,1884,2084,218,571,4752,334,29,41,3,413,692,29,710,1832,3,4,6,0,18,24,3,220,264,12,11,6,0,30,12,0,9,53,352,44,53,5,453,729,34,938,2153,96,36,10,0,154,119,11,111,385,10413,8653,4272,317
LGA17620,0,0,0,10,0,0,10,33,13,10,0,61,128,15,20,224,15,3,0,0,22,66,0,32,116,0,0,0,0,0,0,0,4,6,6,3,0,0,7,8,0,5,24,21,7,3,0,29,74,0,40,145,0,4,0,0,3,3,0,3,11,1553,1566,509,35,3661,1427,157,265,5515,1445,1429,477,36,3393,1193,123,394,5097,18,13,4,0,39,52,7,14,109,0,0,0,0,0,0,0,0,0,18,13,4,0,39,52,7,14,109,34,14,17,0,68,160,12,26,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,17,0,68,161,12,26,266,17,0,0,0,17,42,3,34,94,0,0,0,0,4,3,0,3,6,4,0,0,0,4,4,0,4,8,17,0,0,0,18,54,3,37,116,17,18,3,0,38,13,0,3,54,1533,1477,508,36
LGA17640,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,15,8,0,0,0,8,5,0,6,18,0,0,0,0,0,0,0,3,4,3,4,0,0,12,3,0,0,23,13,4,0,0,20,18,0,7,40,3,0,0,0,3,0,0,0,4,951,773,239,28,1998,775,29,119,2915,946,762,222,27,1959,760,48,251,3013,12,3,0,0,13,52,0,3,66,3,0,0,0,3,3,0,0,12,11,3,0,0,16,56,0,3,74,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,7,5,0,6,19,3,7,0,0,12,4,0,0,21,6,4,0,0,9,0,0,0,14,14,11,3,0,30,17,0,9,50,9,7,0,0,17,15,0,3,34,975,790,225,28
LGA17650,0,0,0,0,0,0,0,7,0,10,0,17,40,4,3,64,3,0,0,0,4,12,0,14,30,0,0,0,0,3,3,0,0,3,6,4,0,0,8,3,0,0,12,8,6,3,0,17,16,0,14,44,0,0,0,0,0,0,0,0,4,702,710,214,25,1645,516,40,73,2275,724,617,216,23,1583,560,54,132,2321,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,6,12,0,0,16,3,0,3,0,4,25,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,25,0,3,38,3,0,0,0,4,12,0,16,29,0,0,0,0,3,0,0,3,4,3,4,0,0,11,0,0,0,11,8,4,3,0,15,14,0,14,44,3,4,3,0,11,4,0,3,17,738,626,228,23
LGA17750,4,0,10,9,0,0,20,406,109,179,36,727,1320,179,121,2352,7,0,0,0,16,39,0,60,113,3,6,0,0,8,0,0,3,14,10,6,6,0,30,26,14,9,81,23,17,5,0,47,71,14,73,203,3,3,3,0,11,13,0,0,18,5835,6511,2573,265,15184,5536,998,627,22345,5360,6293,2484,212,14351,3940,726,810,19819,160,56,36,6,264,440,37,62,801,39,12,13,7,63,90,26,11,187,199,67,48,6,328,531,62,77,993,324,180,158,26,692,1259,129,183,2257,13,0,3,0,16,58,3,14,90,10,0,0,0,10,18,0,10,38,3,3,0,0,5,4,0,0,7,345,186,158,32,722,1345,128,203,2396,18,0,3,0,21,22,3,44,97,0,0,0,0,0,0,0,5,14,37,48,23,0,105,31,15,23,166,54,47,23,0,127,54,21,70,270,19,24,3,0,52,15,3,11,80,5977,6620,2723,251
LGA17850,0,0,0,0,0,0,0,0,0,0,0,3,27,0,3,36,0,0,0,0,0,6,0,12,23,0,0,0,0,0,0,0,0,0,4,0,3,0,8,7,0,0,7,5,0,3,0,12,14,0,12,36,0,0,0,0,0,0,0,0,0,429,320,96,12,854,347,14,49,1265,383,305,88,3,781,327,20,129,1254,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,4,20,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,7,20,0,4,28,3,0,0,0,3,5,0,8,15,0,0,0,0,3,0,0,8,11,4,0,0,0,4,0,0,0,4,4,4,0,0,8,3,0,12,26,5,4,0,0,10,5,0,0,21,400,314,89,3
