LGA_CODE_2016,C06_Budh_0_14_yrs,C06_Budh_15_24,C06_Budh_25_34,C06_Budh_35_44,C06_Budh_45_54,C06_Budh_55_64,C06_Budh_65_74,C06_Budh_75_84,C06_Budh_85ov,C06_Budh_Tot,C06_C_Ang_0_14,C06_C_Ang_15_24,C06_C_Ang_25_34,C06_C_Ang_35_44,C06_C_Ang_45_54,C06_C_Ang_55_64,C06_C_Ang_65_74,C06_C_Ang_75_84,C06_C_Ang_85ov,C06_C_Ang_Tot,C06_C_As_Apo_0_14,C06_C_As_Apo_15_24,C06_C_As_Apo_25_34,C06_C_As_Apo_35_44,C06_C_As_Apo_45_54,C06_C_As_Apo_55_64,C06_C_As_Apo_65_74,C06_C_As_Apo_75_84,C06_C_As_Apo_85ov,C06_C_As_Apo_Tot,C06_C_Bap_0_14,C06_C_Bap_15_24,C06_C_Bap_25_34,C06_C_Bap_35_44,C06_C_Bap_45_54,C06_C_Bap_55_64,C06_C_Bap_65_74,C06_C_Bap_75_84,C06_C_Bap_85ov,C06_C_Bap_Tot,C06_C_Breth_0_14,C06_C_Breth_15_24,C06_C_Breth_25_34,C06_C_Breth_35_44,C06_C_Breth_45_54,C06_C_Breth_55_64,C06_C_Breth_65_74,C06_C_Breth_75_84,C06_C_Breth_85ov,C06_C_Breth_Tot,C06_C_Cath_0_14,C06_C_Cath_15_24,C06_C_Cath_25_34,C06_C_Cath_35_44,C06_C_Cath_45_54,C06_C_Cath_55_64,C06_C_Cath_65_74,C06_C_Cath_75_84,C06_C_Cath_85ov,C06_C_Cath_Tot,C06_C_Ch_Chr_0_14,C06_C_Ch_Chr_15_24,C06_C_Ch_Chr_25_34,C06_C_Ch_Chr_35_44,C06_C_Ch_Chr_45_54,C06_C_Ch_Chr_55_64,C06_C_Ch_Chr_65_74,C06_C_Ch_Chr_75_84,C06_C_Ch_Chr_85ov,C06_C_Ch_Chr_Tot,C06_C_E_Orth_0_14,C06_C_E_Orth_15_24,C06_C_E_Orth_25_34,C06_C_E_Orth_35_44,C06_C_E_Orth_45_54,C06_C_E_Orth_55_64,C06_C_E_Orth_65_74,C06_C_E_Orth_75_84,C06_C_E_Orth_85ov,C06_C_E_Orth_Tot,C06_C_Jeh_Wit_0_14,C06_C_Jeh_Wit_15_24,C06_C_Jeh_Wit_25_34,C06_C_Jeh_Wit_35_44,C06_C_Jeh_Wit_45_54,C06_C_Jeh_Wit_55_64,C06_C_Jeh_Wit_65_74,C06_C_Jeh_Wit_75_84,C06_C_Jeh_Wit_85ov,C06_C_Jeh_Wit_Tot,C06_C_La_Da_Sai_0_14,C06_C_La_Da_Sai_15_24,C06_C_La_Da_Sai_25_34,C06_C_La_Da_Sai_35_44,C06_C_La_Da_Sai_45_54,C06_C_La_Da_Sai_55_64,C06_C_La_Da_Sai_65_74,C06_C_La_Da_Sai_75_84,C06_C_La_Da_Sai_85ov,C06_C_La_Da_Sai_Tot,C06_C_Luth_0_14,C06_C_Luth_15_24,C06_C_Luth_25_34,C06_C_Luth_35_44,C06_C_Luth_45_54,C06_C_Luth_55_64,C06_C_Luth_65_74,C06_C_Luth_75_84,C06_C_Luth_85ov,C06_C_Luth_Tot,C06_C_Ori_Orth_0_14,C06_C_Ori_Orth_15_24,C06_C_Ori_Orth_25_34,C06_C_Ori_Orth_35_44,C06_C_Ori_Orth_45_54,C06_C_Ori_Orth_55_64,C06_C_Ori_Orth_65_74,C06_C_Ori_Orth_75_84,C06_C_Ori_Orth_85ov,C06_C_Ori_Orth_Tot,C06_C_Oth_Prot_0_14,C06_C_Oth_Prot_15_24,C06_C_Oth_Prot_25_34,C06_C_Oth_Prot_35_44,C06_C_Oth_Prot_45_54,C06_C_Oth_Prot_55_64,C06_C_Oth_Prot_65_74,C06_C_Oth_Prot_75_84,C06_C_Oth_Prot_85ov,C06_C_Oth_Prot_Tot,C06_C_Pentec_0_14,C06_C_Pentec_15_24,C06_C_Pentec_25_34,C06_C_Pentec_35_44,C06_C_Pentec_45_54,C06_C_Pentec_55_64,C06_C_Pentec_65_74,C06_C_Pentec_75_84,C06_C_Pentec_85ov,C06_C_Pentec_Tot,C06_C_Pres_Ref_0_14,C06_C_Pres_Ref_15_24,C06_C_Pres_Ref_25_34,C06_C_Pres_Ref_35_44,C06_C_Pres_Ref_45_54,C06_C_Pres_Ref_55_64,C06_C_Pres_Ref_65_74,C06_C_Pres_Ref_75_84,C06_C_Pres_Ref_85ov,C06_C_Pres_Ref_Tot,C06_C_Sal_Army_0_14,C06_C_Sal_Army_15_24,C06_C_Sal_Army_25_34,C06_C_Sal_Army_35_44,C06_C_Sal_Army_45_54,C06_C_Sal_Army_55_64,C06_C_Sal_Army_65_74,C06_C_Sal_Army_75_84,C06_C_Sal_Army_85ov,C06_C_Sal_Army_Tot,C06_C_Se_da_Adv_0_14,C06_C_Se_da_Adv_15_24,C06_C_Se_da_Adv_25_34,C06_C_Se_da_Adv_35_44,C06_C_Se_da_Adv_45_54,C06_C_Se_da_Adv_55_64,C06_C_Se_da_Adv_65_74,C06_C_Se_da_Adv_75_84,C06_C_Se_da_Adv_85ov,C06_C_Se_da_Adv_Tot,C06_C_Uni_Ch_0_14,C06_C_Uni_Ch_15_24,C06_C_Uni_Ch_25_34,C06_C_Uni_Ch_35_44,C06_C_Uni_Ch_45_54,C06_C_Uni_Ch_55_64,C06_C_Uni_Ch_65_74,C06_C_Uni_Ch_75_84,C06_C_Uni_Ch_85ov,C06_C_Uni_Ch_Tot,C06_C_Chi_nfd_0_14,C06_C_Chi_nfd_15_24,C06_C_Chi_nfd_25_34,C06_C_Chi_nfd_35_44,C06_C_Chi_nfd_45_54,C06_C_Chi_nfd_55_64,C06_C_Chi_nfd_65_74,C06_C_Chi_nfd_75_84,C06_C_Chi_nfd_85ov,C06_C_Chi_nfd_Tot,C06_C_Oth_Chr_0_14,C06_C_Oth_Chr_15_24,C06_C_Oth_Chr_25_34,C06_C_Oth_Chr_35_44,C06_C_Oth_Chr_45_54,C06_C_Oth_Chr_55_64,C06_C_Oth_Chr_65_74,C06_C_Oth_Chr_75_84,C06_C_Oth_Chr_85ov,C06_C_Oth_Chr_Tot
LGA10050,50,59,50,61,50,28,11,8,0,324,1714,1193,1161,1407,1624,1396,928,700,258,10382,0,0,0,0,0,0,0,0,0,0,104,80,91,63,77,63,35,29,7,549,33,38,18,11,10,10,9,3,3,141,2971,2198,1571,1861,1788,1309,848,621,196,13360,9,9,0,8,11,9,7,9,3,73,56,31,41,59,47,36,48,38,6,362,29,27,25,12,19,28,9,16,4,165,5,8,3,9,11,7,8,0,0,52,313,180,133,210,204,163,119,135,58,1503,0,0,3,0,0,3,0,0,0,4,18,7,6,15,12,8,3,3,0,64,123,93,64,73,77,50,28,9,3,523,212,181,224,248,388,353,266,216,95,2183,36,26,25,25,27,24,15,11,5,208,44,34,26,28,40,26,8,15,8,246,439,393,281,365,510,369,270,225,78,2921,152,118,86,98,97,44,23,15,6,639,10,0,0,5,7,3,0,0,0,36
LGA10130,20,59,39,28,49,27,5,0,0,230,1590,1429,788,1048,1139,1069,753,466,161,8444,0,0,0,0,0,0,0,0,0,0,65,67,32,43,51,23,22,15,7,320,67,25,18,23,8,0,9,5,3,160,1441,1341,603,841,787,606,429,228,82,6358,15,12,0,10,5,8,3,4,0,60,9,8,9,14,13,7,11,3,0,75,13,6,5,22,20,9,10,6,0,91,10,4,4,7,5,5,0,0,0,44,19,15,8,22,15,10,10,4,3,111,0,0,0,0,0,0,0,0,0,0,10,7,4,3,5,3,0,3,0,36,74,67,25,46,32,25,11,6,0,284,197,195,126,238,256,261,206,183,72,1736,52,24,28,30,34,25,19,7,0,221,48,42,29,32,24,15,13,10,3,210,206,245,90,164,200,165,111,76,16,1276,87,101,47,36,59,43,16,10,3,413,4,3,5,3,7,3,0,3,0,20
LGA10250,52,40,43,62,70,50,8,6,0,334,1404,836,763,1282,1529,1579,1141,1107,391,10034,0,0,0,0,0,0,0,0,0,0,73,64,49,60,90,74,60,50,20,549,13,0,6,5,0,0,3,0,0,37,2245,1245,840,1397,1434,1072,853,545,173,9805,8,0,3,11,3,7,3,10,3,46,13,6,13,14,13,11,7,8,3,89,33,35,23,38,34,23,19,12,4,225,22,17,6,12,4,4,4,6,0,88,25,12,6,31,30,18,26,16,3,161,0,0,0,0,0,0,0,0,0,0,3,10,3,3,5,7,3,4,3,42,131,61,47,71,74,49,24,7,0,469,166,117,135,258,354,367,320,314,114,2138,20,9,16,14,19,26,11,16,0,134,39,23,14,30,34,37,36,47,10,270,264,211,149,241,377,370,312,352,145,2433,175,109,63,86,146,60,37,37,14,719,11,3,7,3,12,8,9,7,0,57
LGA10300,0,0,0,0,3,0,0,0,0,8,48,43,45,60,94,65,44,21,8,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,100,126,136,147,90,74,41,4,961,0,3,0,0,3,0,0,0,0,7,3,0,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,3,0,4,4,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,3,0,3,0,0,0,0,0,14,36,17,24,34,47,28,29,31,0,236,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,8,9,19,9,18,30,15,8,3,3,121,3,10,3,5,8,9,3,0,0,44,0,0,0,0,0,0,0,0,0,0
LGA10470,27,50,26,33,38,17,5,3,0,193,1490,1355,1003,1158,1323,1180,732,597,198,9020,0,0,0,0,0,0,0,0,0,0,118,101,69,75,105,80,24,16,3,598,52,36,22,18,15,9,8,3,0,162,3006,2253,1367,1726,1622,1210,828,469,167,12651,4,10,5,3,7,3,3,0,3,45,41,17,16,26,19,19,11,4,3,158,21,21,13,17,17,15,10,5,3,125,10,16,0,4,6,4,0,0,0,47,20,16,16,23,17,19,20,4,3,139,0,0,0,0,0,0,0,0,0,0,10,9,3,11,12,6,4,0,0,52,69,36,24,37,26,21,10,5,0,234,208,206,160,252,333,245,161,165,50,1787,35,26,26,21,22,14,9,7,0,157,25,7,3,7,3,7,5,0,0,63,277,313,182,239,292,288,166,110,43,1919,113,91,62,63,54,49,10,6,8,456,3,5,0,6,3,6,0,3,0,27
LGA10550,62,27,17,59,88,53,4,0,0,308,1400,750,587,1085,1392,1496,1219,803,245,8977,0,0,0,0,0,0,0,0,0,0,79,31,28,46,47,59,49,22,10,373,0,0,0,0,0,0,0,0,0,0,1288,713,534,885,1059,914,626,376,94,6486,0,6,0,3,0,8,9,0,3,19,20,5,10,17,14,13,8,9,0,88,32,14,21,22,30,21,14,7,3,175,13,6,3,5,10,7,0,3,0,57,20,12,8,27,33,32,50,31,4,201,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,10,5,3,5,36,25,9,4,19,20,10,7,4,0,111,62,69,57,124,196,249,227,158,48,1187,23,3,9,12,12,9,12,3,0,92,29,15,9,12,21,12,12,7,3,112,209,130,67,168,295,292,245,141,67,1615,156,56,29,76,95,70,28,14,7,530,3,4,3,8,6,6,3,3,0,39
LGA10600,34,10,16,47,59,32,10,3,0,200,429,210,201,391,491,508,465,291,115,3097,0,0,0,0,0,0,0,0,0,0,11,3,0,8,9,17,11,6,3,77,3,0,0,0,0,0,0,0,0,3,448,221,138,315,315,303,243,134,43,2163,0,0,0,0,0,3,4,0,0,9,4,0,3,4,3,3,0,3,0,18,12,3,5,3,8,9,3,4,0,45,0,0,0,0,3,0,0,0,0,0,0,5,0,7,7,3,10,3,3,42,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,3,0,0,13,52,38,11,32,43,24,7,5,3,214,25,11,9,44,68,83,55,43,14,355,3,3,0,0,7,6,0,0,0,23,4,0,0,3,3,3,7,6,0,29,148,90,47,115,134,142,126,99,52,961,69,19,13,26,48,24,10,3,0,219,13,5,0,7,8,9,5,0,0,46
LGA10650,0,3,3,0,3,0,0,0,0,14,259,151,132,206,283,316,282,186,72,1890,0,0,0,0,0,0,0,0,0,0,5,3,0,7,3,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,555,229,227,267,339,303,229,157,41,2354,0,0,0,0,0,0,0,4,0,3,3,0,4,3,3,0,0,0,0,14,7,3,5,0,11,3,0,0,0,25,18,12,3,6,5,3,5,0,0,59,5,0,7,3,9,4,6,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,3,8,3,4,0,0,0,34,77,42,49,77,115,128,103,96,48,744,0,0,0,0,3,0,3,0,0,9,3,0,0,0,3,0,0,0,0,10,127,84,59,116,140,145,124,93,21,909,10,6,9,5,9,10,7,0,0,52,0,0,0,0,0,0,0,0,0,7
LGA10750,731,492,615,768,777,368,131,75,21,3984,9069,5611,7057,7214,6458,5675,3073,1773,479,46416,18,17,18,18,14,18,16,4,0,129,1047,647,615,743,624,400,175,119,25,4395,59,32,35,51,24,22,10,9,3,245,23203,14182,13816,13901,12735,9397,4953,3008,741,95936,206,150,112,142,157,78,35,17,4,898,1298,923,1053,1078,822,727,501,223,60,6680,188,141,161,161,162,123,75,48,6,1071,750,376,317,242,216,120,37,18,10,2076,106,71,104,124,123,159,133,112,51,987,656,473,376,336,413,289,152,71,15,2783,454,320,224,279,249,126,65,23,8,1749,1706,1070,849,989,759,327,103,42,9,5847,1020,725,769,1052,1010,929,556,300,66,6434,148,82,102,117,107,98,64,19,10,743,342,225,202,203,179,154,79,48,38,1463,2132,1360,1150,1149,1190,839,478,238,70,8592,1315,818,628,727,568,278,106,48,13,4500,157,122,84,97,92,53,17,13,3,646
LGA10800,0,0,0,3,0,0,0,0,0,9,367,170,163,248,261,230,215,146,34,1825,0,0,0,0,0,0,0,0,0,0,18,3,13,3,6,17,3,0,0,64,0,0,0,0,0,0,0,0,0,0,463,198,208,248,231,170,143,85,22,1769,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,6,0,8,0,0,6,11,3,4,0,30,0,0,0,0,0,0,0,0,0,4,29,18,9,19,14,20,16,4,3,134,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,14,3,0,0,3,5,8,3,0,0,28,70,39,50,55,104,78,64,64,10,531,15,9,6,3,8,11,8,3,0,67,0,0,0,0,0,3,0,0,0,5,80,60,61,63,105,71,52,48,15,555,55,11,10,21,13,14,18,9,3,165,0,0,0,0,0,0,0,0,0,0
