LGA_CODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
LGA10050,151,75,45,7,279,169,66,27,16,276,243,117,29,11,413,111,73,28,4,212,57,31,4,0,94,23,17,4,0,38,14,9,3,0,31,4,9,0,0,15,85,55,24,14,168,33,15,5,6,55,1251,672,250,100,2267
LGA10130,87,51,18,10,159,91,31,15,9,148,141,70,16,13,242,81,34,8,4,125,30,18,3,3,53,13,9,4,0,21,4,7,3,0,15,3,0,0,0,3,41,24,13,8,90,27,8,3,3,46,705,337,123,66,1237
LGA10250,142,73,23,11,257,138,55,11,9,211,262,112,22,13,405,118,47,10,3,184,51,34,0,0,86,19,10,3,0,33,14,7,5,0,29,10,4,0,0,12,71,57,20,14,162,29,13,9,0,49,1143,532,144,62,1884
LGA10300,4,4,0,4,7,3,0,0,0,11,7,0,0,0,10,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,3,3,0,11,5,3,0,0,3,45,19,14,4,77
LGA10470,96,71,33,8,207,114,53,20,11,197,193,97,43,19,354,118,44,25,4,191,47,34,9,3,90,13,6,3,0,21,10,17,0,0,28,0,0,0,0,9,72,46,28,10,167,18,16,10,3,45,976,517,246,82,1811
LGA10550,99,40,14,12,165,95,30,12,11,140,128,65,14,12,222,58,34,7,0,102,28,6,6,0,36,9,4,0,0,17,4,5,0,0,7,0,0,0,0,3,80,55,17,15,166,22,3,0,3,24,731,380,105,74,1283
LGA10600,43,20,12,4,86,42,26,3,0,73,67,42,10,4,125,28,8,6,3,45,12,3,0,3,22,6,0,0,0,3,0,0,0,0,4,3,0,0,0,6,43,21,15,4,93,9,3,0,0,9,364,195,70,23,662
LGA10650,16,8,5,3,33,20,7,0,3,31,36,13,0,3,47,12,4,0,0,17,3,3,3,0,15,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,13,11,8,0,31,10,0,0,0,7,169,71,32,12,283
LGA10750,781,426,230,150,1582,896,386,202,108,1592,1766,831,286,185,3069,961,578,184,103,1826,650,399,101,61,1210,275,225,69,30,600,159,171,79,36,448,59,80,38,23,205,479,412,219,148,1253,244,107,39,38,432,8160,4761,1941,1113,15976
LGA10800,19,6,0,0,33,14,9,3,4,25,37,11,4,0,48,8,6,0,0,14,8,3,0,0,8,3,0,0,0,4,7,0,0,0,8,0,0,0,0,0,7,0,3,3,13,5,3,0,0,12,143,60,19,12,227
LGA10850,21,14,7,0,35,17,14,3,3,38,27,14,3,0,51,14,3,3,0,23,4,6,3,0,16,3,0,0,0,5,3,0,0,0,3,0,0,0,0,0,10,10,7,0,31,8,0,0,0,10,165,86,35,10,297
LGA10900,190,77,39,14,326,201,87,32,14,335,406,182,42,17,651,249,116,20,9,399,157,81,26,11,272,73,40,6,8,130,27,39,7,0,77,20,8,5,0,35,119,99,32,17,276,26,14,6,0,54,1883,934,264,107,3182
LGA10950,9,8,3,0,20,6,3,0,0,11,4,8,3,0,14,4,0,0,0,7,3,0,0,0,4,0,0,0,0,0,0,3,0,0,4,3,0,0,0,3,3,0,0,0,10,3,0,0,0,5,62,31,12,3,107
LGA11100,110,40,10,3,167,128,40,6,0,174,233,103,23,3,359,151,71,16,0,247,88,51,12,0,154,42,28,6,0,83,37,40,4,0,86,23,9,9,0,36,90,49,28,5,170,28,13,6,3,49,1140,568,159,30,1898
LGA11150,7,5,0,0,13,12,5,0,3,22,11,6,3,0,20,7,4,0,0,14,4,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,13,3,3,3,7,13,67,36,14,12,130
LGA11200,10,4,0,0,13,9,10,0,0,16,3,6,0,3,12,4,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,13,8,3,3,0,13,78,35,13,7,137
LGA11250,65,28,21,6,116,88,31,14,3,135,107,39,10,12,168,47,28,11,4,83,20,19,5,3,42,5,5,0,0,10,10,3,0,0,9,9,0,0,0,7,42,24,19,5,92,33,9,3,3,50,589,299,124,52,1059
LGA11300,82,21,3,0,107,83,21,4,3,111,186,66,14,4,268,95,45,14,0,156,64,25,10,3,100,40,20,3,0,60,27,34,7,3,67,14,6,4,3,24,44,35,3,3,87,9,0,0,0,12,849,357,77,22,1310
LGA11350,112,56,10,3,174,117,41,15,4,170,203,78,19,6,305,59,35,0,0,99,41,15,3,0,60,16,10,0,0,21,8,4,0,0,11,8,0,0,0,7,99,69,15,3,188,28,9,3,0,31,1022,441,90,18,1566
