LGA_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA23190,74,176,294,357,649,151,90,3,0,56,185,211,280,491,100,56,3,0,67,216,168,273,440,3445,3492,690,703,2481,3090,6615,7281,13892
LGA23270,321,868,1521,1612,3131,628,357,21,10,257,750,905,1115,2022,319,130,12,4,235,693,563,823,1388,35551,35748,4808,4891,29044,31105,69404,71738,141138
LGA23350,64,126,239,228,465,84,63,3,0,39,85,133,151,281,54,24,0,0,36,117,86,139,231,2949,2990,639,665,1811,2145,5397,5798,11199
LGA23430,441,1133,1857,2227,4085,940,648,23,12,348,1096,1309,1753,3066,654,287,15,14,452,1384,1125,1689,2808,27894,28113,5188,5281,21301,25385,54387,58780,113166
LGA23670,358,961,1736,1945,3685,749,474,15,14,290,838,1055,1325,2378,472,230,12,4,301,973,779,1199,1980,30252,30466,4634,4719,21833,25239,56720,60425,117143
LGA23810,247,579,973,1120,2091,380,261,20,10,203,476,598,747,1347,269,105,4,6,182,545,456,655,1113,11521,11687,2871,2993,10497,12046,24886,26727,51614
LGA23940,53,69,151,143,298,59,40,0,0,40,66,98,111,210,34,16,0,0,49,76,80,90,174,1343,1346,237,237,1153,960,2732,2546,5274
LGA24130,120,204,536,487,1023,191,118,3,0,82,202,279,316,592,114,62,3,0,93,216,213,274,492,8781,8918,1777,1775,5171,5901,15732,16597,32336
LGA24210,311,984,2130,2391,4523,1164,658,24,13,261,910,1448,1586,3026,706,293,20,4,312,1030,1041,1328,2369,25113,25424,2234,2238,15697,18967,43047,46630,89681
LGA24250,43,70,140,137,279,50,34,3,0,30,56,85,88,178,35,14,0,0,25,67,60,82,143,1428,1456,347,347,1001,1094,2782,2904,5677
LGA24330,173,391,536,665,1201,220,171,6,3,151,390,380,561,937,204,73,3,4,170,481,379,562,940,11706,11797,4234,4094,15056,14963,30997,30857,61853
LGA24410,266,748,1128,1477,2606,625,402,11,8,233,682,868,1087,1955,363,173,3,3,247,823,613,997,1614,20511,20722,3557,3602,14976,18406,39045,42735,81779
LGA24600,173,297,513,527,1042,173,96,12,4,118,233,298,335,633,109,45,14,0,114,251,243,297,539,12065,12137,7645,7098,30088,34169,49795,53403,103197
LGA24650,193,450,757,798,1552,279,153,9,6,118,343,412,505,914,123,64,8,3,112,327,242,389,632,23810,24032,4259,4370,17185,19298,45253,47692,92947
LGA24780,185,407,690,833,1531,321,211,8,7,134,391,473,610,1082,227,100,3,3,164,461,400,562,963,8688,8866,2005,2074,7505,8446,18197,19385,37576
LGA24850,102,203,384,412,790,161,104,9,0,75,187,247,296,540,107,46,3,3,73,170,181,219,397,6727,6793,1757,1814,5475,5636,13954,14243,28195
LGA24900,157,259,563,568,1129,261,169,9,5,118,253,389,425,808,171,86,4,3,106,250,277,332,608,5157,5214,1007,1024,3898,4074,10056,10311,20367
LGA24970,430,1300,2515,3016,5538,1451,879,27,10,409,1334,1888,2227,4117,966,432,5,5,535,1551,1508,1989,3498,34899,35254,3719,3786,29090,32087,67712,71125,138839
LGA25060,284,855,1355,1752,3110,753,456,27,6,236,870,1012,1326,2341,516,213,6,7,365,1039,890,1259,2150,20563,20775,4011,3965,17274,21115,41848,45859,87707
LGA25150,92,173,329,336,667,124,71,4,0,65,163,191,230,425,79,39,3,3,55,178,138,212,348,5660,5747,1317,1327,4154,4563,11136,11640,22772
LGA25250,388,1232,1637,2306,3940,992,630,17,14,395,1282,1401,1930,3331,753,312,6,6,516,1481,1282,1804,3080,24764,24928,7553,7684,27379,30837,59693,63450,123140
LGA25340,655,1429,2791,3145,5937,1350,888,51,29,500,1261,1899,2176,4074,913,432,33,13,615,1523,1560,1965,3524,28221,28536,5780,5948,18774,24033,52766,58518,111283
LGA25430,107,166,346,364,710,131,85,8,0,54,145,188,235,426,96,47,0,0,75,180,170,230,401,2883,2903,880,942,2551,3018,6312,6862,13170
LGA25490,55,84,212,210,423,98,48,0,0,43,95,138,142,281,57,32,0,0,34,123,97,157,252,3052,3080,639,657,1992,1974,5687,5710,11394
LGA25620,71,108,230,210,441,73,49,3,3,51,80,119,132,250,53,18,0,0,44,93,96,111,216,2398,2394,673,663,1846,1719,4915,4774,9691
LGA25710,73,219,531,507,1039,191,130,6,4,71,194,264,332,597,107,45,3,3,76,232,182,281,466,12524,12689,1934,2031,7670,8330,22128,23047,45180
LGA25810,56,110,195,210,408,93,57,3,3,29,99,125,153,282,52,37,0,3,41,130,97,173,266,2044,2057,401,424,1713,1786,4158,4272,8425
LGA25900,248,510,732,833,1568,266,150,15,4,185,393,460,554,1015,194,96,14,10,203,428,406,535,941,11985,12118,7564,7012,16627,19752,36169,38879,75053
LGA25990,59,59,134,103,235,49,26,0,0,31,39,75,64,139,25,16,0,0,23,52,51,66,117,1227,1246,264,264,972,968,2464,2474,4940
LGA26080,6,45,75,102,171,46,33,0,0,9,43,58,77,133,21,16,3,0,17,65,40,76,120,584,590,66,67,268,475,914,1128,2047
LGA26170,120,224,461,486,947,208,126,3,3,69,220,278,356,627,137,57,3,0,94,244,237,298,538,5176,5224,1092,1161,3499,3958,9769,10345,20109
LGA26260,78,163,247,305,552,123,66,0,0,39,159,164,226,391,62,31,3,0,73,202,140,237,374,2961,2999,494,517,2003,2376,5463,5889,11356
LGA26350,281,729,1126,1361,2488,513,344,17,10,188,668,712,1025,1743,394,164,7,4,280,858,684,1025,1716,15079,15332,5745,5082,16577,21665,37397,42085,79483
LGA26430,54,90,223,203,432,90,48,0,4,55,97,142,151,293,44,17,9,0,48,112,100,132,233,1828,1840,411,412,1393,1540,3635,3793,7427
LGA26490,50,143,317,337,654,155,106,7,3,43,137,203,250,453,85,44,0,0,53,165,140,206,353,5480,5596,1130,1175,3183,3557,9797,10332,20124
LGA26610,76,163,282,315,599,132,82,3,4,58,155,195,240,436,91,48,3,0,56,169,149,220,369,3409,3433,620,619,2780,2830,6810,6883,13695
LGA26670,24,41,106,100,211,41,22,0,0,26,44,70,71,142,22,18,0,0,25,61,45,76,120,1160,1168,213,209,796,710,2160,2087,4251
LGA26700,93,261,439,518,961,204,149,3,0,87,212,296,363,660,154,62,0,3,98,303,253,371,619,5017,5084,1019,1057,3571,4377,9610,10511,20121
LGA26730,93,273,395,524,914,187,139,5,3,76,285,272,423,696,149,75,7,3,87,316,235,388,624,5416,5489,1273,1298,4529,5759,11215,12546,23758
LGA26810,176,333,602,672,1273,264,138,4,5,126,270,393,410,803,158,81,3,0,136,347,297,430,730,7243,7409,1626,1700,5537,6069,14401,15181,29580
LGA26890,30,44,80,81,163,34,24,0,0,15,27,50,52,101,15,9,0,0,20,40,36,48,87,752,744,143,132,532,506,1424,1381,2802
LGA26980,392,1359,2037,2702,4742,1172,764,27,20,356,1301,1555,2087,3640,821,419,16,3,569,1721,1411,2147,3559,30629,30988,3912,3928,24289,29600,58835,64521,123356
LGA27070,322,931,1716,1957,3677,946,513,18,10,260,844,1228,1366,2593,382,158,5,7,277,713,663,874,1539,37758,38002,5353,5452,27064,30078,70180,73529,143715
LGA27170,87,245,375,475,852,177,96,7,3,63,216,245,313,560,114,57,5,0,74,227,192,288,483,6271,6395,1601,1651,4934,5978,12806,14028,26833
LGA27260,239,678,1099,1245,2347,406,275,14,10,168,517,596,794,1391,223,98,5,3,158,503,388,603,990,40500,40758,6528,6562,26588,28836,73612,76160,149770
LGA27350,210,464,575,729,1300,233,153,8,5,161,417,400,576,978,168,68,11,4,151,384,327,461,789,9112,9200,6900,6349,15717,18752,31725,34305,66028
LGA27450,376,875,1592,1730,3322,673,406,17,13,236,684,928,1104,2031,380,177,14,9,314,812,712,998,1707,27213,27434,6227,6345,19983,22302,53420,56077,109493
LGA27630,46,63,130,133,270,68,32,3,0,35,55,103,97,200,46,25,0,0,41,83,90,107,200,1234,1233,173,184,994,928,2412,2344,4756
LGA29399,3,0,3,0,7,3,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,43,38,13,17,66,60,116,117,229
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,4,0,3,0,8,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,3,30,30,115,119,249,261,397,415,811
LGA30300,22,19,53,46,95,24,8,0,0,11,15,40,25,63,7,0,0,0,6,17,14,20,33,728,732,175,177,543,476,1449,1388,2838
LGA30370,50,80,187,163,351,52,40,3,3,30,77,85,116,200,31,10,3,0,21,75,54,86,142,2556,2604,528,564,1731,1476,4812,4644,9456
LGA30410,21,21,59,40,93,11,7,3,0,8,26,22,31,55,7,4,0,0,12,11,18,17,33,493,502,110,121,327,338,929,958,1886
LGA30450,3,0,3,0,3,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,42,44,13,15,48,27,101,79,177
LGA30760,8,12,32,22,51,9,3,0,0,8,26,18,26,49,3,3,0,0,4,12,4,14,19,364,373,68,75,222,229,658,675,1338
LGA30900,0,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,18,21,74,53,128,113,245
LGA31000,2525,6082,9868,11592,21460,4371,2871,99,54,1849,5772,6314,8702,15015,3047,1425,72,33,2287,7571,5403,9027,14430,184907,188413,45393,45705,170382,193583,400682,427697,828382
LGA31750,4,0,3,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,7,48,47,20,19,40,37,106,101,208
LGA31820,435,861,1728,1850,3575,693,444,26,17,352,676,1072,1134,2208,423,179,14,4,281,784,724,970,1687,16200,16636,3416,3581,12404,14337,32022,34548,66571
LGA31900,75,127,288,292,586,127,74,0,3,57,143,181,220,400,71,25,0,4,53,167,128,195,320,3181,3240,579,607,2404,2313,6170,6160,12326
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,31,27,23,53,30,105,78,189
LGA32080,447,758,1360,1359,2715,514,284,25,12,269,533,807,832,1643,247,111,14,4,252,695,520,803,1327,21872,22682,7409,7681,21610,24461,50890,54828,105719
LGA32250,11,8,23,17,37,9,4,0,0,8,0,12,3,17,0,0,0,0,5,0,4,0,4,207,209,118,142,301,271,629,620,1248
LGA32260,143,184,476,394,866,180,93,4,0,116,175,300,269,576,99,43,0,0,74,203,177,248,429,4640,4701,1243,1296,4170,3797,10047,9790,19844
LGA32270,64,77,171,129,304,33,24,3,0,35,41,74,72,137,25,7,0,0,23,36,46,47,92,4249,4443,1157,1252,3169,2476,8571,8168,16743
LGA32310,50,75,157,157,313,80,43,3,0,38,74,115,119,235,25,8,0,0,26,67,55,79,129,1707,1835,386,428,1504,1662,3599,3926,7521
LGA32330,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,94,90,227,271,345,388,731
LGA32450,11,9,18,9,28,4,0,0,0,6,11,9,8,22,0,0,0,0,5,3,7,3,13,324,327,150,160,412,299,888,783,1673
LGA32500,32,19,56,24,80,5,0,0,0,15,9,20,7,28,0,0,0,3,12,9,7,8,21,414,428,232,246,711,499,1367,1170,2536
LGA32600,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,36,38,13,18,28,27,80,75,154
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,14,18,30,28,79,77,155
LGA32770,0,0,0,4,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,57,51,141,142,165,234,363,427,788
LGA32810,45,64,148,130,276,52,18,0,0,30,45,79,63,144,13,9,0,0,32,33,47,41,88,1552,1579,667,680,1600,1550,3815,3807,7623
LGA33100,11,3,19,6,29,0,0,0,0,0,0,4,3,6,0,0,0,0,0,4,0,4,3,121,113,39,42,139,85,294,240,537
LGA33200,7,13,23,26,47,3,4,0,0,3,6,8,14,18,4,0,0,0,3,13,8,14,21,269,275,65,64,198,179,527,526,1045
LGA33220,541,939,2208,2145,4354,850,505,43,23,383,756,1279,1281,2559,450,198,25,12,331,837,807,1049,1856,17793,18222,3777,3991,13121,15871,34692,38081,72774
LGA33360,125,232,453,456,910,173,96,10,3,85,174,272,273,538,70,36,3,5,59,167,133,207,340,9885,10354,2952,3102,7667,6663,20511,20117,40623
LGA33430,1699,3661,6801,7248,14048,2746,1672,141,71,1193,3041,4082,4782,8864,1777,889,84,28,1319,3800,3179,4721,7897,89487,91222,24571,25068,76563,92163,190620,208454,399083
LGA33610,43,83,152,159,314,51,33,3,0,37,52,93,82,178,21,13,3,0,31,63,55,77,131,1794,1828,410,423,1243,1270,3446,3520,6964
LGA33620,250,373,856,771,1629,327,204,17,7,149,315,491,529,1022,197,87,3,3,131,330,329,423,753,8428,8673,1907,1981,6701,7388,17035,18042,35079
LGA33800,70,133,257,264,522,116,68,3,3,56,99,174,172,347,83,32,0,0,41,137,127,171,304,2145,2171,338,348,1523,1384,4004,3905,7908
LGA33830,0,0,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,35,29,99,101,133,146,269,279,540
LGA33960,457,954,1515,1756,3270,576,359,14,16,296,747,886,1120,2004,333,155,10,0,286,803,626,963,1590,28702,29329,8560,8947,26427,29628,63689,67900,131592
LGA33980,29,33,80,67,147,24,9,0,0,13,22,37,29,63,14,0,0,0,13,28,22,31,60,2939,3001,960,1000,2028,1566,5929,5562,11489
LGA34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,17,22,115,121,146,205,282,341,623
LGA34530,116,207,470,503,976,185,115,10,3,89,208,283,327,613,108,56,4,0,111,227,226,279,508,6057,6519,1322,1495,4327,4562,11705,12580,24282
LGA34570,0,5,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,74,75,122,137,198,222,420
LGA34580,127,221,478,463,934,183,104,7,5,98,175,288,280,570,79,28,3,3,90,194,178,221,400,6351,6502,1465,1531,5266,5603,13086,13630,26712
LGA34590,661,1438,2552,2683,5238,874,551,42,12,423,1139,1332,1699,3031,525,228,20,23,411,1113,955,1359,2315,47915,48640,12502,12980,42998,46820,103417,108444,211860
LGA34710,17,25,39,43,82,20,5,3,0,16,25,34,30,68,10,3,0,0,4,29,15,35,50,564,569,145,156,416,538,1125,1263,2392
LGA34770,304,614,1115,1186,2301,450,293,22,14,241,520,708,823,1534,252,118,6,3,208,564,464,683,1152,18133,19659,4814,5309,14484,14703,37428,39673,77100
LGA34800,3,0,10,4,10,0,0,0,0,0,5,0,5,8,0,0,0,0,0,0,0,0,4,117,105,31,34,100,90,246,237,482
LGA34830,3,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,21,23,69,59,106,96,199
LGA34860,54,79,144,162,307,50,26,4,0,30,66,76,94,169,22,18,0,3,31,57,57,76,135,2006,2073,553,580,1465,1436,4020,4085,8112
LGA34880,113,138,356,314,663,141,71,11,0,73,121,224,193,412,86,25,0,0,53,126,147,148,293,3128,3241,958,999,2961,2911,7047,7155,14200
LGA35010,1155,2562,4878,5244,10124,1882,1185,55,38,813,2106,2752,3326,6074,1145,503,29,14,922,2411,2101,2933,5031,73469,75145,17347,18190,54588,64648,145403,157981,303385
LGA35250,4,0,4,3,7,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,37,34,112,113,182,204,327,350,681
LGA35300,37,48,84,85,163,33,21,0,0,28,35,66,51,117,9,4,0,4,12,36,21,39,61,2373,2404,1067,1094,2594,2165,6029,5664,11694
LGA35600,16,33,54,56,111,22,11,0,0,19,35,34,43,79,11,5,0,0,8,33,19,35,56,672,694,201,200,527,573,1397,1474,2864
LGA35670,0,0,0,0,0,0,0,0,0,4,3,4,3,3,0,0,0,0,0,0,0,0,0,21,25,109,114,179,165,310,300,615
LGA35740,200,438,973,952,1921,392,248,18,9,139,360,545,611,1158,256,117,12,3,160,443,426,559,987,9539,9800,2201,2267,6422,8043,18160,20107,38270
LGA35760,59,91,200,188,383,76,41,0,0,42,51,119,98,220,46,13,0,0,39,79,82,89,178,1806,1821,353,374,1434,1325,3597,3522,7121
LGA35780,3,3,3,6,5,3,0,0,0,3,5,3,5,5,0,0,0,0,6,0,6,0,6,153,149,209,224,378,470,739,838,1585
LGA35790,0,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,62,208,209,472,487,737,756,1492
LGA35800,21,11,40,14,53,6,6,0,0,5,11,9,16,22,3,0,0,0,8,11,7,11,16,224,220,67,64,267,252,559,541,1101
LGA36070,3,0,4,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,29,31,98,99,128,133,255,262,517
LGA36150,0,3,4,10,11,4,0,0,0,3,4,5,4,13,0,0,0,0,3,4,3,8,10,107,114,46,55,119,86,278,255,535
LGA36250,390,1066,1891,2126,4017,804,495,29,23,348,870,1184,1384,2567,525,258,21,10,377,984,925,1248,2170,27831,28345,5520,5669,19033,22328,52387,56342,108734
LGA36300,3,4,9,12,14,0,3,0,0,4,9,4,9,15,0,0,0,0,0,3,3,3,6,118,124,35,35,112,86,266,243,515
LGA36370,267,565,857,1044,1898,363,228,6,4,234,485,603,720,1322,221,100,7,3,187,536,414,638,1050,11640,12233,3180,3426,10957,12304,25782,27959,53741
LGA36510,160,281,640,635,1269,276,145,12,3,107,234,397,385,779,151,69,3,0,104,225,261,290,552,7351,7482,1513,1563,4831,5509,13693,14553,28253
LGA36580,107,145,395,326,722,107,62,0,0,72,118,184,175,354,54,18,3,0,58,102,119,124,240,4121,4229,1013,1065,3348,3263,8484,8558,17043
LGA36630,202,244,642,529,1172,204,131,19,5,110,193,332,327,650,116,45,0,4,113,211,228,263,485,5519,5635,1189,1241,4374,4649,11076,11531,22606
LGA36660,181,317,613,663,1272,275,148,5,4,111,280,393,438,833,153,74,5,0,85,306,255,388,640,6255,6382,1232,1296,4578,5217,12070,12898,24966
LGA36720,867,2270,4450,4992,9442,2223,1419,87,39,764,1884,3084,3346,6423,1321,651,21,20,866,2384,2208,3061,5266,52426,53965,11614,12185,36200,46071,100237,112222,212461
LGA36820,143,215,483,450,931,173,117,12,3,95,162,282,284,564,113,53,4,0,74,189,196,241,435,4115,4239,1017,1060,3202,3649,8332,8950,17278
LGA36910,504,1171,2090,2369,4459,954,626,27,6,375,1101,1357,1738,3100,592,264,11,7,398,1311,1006,1578,2584,27736,28481,5311,5519,19938,24204,52987,58209,111193
LGA36950,8,9,15,14,25,0,0,0,0,4,0,6,0,5,0,0,0,0,3,5,3,5,11,247,249,204,217,573,584,1019,1048,2072
LGA36960,4,17,15,22,39,0,0,0,0,5,3,7,3,14,0,0,0,0,3,4,0,7,10,261,255,321,324,655,658,1231,1236,2472
LGA37010,471,939,1608,1810,3418,590,374,24,7,311,783,924,1169,2096,380,167,12,9,313,821,708,1000,1709,26816,28220,8656,9374,25517,28010,60990,65606,126597
LGA37300,3,0,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,555,554,234,248,419,262,1207,1068,2275
LGA37310,104,188,388,382,774,165,106,3,6,70,147,239,253,495,89,37,3,0,74,182,170,218,388,5317,5449,1206,1281,4057,3892,10573,10622,21195
LGA37340,126,160,366,307,669,107,66,7,3,63,132,174,211,384,62,26,0,0,64,125,128,157,284,4588,4863,1487,1612,4310,3853,10382,10330,20708
LGA37400,13,5,24,11,37,3,5,0,0,8,6,12,8,20,5,0,0,0,7,5,11,7,19,165,168,61,63,183,142,404,370,773
LGA37550,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,50,56,178,228,255,301,556
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,26,30,52,74,85,112,197
LGA37600,0,3,6,3,8,0,0,0,0,0,6,4,6,9,0,0,0,0,0,3,0,3,3,135,135,139,143,515,542,781,815,1600
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA40070,64,128,174,211,387,54,37,0,0,28,62,90,107,192,63,34,0,0,35,95,103,128,224,2025,2072,1000,942,4387,4501,7410,7513,14925
LGA40120,90,177,477,445,926,209,123,5,6,55,170,277,300,571,131,50,3,0,85,218,217,271,486,7968,8141,1416,1472,4606,4834,13985,14448,28438
LGA40220,110,229,588,597,1178,253,152,15,6,90,193,353,343,704,158,95,5,3,77,206,249,306,551,5039,5121,983,1033,3075,3635,9102,9794,18891
LGA40250,3,8,11,7,15,0,3,0,0,0,3,3,3,8,3,0,0,0,3,5,3,5,9,254,254,105,101,354,437,709,793,1496
LGA40310,60,167,318,367,685,162,101,5,0,75,167,247,267,515,108,55,0,0,67,201,171,260,430,4627,4721,883,923,2825,3125,8335,8777,17111
LGA40430,13,29,51,57,111,32,21,3,0,9,27,42,44,86,10,4,0,0,14,31,29,30,59,504,511,81,90,347,303,931,900,1836
LGA40520,35,85,157,202,352,91,52,0,0,33,84,126,145,271,57,30,0,0,33,117,89,144,238,1770,1791,421,436,1538,1642,3740,3868,7605
LGA40700,119,365,671,819,1498,343,200,11,0,109,400,458,604,1058,275,142,10,0,177,649,455,790,1252,8719,8912,1095,1094,5560,7626,15371,17637,33005
LGA40910,156,510,921,1062,1984,465,283,6,6,172,490,641,776,1421,293,123,4,0,175,558,470,673,1142,9912,10027,1216,1205,7433,8994,18560,20226,38784
LGA41010,10,11,36,28,65,11,8,0,0,3,10,17,18,31,9,5,0,0,7,18,21,29,45,460,475,210,226,439,440,1113,1137,2254
LGA41060,341,980,1527,1967,3489,867,520,27,12,287,921,1182,1456,2634,574,276,12,10,434,1265,1021,1551,2571,19089,19419,4013,4168,18354,20612,41453,44200,85657
LGA41140,39,62,137,156,288,70,31,4,0,36,38,107,73,177,42,20,3,0,22,82,64,104,173,1725,1766,338,345,1061,1127,3120,3240,6362
LGA41190,0,11,24,21,46,10,12,0,0,5,3,13,20,34,8,3,0,0,9,16,15,21,36,343,349,46,51,227,179,619,580,1197
LGA41330,25,10,50,16,66,5,3,0,0,10,7,17,6,27,3,3,0,0,3,0,8,4,12,180,184,89,86,360,215,624,489,1117
LGA41560,85,134,331,324,653,108,86,7,5,60,134,173,229,401,75,21,0,3,54,130,129,153,287,2549,2608,565,588,1902,2054,5017,5250,10268
LGA41750,9,4,12,9,29,3,0,0,0,7,4,7,6,16,4,0,0,0,0,3,3,3,6,199,204,50,53,127,80,380,333,715
LGA41830,12,10,20,25,46,15,6,0,0,12,9,22,14,42,3,0,0,0,4,14,8,16,23,260,278,68,80,223,231,557,581,1138
LGA41960,3,3,19,6,25,7,4,0,0,4,5,14,11,23,0,0,0,0,10,14,10,14,22,241,243,63,60,145,113,446,413,859
LGA42030,71,216,331,451,779,174,121,3,0,86,186,265,309,576,117,56,3,0,80,220,194,276,474,3820,3902,915,954,3314,4044,8048,8900,16948
LGA42110,26,38,69,72,144,29,19,0,0,12,30,42,50,91,13,4,0,0,9,24,22,29,49,751,765,146,160,598,505,1497,1434,2934
LGA42250,30,33,101,75,176,37,21,0,0,16,17,49,37,92,19,16,0,0,10,33,31,40,73,1598,1618,293,292,944,702,2832,2612,5449
LGA42600,117,342,482,631,1114,263,199,3,4,116,371,380,579,960,208,114,13,5,190,646,413,764,1174,6118,6240,1302,1345,4987,6529,12406,14111,26517
LGA42750,20,23,73,60,130,27,19,0,0,13,30,42,49,85,23,10,0,0,16,33,36,42,77,808,807,202,211,581,550,1586,1560,3149
LGA43080,8,5,16,16,28,11,3,0,0,3,13,16,16,27,12,4,0,0,3,12,18,20,31,219,225,18,24,162,119,399,370,772
LGA43220,8,5,22,15,39,7,3,0,0,3,11,12,17,30,3,4,0,0,3,7,6,11,13,222,223,27,24,111,84,359,337,690
LGA43360,13,20,48,56,101,32,11,0,5,14,22,45,42,84,12,8,0,0,3,15,23,23,44,458,457,97,109,293,264,853,829,1680
LGA43650,23,63,138,135,272,59,32,0,0,31,64,89,96,184,38,25,0,0,18,47,55,66,127,2890,2951,523,566,1779,1739,5196,5256,10453
LGA43710,20,19,63,62,126,25,12,0,3,10,20,38,36,75,20,3,3,0,12,19,37,23,61,998,1026,238,271,624,504,1866,1791,3656
LGA43790,40,80,193,206,402,85,55,3,0,32,86,125,146,267,60,24,3,0,55,111,120,139,256,2224,2250,367,382,1546,1535,4142,4168,8307
LGA43920,23,35,96,74,170,31,13,0,3,12,27,44,40,85,15,7,0,0,17,32,31,44,78,1549,1592,422,442,1262,1126,3234,3162,6391
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,13,9,9,20,19,40
LGA44060,265,655,1004,1309,2311,537,358,10,7,211,709,757,1074,1833,416,210,5,5,305,990,727,1204,1936,15401,15600,3286,3378,13421,16535,32105,35519,67618
LGA44210,68,83,189,173,359,69,35,3,3,21,38,95,81,172,26,15,0,0,31,67,54,78,135,1508,1524,367,363,1375,1108,3258,2996,6249
LGA44340,166,453,878,1030,1905,470,326,15,7,156,433,643,765,1407,355,163,6,3,238,746,599,913,1507,12530,12783,1980,2053,8440,10437,22948,25269,48215
LGA44550,66,175,317,385,698,143,80,3,3,50,162,199,251,451,84,35,3,0,59,173,153,208,364,6054,6177,1423,1474,3958,4809,11439,12459,23902
LGA44620,71,229,335,445,777,156,110,0,0,75,189,230,296,523,133,49,0,0,72,219,202,270,473,4216,4261,1000,1038,3581,4301,8795,9600,18392
LGA44830,15,17,61,58,112,24,14,3,0,10,20,37,33,70,9,6,0,0,13,24,26,26,51,588,592,115,121,362,319,1065,1029,2096
LGA45040,81,159,330,344,675,153,104,8,4,64,144,228,254,485,94,45,3,0,61,185,152,235,385,3394,3446,826,872,3156,3406,7381,7720,15097
LGA45090,22,40,115,110,223,46,36,3,0,17,62,68,102,167,41,14,0,0,25,65,59,88,150,1557,1580,303,310,1146,947,3014,2834,5848
LGA45120,28,36,84,73,153,30,15,0,0,16,40,48,57,106,21,13,0,0,15,52,36,64,100,876,897,160,159,622,557,1662,1614,3273
LGA45290,107,358,467,635,1101,231,179,10,3,114,344,354,526,880,200,92,4,0,140,481,347,579,924,5784,5877,1236,1268,5699,7167,12719,14317,27038
LGA45340,396,981,1955,2163,4116,908,573,24,20,332,884,1266,1478,2737,599,323,10,4,351,1022,957,1356,2310,28953,29505,6996,7351,23087,26664,59035,63519,122556
LGA45400,0,6,9,12,28,7,6,0,0,7,10,13,10,28,6,0,0,0,3,16,9,24,29,176,183,22,23,98,105,304,303,605
