LGA_CODE_2016,C16_Chr_Chi_nfd_0_14,C16_Chr_Chi_nfd_15_24,C16_Chr_Chi_nfd_25_34,C16_Chr_Chi_nfd_35_44,C16_Chr_Chi_nfd_45_54,C16_Chr_Chi_nfd_55_64,C16_Chr_Chi_nfd_65_74,C16_Chr_Chi_nfd_75_84,C16_Chr_Chi_nfd_85ov,C16_Chr_Chi_nfd_Tot,C16_Chr_Oth_Chi_0_14,C16_Chr_Oth_Chi_15_24,C16_Chr_Oth_Chi_25_34,C16_Chr_Oth_Chi_35_44,C16_Chr_Oth_Chi_45_54,C16_Chr_Oth_Chi_55_64,C16_Chr_Oth_Chi_65_74,C16_Chr_Oth_Chi_75_84,C16_Chr_Oth_Chi_85ov,C16_Chr_Oth_Chi_Tot,C16_Christ_Tot_0_14,C16_Christ_Tot_15_24,C16_Christ_Tot_25_34,C16_Christ_Tot_35_44,C16_Christ_Tot_45_54,C16_Christ_Tot_55_64,C16_Christ_Tot_65_74,C16_Christ_Tot_75_84,C16_Christ_Tot_85ov,C16_Christ_T_T,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85oe,C16_OR_AusAborTrade_Tot,C16_OR_Sikhism_0_14,C16_OR_Sikhism_15_24,C16_OR_Sikhism_25_34,C16_OR_Sikhism_35_44,C16_OR_Sikhism_45_54,C16_OR_Sikhism_55_64,C16_OR_Sikhism_65_74,C16_OR_Sikhism_75_84,C16_OR_Sikhism_85oe,C16_OR_Sikhism_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_O_R_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_Oth_Rel_Tot_0_14,C16_Oth_Rel_Tot_15_24,C16_Oth_Rel_Tot_25_34,C16_Oth_Rel_Tot_35_44,C16_Oth_Rel_Tot_45_54,C16_Oth_Rel_Tot_55_64,C16_Oth_Rel_Tot_65_74,C16_Oth_Rel_Tot_75_84,C16_Oth_Rel_Tot_85ov,C16_Other_Rel_T_T,C16_SBOSB_No_RA_0_14,C16_SBOSB_No_RA_15_24,C16_SBOSB_No_RA_25_34,C16_SBOSB_No_RA_35_44,C16_SBOSB_No_RA_45_54,C16_SBOSB_No_RA_55_64,C16_SBOSB_No_RA_65_74,C16_SBOSB_No_RA_75_84,C16_SBOSB_No_RA_85ov,C16_SBOSB_No_RA_Tot,C16_Oth_rel_affi_0_14,C16_Rel_aff_ns_15_24,C16_Rel_aff_ns_25_34,C16_Rel_aff_ns_35_44,C16_Rel_aff_ns_45_54,C16_Rel_aff_ns_55_64,C16_Rel_aff_ns_65_74,C16_Rel_aff_ns_75_84,C16_Rel_aff_ns_85ov,C16_Rel_aff_ns_Tot,C16_Tot_0_14_yrs,C16_Tot_15_24_yrs,C16_Tot_25_34_yrs,C16_Tot_35_44_yrs,C16_Tot_45_54_yrs,C16_Tot_55_64_yrs,C16_Tot_65_74_yrs,C16_Tot_75_84_yrs,C16_Tot_85o,C16_T_T
LGA10850,39,21,6,25,20,19,14,8,0,138,0,0,0,0,0,0,0,0,0,3,941,519,465,569,722,749,589,366,146,5056,3,3,0,0,3,0,0,0,0,5,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,16,0,0,3,0,3,0,7,0,0,16,453,179,171,205,197,169,103,24,6,1515,106,75,64,82,92,90,67,35,9,617,1508,786,707,861,1029,1014,759,426,165,7257
LGA10900,483,265,222,292,314,389,206,77,29,2265,10,3,7,16,15,26,23,17,7,118,6743,4053,2978,4501,5681,6586,5511,2860,1209,40131,25,23,39,32,29,38,17,10,3,218,43,17,20,41,19,17,8,4,0,187,27,0,3,28,20,17,38,9,9,156,13,0,0,7,7,6,0,0,0,25,5,9,7,4,0,0,3,0,0,24,57,36,44,82,89,74,50,12,0,440,68,42,53,89,98,81,58,12,0,494,5992,3530,3192,4051,4011,3788,2593,815,263,28221,1072,654,581,786,927,1025,911,373,147,6471,14071,8402,6985,9687,10982,11758,9280,4107,1630,76904
LGA10950,12,4,7,4,5,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,392,233,197,214,313,220,240,160,53,2024,3,0,0,0,0,0,0,0,0,3,6,0,3,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,53,63,39,33,20,14,3,0,311,75,35,50,38,44,35,26,20,16,326,550,323,317,296,394,280,284,187,65,2692
LGA11100,185,149,235,186,142,103,73,39,13,1113,12,0,0,3,7,4,0,0,0,25,4502,2789,3555,3721,3447,2705,2304,1528,574,25124,166,105,345,186,92,61,38,8,0,1003,687,458,673,514,335,214,91,36,8,3016,170,76,68,116,112,81,69,36,20,740,0,3,0,0,0,0,0,0,0,0,11,9,24,9,5,11,3,0,0,63,8,7,27,21,19,10,13,3,0,111,20,23,54,29,25,16,17,0,0,176,1552,2136,2612,1591,1119,770,377,217,84,10464,682,611,932,661,518,409,267,171,56,4314,7919,6447,8770,7156,5846,4430,3269,2052,765,46654
LGA11150,14,7,9,4,16,9,8,0,0,67,0,0,0,0,3,0,0,0,0,3,393,191,226,188,270,220,154,73,28,1733,0,0,12,0,0,0,0,0,0,14,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,39,69,40,42,25,17,6,0,336,126,51,65,58,90,70,44,23,13,531,616,286,369,294,401,309,209,110,40,2634
LGA11200,8,7,4,3,7,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,167,82,114,86,177,154,86,37,20,918,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,10,156,77,64,54,59,43,13,3,4,477,50,52,45,19,38,24,10,3,0,232,377,213,231,155,270,216,110,45,21,1651
LGA11250,65,32,28,50,42,30,25,8,0,293,0,0,0,3,3,0,0,3,0,5,1162,774,860,857,1316,1672,1396,898,456,9402,8,0,11,14,0,4,0,0,0,45,12,3,10,9,4,3,3,0,0,40,0,0,5,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,3,3,8,11,4,3,0,0,0,36,6,6,10,11,4,6,0,0,0,45,1471,935,941,749,776,740,433,184,58,6281,270,186,250,213,230,222,209,127,82,1790,2948,1911,2114,1861,2356,2663,2049,1219,593,17708
LGA11300,115,106,140,97,94,60,52,33,9,700,3,3,4,3,0,3,0,0,0,21,2330,1890,1980,1907,2181,1793,1573,1263,713,15626,357,562,1151,374,117,109,68,30,11,2769,117,72,160,75,55,46,31,16,5,579,0,0,7,0,3,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,5,7,27,9,3,3,0,0,0,57,9,24,27,17,15,8,14,3,4,122,22,32,53,26,22,11,10,3,4,183,1459,3021,3221,1254,1269,1104,452,262,97,12135,383,558,654,377,326,263,215,139,93,3004,4802,6559,7860,4385,4337,3615,2484,1798,976,36809
LGA11350,76,29,46,50,50,91,51,24,3,424,0,0,0,5,8,3,0,0,0,18,1172,740,677,1019,1512,1969,1482,781,445,9791,5,5,5,19,14,14,6,3,0,77,10,3,3,11,3,8,0,0,0,42,78,27,14,62,46,36,19,0,3,287,3,0,3,0,3,3,3,0,0,12,8,11,16,3,10,17,4,3,0,65,23,11,24,51,53,56,32,4,0,257,37,17,43,51,60,74,33,10,0,336,3046,1488,1956,2368,2284,2256,1228,275,123,15022,843,480,610,731,810,932,508,195,113,5214,5289,2806,3390,4381,4879,5482,3371,1270,687,31556
LGA11400,89,31,33,46,27,28,16,9,3,291,0,0,0,0,0,0,4,0,0,4,1993,975,798,1105,1402,1329,1208,660,273,9733,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,3,4,3,7,0,5,4,0,0,25,4,4,10,10,0,9,4,0,0,44,673,306,257,290,295,290,191,60,11,2377,217,125,117,138,181,148,148,63,21,1156,2891,1420,1193,1555,1887,1782,1559,792,306,13386
LGA11450,486,247,309,284,222,159,92,37,3,1844,13,10,9,14,15,12,20,14,0,106,12383,6731,7310,8202,7264,5646,3976,1930,786,54231,247,95,191,230,101,65,26,0,5,961,566,193,269,284,135,68,33,6,0,1557,6,3,5,12,6,4,3,0,0,46,3,0,0,0,0,0,0,0,0,5,46,22,52,36,18,13,3,3,0,192,30,25,39,38,25,19,6,0,0,186,81,48,88,75,45,37,5,5,0,382,4125,2353,3008,2211,1550,1013,522,170,69,15026,1128,676,857,750,624,462,370,170,114,5135,18701,10195,11903,11954,9839,7377,4977,2292,980,78218
LGA11500,1163,739,671,601,597,403,200,58,19,4438,40,34,28,40,33,29,19,4,0,234,16808,11943,11238,11117,12183,12909,8974,3621,1186,89979,1702,775,1441,1476,857,481,203,82,15,7033,4075,1730,2140,2117,1282,701,289,85,12,12434,3,7,8,7,12,18,14,3,3,67,13,6,6,0,6,0,0,0,0,40,267,123,302,178,84,55,30,9,3,1045,127,113,142,107,105,70,27,18,3,712,407,245,450,291,195,123,54,24,8,1795,7295,5086,5393,3684,2919,2458,1231,415,113,28583,2887,1806,1998,1692,1509,1359,1052,464,307,13074,33860,22104,23307,21097,19566,18553,12079,4780,1666,157006
LGA11520,204,170,292,201,172,125,90,34,8,1296,3,0,10,4,8,4,12,4,3,48,8378,4663,5962,7143,7007,5619,4782,3144,1598,48294,406,270,1014,470,159,103,82,40,4,2546,312,182,411,239,130,75,48,22,13,1439,39,11,15,30,18,17,35,10,6,189,3,0,0,3,0,0,0,0,0,9,17,14,56,30,9,12,0,0,0,148,33,28,59,75,26,24,17,3,3,278,54,41,117,106,40,40,25,9,3,427,3776,4014,6676,3651,2572,2305,1175,396,173,24737,1147,826,1714,1234,915,758,567,309,186,7654,14289,10293,16685,13340,11236,9267,6867,4023,2020,88015
LGA11570,1520,962,1205,1087,992,810,483,276,114,7448,65,39,36,45,42,48,29,25,15,330,27762,19064,18403,20629,22301,19751,16565,11801,5728,161996,1115,919,2218,1108,488,440,201,72,22,6578,23443,10982,14199,10526,6225,3854,1888,614,156,71894,26,11,27,25,23,25,23,3,10,171,11,5,4,0,4,0,0,0,0,23,207,136,373,146,86,64,29,23,7,1066,160,122,181,155,157,162,80,28,6,1058,370,259,567,307,245,225,110,52,12,2145,9191,8422,9701,6946,7184,6290,2768,1377,629,52516,6330,4044,4970,4013,3701,2965,1943,1203,608,29780,71036,46356,53063,46854,43804,36941,24897,15862,7487,346302
LGA11600,16,10,5,6,4,7,3,0,0,55,0,0,0,0,0,0,0,0,0,0,339,186,191,225,307,292,177,128,50,1898,7,3,7,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,3,0,10,3,0,4,0,0,0,20,134,85,100,57,53,51,12,0,3,498,50,32,49,38,30,32,21,7,7,268,537,311,362,328,397,382,204,135,60,2719
LGA11650,1533,953,884,855,1012,920,545,239,101,7043,47,48,28,42,55,41,47,21,11,355,32665,20954,17423,22642,28078,28850,26907,16761,7497,201779,249,95,286,232,134,81,55,23,8,1158,290,116,176,193,129,66,45,23,0,1030,28,30,27,44,59,54,70,36,10,356,18,13,15,13,13,4,0,0,0,78,58,20,101,42,7,11,7,0,0,243,120,100,121,143,168,145,53,15,5,874,199,130,237,201,188,165,58,17,5,1197,22289,13552,13846,12448,11071,9163,6027,2598,1085,92082,4280,2936,2826,3026,3364,3475,3194,2199,1664,26955,60427,38098,35278,39376,43630,42364,36591,21691,10278,327736
LGA11700,3,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,153,121,116,105,137,168,125,51,10,984,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,104,56,63,46,46,48,42,10,3,414,88,52,78,47,59,49,27,13,6,426,352,227,249,201,249,268,197,73,23,1833
LGA11720,238,106,121,115,119,132,85,27,7,947,6,6,0,3,0,5,0,5,0,29,6128,3861,3731,4209,4653,4977,4030,1953,794,34333,34,8,38,13,19,8,6,0,0,125,9,14,8,6,12,14,3,0,0,68,3,0,0,6,4,3,3,0,0,19,0,3,4,4,3,3,0,0,0,11,10,3,13,3,0,0,0,0,0,32,18,16,28,31,25,27,8,0,0,149,25,20,45,32,29,29,8,0,0,187,4134,2252,2298,1737,1525,1353,836,305,120,14566,990,702,973,792,702,750,616,284,137,5949,11374,6895,7149,6867,6988,7177,5519,2538,1052,55560
LGA11730,197,99,92,121,108,169,92,44,11,939,0,0,3,0,4,8,3,0,0,21,4041,2658,1995,2818,4269,5482,5411,3129,1323,31119,16,3,11,16,9,8,0,0,0,69,11,3,6,8,5,5,6,0,0,43,0,0,3,0,0,5,4,0,0,13,0,5,3,6,4,4,0,0,0,17,11,3,13,8,3,0,3,4,0,50,11,9,20,18,37,26,12,0,0,135,25,13,36,29,44,36,19,3,0,198,3376,1773,1537,1597,1615,1909,1181,453,147,13586,789,540,513,627,716,831,736,398,146,5278,8303,5011,4148,5145,6710,8345,7399,3989,1618,50671
LGA11750,16,3,12,8,5,12,0,0,0,64,3,0,3,0,4,3,4,0,0,14,602,303,415,390,387,442,270,178,68,3054,10,0,4,7,0,0,0,0,0,15,12,4,7,4,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,273,122,178,108,98,75,36,7,5,898,135,78,94,72,88,76,45,20,3,623,1031,511,708,588,586,591,350,212,78,4647
LGA11800,373,255,177,218,251,301,184,72,31,1871,20,8,11,14,9,9,5,3,4,84,6130,3595,3071,4076,5558,6479,5740,3438,1354,39446,53,18,54,57,20,12,11,7,0,228,144,117,63,61,54,14,12,3,0,466,10,3,8,8,7,8,4,0,0,50,13,3,12,3,4,0,5,0,0,35,294,156,350,185,129,116,44,28,15,1311,27,26,32,49,39,41,22,5,4,247,334,189,388,241,177,154,67,32,17,1589,5411,3269,3169,2884,2739,2810,1766,697,261,23006,1162,767,795,761,955,1080,854,598,428,7391,13351,8022,7649,8219,9633,10689,8512,4793,2070,72944
LGA12000,34,7,13,13,11,13,10,7,0,97,0,0,0,0,0,0,3,0,0,3,594,297,216,316,439,410,409,272,79,3035,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,3,0,5,0,0,0,0,0,0,11,191,118,87,73,94,81,43,13,6,713,93,38,43,62,51,61,87,54,33,523,887,462,354,457,594,554,550,344,120,4315
LGA12150,3,7,0,0,10,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,494,281,268,252,416,415,316,180,79,2698,0,0,0,3,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,167,78,92,58,50,44,26,14,6,530,129,54,71,67,92,83,95,41,19,651,797,417,440,378,568,546,439,239,105,3918
LGA12350,60,26,20,29,33,39,29,17,7,268,5,0,0,4,0,0,8,0,0,14,1404,894,661,866,1234,1387,1357,826,371,8995,4,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,0,0,14,3,0,0,3,0,3,0,0,0,10,3,3,3,5,5,0,3,5,0,28,11,3,7,9,7,3,3,5,0,50,526,328,277,246,247,234,168,63,16,2106,215,151,109,131,153,180,145,97,42,1231,2161,1389,1071,1261,1663,1812,1673,996,433,12460
