LGA_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
LGA25810,2949,1596,142,412,5105
LGA25900,23217,17802,4091,5493,50601
LGA25990,1766,869,85,224,2943
LGA26080,746,420,16,117,1296
LGA26170,7428,3147,222,923,11718
LGA26260,4164,2020,142,347,6667
LGA26350,24489,15013,4219,3694,47417
LGA26430,2703,1370,100,357,4530
LGA26490,7703,2160,294,720,10881
LGA26610,4871,2058,262,1035,8234
LGA26670,1574,705,53,177,2502
LGA26700,7377,3311,283,686,11664
LGA26730,8377,3757,505,915,13548
LGA26810,10887,4775,424,1251,17339
LGA26890,1024,536,28,69,1658
LGA26980,41326,13931,3050,2125,60430
LGA27070,51550,10434,1692,2854,66528
LGA27170,10091,3726,446,869,15130
LGA27260,55128,10116,1704,3352,70297
LGA27350,19384,11757,5104,3620,39867
LGA27450,39998,10796,1108,2196,54097
LGA27630,1690,930,61,188,2868
LGA29399,73,64,13,594,746
LGA29499,0,0,0,0,0
LGA29799,0,0,0,0,0
LGA30250,208,46,7,25,284
LGA30300,1079,419,34,242,1778
LGA30370,3596,1231,143,766,5730
LGA30410,726,344,24,310,1402
LGA30450,63,41,5,65,172
LGA30760,500,250,9,102,862
LGA30900,82,50,3,85,218
LGA31000,279271,95700,29186,22491,426648
LGA31750,81,43,3,40,165
LGA31820,24730,9312,1196,3505,38742
LGA31900,4521,1853,165,718,7252
LGA31950,57,35,5,138,231
LGA32080,38534,14570,2689,6477,62267
LGA32250,444,191,23,544,1197
LGA32260,7245,3008,369,2004,12623
LGA32270,6479,2173,255,2145,11051
LGA32310,2822,1207,122,874,5027
LGA32330,229,46,4,9,286
LGA32450,590,290,43,469,1389
LGA32500,843,473,86,930,2326
LGA32600,60,23,3,60,144
LGA32750,59,24,3,85,171
LGA32770,230,28,8,14,282
LGA32810,2733,1218,250,1339,5539
LGA33100,178,135,11,284,603
LGA33200,393,177,12,139,725
LGA33220,27099,10476,1410,4240,43228
LGA33360,15882,4836,662,2526,23905
LGA33430,141486,45955,11234,16970,215645
LGA33610,2655,1034,105,553,4348
LGA33620,12988,5067,621,1971,20647
LGA33800,2924,1266,76,580,4843
LGA33830,180,42,3,32,259
LGA33960,48539,12877,2240,4060,67725
LGA33980,4568,1438,179,1423,7611
LGA34420,197,38,3,18,261
LGA34530,9311,3008,333,1512,14163
LGA34570,113,37,6,61,214
LGA34580,9577,2682,618,1088,13963
LGA34590,75792,17980,3445,5711,102934
LGA34710,878,442,43,555,1920
LGA34770,29853,9561,1253,3458,44125
LGA34800,161,96,8,105,372
LGA34830,59,18,4,13,96
LGA34860,3071,1234,134,711,5149
LGA34880,5158,1989,259,1208,8610
LGA35010,112615,30495,4548,7548,155216
LGA35250,201,49,5,19,281
LGA35300,4298,1504,276,1221,7303
LGA35600,1075,498,39,284,1894
LGA35670,188,47,0,11,250
LGA35740,14423,4954,769,1965,22110
LGA35760,2572,1201,135,810,4726
LGA35780,530,132,9,237,908
LGA35790,405,68,7,15,496
LGA35800,390,230,20,155,799
LGA36070,173,41,3,34,250
LGA36150,201,118,7,60,383
LGA36250,40171,10890,1389,1993,54440
LGA36300,195,89,8,89,388
LGA36370,19890,7472,1006,2342,30719
LGA36510,10591,3093,359,1209,15252
LGA36580,6315,1968,300,780,9360
LGA36630,8368,3460,434,1021,13284
LGA36660,9278,3747,325,937,14293
LGA36720,78641,25485,4464,7832,116419
LGA36820,6468,2671,258,1228,10625
LGA36910,40943,15294,1963,3754,61957
LGA36950,611,224,73,174,1082
LGA36960,782,196,9,100,1090
LGA37010,46667,15686,3245,5675,71282
LGA37300,896,217,33,257,1406
LGA37310,8081,2909,359,1605,12954
LGA37340,7678,3051,522,2604,13860
LGA37400,271,186,9,256,725
LGA37550,188,56,4,15,258
LGA37570,66,10,0,3,82
LGA37600,408,47,5,23,490
LGA39499,0,0,0,0,0
LGA39799,0,0,0,0,0
LGA40070,3696,3559,1420,1326,10004
LGA40120,10908,2626,221,535,14293
LGA40220,7172,2837,210,627,10859
LGA40250,367,114,10,111,610
LGA40310,6504,2258,163,463,9382
LGA40430,679,343,21,96,1141
LGA40520,2780,1292,113,378,4558
LGA40700,11644,4648,482,615,17390
LGA40910,13556,5141,590,566,19852
LGA41010,867,359,23,518,1760
LGA41060,29220,13280,1861,1933,46300
LGA41140,2431,1029,65,277,3805
LGA41190,451,222,14,176,858
LGA41330,351,329,16,229,922
LGA41560,3841,1753,137,477,6210
LGA41750,285,133,3,76,497
LGA41830,429,249,9,93,778
LGA41960,332,139,7,131,613
LGA42030,6161,2653,223,456,9498
LGA42110,1063,540,35,154,1797
LGA42250,2110,564,45,161,2874
LGA42600,9106,5205,565,895,15762
LGA42750,1169,595,49,245,2054
LGA43080,287,121,4,28,446
LGA43220,274,118,3,32,429
LGA43360,636,306,10,70,1019
LGA43650,4007,950,69,221,5243
LGA43710,1444,456,30,184,2115
LGA43790,3115,1279,103,296,4796
LGA43920,2305,648,78,209,3242
LGA44000,14,0,0,0,15
LGA44060,23363,10259,1655,1359,36635
LGA44210,2258,1151,98,344,3848
LGA44340,17304,5696,806,800,24607
LGA44550,9086,2672,257,607,12616
LGA44620,6720,3340,261,560,10889
LGA44830,794,332,16,142,1287
LGA45040,5359,2306,265,469,8401
LGA45090,2182,849,111,160,3301
LGA45120,1220,559,45,150,1975
LGA45290,8753,5138,922,757,15568
LGA45340,45751,15639,1636,2785,65816
LGA45400,229,117,9,51,412
LGA45540,407,325,26,81,836
LGA45680,22277,8243,1134,1974,33622
LGA45890,30207,14191,2225,2193,48811
LGA46090,3307,1580,142,601,5624
LGA46300,3512,1670,182,438,5805
LGA46450,4468,2308,125,442,7344
LGA46510,5115,2161,481,334,8094
LGA46670,2468,1059,93,349,3971
LGA46860,354,185,13,80,634
LGA46970,886,258,39,126,1308
LGA47140,35663,12160,1682,2095,51594
LGA47290,509,229,23,69,836
LGA47490,536,228,10,117,895
LGA47630,1673,665,86,214,2637
LGA47700,27536,8276,753,1004,37567
LGA47800,1434,624,46,151,2260
LGA47910,703,349,21,115,1190
LGA47980,9451,4462,822,655,15395
LGA48050,4127,2034,121,334,6615
LGA48130,1759,768,64,170,2758
LGA48260,1888,914,142,170,3107
LGA48340,3083,1345,79,285,4802
LGA48410,14399,7360,1526,1049,24329
LGA48540,5551,3003,224,628,9400
LGA48640,318,155,7,60,537
LGA48750,1401,662,47,187,2296
LGA48830,2974,1591,79,389,5027
LGA49399,584,470,21,682,1764
LGA49499,0,0,0,0,0
LGA49799,0,0,0,0,0
LGA50080,9379,3688,355,908,14327
LGA50210,21051,5599,809,1591,29048
LGA50250,1386,485,41,855,2763
LGA50280,3678,1179,186,610,5655
LGA50350,3963,1687,239,285,6172
LGA50420,16695,6818,1464,1429,26413
LGA50490,9246,4359,1060,1676,16335
LGA50560,453,204,11,76,748
LGA50630,470,151,11,69,699
LGA50770,460,183,12,56,717
LGA50840,1258,561,46,164,2020
LGA50910,248,121,4,39,412
LGA50980,3571,1290,254,2915,8031
LGA51080,268,81,9,52,412
LGA51120,244,121,3,34,402
LGA51190,8151,3772,469,940,13333
LGA51260,9672,2941,348,1000,13960
LGA51310,6921,2098,319,487,9826
LGA51330,22536,6317,1919,1379,32146
LGA51400,4595,856,125,321,5897
LGA51470,138,78,7,35,259
LGA51540,1194,584,63,1482,3324
LGA51610,380,76,4,84,548
LGA51680,1466,273,32,153,1922
LGA51750,2477,1189,164,360,4178
LGA51820,27661,7560,1275,2209,38701
LGA51890,2270,943,61,247,3519
LGA51960,819,344,34,191,1387
LGA52030,282,147,4,58,491
LGA52100,287,121,17,42,458
LGA52170,1937,735,136,199,3006
LGA52240,285,97,3,37,422
LGA52310,216,89,3,42,350
LGA52380,34,34,3,80,145
LGA52450,335,137,7,60,540
LGA52520,344,136,13,70,565
LGA52590,855,341,35,209,1447
LGA52660,3769,941,112,324,5149
LGA52730,1538,600,53,262,2453
LGA52800,1488,503,50,960,3001
LGA52870,1561,518,54,215,2343
LGA52940,187,78,6,20,290
LGA53010,179,82,5,37,302
LGA53080,148,148,4,206,509
LGA53150,1942,677,97,154,2865
LGA53220,1189,364,30,647,2228
LGA53290,3417,1270,128,756,5572
LGA53360,654,249,42,1128,2075
LGA53430,7170,3668,677,1121,12637
LGA53570,1335,473,67,286,2163
LGA53640,300,110,14,71,490
LGA53710,266,117,8,50,439
LGA53780,29898,7728,1373,1813,40809
LGA53800,9844,3468,400,1299,15008
LGA53920,483,196,15,459,1152
LGA53990,7044,1759,170,677,9655
LGA54060,987,389,29,181,1587
LGA54130,276,109,13,79,474
LGA54170,43282,9250,1272,1821,55631
LGA54200,15528,4059,500,1015,21097
LGA54280,7101,2442,408,1372,11321
LGA54310,4722,1230,219,1404,7576
LGA54340,950,389,61,202,1596
LGA54410,319,124,4,42,494
LGA54480,135,50,0,39,228
LGA54550,521,214,5,63,808
LGA54620,217,91,7,34,346
LGA54690,120,54,3,14,184
LGA54760,206,88,7,31,333
LGA54830,9774,2702,416,928,13822
LGA54900,300,161,14,58,527
LGA54970,116,56,3,64,243
LGA55040,202,111,4,139,452
LGA55110,21835,7795,842,1826,32297
LGA55180,2414,989,73,368,3847
LGA55250,132,78,11,95,316
LGA55320,26304,8427,1119,1534,37377
LGA55390,45,36,3,42,119
LGA55460,822,354,40,146,1363
LGA55530,127,52,3,75,254
LGA55600,604,253,23,125,998
LGA55670,173,87,3,40,303
LGA55740,2142,1041,122,255,3566
LGA55810,88,53,9,107,254
LGA55880,139,52,6,36,235
LGA55950,153,52,0,18,222
LGA56090,10069,2525,248,625,13471
LGA56160,25,16,0,25,59
LGA56230,4510,1361,128,552,6552
LGA56300,353,148,19,72,590
LGA56370,215,79,4,30,328
LGA56460,1231,553,44,199,2018
LGA56580,5475,1403,263,291,7428
LGA56620,292,64,4,118,481
LGA56730,2666,1108,101,383,4257
LGA56790,873,392,26,684,1977
LGA56860,66,27,0,9,102
LGA56930,386,107,18,43,554
LGA57000,114,55,3,33,206
LGA57080,4349,3523,893,2117,10884
LGA57140,299,137,12,52,499
LGA57210,1330,506,31,187,2057
LGA57280,3120,964,156,1244,5481
LGA57350,249,138,8,64,457
LGA57420,405,204,6,106,723
LGA57490,32652,8721,1111,2741,45225
LGA57630,19,14,4,15,51
LGA57700,7127,1098,165,457,8849
LGA57770,221,153,20,546,933
LGA57840,10377,4951,1019,1254,17600
LGA57910,53820,23645,3954,4997,86417
LGA57980,4490,2723,632,666,8512
LGA58050,34718,8499,1282,2645,47146
LGA58190,88,38,7,23,153
LGA58260,151,67,0,23,236
LGA58330,1248,453,40,181,1920
LGA58400,83,52,3,33,166
LGA58470,46,16,3,58,123
LGA58510,8120,4277,1182,1154,14734
LGA58540,231,101,8,27,372
LGA58570,7889,4181,1322,1252,14645
LGA58610,471,235,17,84,806
LGA58680,129,38,0,24,192
LGA58760,49484,10364,1632,3214,64697
LGA58820,1056,370,26,148,1604
LGA58890,215,103,9,37,370
LGA59030,62,16,0,22,106
LGA59100,186,85,9,26,297
LGA59170,265,80,8,27,381
LGA59250,62,33,3,76,171
LGA59310,358,171,21,34,586
LGA59320,108,42,3,13,164
LGA59330,111,89,6,38,253
LGA59340,1495,579,116,1338,3520
LGA59350,32,25,0,27,84
LGA59360,267,143,11,73,485
LGA59370,943,417,32,165,1553
LGA59499,0,0,0,0,0
LGA59799,0,0,0,0,0
LGA60210,1608,921,65,227,2816
LGA60410,4400,1293,142,347,6187
LGA60610,4982,2370,184,413,7952
LGA60810,5850,2437,155,419,8859
LGA61010,544,315,39,102,1000
LGA61210,2042,819,63,225,3147
LGA61410,14791,5764,501,863,21914
LGA61510,2663,1068,79,243,4051
LGA61610,6409,3189,285,528,10411
LGA61810,1736,867,56,179,2834
LGA62010,243,140,13,51,446
LGA62210,1767,778,57,247,2842
LGA62410,1158,584,57,216,2010
LGA62610,11617,6230,659,1053,19559
LGA62810,11877,6413,1588,1362,21235
LGA63010,4381,1680,164,419,6644
LGA63210,1669,547,49,145,2405
LGA63410,384,245,27,36,688
LGA63610,9835,3169,307,601,13914
LGA63810,2964,1050,97,252,4356
LGA64010,16074,8222,1123,1750,27173
LGA64210,5165,2072,135,433,7807
LGA64610,3424,1403,104,348,5282
LGA64810,3849,1526,131,337,5850
LGA65010,1633,580,43,132,2387
LGA65210,613,325,25,116,1076
LGA65410,3670,1616,97,309,5687
LGA65610,1047,658,58,226,1988
LGA65810,6200,2241,183,463,9087
LGA69499,0,0,0,0,0
LGA69799,0,0,0,0,0
LGA70200,5468,2156,441,1769,9830
LGA70420,1094,408,57,585,2146
LGA70540,32,7,0,0,34
LGA70620,583,110,11,153,854
LGA70700,263,154,21,296,739
LGA71000,18119,5933,1850,3965,29877
LGA71300,1168,131,12,140,1447
LGA72200,1891,626,100,1166,3783
LGA72300,4863,1103,234,1626,7826
LGA72330,782,201,17,593,1593
LGA72800,8458,1837,482,1052,11835
LGA73600,914,224,11,872,2031
LGA74050,501,79,13,31,616
LGA74550,407,182,17,349,951
LGA74560,129,51,3,14,201
LGA74660,900,201,17,535,1656
LGA74680,400,39,7,92,546
LGA79399,1416,800,131,935,3279
LGA79499,0,0,0,0,0
LGA79799,0,0,0,0,0
LGA89399,100308,35413,6938,8032,150693
LGA89499,0,0,0,0,0
LGA89799,0,0,0,0,0
LGA99399,980,369,20,198,1556
LGA99499,0,0,0,0,0
LGA99799,0,0,0,0,0
