LGA_CODE_2016,C06_Aus_BP_B_OS,C06_Aus_Fa_O_B_OS,C06_Aus_Mo_O_B_OS,C06_Aus_BP_B_Aus,C06_Aus_Bplace_NS,C06_Aus_Tot_resp,C06_Aus_Ab_BP_B_OS,C06_Aus_Ab_Fa_O_B_OS,C06_Aus_Ab_Mo_O_B_OS,C06_Aus_Ab_BP_B_Aus,C06_Aus_Abor_Bplace_NS,C06_Aus_Abor_Tot_respons,C06_Chi_BP_B_OS,C06_Chi_Fa_O_B_OS,C06_Chi_Mo_O_B_OS,C06_Chi_BP_B_Aus,C06_Chi_Bplace_NS,C06_Chi_Tot_resp,C06_Cro_BP_B_OS,C06_Cro_Fa_O_B_OS,C06_Cro_Mo_O_B_OS,C06_Cro_BP_B_Aus,C06_Cro_Bplace_NS,C06_Cro_Tot_resp,C06_Dut_BP_B_OS,C06_Dut_Fa_O_B_OS,C06_Dut_Mo_O_B_OS,C06_Dut_BP_B_Aus,C06_Dut_Bplace_NS,C06_Dut_Tot_resp,C06_Eng_BP_B_OS,C06_Eng_Fa_O_B_OS,C06_Eng_Mo_O_B_OS,C06_Eng_BP_B_Aus,C06_Eng_Bplace_NS,C06_Eng_Tot_resp,C06_Fil_BP_B_OS,C06_Fil_Fa_O_B_OS,C06_Fil_Mo_O_B_OS,C06_Fil_BP_B_Aus,C06_Fil_Bplace_NS,C06_Fil_Tot_resp,C06_Fre_BP_B_OS,C06_Fre_Fa_O_B_OS,C06_Fre_Mo_O_B_OS,C06_Fre_BP_B_Aus,C06_Fre_Bplace_NS,C06_Fre_Tot_resp,C06_Ger_BP_B_OS,C06_Ger_Fa_O_B_OS,C06_Ger_Mo_O_B_OS,C06_Ger_BP_B_Aus,C06_Ger_Bplace_NS,C06_Ger_Tot_resp,C06_Gre_BP_B_OS,C06_Gre_Fa_O_B_OS,C06_Gre_Mo_O_B_OS,C06_Gre_BP_B_Aus,C06_Gre_Bplace_NS,C06_Gre_Tot_resp,C06_Hun_BP_B_OS,C06_Hun_Fa_O_B_OS,C06_Hun_Mo_O_B_OS,C06_Hun_BP_B_Aus,C06_Hun_Bplace_NS,C06_Hun_Tot_resp,C06_Ind_BP_B_OS,C06_Ind_Fa_O_B_OS,C06_Ind_Mo_O_B_OS,C06_Ind_BP_B_Aus,C06_Ind_Bplace_NS,C06_Ind_Tot_resp,C06_Iri_BP_B_OS,C06_Iri_Fa_O_B_OS,C06_Iri_Mo_O_B_OS,C06_Iri_BP_B_Aus,C06_Iri_Bplace_NS,C06_Iri_Tot_resp,C06_Ita_BP_B_OS,C06_Ita_Fa_O_B_OS,C06_Ita_Mo_O_B_OS,C06_Ita_BP_B_Aus,C06_Ita_Bplace_NS,C06_Ita_Tot_resp,C06_Kor_BP_B_OS,C06_Kor_Fa_O_B_OS,C06_Kor_Mo_O_B_OS,C06_Kor_BP_B_Aus,C06_Kor_Bplace_NS,C06_Kor_Tot_resp,C06_Leb_BP_B_OS,C06_Leb_Fa_O_B_OS,C06_Leb_Mo_O_B_OS,C06_Leb_BP_B_Aus,C06_Leb_Bplace_NS,C06_Leb_Tot_resp,C06_Mac_BP_B_OS,C06_Mac_Fa_O_B_OS,C06_Mac_Mo_O_B_OS,C06_Mac_BP_B_Aus,C06_Mac_Bplace_NS,C06_Mac_Tot_resp,C06_Mal_BP_B_OS,C06_Mal_Fa_O_B_OS,C06_Mal_Mo_O_B_OS,C06_Mal_BP_B_Aus,C06_Mal_Bplace_NS,C06_Mal_Tot_resp,C06_Mao_BP_B_OS,C06_Mao_Fa_O_B_OS,C06_Mao_Mo_O_B_OS,C06_Mao_BP_B_Aus,C06_Mao_Bplace_NS,C06_Mao_Tot_resp,C06_NZ_BP_B_OS,C06_NZ_Fa_O_B_OS,C06_NZ_Mo_O_B_OS,C06_NZ_BP_B_Aus,C06_NZ_Bplace_NS,C06_NZ_Tot_resp,C06_Pol_BP_B_OS,C06_Pol_Fa_O_B_OS,C06_Pol_Mo_O_B_OS,C06_Pol_BP_B_Aus,C06_Pol_Bplace_NS,C06_Pol_Tot_resp,C06_Rus_BP_B_OS,C06_Rus_Fa_O_B_OS,C06_Rus_Mo_O_B_OS,C06_Rus_BP_B_Aus,C06_Rus_Birthplac_ns,C06_Rus_Tot_resp,C06_Sco_BP_B_OS,C06_Sco_Fa_O_B_OS,C06_Sco_Mo_O_B_OS,C06_Sco_BP_B_Aus,C06_Sco_Birthplac_ns,C06_Sco_Tot_resp,C06_Ser_BP_B_OS,C06_Ser_Fa_O_B_OS,C06_Ser_Mo_O_B_OS,C06_Ser_BP_B_Aus,C06_Ser_Bplace_NS,C06_Ser_Tot_resp,C06_SAf_BP_B_OS,C06_SAf_Fa_O_B_OS,C06_SAf_Mo_O_B_OS,C06_SAf_BP_B_Aus,C06_SAf_Bplace_NS,C06_SAf_Tot_resp,C06_Span_BP_B_OS,C06_Span_Fa_O_B_OS,C06_Span_Mo_O_B_OS,C06_Span_BP_B_Aus,C06_Span_Bplace_NS,C06_Span_Tot_resp,C06_Sinha_BP_B_OS,C06_Sinha_Fa_O_B_OS,C06_Sinha_Mo_O_B_OS,C06_Sinha_BP_B_Aus,C06_Sinha_Bplace_NS,C06_Sinha_Tot_resp,C06_Turk_BP_B_OS,C06_Turk_Fa_O_B_OS,C06_Turk_Mo_O_B_OS,C06_Turk_BP_B_Aus,C06_Turk_Bplace_NS,C06_Turk_Tot_resp,C06_Viet_BP_B_OS,C06_Viet_Fa_O_B_OS,C06_Viet_Mo_O_B_OS,C06_Viet_BP_B_Aus,C06_Viet_Bplace_NS,C06_Viet_Tot_resp,C06_Wel_BP_B_OS,C06_Wel_Fa_O_B_OS,C06_Wel_Mo_O_B_OS,C06_Wel_BP_B_Aus,C06_Wel_Bplace_NS,C06_Wel_Tot_resp,C06_Oth_BP_B_OS,C06_Oth_Fa_O_B_OS,C06_Oth_Mo_O_B_OS,C06_Oth_BP_B_Aus,C06_Oth_Bplace_NS,C06_Oth_Tot_resp,C06_Anc_ns_BP_B_OS,C06_Anc_ns_Fa_O_B_OS,C06_Anc_ns_Mo_O_B_OS,C06_Anc_ns_BP_B_Aus,C06_Anc_ns_Bplace_NS,C06_Anc_NS_T_resp,C06_T_P_BP_B_OS,C06_T_P_Fa_only_bor_os,C06_T_P_Mo_O_B_OS,C06_T_P_BP_B_Aus,C06_T_P_Bplace_NS,C06_T_P_Tot_resp,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS
LGA21270,8,129,94,3026,74,3340,0,3,0,3,0,9,6,0,0,11,0,22,6,0,0,0,0,7,31,5,5,12,8,56,143,110,92,1979,63,2392,7,0,7,0,0,18,0,0,3,11,0,12,21,8,7,181,5,221,3,0,0,0,0,4,3,0,0,0,0,4,0,3,0,3,0,4,26,16,24,963,27,1060,18,11,3,38,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,12,4,0,0,0,0,3,10,3,0,3,0,19,8,0,0,4,0,10,3,0,0,0,0,3,52,39,26,682,12,812,4,3,0,0,0,7,3,0,0,0,0,7,0,0,0,3,0,5,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,17,0,29,30,9,5,36,3,79,10,10,14,230,179,445,354,221,181,5756,339,6850,12,97
LGA21370,67,795,647,16046,397,17949,0,0,0,76,8,85,44,0,0,93,8,144,21,7,0,6,0,36,211,76,57,161,11,517,1170,746,617,10729,322,13582,62,0,32,7,4,98,20,4,0,83,0,112,179,70,52,1019,15,1335,41,15,9,29,3,99,30,3,3,18,0,52,8,5,0,3,0,20,216,146,117,3499,78,4059,410,94,37,625,19,1185,0,0,0,0,0,0,8,5,0,6,0,19,12,0,0,8,0,22,28,9,12,26,4,73,34,8,7,3,3,57,75,21,24,17,11,143,44,11,5,26,4,88,15,0,0,5,0,26,290,198,153,2667,62,3369,11,0,0,0,0,21,16,0,0,4,0,21,25,4,0,23,0,53,11,7,0,3,0,27,10,4,0,4,0,18,0,0,0,0,0,0,32,11,12,86,3,145,225,69,56,274,10,633,75,37,31,1009,1181,2339,2910,1476,1145,28714,1963,36209,78,751
LGA21450,263,2641,1888,20402,527,25722,0,3,0,10,0,13,133,14,14,88,10,253,215,39,3,28,5,286,1292,384,225,677,52,2629,4798,2049,1670,12157,507,21176,132,7,31,0,0,174,106,30,7,119,13,272,726,260,167,1035,44,2232,166,50,26,131,14,389,161,28,11,40,3,245,155,25,16,5,0,203,750,442,272,3733,106,5304,846,327,129,819,48,2171,3,0,0,0,0,3,38,3,3,12,3,67,24,9,0,12,3,46,167,62,33,99,10,379,133,20,10,10,13,180,205,102,71,23,9,412,219,50,25,75,3,379,52,10,4,25,0,91,1048,493,350,2958,88,4938,150,47,13,28,3,239,83,16,24,6,3,132,73,18,4,34,5,132,143,27,18,4,7,204,21,8,4,0,4,32,15,8,3,0,5,32,149,42,23,112,5,323,1259,318,204,347,57,2186,254,112,57,1154,2307,3887,11612,4630,3224,34101,3551,57116,414,3130
LGA21610,2514,7759,5366,50600,1827,68063,12,10,11,126,3,163,4907,100,105,174,174,5471,1906,215,70,133,55,2375,3585,858,523,1284,145,6399,16740,5851,4280,29156,1758,57790,2502,47,173,29,126,2874,1321,98,67,266,59,1812,2521,675,393,2744,155,6494,2088,384,164,670,83,3380,1625,117,70,145,39,1996,6132,142,111,58,137,6575,2930,1129,711,8573,358,13697,4556,1246,514,2593,250,9164,57,0,4,0,3,69,962,118,23,67,34,1203,406,41,17,35,12,514,996,284,134,378,35,1828,1255,93,97,27,72,1542,947,270,199,86,40,1540,1986,144,102,171,49,2455,657,76,45,75,29,880,3933,1328,956,6953,294,13461,2582,151,83,75,68,2959,1056,106,101,20,18,1298,1150,70,61,129,40,1455,5260,171,86,82,133,5733,1282,90,33,25,42,1474,1098,24,11,11,61,1209,471,95,53,303,16,940,22563,1422,789,1223,973,26969,3985,495,337,2923,9216,16963,91306,14591,9650,84399,15007,214962,2915,8090
LGA21670,13,259,218,5404,169,6058,0,0,0,8,0,8,9,3,0,59,3,75,3,4,0,0,0,7,109,20,15,53,4,206,607,251,207,3569,194,4832,12,0,5,0,0,19,3,0,0,23,0,27,75,26,13,246,8,363,26,5,8,13,0,49,20,0,3,0,0,21,5,5,0,0,0,10,104,48,30,954,23,1158,46,25,10,212,8,314,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,9,14,8,0,7,0,31,6,4,0,0,0,15,13,4,9,4,3,34,18,0,0,6,0,26,7,0,0,3,0,14,118,66,33,965,24,1207,10,3,0,0,0,12,4,0,0,7,0,11,3,0,0,3,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,28,0,62,107,20,15,69,10,217,30,28,12,347,309,723,1209,503,365,9535,705,12324,25,260
LGA21750,47,508,353,8545,252,9700,0,0,0,10,0,17,43,3,4,15,5,65,16,0,3,4,4,28,150,57,30,108,13,351,762,385,323,5749,208,7434,14,0,6,0,0,20,14,8,4,54,0,76,121,26,28,429,12,617,35,7,0,18,4,72,33,4,3,10,0,46,7,0,3,5,0,17,112,102,75,2412,85,2789,164,48,8,232,11,453,3,0,0,0,0,3,5,0,0,3,0,9,3,0,0,0,0,7,26,20,3,15,0,60,35,6,9,5,0,63,40,34,11,10,0,91,48,3,0,18,0,70,11,0,0,3,0,18,201,156,84,1489,47,1969,17,4,0,4,3,29,16,7,3,0,0,26,5,0,0,8,0,13,3,0,0,0,0,7,0,0,0,0,0,0,29,0,0,0,3,28,24,11,4,49,0,90,219,36,32,144,14,439,42,12,22,517,752,1350,1890,871,609,15651,1271,20296,61,459
LGA21830,33,399,252,7341,201,8219,0,0,0,3,0,6,9,0,0,15,0,25,7,0,3,3,0,15,246,65,27,130,7,480,583,333,218,4524,124,5789,28,0,18,0,0,44,4,3,3,25,0,44,83,27,19,286,6,414,18,8,3,14,0,37,9,3,0,0,0,10,10,3,0,3,0,15,101,94,40,1927,56,2216,42,15,0,80,0,140,3,0,0,0,0,3,3,0,0,7,0,13,0,0,0,0,0,0,7,4,0,4,0,16,23,0,0,4,0,31,85,16,9,3,0,110,6,5,0,7,0,21,7,0,3,3,0,16,148,122,67,1370,34,1742,15,0,0,0,0,21,3,0,0,4,0,7,0,0,0,7,0,8,3,3,3,0,0,11,3,0,0,0,0,3,0,0,0,0,0,3,16,10,9,32,0,61,89,23,25,76,16,230,24,18,9,600,523,1171,1358,727,435,13223,877,16619,37,336
LGA21890,1100,3514,2003,21989,868,29483,9,22,0,228,12,271,5530,83,73,191,125,6004,836,74,17,83,22,1027,463,232,142,244,21,1105,4582,2510,1538,14594,796,24022,707,15,76,4,26,828,252,64,33,175,10,524,749,275,182,1496,56,2758,9600,826,345,1484,306,12557,228,43,26,58,6,358,2752,59,39,15,59,2919,1326,894,445,7799,275,10742,14259,1670,596,3279,493,20298,116,0,3,3,0,127,2434,220,120,147,112,3029,2635,197,63,192,76,3167,872,183,93,230,40,1413,232,28,21,23,13,318,364,113,99,26,9,610,462,92,59,134,12,765,172,22,31,62,0,294,1202,597,405,4144,134,6478,644,49,21,24,17,764,104,14,30,18,3,167,427,52,22,86,26,604,741,47,15,13,19,835,393,29,24,17,4,469,2106,21,26,22,90,2269,129,66,37,221,7,454,7927,712,437,837,268,10180,2085,214,160,1370,8138,11958,60129,8285,4483,43820,11349,128063,1034,3758
LGA22110,129,1194,855,15688,486,18352,0,4,3,121,15,145,114,5,11,91,6,230,23,0,0,3,0,34,467,126,84,229,15,928,2376,1158,825,11235,383,15975,76,4,16,3,4,102,29,6,4,82,0,126,421,93,77,1053,20,1669,70,37,6,48,0,159,34,9,0,14,0,54,47,8,4,20,3,90,339,211,126,3146,80,3905,446,123,33,550,21,1175,8,0,0,0,0,8,6,3,0,11,0,20,4,3,0,4,0,11,96,18,7,35,4,155,30,13,18,8,0,70,65,37,24,25,8,155,87,20,10,37,3,155,15,5,0,9,0,41,534,288,192,2695,70,3774,30,11,0,6,0,50,36,3,0,6,0,50,16,9,6,29,0,64,17,12,0,0,0,26,9,5,3,0,0,15,20,0,0,0,0,21,79,31,19,99,3,227,454,144,90,282,27,997,116,50,38,1016,1569,2791,5301,2252,1518,28467,2501,40038,115,1230
LGA22170,846,5269,3833,34959,1281,46192,9,6,0,56,4,78,803,48,50,152,52,1105,417,37,37,51,3,546,1642,424,276,577,62,2983,12539,4495,3504,21774,1240,43566,612,15,107,3,31,768,296,43,25,257,11,634,1516,450,248,1934,112,4251,972,169,68,369,35,1621,358,64,33,78,23,550,904,36,49,17,29,1032,2142,854,569,6861,244,10672,1577,542,207,1221,89,3640,47,0,3,0,0,47,219,33,21,17,18,306,55,9,0,5,0,69,323,97,61,141,21,644,720,71,57,14,56,921,639,196,130,50,28,1047,619,97,48,140,13,920,296,24,19,44,5,395,3151,1068,801,5260,255,10534,383,61,19,35,13,518,326,43,24,18,7,419,322,24,20,96,16,473,468,77,37,32,16,628,114,22,3,17,7,160,81,8,4,4,3,98,436,111,64,243,8,865,4497,750,462,795,179,6685,875,261,191,2000,6679,10013,32415,9377,6689,59563,9756,117803,802,5467
LGA22250,20,261,173,5268,85,5816,0,0,0,26,0,30,12,3,0,15,0,26,3,0,0,0,5,13,61,16,10,32,5,125,282,223,164,3435,100,4205,8,0,3,0,0,16,3,3,0,19,3,26,46,21,14,315,12,410,14,3,0,13,0,27,6,0,0,0,0,9,3,0,0,0,0,8,31,40,19,1002,26,1124,49,23,3,109,3,194,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,16,7,0,15,7,37,10,0,0,3,0,14,12,15,10,0,0,35,13,0,0,0,0,15,3,0,0,0,0,10,56,70,33,796,11,963,8,0,0,0,0,10,28,0,0,0,0,33,6,0,0,13,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,29,63,25,11,54,3,161,20,11,4,373,390,803,708,461,289,9238,598,11295,20,197
LGA22310,1076,4899,3341,24923,734,34970,8,5,3,19,0,36,5379,110,137,129,84,5839,373,67,36,47,7,528,768,238,123,266,32,1432,6890,2970,2038,15083,554,27532,446,14,63,0,10,524,519,88,56,207,14,882,1848,465,261,1604,66,4236,5057,533,204,1139,146,7081,1258,146,52,144,22,1625,2780,68,51,25,35,2956,1478,763,502,7517,175,10439,2963,628,262,1533,100,5487,460,3,3,7,4,476,312,41,20,54,11,436,93,15,3,10,4,127,261,63,39,55,9,426,180,18,10,7,11,223,501,162,118,29,20,826,4706,611,327,610,58,6305,3760,197,137,196,75,4360,1599,675,487,4431,106,7307,461,28,13,20,12,542,1982,108,60,11,28,2196,258,33,16,56,18,381,954,57,57,36,12,1122,159,21,13,4,4,195,385,5,4,0,11,415,162,71,35,202,11,478,12504,1464,994,1397,275,16633,1495,201,256,1251,7496,10698,53694,9183,6037,45537,9634,124083,1193,4914
LGA22410,44,482,378,8451,178,9529,0,4,3,50,0,55,33,3,3,41,0,80,12,0,0,3,0,17,213,54,39,95,3,402,764,395,309,5692,165,7323,51,0,19,0,3,74,19,3,6,21,0,45,108,52,25,813,29,1028,11,8,4,15,0,38,15,0,0,3,0,18,27,3,0,5,0,36,107,78,53,1667,38,1934,72,37,13,136,6,262,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,45,12,9,34,0,91,29,4,5,0,0,43,51,31,7,7,0,101,25,8,0,17,3,51,10,0,0,8,4,20,211,145,83,1576,39,2051,14,4,0,4,0,22,15,0,0,0,0,21,20,4,3,6,0,40,3,3,0,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,32,6,3,38,3,83,184,50,36,104,8,378,37,22,19,560,755,1395,1822,856,630,15325,1121,19760,35,460
LGA22490,51,589,417,6611,147,7813,0,0,0,0,0,5,4,0,0,30,0,38,62,13,8,14,0,104,253,95,57,142,9,555,975,464,384,4051,131,6004,11,3,0,0,0,17,15,0,10,33,0,60,212,64,48,350,11,679,26,11,11,9,0,58,43,12,3,6,0,64,4,4,0,0,0,14,173,120,59,1492,39,1882,125,50,10,212,10,413,0,0,0,0,0,0,0,0,0,0,0,7,19,4,4,0,0,28,53,18,8,22,3,103,3,0,0,3,0,9,62,15,9,5,0,85,41,19,7,18,6,93,22,4,0,5,0,29,233,121,85,1351,34,1817,55,11,3,5,0,77,4,7,0,0,0,14,23,3,0,9,0,40,0,0,0,0,0,3,4,0,0,0,0,3,7,0,0,0,0,7,28,10,6,45,7,87,227,60,40,141,10,486,52,24,17,340,527,965,2353,1062,710,11478,854,16453,67,632
LGA22620,161,2501,1518,40150,1018,45344,0,4,0,94,3,106,293,42,38,358,16,750,81,18,10,38,0,148,505,221,123,418,17,1289,2793,2184,1416,27771,1009,35166,173,3,39,15,10,239,63,17,11,216,7,316,471,246,141,2933,92,3870,160,67,20,126,9,375,60,22,3,29,5,124,139,27,12,9,4,185,537,489,271,10051,265,11610,401,228,79,1602,63,2369,12,0,0,0,0,20,12,6,0,12,0,37,13,0,4,0,0,18,109,53,24,79,3,267,85,16,14,22,9,147,164,109,48,48,4,373,126,40,13,104,3,280,39,17,3,28,0,85,714,454,329,6884,167,8550,70,19,10,34,0,141,69,28,8,6,3,114,35,16,11,116,0,179,96,13,15,11,0,135,18,4,0,0,0,23,30,0,3,0,0,39,91,58,23,259,7,437,895,275,168,683,50,2076,143,107,58,2530,3451,6287,7197,4428,2674,73298,5663,93254,189,2379
LGA22670,1845,2010,1388,12442,677,18354,17,3,4,46,3,71,11302,45,96,95,354,11893,1217,66,14,27,30,1359,1192,143,92,182,44,1659,6150,1483,986,7785,643,17042,1241,5,84,6,48,1390,756,18,16,60,20,869,1189,175,99,628,57,2149,3492,303,117,391,117,4413,844,34,20,38,13,945,3971,38,43,18,92,4166,1064,316,210,2761,104,4453,3915,464,186,751,160,5481,68,0,0,0,0,68,975,85,19,35,59,1173,473,32,16,12,20,542,572,72,41,81,21,782,567,50,23,10,35,685,326,54,31,17,21,451,1419,50,34,40,35,1567,684,14,11,20,14,743,1306,313,229,1827,71,3748,3013,80,34,27,61,3219,298,27,24,8,4,356,744,9,16,33,49,846,3415,53,22,11,101,3595,1554,83,29,16,56,1740,10234,67,68,69,378,10814,115,18,16,63,0,216,23302,539,381,413,935,25567,4861,156,139,765,7387,13312,84758,4419,2918,22321,11104,125518,2048,1688
LGA22750,898,7202,4780,67675,1903,82453,12,6,4,162,12,193,1206,64,78,276,40,1664,2756,334,123,403,69,3680,2995,909,516,1375,105,5904,11639,5712,4006,43113,1663,66137,685,19,118,10,25,856,220,58,18,344,21,664,2598,689,391,4527,162,8370,946,211,53,408,47,1667,657,94,49,174,15,990,531,56,26,30,25,658,2220,1298,776,16134,430,20863,3996,975,339,2803,150,8269,66,0,0,8,0,80,163,35,20,70,10,306,1166,115,23,109,44,1457,593,168,63,246,17,1083,243,66,43,24,21,403,487,229,133,74,20,951,1467,222,112,420,36,2256,360,51,26,104,26,560,3151,1616,1073,12105,284,18232,1348,100,67,107,23,1651,281,50,41,32,7,405,494,102,79,158,9,846,190,23,12,28,0,255,309,50,6,13,15,395,338,6,11,14,14,385,479,142,108,463,17,1210,5349,985,554,1535,210,8632,1088,296,216,3976,7707,13278,42781,13463,8520,120599,12115,197477,859,7109
LGA22830,332,1362,825,21044,574,24135,0,7,3,226,21,255,158,19,9,99,6,296,54,22,13,26,4,114,392,157,79,296,16,949,1605,1159,772,14745,526,18810,168,0,54,11,7,242,28,12,9,104,3,153,236,106,70,1311,26,1746,364,59,17,176,10,630,48,12,4,10,0,77,246,17,4,18,8,286,327,231,152,5224,129,6072,2291,437,164,1701,129,4723,10,0,0,0,0,12,15,9,0,4,0,21,164,16,3,73,3,259,34,25,10,39,3,115,83,26,19,10,10,147,117,50,33,18,5,235,80,20,6,47,6,161,30,6,3,13,3,52,442,309,173,3649,95,4670,68,10,0,13,3,96,46,0,8,10,0,67,42,10,4,50,6,108,50,5,4,0,0,53,556,30,20,8,16,638,9,0,0,0,5,13,32,24,8,113,3,173,1884,186,127,539,92,2825,347,77,68,1514,2565,4562,9210,2797,1689,39440,3955,57090,331,1309
LGA22910,41,444,284,4937,180,5876,0,0,0,7,0,11,17,10,13,23,0,58,52,5,5,3,0,67,214,57,33,87,14,405,820,387,267,3449,121,5041,12,0,8,0,0,17,25,3,0,31,6,61,165,45,22,392,9,640,46,12,10,16,4,92,40,8,3,8,0,53,11,8,0,3,0,22,154,128,63,1552,39,1928,95,41,16,298,9,461,0,0,0,0,0,0,3,0,0,6,0,16,8,0,3,3,0,15,55,13,6,18,0,92,11,3,3,4,0,22,37,20,14,8,5,81,54,10,6,15,0,88,35,3,3,6,0,49,206,92,60,1025,18,1403,46,7,0,3,3,63,12,0,0,0,0,18,5,3,0,8,0,23,5,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,24,9,4,58,0,95,223,48,42,132,12,458,39,14,14,356,648,1066,2043,807,539,9352,986,13732,48,449
LGA22980,3,99,80,2585,74,2841,0,0,0,6,0,6,3,0,0,5,0,11,0,0,0,0,0,0,27,7,3,11,0,57,169,103,69,1774,55,2175,16,0,3,0,0,27,5,0,4,11,3,28,41,17,21,850,10,939,15,3,0,3,0,26,9,0,0,0,0,9,3,0,0,0,0,3,12,14,13,381,10,433,10,3,0,32,0,54,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,0,3,6,5,5,0,0,16,0,0,0,6,0,6,0,0,0,0,0,0,36,17,9,408,8,480,5,3,0,4,0,15,17,3,0,0,0,19,3,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,15,58,4,17,37,0,125,11,9,0,180,148,351,405,208,141,5006,279,6040,6,106
LGA23110,807,2729,1818,17615,619,23584,3,8,3,41,8,58,1845,51,62,64,55,2079,1104,93,55,146,27,1426,487,159,84,181,16,928,5101,1908,1404,10393,560,19360,1216,6,71,11,50,1360,193,35,18,116,9,362,881,182,107,1012,42,2229,2528,296,110,531,103,3567,203,34,25,39,7,313,813,32,35,9,13,905,1224,533,267,4380,130,6534,3683,567,220,1126,179,5777,23,0,0,0,0,31,1863,250,60,88,106,2365,1256,103,18,65,54,1503,2798,320,157,591,95,3959,592,53,34,19,42,739,343,100,73,20,8,545,834,71,37,126,13,1085,171,19,11,42,0,250,1519,521,388,2892,94,5418,963,83,34,39,25,1148,115,25,17,8,3,166,241,19,11,41,14,322,165,22,14,3,5,206,129,14,0,6,0,152,1426,10,20,15,43,1508,169,62,30,130,5,396,5083,476,336,520,211,6625,1275,152,135,1020,4030,6615,34851,5620,3503,31366,6118,81462,770,2627
LGA23190,19,334,229,8121,169,8868,0,0,0,29,0,34,31,3,0,20,0,53,8,3,0,0,0,7,99,49,30,99,11,284,392,310,216,5589,157,6659,19,0,3,0,0,18,4,4,3,57,0,65,80,58,30,1683,32,1889,30,10,0,16,0,57,10,0,0,6,0,18,44,0,0,0,0,43,59,53,41,1579,23,1759,158,44,14,287,11,511,0,0,0,0,0,0,8,0,0,8,0,16,0,0,0,0,0,0,9,3,0,9,0,24,6,4,0,3,0,16,23,12,3,3,0,42,16,3,3,24,0,48,4,3,0,4,0,10,82,87,46,1513,24,1745,10,0,0,3,0,14,15,3,0,3,0,15,0,0,0,7,0,8,9,3,0,4,0,16,5,0,0,0,0,6,5,0,0,0,0,5,9,14,0,49,5,80,157,32,21,119,18,342,22,19,10,559,518,1123,1155,636,408,15408,884,18497,24,317
LGA23270,2168,3831,2393,29639,969,39003,24,4,3,84,3,120,1384,34,35,113,44,1616,1369,135,53,122,51,1727,627,185,125,290,16,1234,6482,2550,1728,17449,862,29072,1891,24,128,16,82,2138,216,36,25,119,13,407,1078,303,178,1551,66,3176,2887,431,179,645,133,4282,320,45,25,56,8,447,2087,76,39,37,47,2282,1354,665,354,6576,175,9127,8690,1712,669,3582,375,15029,18,0,0,3,0,22,4178,543,161,162,252,5300,661,75,29,97,25,882,2972,547,317,859,125,4815,401,30,43,18,37,524,309,125,81,28,11,556,819,105,49,159,37,1165,156,19,20,25,14,231,1427,643,441,4103,133,6747,810,75,20,69,11,984,107,28,17,11,12,165,690,48,20,77,39,872,1880,37,25,11,51,2002,9888,609,310,192,432,11432,1432,17,13,6,75,1541,146,36,34,198,6,418,15825,776,465,687,694,18446,3398,352,221,1933,7310,13220,68902,9263,5340,52924,11344,147783,2321,3881
LGA23350,34,428,373,6172,146,7149,0,0,0,3,0,7,11,4,0,16,0,26,21,3,10,3,0,40,152,48,40,85,6,332,634,380,279,3977,126,5405,21,0,4,0,6,27,19,6,0,49,3,79,181,45,36,567,20,849,13,4,0,6,0,24,19,0,0,6,0,28,8,0,0,0,0,7,101,91,49,1606,34,1879,53,25,21,151,3,257,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,3,7,3,0,12,0,23,9,0,4,0,0,18,26,11,20,0,3,60,40,13,0,22,0,77,5,0,0,4,0,12,137,83,58,1074,25,1383,20,9,0,7,0,28,8,6,3,3,0,22,9,0,0,11,0,19,4,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,35,0,82,192,54,47,143,12,452,27,15,8,297,714,1055,1468,742,576,10997,1022,14801,44,348
