LGA_CODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
LGA21010,0,0,0,0,0,0,3,3,3,7,20,37,57,77,93,70,95,35,18,12,7,6,76,610,23,34,32,43,189,129,478,332,683,455,339,209,147,102,438,3636
LGA21110,0,0,0,0,0,0,32,36,329,102,133,124,176,269,270,373,807,605,532,225,335,227,585,5083,795,267,288,222,567,681,1199,1393,3957,3471,4196,3400,5346,11031,5127,41927
LGA21180,3,5,0,0,0,0,109,149,386,126,488,466,653,847,923,1055,1943,1019,528,268,187,93,1174,10164,1122,441,872,708,2195,1984,4401,3731,8879,6436,5309,3369,2938,1647,5576,49610
LGA21270,0,0,0,0,0,0,3,3,0,0,3,9,20,27,26,30,15,14,3,0,0,0,16,185,35,24,13,17,92,57,207,150,284,174,141,71,36,27,198,1536
LGA21370,3,0,0,0,0,0,9,26,15,10,40,65,108,189,187,172,270,122,52,25,16,9,172,1463,110,65,87,91,376,343,1067,740,1921,1308,1069,566,444,272,1168,9609
LGA21450,3,0,0,3,0,0,28,43,58,23,98,142,228,466,425,429,805,434,244,91,83,25,449,3998,254,103,184,190,606,743,1664,1507,4335,3913,3552,2239,1826,1123,2615,24854
LGA21610,3,0,0,3,0,0,104,134,282,118,357,435,648,1170,1164,1310,2452,1405,823,344,265,105,1295,12171,1157,411,730,658,1977,2388,5111,4950,13878,12011,11445,6760,5615,3303,8019,78412
LGA21670,0,0,0,0,0,0,8,11,11,9,30,41,69,106,84,97,91,34,13,12,9,0,72,673,39,25,51,43,212,206,548,354,683,342,245,116,71,36,396,3367
LGA21750,0,3,0,0,0,0,9,21,7,7,28,48,62,117,104,94,152,60,35,11,9,10,101,830,52,38,53,62,186,215,486,414,1081,740,615,302,232,132,576,5181
LGA21830,0,0,0,0,0,0,7,13,7,11,14,25,48,64,66,69,105,37,25,12,6,3,87,574,69,49,43,37,188,135,387,323,807,480,420,246,188,162,520,4060
LGA21890,3,3,0,0,0,0,50,67,113,55,176,186,281,451,526,602,1096,627,376,147,187,69,626,5521,500,245,351,273,1114,974,2535,1997,5107,4093,4128,3081,3564,3274,3507,34745
LGA22110,5,0,0,0,0,0,20,33,18,14,54,88,147,221,234,207,306,124,47,20,9,12,220,1721,119,88,127,135,557,488,1532,1058,2502,1417,1049,538,407,255,1454,11720
LGA22170,4,3,0,0,0,0,62,84,103,52,168,234,430,707,758,814,1511,818,418,161,138,51,917,7275,327,159,285,304,957,1154,2497,2278,5958,4991,4836,3129,2668,1537,3882,34945
LGA22250,0,0,0,0,0,0,7,8,0,3,20,16,24,35,41,35,55,21,10,3,0,0,50,322,32,33,39,31,136,102,342,271,584,343,240,117,84,60,340,2736
LGA22310,4,0,0,0,0,0,24,28,167,41,108,117,174,277,299,388,819,570,415,151,199,109,578,4409,536,204,236,197,661,674,1664,1468,4215,3766,4098,3262,4653,6033,3833,35493
LGA22410,0,0,0,0,0,0,8,13,6,8,26,35,59,100,103,97,142,46,32,14,11,5,108,790,33,35,61,54,195,191,539,397,919,635,545,352,272,165,635,5026
LGA22490,0,0,0,0,0,0,3,3,9,8,21,21,53,71,72,81,120,61,28,9,7,3,80,644,45,24,45,36,175,185,452,352,1061,882,806,523,394,239,683,5898
LGA22620,6,0,0,0,0,0,27,48,63,40,140,217,330,656,689,658,1004,454,221,68,42,33,595,5211,183,146,224,259,930,1037,2626,2187,5394,3898,3354,2065,1790,1053,2916,28057
LGA22670,10,0,4,0,0,0,74,103,296,84,309,283,444,660,747,816,1339,740,383,166,105,49,761,7194,1029,318,634,495,1710,1684,3721,3154,7349,5032,3861,2165,1663,863,3778,37463
LGA22750,10,10,3,0,0,0,79,120,147,93,287,367,706,1177,1173,1205,2085,1048,562,185,163,81,1164,10451,526,325,523,506,2020,2045,5036,4104,10184,7977,7563,4784,4420,3262,6415,59692
LGA22830,3,0,0,0,0,0,25,37,46,12,74,117,208,339,348,347,550,219,116,46,25,15,339,2800,192,89,146,167,618,640,1481,1154,2952,2127,1854,1137,862,572,1854,15852
LGA22910,0,0,0,0,0,0,6,10,6,3,18,13,44,72,86,69,112,50,20,3,11,4,82,591,36,29,40,27,153,160,438,360,818,475,405,237,173,130,448,3926
LGA22980,0,0,0,0,0,0,3,3,0,0,3,8,9,20,22,26,36,13,3,3,0,0,28,174,24,16,14,15,59,59,194,130,305,178,143,81,58,31,176,1468
LGA23110,3,0,3,0,0,0,28,44,77,32,111,107,188,296,330,394,776,478,310,125,116,51,449,3836,291,148,224,164,664,588,1453,1279,3138,2761,2793,2055,2690,2515,2508,23267
LGA23190,0,0,0,0,0,0,5,12,8,8,13,37,64,113,102,104,163,60,21,16,9,7,75,807,45,26,38,51,173,191,446,425,1034,729,588,328,245,178,580,5077
LGA23270,10,3,0,0,0,0,94,121,206,98,305,353,556,812,933,999,1781,945,543,278,172,86,1074,9140,863,324,627,560,1933,1940,3951,3673,8956,6921,6249,3686,3379,1892,5408,50364
LGA23350,0,0,0,0,0,0,3,6,14,7,14,31,39,51,70,65,109,49,21,13,4,5,80,564,27,21,33,38,123,119,381,300,793,580,549,357,287,168,516,4290
LGA23430,3,4,0,0,0,0,40,61,111,43,134,165,275,420,505,655,1250,892,526,199,184,78,735,6179,463,228,303,278,982,878,2458,2227,5708,4916,5353,4061,4509,3554,4260,40169
LGA23670,0,0,0,0,0,0,34,44,120,51,137,153,264,522,599,697,1315,807,501,213,163,93,753,6381,535,215,295,249,950,1114,2684,2429,6632,5783,5959,4076,4035,2786,4388,42122
LGA23810,0,0,0,0,0,0,35,55,36,24,124,217,318,558,459,406,585,290,139,69,46,25,446,3744,156,103,202,250,815,852,1892,1360,3053,2274,2048,1288,1250,897,2164,18622
LGA23940,0,0,0,0,0,0,0,3,5,0,5,13,16,28,31,27,42,18,3,0,0,5,38,238,29,28,15,21,106,78,251,171,360,231,145,75,55,38,257,1860
LGA24130,0,0,3,0,0,0,6,16,16,8,34,55,74,111,140,145,296,185,100,36,41,15,221,1481,89,56,70,81,273,256,713,639,1841,1599,1605,1167,1360,1128,1482,12376
LGA24210,0,0,0,0,0,0,25,37,234,60,107,109,150,252,309,360,770,490,303,157,178,120,494,4092,751,306,271,222,849,730,1981,1774,4433,3612,3434,2588,3492,4092,3751,32292
LGA24250,0,0,0,0,0,0,0,7,9,3,6,11,15,32,24,22,56,29,11,0,3,0,38,268,25,15,22,24,81,75,209,152,432,282,202,131,103,65,288,2113
LGA24330,3,0,0,0,0,0,19,35,83,49,133,109,165,251,295,318,571,359,200,98,100,37,313,3072,313,128,245,199,544,547,1144,1023,2636,2269,2351,1870,2373,1986,1731,19362
LGA24410,5,3,0,0,0,0,31,46,92,32,116,123,224,357,405,494,942,586,351,181,118,65,571,4665,326,130,233,178,667,699,1722,1659,4454,3905,4080,3087,3111,2169,2909,29338
LGA24600,0,0,0,0,0,0,18,28,191,68,142,112,133,168,170,184,376,215,171,67,123,70,254,2453,930,227,302,226,462,484,780,898,2579,2366,2806,1972,2872,3549,2127,22573
LGA24650,11,3,0,0,0,0,51,68,164,52,170,254,347,642,646,649,1192,648,385,146,120,47,659,6132,528,192,317,327,925,1129,2244,2077,5918,5220,5027,3119,2812,1480,3542,34862
LGA24780,3,0,0,0,0,0,32,50,29,22,88,120,208,304,327,318,403,186,75,26,15,16,320,2461,132,101,149,162,533,541,1430,1093,2550,1819,1482,824,637,391,1724,13574
LGA24850,0,3,0,0,0,0,14,24,25,17,49,64,108,238,194,204,317,194,91,42,34,9,226,1810,106,50,105,91,281,380,751,689,1800,1534,1419,909,728,419,1255,10526
LGA24900,7,0,0,0,0,0,17,23,14,13,43,49,107,146,150,165,197,87,35,17,10,9,140,1164,71,59,89,76,363,287,881,615,1475,995,761,397,307,190,943,7501
LGA24970,7,3,0,0,0,0,43,59,348,130,191,184,293,449,499,526,1226,788,562,234,203,140,679,6452,1229,430,472,401,1321,1172,2993,2551,6691,5310,5592,3977,4790,4582,4758,46265
LGA25060,3,3,0,0,0,0,44,55,96,54,144,121,209,292,333,378,825,569,355,184,147,114,553,4384,335,174,277,188,794,628,1772,1415,3609,3114,3514,2756,3595,4158,3251,29586
LGA25150,0,0,0,0,3,0,10,19,25,7,40,51,90,123,167,148,249,148,69,31,18,9,141,1321,97,43,73,62,254,234,676,512,1423,1126,1155,736,730,444,904,8479
LGA25250,7,3,0,0,0,0,42,75,125,56,164,166,279,414,507,638,1167,691,469,181,130,67,651,5707,517,221,339,307,1224,1027,2710,2174,5624,4639,4951,3673,4246,3337,3937,38909
LGA25340,11,3,0,3,0,0,48,79,72,49,133,231,337,685,686,718,1246,681,378,115,117,52,869,6371,376,211,264,316,1142,1207,3436,2833,7036,5403,4850,3185,3208,2945,4969,41380
LGA25430,0,0,0,0,0,0,3,11,3,7,30,37,62,98,92,91,143,63,26,7,8,9,95,762,28,39,59,47,175,190,502,392,965,610,495,255,221,146,536,4666
LGA25490,0,0,0,0,0,0,3,4,10,0,13,18,37,64,55,54,80,37,35,3,17,4,61,496,51,24,41,36,152,143,349,310,812,644,504,301,249,175,506,4281
LGA25620,0,0,0,0,0,0,7,10,0,4,17,30,27,47,46,40,75,34,14,12,0,4,62,414,41,30,38,43,128,123,367,231,690,479,394,250,166,114,460,3557
LGA25710,0,0,0,0,0,0,9,13,32,11,30,44,72,139,111,161,387,298,187,77,100,43,264,1946,126,67,74,66,220,275,573,648,1991,1976,2217,1853,2390,2377,2012,16872
LGA25810,0,0,0,0,0,0,0,4,6,3,11,17,32,51,64,54,64,32,15,6,0,4,49,406,33,24,33,33,129,116,350,262,615,380,271,145,127,67,348,2923
LGA25900,0,0,0,0,0,0,21,23,57,36,82,97,122,194,215,212,450,323,240,65,172,74,334,2671,206,91,153,136,370,365,742,687,2146,2070,2719,2246,3370,4964,2411,22678
LGA25990,3,0,0,0,0,0,3,8,3,3,9,15,14,37,44,20,42,8,8,0,3,0,24,230,26,21,23,21,81,86,239,143,365,229,136,77,63,34,227,1771
LGA26080,0,0,0,0,0,0,0,0,0,0,4,0,0,7,4,15,16,10,8,0,0,0,14,75,6,6,3,3,19,19,50,75,138,87,71,65,68,52,93,751
LGA26170,0,0,0,0,0,0,4,12,6,13,25,43,92,137,104,129,159,73,34,16,11,5,142,999,71,63,63,67,321,305,762,674,1436,994,775,453,346,232,884,7454
LGA26260,0,0,0,0,0,0,3,3,3,3,10,25,42,63,75,72,112,52,7,9,7,0,84,571,26,21,32,32,151,147,423,342,823,596,416,255,212,138,519,4148
LGA26350,0,0,0,0,0,0,18,27,101,41,87,59,104,133,164,203,415,291,253,108,206,153,353,2666,354,134,161,98,367,322,753,697,2106,2079,2554,2003,3321,6211,2786,23939
LGA26430,0,0,0,0,0,0,5,8,9,5,13,16,33,44,46,47,63,29,11,3,3,3,56,390,28,30,28,28,132,101,284,208,519,362,246,162,109,90,368,2700
LGA26490,0,0,0,0,0,0,3,5,6,11,18,16,47,77,98,81,174,92,64,17,7,11,135,842,49,36,32,31,177,163,478,397,1241,1000,1015,727,739,640,1004,7731
LGA26610,0,0,0,0,0,0,13,16,16,3,20,34,66,89,93,91,134,49,28,11,6,0,94,737,57,25,48,53,208,172,480,364,990,656,529,281,229,150,621,4868
LGA26670,0,0,0,0,0,0,3,3,3,0,9,6,15,22,13,22,29,12,11,0,0,3,19,161,15,7,14,12,70,59,161,128,326,212,141,102,81,44,191,1578
LGA26700,3,0,0,0,0,0,17,19,14,15,31,46,91,131,143,149,214,90,45,19,11,9,139,1138,57,39,59,64,270,254,708,627,1469,1000,848,501,385,237,852,7365
LGA26730,0,3,0,0,0,0,19,28,13,14,41,66,87,184,178,188,278,131,68,24,13,5,154,1446,64,39,67,84,261,299,730,623,1538,1193,1078,651,505,343,841,8321
LGA26810,0,0,0,0,0,0,12,18,22,14,50,85,126,184,198,183,296,112,59,17,30,12,190,1574,107,74,90,101,404,378,1070,825,1970,1411,1143,680,654,529,1423,10860
LGA26890,0,0,0,0,0,0,0,0,0,0,3,7,5,21,6,11,17,8,0,0,0,8,13,103,4,6,5,7,30,39,112,91,212,109,92,58,49,36,153,1011
LGA26980,0,0,0,0,0,0,38,48,278,90,177,150,244,356,451,535,1159,746,521,219,224,109,650,5910,986,330,404,299,1064,955,2386,2262,5938,4609,4886,3746,4643,4787,4202,41496
LGA27070,13,4,0,0,0,0,62,94,209,80,235,263,493,797,910,926,1721,1014,566,250,161,65,983,8675,913,310,515,435,1846,1722,4216,3450,9068,7809,7197,4362,3658,1862,5368,52713
LGA27170,0,0,0,0,0,0,6,15,17,19,52,104,145,226,224,221,397,168,92,27,17,6,205,1916,58,45,77,116,313,346,798,697,1862,1495,1377,829,636,320,1097,10082
LGA27260,7,3,0,0,0,0,90,126,268,94,263,336,480,862,824,967,1687,950,544,248,155,79,906,8673,1026,327,546,537,1381,1722,3207,3612,9556,8489,8217,4993,4945,2860,5366,56782
LGA27350,0,0,0,0,0,0,29,29,81,56,155,121,175,219,207,211,357,252,182,75,111,70,323,2607,201,112,257,164,473,393,690,591,1615,1629,2160,1882,2877,3911,1931,18886
LGA27450,3,0,0,0,0,0,41,58,84,33,150,180,300,573,595,694,1254,756,458,187,105,65,838,6268,315,181,291,276,875,1109,2544,2485,6654,5837,5864,3838,3349,2249,4691,40566
LGA27630,0,0,0,0,0,0,3,3,4,3,11,12,18,30,35,41,36,15,4,3,0,0,31,247,28,17,18,18,85,69,225,143,356,207,148,80,59,42,206,1689
LGA29399,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,11,3,6,0,0,0,3,3,11,16,5,5,8,4,0,12,68
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,0,0,4,23,13,12,10,14,4,19,5,0,0,0,0,11,105,0,4,31,13,44,24,34,21,46,8,6,8,5,0,9,254
LGA30300,0,0,0,0,0,0,0,0,5,0,6,9,12,19,14,17,36,9,5,4,0,0,18,159,18,9,14,20,32,41,73,76,188,158,127,75,66,42,150,1093
LGA30370,0,0,0,0,0,0,5,5,7,0,10,24,30,50,37,41,61,51,23,9,3,3,45,385,51,28,29,33,89,84,216,187,482,454,482,334,362,280,491,3604
LGA30410,0,0,0,0,0,0,0,0,0,0,4,0,7,4,14,5,18,12,0,0,4,0,17,88,5,10,10,4,26,17,63,41,123,97,67,52,50,30,124,727
LGA30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,4,4,13,5,3,9,4,3,8,68
LGA30760,0,0,0,0,0,0,4,4,0,0,3,3,3,3,3,10,11,3,0,0,0,0,13,53,17,0,10,3,22,9,48,36,113,54,41,27,25,15,86,508
LGA30900,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,4,0,0,0,0,0,0,20,0,0,3,0,0,3,4,5,14,13,4,8,4,3,16,83
LGA31000,25,13,7,3,3,0,241,354,967,355,938,1121,1775,2886,3169,3877,8464,5507,3702,1507,1445,779,4020,40520,3332,1287,1969,1786,5446,6060,13857,13602,37756,32591,35524,26904,34827,36572,27709,279233
LGA31750,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,11,4,0,0,0,0,3,9,4,16,9,9,6,4,3,11,79
LGA31820,4,0,0,0,0,0,37,55,61,27,139,202,326,588,627,595,800,311,144,51,41,20,438,4366,235,181,273,270,1220,1195,3543,2229,4719,2944,2293,1230,1116,650,2763,24866
LGA31900,0,0,0,0,0,0,5,12,6,10,23,34,51,73,70,67,111,53,24,6,13,4,75,613,42,28,34,42,149,140,423,290,837,629,552,324,290,195,518,4503
LGA31950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,3,7,8,9,12,0,0,4,19,61
LGA32080,10,3,0,0,0,0,67,91,141,65,210,297,466,850,893,915,1577,789,429,134,124,48,864,7820,390,191,345,410,1099,1401,2693,2545,6665,5306,5037,3107,2913,1867,4879,38843
LGA32250,0,0,0,0,0,0,3,8,3,0,0,9,5,9,11,14,15,11,5,0,3,3,31,106,3,0,3,6,17,10,36,30,60,47,55,36,35,15,107,465
LGA32260,0,0,0,0,0,0,14,14,17,8,26,53,83,134,171,149,226,99,36,18,9,5,153,1176,83,62,63,80,303,260,802,621,1474,1020,726,385,302,220,854,7266
LGA32270,0,0,0,0,0,0,7,5,19,11,24,30,51,74,77,67,130,76,51,20,13,13,86,729,52,31,33,39,111,137,284,236,800,831,945,630,722,707,946,6515
LGA32310,0,0,0,0,0,0,13,12,14,11,11,17,33,61,73,60,95,37,21,6,6,0,74,519,53,14,33,38,114,106,316,184,456,315,252,188,167,88,492,2824
LGA32330,0,0,0,0,0,0,0,4,0,4,16,21,15,13,10,14,21,4,5,0,0,0,5,131,0,4,19,21,24,24,30,37,46,18,7,3,0,4,12,249
LGA32450,0,0,0,0,0,0,4,3,5,0,3,9,14,0,11,8,5,8,0,3,6,4,16,90,6,0,6,8,16,9,23,28,54,66,91,53,84,55,84,590
LGA32500,0,0,0,0,0,0,0,0,3,6,3,4,13,15,19,12,35,9,9,0,0,0,18,160,18,7,9,11,39,34,67,65,145,102,89,48,56,17,138,847
LGA32600,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,3,0,0,8,3,10,5,6,3,0,3,16,60
LGA32750,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,10,6,13,0,0,15,57
LGA32770,0,0,0,0,0,0,3,3,0,0,7,12,14,17,5,3,7,5,0,0,0,0,7,86,0,6,18,19,43,34,31,23,62,21,8,4,3,3,11,284
LGA32810,0,0,0,0,0,0,4,10,10,0,16,19,32,51,58,45,74,45,19,6,3,0,65,434,26,18,29,30,86,111,204,191,543,421,347,156,135,94,352,2746
LGA33100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,7,0,0,4,8,8,18,10,34,18,13,13,4,6,38,183
LGA33200,0,0,0,0,0,0,0,0,3,0,4,4,3,8,7,5,9,3,0,0,0,0,3,46,17,3,8,3,13,10,31,25,71,54,38,19,16,15,69,399
LGA33220,3,0,0,0,0,0,44,54,55,35,156,236,412,673,725,667,872,302,122,37,40,17,470,4826,282,194,332,328,1464,1362,4447,2675,5533,2898,2180,1151,970,612,2914,27327
LGA33360,0,3,0,0,0,0,23,34,60,40,80,106,198,286,275,246,318,183,108,53,48,27,230,2250,196,130,142,152,501,520,1071,823,1957,1693,2127,1454,1716,1406,2052,15940
LGA33430,21,10,3,0,0,0,150,215,529,203,482,670,1314,2552,2772,2994,5437,2859,1550,533,478,221,2444,25027,1676,704,995,1065,3834,4595,10803,9256,24875,19908,18422,11920,11629,8925,14717,143312
LGA33610,0,0,0,0,0,0,3,7,7,0,5,15,27,44,53,49,55,32,15,3,3,0,55,366,36,23,23,21,96,86,236,179,491,376,333,176,144,104,324,2647
LGA33620,0,0,0,0,0,0,25,37,29,12,72,125,214,372,325,286,440,154,53,14,18,14,232,2363,143,90,139,179,649,710,1924,1236,2674,1532,1059,605,477,275,1457,13158
LGA33800,0,0,0,0,0,0,5,7,6,3,11,23,24,33,50,37,66,27,19,8,3,0,60,369,31,16,25,36,132,94,329,223,556,346,319,194,142,96,388,2928
LGA33830,0,0,0,0,0,0,0,0,0,0,9,9,11,11,3,3,9,0,0,0,0,0,0,57,3,0,14,9,27,20,27,13,34,7,12,0,3,0,18,188
LGA33960,9,3,0,0,0,0,67,110,160,68,250,401,668,1287,1283,1225,2153,1073,552,221,128,58,940,10474,394,183,396,509,1358,1949,3743,3355,8920,7237,6692,4088,3651,1733,5003,49212
LGA33980,0,0,0,0,0,0,11,11,6,0,12,15,35,49,45,43,68,51,48,13,26,10,65,492,40,22,20,26,86,71,152,117,453,477,730,488,619,692,596,4577
LGA34420,0,0,0,0,0,0,0,0,0,0,9,11,12,15,7,11,10,3,3,0,0,0,4,78,3,0,12,14,24,29,20,35,38,23,14,7,4,0,5,215
LGA34530,0,0,0,0,0,0,12,18,19,11,35,63,90,166,152,143,254,105,70,30,19,13,134,1303,102,55,83,92,301,319,816,567,1421,1080,1062,718,796,527,1474,9424
LGA34570,0,0,0,0,0,0,0,0,0,0,4,0,6,5,0,4,3,0,0,0,0,0,19,48,0,3,5,0,9,5,6,7,20,4,0,3,7,0,49,132
LGA34580,0,0,0,0,0,0,19,23,12,5,42,65,127,213,216,198,312,119,69,22,16,6,175,1595,75,51,94,90,373,376,1047,777,1835,1337,1070,684,522,269,1151,9748
LGA34590,8,6,0,0,0,0,138,184,302,138,425,651,1032,1758,1869,1800,3191,1606,858,359,244,89,1550,15861,912,366,718,838,2475,2917,6263,5416,14045,11428,10436,6285,5456,2765,7890,78204
LGA34710,0,0,0,0,0,0,3,3,0,0,3,10,3,12,12,18,26,8,8,6,0,0,19,121,13,3,3,13,30,25,63,44,141,118,107,72,70,33,139,872
LGA34770,0,3,0,0,0,0,34,45,72,43,150,196,336,587,544,481,787,432,262,91,79,38,463,4573,289,157,265,257,900,950,1938,1595,4202,3595,3718,2609,2729,1918,4828,29940
LGA34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,18,5,3,3,0,0,3,9,6,32,19,15,5,16,11,35,167
LGA34830,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3,4,0,0,0,0,0,20,0,0,5,0,3,0,6,3,11,7,7,0,0,0,12,58
LGA34860,0,0,0,0,0,0,3,3,8,12,18,22,19,36,49,45,71,38,11,8,4,0,45,390,56,26,30,31,84,85,208,170,468,412,380,254,248,169,484,3103
LGA34880,0,0,0,0,0,0,15,14,16,10,32,45,63,97,113,111,152,72,37,12,20,6,109,893,71,45,60,60,243,194,570,412,963,656,510,303,271,133,727,5218
LGA35010,8,9,3,0,0,0,113,169,271,141,467,650,1189,2201,2368,2435,4222,2250,1174,442,291,141,1852,20089,891,522,821,891,3231,3771,9452,7751,19508,16031,14996,9717,9519,6053,11366,114518
LGA35250,0,0,0,0,0,0,12,9,0,0,10,4,17,11,10,5,5,6,4,0,0,0,17,93,0,3,18,10,33,20,25,23,31,9,13,9,3,10,44,234
LGA35300,0,3,0,0,0,0,14,17,12,6,28,46,49,69,64,54,129,87,79,30,18,11,99,789,29,19,38,51,85,98,155,134,386,436,625,536,725,530,502,4349
LGA35600,0,0,0,0,0,0,4,4,3,0,4,7,15,25,22,20,29,14,6,0,0,3,23,164,13,12,7,10,44,36,86,78,174,134,137,81,68,44,166,1088
LGA35670,0,0,0,0,0,0,0,0,0,0,7,6,12,4,8,4,9,3,0,0,0,0,3,64,0,4,10,10,29,20,21,26,30,15,8,5,7,6,9,204
LGA35740,5,0,0,0,0,0,14,23,31,12,70,87,144,244,272,303,484,218,106,24,21,12,242,2267,143,78,133,124,518,509,1394,1188,2826,1919,1474,893,877,748,1769,14591
LGA35760,0,0,0,0,0,0,8,4,3,5,13,17,35,40,47,41,35,23,7,3,9,0,45,327,61,24,26,31,149,107,328,227,455,304,220,106,94,70,353,2557
LGA35780,0,0,0,0,0,0,0,0,0,0,16,18,21,24,26,21,33,14,7,8,0,0,16,204,5,3,18,23,39,49,60,57,120,52,48,23,25,8,39,575
LGA35790,0,0,0,0,0,0,0,0,0,0,9,26,23,21,14,24,35,17,6,5,0,0,11,200,0,0,15,27,52,40,36,67,83,59,35,12,12,3,29,470
LGA35800,0,0,0,0,0,0,0,0,3,0,0,8,4,13,5,13,17,7,0,0,0,0,14,88,10,7,4,10,11,19,43,22,79,36,28,21,20,14,54,389
LGA36070,0,0,0,0,0,0,0,0,0,3,6,10,7,15,3,6,3,3,0,0,0,0,8,55,3,4,8,12,28,18,25,16,27,11,9,5,3,3,12,184
LGA36150,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,0,0,0,0,0,3,29,7,3,0,0,7,3,20,12,36,23,21,12,14,3,32,198
LGA36250,5,5,3,0,0,0,33,58,69,39,128,177,331,583,628,699,1362,791,448,208,162,71,610,6310,306,166,244,270,989,1167,3076,2402,6309,5302,5449,3898,4061,3000,4213,40862
LGA36300,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,3,3,3,0,0,5,33,3,0,0,3,3,3,9,13,48,30,17,14,8,4,37,198
LGA36370,5,3,0,0,0,0,31,38,50,30,111,165,336,483,494,486,712,414,184,73,51,35,402,4032,143,107,195,208,721,753,1760,1365,3185,2677,2408,1560,1399,912,2522,19908
LGA36510,0,0,0,0,0,0,13,21,23,7,37,55,130,227,200,179,322,138,66,19,18,17,181,1614,101,61,86,84,388,425,1099,802,2047,1430,1209,689,749,381,1255,10787
LGA36580,0,0,0,0,0,0,11,13,17,11,26,53,79,134,140,151,196,83,23,11,10,12,123,1069,62,49,61,70,297,269,793,567,1218,814,689,363,273,147,758,6426
LGA36630,3,0,0,0,0,0,16,30,12,9,44,62,127,212,184,201,258,82,48,9,15,4,155,1436,74,58,96,91,454,412,1268,769,1656,928,703,388,353,206,938,8393
LGA36660,0,0,0,0,0,0,19,21,20,13,45,59,106,228,218,175,272,114,35,18,17,5,169,1486,88,63,94,89,414,410,1256,807,2013,1193,872,427,320,169,1057,9274
LGA36720,12,0,0,0,0,0,64,92,173,103,284,395,752,1347,1542,1527,2695,1276,648,207,175,72,1245,12447,692,404,588,592,2379,2662,7267,5927,15013,10623,9367,5844,5524,4002,8657,79554
LGA36820,0,0,0,0,0,0,13,17,20,15,34,45,88,145,146,124,190,67,48,11,7,10,141,1092,65,70,77,65,283,259,803,548,1260,736,604,357,279,217,886,6501
LGA36910,3,3,0,0,0,0,29,58,89,48,177,234,407,785,828,802,1393,673,288,120,90,36,621,6589,338,224,305,319,1219,1381,3774,2913,7284,5621,5082,3305,2983,2001,4314,41060
LGA36950,0,0,0,0,0,0,3,9,5,3,8,5,5,16,10,17,30,22,5,0,3,3,41,175,4,3,12,10,14,18,29,30,76,70,81,57,61,43,149,643
LGA36960,0,0,0,0,0,0,3,8,3,10,32,33,38,61,47,39,41,12,12,0,0,0,29,356,9,13,34,41,87,99,95,114,170,84,50,16,9,3,103,932
LGA37010,6,6,0,0,0,3,41,66,129,77,233,340,519,989,980,995,1718,918,510,189,133,51,823,8609,380,220,385,432,1253,1557,3207,2855,7377,6270,6109,4323,4071,2390,6003,46831
