LGA_CODE_2016,C06_N_inc_R0_74,C06_N_inc_R75_99,C06_Ne_Ni_inc_R100_149,C06_Ne_Ni_inc_R150_199,C06_Ne_Ni_inc_R200_224,C06_Ne_Ni_inc_R225_274,C06_Ne_Ni_inc_R275_349,C06_Ne_Ni_inc_R350_449,C06_Ne_Ni_inc_R450_549,C06_Ne_Ni_inc_R550_649,C06_Ne_Ni_inc_R650m,C06_Ne_Ni_inc_R_NS,C06_N_inc_R_Tot,C06_1_149_R0_74,C06_1_149_R75_99,C06_1_149_R100_149,C06_1_149_R150_199,C06_1_149_R200_224,C06_1_149_R225_274,C06_1_149_R275_349,C06_1_149_R350_449,C06_1_149_R450_549,C06_1_149_R550_649,C06_1_149_R650m,C06_1_149_R_NS,C06_1_149_R_Tot,C06_150_299_R0_74,C06_150_299_R75_99,C06_150_299_R100_149,C06_150_299_R150_199,C06_150_299_R200_224,C06_150_299_R225_274,C06_150_299_R275_349,C06_150_299_R350_449,C06_150_299_R450_549,C06_150_299_R550_649,C06_150_299_R650m,C06_150_299_R_NS,C06_150_299_R_Tot,C06_300_399_R0_74,C06_300_399_R75_99,C06_300_399_R100_149,C06_300_399_R150_199,C06_300_399_R200_224,C06_300_399_R225_274,C06_300_399_R275_349,C06_300_399_R350_449,C06_300_399_R450_549,C06_300_399_R550_649,C06_300_399_R650m,C06_300_399_R_NS,C06_300_399_R_Tot,C06_400_499_R0_74,C06_400_499_R75_99,C06_400_499_R100_149,C06_400_499_R150_199,C06_400_499_R200_224,C06_400_499_R225_274,C06_400_499_R275_349,C06_400_499_R350_449,C06_400_499_R450_549,C06_400_499_R550_649,C06_400_499_R650m,C06_400_499_R_NS,C06_400_499_R_Tot,C06_500_649_R0_74,C06_500_649_R75_99,C06_500_649_R100_149,C06_500_649_R150_199,C06_500_649_R200_224,C06_500_649_R225_274,C06_500_649_R275_349,C06_500_649_R350_449,C06_500_649_R450_549,C06_500_649_R550_649,C06_500_649_R650m,C06_500_649_R_NS,C06_500_649_R_Tot,C06_650_799_R0_74,C06_650_799_R75_99,C06_650_799_R100_149,C06_650_799_R150_199,C06_650_799_R200_224,C06_650_799_R225_274,C06_650_799_R275_349,C06_650_799_R350_449,C06_650_799_R450_549,C06_650_799_R550_649,C06_650_799_R650m,C06_650_799_R_NS,C06_650_799_R_Tot,C06_800_999_R0_74,C06_800_999_R75_99,C06_800_999_R100_149,C06_800_999_R150_199,C06_800_999_R200_224,C06_800_999_R225_274,C06_800_999_R275_349,C06_800_999_R350_449,C06_800_999_R450_549,C06_800_999_R550_649,C06_800_999_R650m,C06_800_999_R_NS,C06_800_999_R_Tot,C06_1000_1249_R0_74,C06_1000_1249_R75_99,C06_1000_1249_R100_149,C06_1000_1249_R150_199,C06_1000_1249_R200_224,C06_1000_1249_R225_274,C06_1000_1249_R275_349,C06_1000_1249_R350_449,C06_1000_1249_R450_549,C06_1000_1249_R550_649,C06_1000_1249_R650m,C06_1000_1249_R_NS,C06_1000_1249_R_Tot,C06_1250_1499_R0_74,C06_1250_1499_R75_99,C06_1250_1499_R100_149,C06_1250_1499_R150_199,C06_1250_1499_R200_224,C06_1250_1499_R225_274,C06_1250_1499_R275_349,C06_1250_1499_R350_449,C06_1250_1499_R450_549,C06_1250_1499_R550_649,C06_1250_1499_R650m,C06_1250_1499_R_NS,C06_1250_1499_R_Tot,C06_1500_1999_R0_74,C06_1500_1999_R75_99,C06_1500_1999_R100_149,C06_1500_1999_R150_199,C06_1500_1999_R200_224,C06_1500_1999_R225_274,C06_1500_1999_R275_349,C06_1500_1999_R350_449,C06_1500_1999_R450_549,C06_1500_1999_R550_649,C06_1500_1999_R650m,C06_1500_1999_R_NS,C06_1500_1999_R_Tot,C06_2000_2499_R0_74,C06_2000_2499_R75_99,C06_2000_2499_R100_149,C06_2000_2499_R150_199,C06_2000_2499_R200_224,C06_2000_2499_R225_274,C06_2000_2499_R275_349,C06_2000_2499_R350_449,C06_2000_2499_R450_549,C06_2000_2499_R550_649,C06_2000_2499_R650m,C06_2000_2499_R_NS,C06_2000_2499_R_Tot,C06_2500_2999_R0_74,C06_2500_2999_R75_99,C06_2500_2999_R100_149,C06_2500_2999_R150_199,C06_2500_2999_R200_224,C06_2500_2999_R225_274,C06_2500_2999_R275_349,C06_2500_2999_R350_449,C06_2500_2999_R450_549,C06_2500_2999_R550_649,C06_2500_2999_R650m,C06_2500_2999_R_NS,C06_2500_2999_R_Tot,C06_3000_3999_R0_74,C06_3000_3999_R75_99,C06_3000_3999_R100_149,C06_3000_3999_R150_199,C06_3000_3999_R200_224,C06_3000_3999_R225_274,C06_3000_3999_R275_349,C06_3000_3999_R350_449,C06_3000_3999_R450_549,C06_3000_3999_R550_649,C06_3000_3999_R650m,C06_3000_3999_R_NS,C06_3000_3999_R_Tot,C06_4000m_R0_74,C06_4000m_R75_99,C06_4000m_R100_149,C06_4000m_R150_199,C06_4000m_R200_224,C06_4000m_R225_274,C06_4000m_R275_349,C06_4000m_R350_449,C06_4000m_R450_549,C06_4000m_R550_649,C06_4000m_R650m,C06_4000m_R_NS,C06_4000m_R_Tot,C06_PI_S_R0_74,C06_PI_S_R75_99,C06_PI_S_R100_149,C06_PI_S_R150_199,C06_PI_S_R200_224
LGA10850,0,0,4,0,0,0,0,0,0,0,0,0,6,7,0,3,0,3,0,0,0,0,0,0,0,18,21,7,18,12,0,0,0,0,0,0,0,0,67,20,11,20,14,3,0,0,0,0,0,0,3,77,3,0,9,3,0,0,0,0,0,0,0,3,23,11,4,19,27,0,0,0,0,0,0,0,0,67,4,0,13,16,0,0,0,0,0,0,0,3,40,11,3,3,17,3,0,0,0,0,0,0,0,40,3,3,14,39,7,4,0,3,0,0,0,0,69,11,0,4,9,3,0,0,0,0,0,0,0,36,5,3,4,16,0,3,0,0,0,0,0,0,41,3,4,4,3,0,0,0,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,18,3
LGA10900,7,0,3,12,4,10,0,0,0,0,3,7,49,26,3,16,13,11,10,0,0,0,0,4,3,87,134,37,54,93,44,25,7,0,0,0,5,21,420,90,49,134,210,83,65,12,0,0,0,8,15,671,4,3,27,41,26,28,8,0,0,0,0,4,147,37,23,80,257,208,143,36,10,0,0,4,13,818,19,3,25,147,135,107,21,3,0,0,0,3,476,17,0,23,128,99,152,44,6,0,0,0,5,479,22,5,20,136,151,227,78,21,3,0,3,3,676,10,0,16,82,91,170,54,15,0,0,6,0,443,14,0,9,44,83,139,69,19,0,4,3,5,390,5,0,3,13,26,49,44,10,5,0,3,8,170,5,0,6,6,5,38,37,23,4,0,0,0,130,0,0,0,4,8,8,12,7,3,0,4,0,44,0,0,0,0,0,0,0,7,0,0,3,0,9,17,7,15,60,73
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,15,13,3,16,0,0,0,0,0,0,0,0,4,36,11,3,10,0,0,0,0,0,0,0,0,0,31,4,3,4,0,0,0,0,0,0,0,0,0,11,12,10,27,5,0,0,0,0,0,0,0,3,61,5,0,11,4,0,0,0,0,0,0,0,0,24,5,3,9,3,0,0,0,0,0,0,0,0,18,12,0,6,9,0,0,0,0,0,0,0,0,34,4,0,7,4,0,0,0,0,0,0,0,0,18,3,0,7,7,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,0
LGA11100,13,0,6,16,16,21,13,8,3,0,0,11,106,44,5,11,4,17,9,7,3,0,0,0,6,110,385,31,23,20,25,33,9,5,0,6,19,25,586,136,46,43,42,45,60,15,10,3,0,5,13,409,19,19,98,12,25,11,5,6,0,0,0,7,206,46,14,81,74,130,141,48,40,4,0,5,10,602,17,0,18,58,102,106,54,33,7,0,5,12,403,10,3,20,44,99,120,50,44,16,3,6,13,416,18,3,24,60,123,162,90,79,20,3,4,14,587,15,0,3,22,46,63,61,67,15,4,3,7,299,9,4,8,22,53,111,67,111,34,6,3,5,430,11,0,4,6,22,36,41,101,34,0,3,3,254,3,0,0,6,10,17,29,48,17,5,0,0,152,3,0,0,3,0,4,12,18,17,3,4,0,72,0,0,0,0,0,6,3,6,0,4,0,0,19,15,7,28,30,47
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,9,18,3,10,4,0,0,0,0,0,0,0,0,30,10,4,15,4,0,0,0,0,0,0,0,3,37,0,3,11,0,0,0,0,0,0,0,0,0,20,17,0,26,5,0,0,0,0,0,0,0,4,52,12,6,11,4,3,0,0,0,0,0,0,0,32,19,0,10,3,0,0,0,0,0,0,0,6,50,21,4,16,8,0,0,0,0,0,0,0,0,43,10,0,10,3,0,0,0,0,0,0,0,0,28,17,0,10,10,0,0,0,0,0,0,0,0,35,17,0,6,0,0,0,0,0,0,0,0,0,24,5,3,3,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,13,4,19,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,3,0,0,0,0,0,0,0,0,0,25,15,3,6,0,0,0,0,0,0,0,0,0,24,11,7,5,0,0,0,0,0,0,0,0,0,28,16,9,17,0,0,0,0,0,0,0,0,0,35,7,3,3,0,0,0,0,0,0,0,0,0,16,13,3,5,0,0,0,0,0,0,0,0,3,26,21,7,11,0,0,0,0,0,0,0,0,6,40,15,3,8,0,0,0,0,0,0,0,0,3,35,15,0,0,0,0,0,0,0,0,0,3,0,25,3,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,11,0,3
LGA11250,3,0,11,0,0,0,0,0,0,0,0,0,15,10,3,6,0,0,0,0,0,0,0,0,3,27,69,27,118,10,0,0,0,0,0,0,0,7,231,46,26,114,20,0,0,0,0,0,0,6,11,225,3,5,54,10,0,0,0,0,0,0,0,3,77,28,16,136,34,5,0,0,0,0,0,0,7,229,13,4,45,12,0,0,0,0,0,0,0,4,86,8,3,42,21,0,3,0,0,0,0,0,0,77,19,10,49,23,3,3,0,0,0,0,0,9,119,20,11,24,12,5,0,0,3,0,0,0,0,71,17,3,17,12,0,0,0,0,0,0,0,3,55,11,0,10,11,0,0,0,0,0,0,0,0,36,25,8,9,5,3,3,0,0,0,0,0,3,58,7,0,7,3,0,0,3,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,4,14,9,34,12,7
LGA11300,7,0,5,11,16,34,61,55,10,5,3,11,220,24,3,4,0,3,16,29,10,3,4,0,3,90,100,14,14,15,14,17,26,15,4,0,3,16,232,31,21,18,23,17,28,40,17,4,3,0,7,211,6,6,26,7,9,11,29,10,7,0,0,9,111,14,10,27,36,36,63,106,44,10,0,4,14,363,8,3,10,16,44,82,67,29,5,0,3,5,284,10,0,5,26,23,64,87,35,7,3,4,4,272,24,3,3,24,45,89,178,54,11,3,4,15,449,8,0,0,12,15,63,93,50,7,3,0,3,270,9,0,5,12,19,66,135,79,12,3,3,5,353,11,0,3,7,4,37,85,51,12,0,4,7,220,4,0,0,0,3,18,54,45,5,3,0,0,142,3,0,3,0,3,5,36,39,12,0,0,0,101,0,0,0,0,0,3,10,8,9,0,3,0,32,9,4,6,13,23
LGA11350,4,0,3,3,0,0,9,11,3,0,0,3,37,11,3,8,9,5,7,9,5,7,0,0,3,59,84,29,54,60,11,28,23,10,0,5,6,10,317,49,24,76,95,52,65,40,25,0,0,6,7,429,10,4,17,19,14,26,21,10,0,0,0,3,114,42,6,45,100,92,167,137,43,8,0,7,21,651,10,7,17,33,43,57,79,28,4,0,6,5,288,16,0,10,29,31,75,84,51,8,0,3,3,307,14,0,14,27,27,82,116,66,10,4,6,3,379,12,0,5,7,14,30,49,31,10,4,5,3,178,5,0,6,10,8,23,60,44,13,5,6,4,186,8,0,0,3,0,17,23,19,0,0,7,0,82,0,0,0,3,0,7,18,17,9,0,7,3,73,3,0,0,0,0,0,8,5,4,0,3,0,35,0,0,0,0,0,0,0,3,0,0,6,0,17,22,0,3,22,17
LGA11400,3,3,3,0,0,0,0,0,0,0,0,3,14,7,0,3,3,0,0,0,0,0,0,0,0,11,31,4,31,4,0,0,0,0,0,0,3,8,79,43,11,39,10,0,0,0,0,0,0,0,3,115,12,8,11,4,0,0,0,0,0,0,0,3,46,48,15,41,19,0,0,0,0,0,0,0,9,130,18,0,16,12,4,0,0,0,0,0,0,0,60,17,4,19,15,3,0,0,0,0,0,0,5,64,30,4,34,23,4,3,0,0,0,0,0,5,110,18,3,12,13,4,0,0,0,0,0,0,0,46,28,3,13,18,0,7,0,0,0,0,0,0,66,8,0,4,4,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,12,11,0
LGA11450,0,0,0,0,0,5,8,0,0,0,0,3,18,9,0,8,4,4,3,7,0,0,0,0,0,39,70,17,11,14,9,20,10,3,0,0,4,10,161,31,12,26,21,14,47,13,4,0,0,3,7,187,10,3,18,3,3,7,11,0,0,0,0,3,69,19,6,28,38,45,132,46,9,0,0,0,9,342,11,0,10,21,33,111,36,18,3,0,0,3,242,9,0,10,30,32,109,65,7,5,0,0,4,270,16,0,12,32,38,194,95,32,3,0,0,7,432,3,0,3,15,27,117,80,34,4,0,0,9,296,15,0,4,11,15,121,120,53,3,0,3,3,352,8,0,0,7,8,58,59,20,3,0,0,4,176,5,0,0,6,7,28,49,44,4,0,0,3,135,3,0,0,0,6,8,19,20,3,0,0,0,53,0,0,0,0,0,0,8,3,0,0,0,0,10,13,3,9,10,18
