LGA_CODE_2016,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T,C16_SH_0b_NPFH_2,C16_SH_0b_NPFH_3,C16_SH_0b_NPFH_4,C16_SH_0b_NPFH_5,C16_SH_0b_NPFH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5
LGA17640,145,49,13,895,353,140,172,121,56,846,12,3,4,0,0,17,1029,351,331,178,64,1959,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,15,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,8,4,3,0,0,0,7,0,0,0,0,0,0,11,3,0,3,0,20,3,0,0,0,0,3,1062,351,331,183,64,1998,0,0,0,0,0,3,30,0,0,0,0,34,127,25,11,0,3,165,506,159,128,44,12,846,369,141,182,123,63,885,21,5,0,0,0,27,1046,336,331,170
LGA17650,148,41,18,784,230,113,146,96,70,654,14,4,0,0,3,19,781,295,306,145,85,1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,11,6,3,0,0,17,0,0,0,0,0,0,803,301,308,143,85,1645,0,0,0,0,0,0,17,0,0,0,0,22,108,16,15,5,0,147,439,134,129,40,18,750,241,107,150,102,44,642,7,3,5,0,0,19,817,259,299,146
LGA17750,1146,368,133,6444,2199,1221,1680,1107,531,6744,69,31,18,9,6,134,6066,2871,2896,1501,682,14007,0,0,0,0,0,0,11,0,0,0,0,11,169,36,7,0,0,218,75,26,18,8,0,121,14,10,7,3,0,38,0,0,0,0,0,0,273,76,34,8,0,388,0,0,0,0,0,0,20,3,0,0,0,26,454,94,41,4,3,599,46,19,14,3,0,84,0,3,3,0,0,8,6,3,0,0,0,15,533,128,58,11,3,727,4,0,0,0,0,4,3,0,0,0,0,3,8,5,0,0,0,16,11,5,3,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,29,9,3,0,0,47,5,5,0,0,0,11,6903,3081,2989,1528,682,15184,9,3,0,3,0,13,22,4,0,0,4,32,524,91,42,12,3,671,3209,1388,1002,366,107,6071,2461,1414,1820,1121,540,7363,107,33,33,13,9,200,6334,2931,2905,1516
LGA17850,66,23,7,400,162,43,72,49,21,343,3,0,0,0,0,5,468,134,133,67,34,840,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,478,140,140,74,34,854,3,0,0,0,0,3,4,0,0,0,0,4,68,11,7,3,0,84,214,64,45,14,3,340,133,53,68,59,11,334,11,0,4,0,0,15,426,131,125,75
LGA17900,96,54,25,542,159,90,74,85,63,477,16,3,5,0,6,35,619,265,203,142,102,1338,0,0,0,0,0,0,3,0,0,0,0,3,3,4,0,0,0,3,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,9,0,0,0,0,0,0,11,0,0,0,0,13,7,0,0,0,0,6,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,25,3,0,0,0,0,4,17,0,0,0,0,22,15,3,0,0,0,13,10,6,3,0,0,24,3,3,0,0,0,6,3,0,0,0,0,6,57,13,11,4,0,83,3,0,0,0,0,11,710,285,218,150,105,1460,3,0,0,0,0,9,32,0,3,0,0,35,128,33,10,3,0,175,242,101,86,31,28,485,162,82,102,54,59,453,16,13,3,5,6,39,580,231,210,93
LGA17950,54,24,10,332,120,58,66,44,19,300,8,3,3,0,0,14,351,140,127,66,29,708,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,6,0,0,0,0,0,3,0,0,0,0,0,0,10,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,0,0,0,0,0,0,367,141,131,71,24,740,0,0,0,0,0,0,3,0,0,0,0,6,34,11,7,0,0,55,151,55,37,18,14,271,136,56,52,39,23,307,10,0,0,0,0,16,334,115,100,59
LGA18020,189,75,35,1172,391,132,181,135,82,923,10,6,4,4,3,28,1293,378,403,219,124,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,3,3,0,0,0,3,7,0,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,15,6,3,0,0,26,3,0,0,0,0,3,0,0,0,0,0,5,3,3,0,0,0,3,0,0,0,0,0,6,6,3,3,0,0,12,0,0,0,0,0,0,10,8,4,0,0,29,3,0,0,3,0,6,1325,393,411,228,127,2480,0,0,0,0,0,0,29,4,0,0,0,35,190,31,5,3,0,231,639,172,161,62,23,1053,378,153,174,128,72,905,19,4,10,0,0,32,1260,367,350,189
LGA18050,434,108,27,1432,420,392,678,472,154,2117,16,6,4,3,0,33,1208,818,1172,598,182,3986,4,0,0,0,0,5,48,3,3,0,0,60,534,183,115,22,0,860,530,423,434,122,12,1523,153,170,342,168,57,878,21,5,3,0,0,33,1289,782,898,309,75,3354,76,9,0,0,0,82,1084,73,10,3,0,1173,2896,1071,398,51,5,4417,498,324,277,68,18,1185,34,19,45,21,10,127,57,11,4,0,0,78,4642,1510,738,146,31,7060,3,0,0,0,0,3,11,3,0,0,0,12,23,11,6,0,0,44,3,7,9,4,0,21,0,0,0,3,3,3,0,0,0,0,0,0,38,18,18,11,3,79,16,12,3,6,3,33,7188,3140,2829,1064,291,14512,0,0,0,0,0,0,3,3,0,0,0,9,87,37,26,3,0,159,454,229,335,84,16,1117,450,370,708,464,170,2164,16,14,15,6,3,44,1013,654,1076,555
LGA18100,52,28,7,465,184,65,79,61,21,403,12,3,0,0,3,16,571,168,144,92,37,1004,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,591,175,142,93,37,1034,0,0,0,0,0,0,8,0,0,0,0,12,100,13,0,0,0,113,237,61,45,20,5,363,178,67,74,56,26,405,17,3,0,0,0,20,539,142,125,80
LGA18200,160,54,31,900,227,102,122,96,48,600,12,8,0,0,0,18,844,320,297,154,83,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,4,0,0,0,0,4,13,6,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,31,0,0,0,0,0,3,9,0,0,0,0,9,10,0,0,0,0,10,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0,0,39,0,4,0,0,0,3,908,330,304,159,91,1781,3,0,0,0,0,8,15,3,0,0,0,15,97,25,9,3,3,137,444,164,143,56,19,822,215,110,140,93,36,593,17,9,5,4,3,35,785,308,296,160
LGA18230,877,346,137,4979,1877,1050,1302,823,492,5557,64,20,12,5,6,117,4903,2345,2246,1196,641,11332,0,0,0,0,0,0,3,0,0,0,0,4,161,30,19,3,0,210,52,33,15,4,0,110,6,6,6,5,4,33,5,3,0,0,0,7,232,79,41,14,3,363,0,0,0,0,0,0,31,3,3,0,0,34,192,44,8,3,0,247,22,11,9,0,0,39,3,0,3,0,0,12,0,0,0,0,0,3,251,58,23,9,0,330,3,0,0,0,0,3,8,0,0,0,0,7,12,3,0,0,0,12,9,9,3,0,0,18,3,0,0,0,4,11,7,0,3,0,0,8,41,16,9,0,3,66,3,0,0,0,0,3,5425,2493,2312,1213,655,12101,0,0,0,0,0,5,38,8,7,4,0,55,367,96,40,17,10,534,2274,1146,756,283,107,4567,2031,1199,1360,835,489,5921,68,34,23,14,6,152,4784,2492,2195,1150
LGA18250,1160,283,44,3948,1125,1099,1815,1063,343,5447,30,9,8,3,4,54,3177,2238,3080,1380,400,10276,3,0,0,0,0,3,16,0,0,0,0,16,245,129,72,10,3,459,271,195,215,53,10,743,37,35,43,24,8,153,0,4,0,0,0,9,572,365,329,84,21,1377,45,7,0,0,0,52,711,121,25,3,0,863,2124,1079,565,81,20,3866,417,341,312,89,27,1186,10,7,18,10,3,41,23,8,13,0,0,47,3333,1563,932,184,50,6065,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4,0,0,17,4,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,14,6,4,0,32,3,3,0,0,0,3,7108,4183,4352,1650,469,17757,0,0,0,0,3,6,13,10,3,0,0,29,356,117,83,23,3,578,1304,823,1057,227,56,3468,1260,1156,2072,1146,409,6047,41,20,21,18,8,110,2974,2128,3239,1412
LGA18350,781,260,78,4710,2299,954,1289,764,399,5703,58,12,8,8,3,98,5682,1994,2142,1048,491,11352,0,0,0,0,0,0,10,0,0,0,0,14,104,28,0,0,0,133,163,50,36,5,6,258,66,23,37,32,6,162,3,3,0,0,0,4,348,106,74,34,13,578,0,0,0,0,0,0,4,0,0,0,0,4,45,9,0,0,0,52,14,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,61,7,4,0,0,75,0,0,0,0,0,0,9,0,0,0,0,9,6,3,3,0,0,11,4,6,3,0,0,13,3,0,0,0,0,6,0,0,0,0,0,0,21,5,5,0,0,38,5,0,4,0,0,13,6126,2116,2225,1084,507,12052,7,3,0,0,0,11,73,4,4,0,3,90,554,101,58,10,3,724,2698,935,765,223,89,4704,2666,1123,1386,845,409,6430,81,24,24,5,4,134,6081,2190,2242,1083
LGA18400,859,262,119,3864,1734,1241,1811,1179,633,6598,48,23,18,18,10,112,3837,2275,2769,1477,767,11118,0,0,0,0,0,0,10,0,0,0,0,8,109,9,3,3,0,118,47,9,6,0,3,67,6,0,4,5,0,17,0,0,0,0,0,3,171,15,11,3,6,208,0,0,0,0,0,0,12,0,0,0,0,12,36,9,5,0,0,53,8,0,0,0,0,12,3,4,0,0,0,8,0,0,0,0,0,3,53,19,11,7,0,88,0,0,0,0,0,0,10,5,0,0,0,18,3,4,3,0,0,8,4,4,3,3,0,18,3,0,3,4,0,9,0,0,0,0,0,0,19,12,9,7,0,49,0,0,0,0,0,0,4086,2317,2801,1491,779,11473,9,0,4,0,0,13,42,9,10,4,3,75,266,92,63,30,11,461,1631,856,760,256,118,3619,2044,1437,2135,1346,788,7753,84,36,28,12,16,174,4075,2431,2997,1650
LGA18450,4727,1321,434,20593,4082,3126,4851,2823,1322,16208,226,67,55,24,18,392,15902,8735,9998,4264,1794,40695,0,3,0,0,0,3,54,4,4,0,0,66,1128,289,106,18,5,1547,1227,690,464,156,44,2581,89,65,84,50,38,335,49,18,5,0,0,74,2548,1071,664,225,83,4593,11,5,0,5,0,20,264,27,10,0,0,294,2009,589,238,43,7,2878,680,271,160,57,17,1181,30,20,24,14,10,101,51,15,10,0,0,65,3034,927,436,111,37,4546,0,0,0,0,0,0,22,3,0,0,0,22,145,17,5,3,0,172,34,22,9,6,0,70,4,3,0,3,3,17,10,0,0,0,0,17,212,47,15,10,8,296,13,11,0,0,0,19,21721,10790,11111,4618,1921,50152,14,11,7,0,0,33,122,25,22,10,3,182,1834,563,304,83,20,2810,8815,4506,4442,1241,435,19437,4671,3457,5417,3019,1518,18082,263,104,80,51,36,537,15715,8669,10270,4397
LGA18500,279,50,9,1030,628,471,828,594,215,2733,16,3,3,3,0,29,1300,728,1143,651,229,4057,0,0,0,0,0,3,47,3,4,0,0,56,498,147,56,7,0,704,734,420,358,53,9,1574,178,158,216,116,21,691,21,3,3,0,0,25,1482,739,637,175,26,3055,40,0,0,0,0,39,562,31,6,0,0,606,2019,603,183,28,0,2830,850,350,255,56,15,1518,59,33,35,22,6,154,38,6,3,0,0,44,3570,1016,483,102,20,5195,0,0,0,0,0,0,6,0,0,0,0,6,9,6,0,0,0,19,0,3,5,0,0,9,0,0,3,0,0,8,0,0,0,0,0,0,19,10,11,0,0,36,9,0,0,0,0,21,6378,2492,2277,938,275,12363,3,0,0,0,0,6,7,3,0,0,0,13,93,29,12,0,0,133,362,196,212,45,4,822,697,465,830,625,201,2818,17,5,5,8,3,40,1186,700,1061,684
LGA18710,287,100,24,1462,763,369,523,311,158,2131,16,6,4,4,0,30,1767,728,861,432,182,3973,0,0,0,0,0,0,0,0,0,0,0,0,24,5,3,0,0,36,16,4,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,42,11,8,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,16,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,3,4,0,0,19,0,0,0,0,0,3,13,0,3,0,0,15,4,3,0,0,0,11,4,0,3,0,0,5,0,0,0,4,3,3,0,0,0,0,0,0,18,3,8,4,3,36,0,0,0,0,0,0,1842,753,878,439,187,4091,3,0,0,0,0,7,31,0,3,0,4,40,176,47,25,3,4,261,739,302,276,102,26,1444,839,421,631,349,141,2379,23,7,9,6,3,46,1811,783,943,463
LGA19399,17,11,0,101,40,23,28,12,8,112,3,0,0,0,0,3,121,58,46,21,9,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,9,3,0,0,0,6,0,0,0,0,0,0,128,61,46,21,13,265,0,0,0,0,0,0,12,0,3,0,0,10,17,12,3,0,0,34,36,16,17,5,0,74,39,24,26,17,14,109,4,0,3,0,0,5,110,47,43,22
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,300,100,27,1759,394,153,206,131,57,947,23,3,5,3,0,28,1702,517,538,241,82,3076,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,24,14,0,3,0,0,13,8,0,0,0,0,7,4,0,0,0,0,4,39,12,6,0,0,54,0,0,0,0,0,0,3,0,0,0,0,3,13,7,0,0,0,22,5,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,23,4,4,0,0,37,0,0,0,0,0,0,3,0,0,0,0,6,4,3,0,0,0,5,5,4,0,0,0,14,0,3,0,0,3,3,0,0,0,0,0,3,17,15,0,0,3,39,3,0,0,0,0,7,1787,547,546,244,87,3205,0,0,0,0,0,0,20,3,3,0,0,29,254,35,21,4,3,317,1024,303,262,83,21,1697,426,158,210,140,51,993,33,7,4,4,3,53,1761,510,505,238
LGA20260,256,92,34,1572,375,162,190,121,66,914,23,5,4,3,0,36,1525,516,469,220,110,2832,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,4,4,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,11,4,5,0,0,22,0,0,0,0,0,0,3,3,0,0,0,7,25,0,0,0,0,27,0,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,29,7,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,9,5,3,0,0,16,0,0,0,0,0,0,1573,538,484,220,111,2914,0,3,0,0,0,3,12,3,4,0,0,22,214,29,14,5,0,261,843,283,216,72,32,1445,391,168,202,107,66,930,37,4,11,0,4,57,1499,486,442,181
LGA20570,2382,760,217,12761,2091,1389,2017,1338,596,7438,99,33,38,14,8,190,9946,4659,4530,2139,830,22110,0,0,0,0,0,0,28,3,0,0,0,28,270,44,16,0,0,330,175,66,51,13,0,309,19,8,13,7,3,50,7,0,0,0,3,18,501,130,81,21,5,739,0,0,0,0,0,0,67,5,0,0,0,76,455,52,21,4,0,533,79,40,13,10,0,145,3,7,5,5,0,16,13,10,4,0,0,22,618,112,43,17,4,785,0,3,0,0,0,3,20,0,0,0,0,20,10,5,0,0,0,16,3,3,0,0,0,10,0,3,6,0,0,12,0,0,0,0,0,0,33,13,8,5,0,63,0,0,0,0,0,0,11098,4906,4663,2180,838,23696,9,0,4,0,0,11,43,9,3,3,0,58,1165,256,105,21,9,1559,6232,2670,2228,590,184,11907,2530,1671,2400,1427,599,8634,144,53,41,23,18,267,10131,4662,4783,2064
LGA20660,3751,801,181,14856,2508,1970,3028,1818,690,10013,125,41,27,17,11,221,10787,6037,7049,2672,894,27444,0,0,0,0,0,0,29,4,0,0,0,43,649,192,56,8,0,902,601,390,234,38,40,1313,38,25,31,23,10,126,11,3,3,0,3,31,1333,620,329,73,61,2409,0,0,0,0,0,0,85,12,0,0,0,95,735,231,77,11,11,1068,257,147,102,19,6,523,13,13,9,4,10,51,18,3,6,3,4,33,1105,406,189,40,26,1769,0,0,0,0,0,0,3,0,0,0,0,5,7,3,0,0,0,11,8,3,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,18,5,5,3,0,33,5,0,0,0,0,3,13244,7065,7574,2793,982,31657,10,3,3,0,0,15,50,5,12,4,0,70,1281,432,188,45,6,1955,6283,3449,3583,748,148,14205,2696,2067,3352,1804,660,10576,144,56,66,20,20,305,10458,6020,7194,2629
