LGA_CODE_2016,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_749_REA,C06_650_749_ST_HA,C06_650_749_Pe_no_sa_ho,C06_650_749_H_co_op_c_ch_gr,C06_650_749_Oth_lan_typ,C06_650_749_LLT_NS,C06_650_749_Tot,C06_750_849_REA,C06_750_849_ST_HA,C06_750_849_Pe_no_sa_ho,C06_750_849_H_co_op_c_ch_gr,C06_750_849_Oth_lan_typ,C06_750_849_LLT_NS,C06_750_849_Tot,C06_850_950_REA,C06_850_949_ST_HA,C06_850_949_Pe_no_sa_ho,C06_850_949_H_co_op_c_ch_gr,C06_850_949_Oth_lan_typ,C06_850_949_LLT_NS,C06_850_949_Tot,C06_950_over_REA,C06_950_over_ST_HA,C06_950over_Pe_no_sa_ho,C06_950ov_H_co_op_c_ch_gr,C06_950over_Oth_lan_typ,C06_950over_LLT_NS,C06_950_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_co_op_c_ch_gr,C11_550_649_Oth_lan_typ,C11_550_649_LLT_NS,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Pe_no_sa_ho,C11_650_749_H_co_op_c_ch_gr,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Pe_no_sa_ho,C11_750_849_H_co_op_c_ch_gr,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Pe_no_sa_ho,C11_850_949_H_co_op_c_ch_gr
LGA10050,31,281,60,48,31,65,507,234,204,39,9,16,10,520,972,259,253,31,35,13,1558,950,75,291,12,28,8,1369,331,25,117,0,11,0,483,447,5,97,0,17,0,567,247,0,56,0,4,4,310,64,0,26,0,4,0,88,7,0,15,0,0,0,25,3,0,3,0,4,0,6,3,0,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,10,22,12,0,3,0,45,48,62,37,6,12,9,174,3342,940,995,114,169,108,5670,11,100,60,13,28,41,247,27,238,29,43,15,3,354,718,226,157,31,17,10,1160,834,110,248,26,30,6,1250,440,67,171,7,26,6,712,782,34,178,6,29,4,1041,640,5,129,0,16,3,795,248,0,46,0,8,0,305,40,0,12,0,0,0,57,16,0,6,0,3,0,30,0,0,0,0,0,0,3,4,0,3,0,0,0,10,0,0,5,0
LGA10130,14,135,88,23,87,111,458,68,95,40,23,10,4,242,418,102,213,48,44,11,835,669,62,163,3,21,10,928,269,3,82,3,6,0,356,217,0,35,0,7,0,257,83,3,19,0,3,0,102,18,0,9,0,6,0,33,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,12,7,0,0,0,28,22,31,20,4,23,8,106,1788,451,675,104,196,143,3355,3,43,74,11,72,81,285,16,101,21,3,7,0,146,147,127,106,32,36,8,451,428,110,147,42,21,3,758,266,37,76,16,9,7,415,406,30,107,7,8,0,551,367,3,78,3,10,0,467,219,5,34,0,6,4,274,20,0,8,0,7,0,33,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
LGA10250,5,206,81,52,19,103,464,3,86,20,26,18,0,151,135,133,117,30,87,3,505,438,49,221,10,71,4,791,368,27,153,0,21,5,574,619,15,196,3,18,3,857,533,0,140,3,15,5,697,202,0,46,0,10,0,261,20,0,7,0,8,0,44,5,3,4,0,3,0,16,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,14,10,0,3,0,31,38,37,27,12,21,6,143,2387,570,1021,134,296,139,4544,6,59,72,31,25,74,264,0,206,7,20,9,0,249,28,121,61,42,40,0,292,91,97,102,12,72,7,385,131,16,102,3,30,0,286,338,31,167,6,26,3,570,748,12,256,0,23,3,1048,812,10,211,5,16,3,1062,202,0,47,3,0,0,257,45,0,15,0,3,0,58,13,0,0,0,3,0,19,4,0,3,3,0,0,10,3,0,0,0
LGA10300,0,13,17,9,42,28,112,0,4,8,3,10,0,23,19,8,52,0,14,5,94,10,0,23,0,0,0,34,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,21,31,27,106,17,79,30,294,0,3,14,6,25,20,67,0,3,0,4,0,0,15,19,4,21,14,8,0,59,13,7,33,0,9,0,70,9,0,3,0,0,0,9,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,15,190,102,17,43,87,468,50,105,30,13,4,0,205,352,121,192,24,21,8,703,673,75,192,5,20,12,972,367,12,91,0,9,3,477,394,0,56,0,4,3,461,206,0,18,0,0,3,234,33,0,4,0,4,0,42,3,0,0,0,0,0,3,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,3,5,3,0,0,19,25,40,30,3,12,11,120,2125,560,721,72,125,123,3724,13,67,88,23,29,78,297,11,136,13,8,4,0,180,163,144,108,13,26,3,454,386,119,156,15,7,6,682,299,54,153,6,15,0,522,619,16,143,5,6,3,790,570,5,108,4,3,5,696,275,0,47,0,3,0,324,34,0,6,0,0,0,43,5,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0
LGA10550,14,91,110,51,51,136,447,19,76,43,16,6,0,155,200,77,216,19,30,9,546,588,61,255,9,22,9,935,195,4,88,0,6,3,293,232,3,76,4,14,4,323,94,0,20,0,3,0,122,10,0,4,0,5,0,25,0,0,4,0,10,0,17,0,0,3,0,3,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,3,9,0,4,0,25,18,17,40,11,24,5,116,1375,335,856,109,183,166,3031,5,25,86,11,42,99,266,5,87,25,24,12,0,155,69,90,119,32,24,0,335,346,57,209,11,23,7,663,250,20,122,4,12,4,418,364,37,143,10,9,3,562,331,9,87,3,11,3,438,90,0,20,0,7,0,122,11,0,3,0,4,0,18,0,0,3,0,0,0,3,3,0,0,0,3,0,6,0,0,0,0,3,0,3,0,0,0,0
LGA10600,5,39,53,10,24,46,172,3,16,14,0,11,0,54,76,22,97,9,22,0,223,203,13,116,0,8,0,346,109,5,59,0,3,0,173,113,0,42,0,4,0,165,26,0,6,0,0,0,41,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,8,16,0,4,3,37,541,105,417,26,86,53,1226,0,5,43,3,13,43,116,0,37,6,0,8,0,59,31,19,60,7,19,6,140,66,7,76,9,9,3,170,83,5,60,0,4,0,159,123,5,85,3,10,0,225,166,6,79,0,4,0,258,86,0,45,0,0,0,127,12,0,3,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,10,13,48,19,52,34,173,36,3,28,3,3,0,82,89,7,90,4,28,3,221,73,0,42,3,7,0,129,16,0,12,0,0,0,24,13,0,10,0,0,0,22,3,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,6,0,8,0,21,241,24,251,25,107,39,690,3,0,39,7,31,41,124,24,3,23,5,3,0,61,75,14,71,6,23,0,186,124,6,72,0,5,5,212,35,0,15,0,6,0,60,44,0,14,0,0,0,56,12,0,3,0,0,0,15,0,0,3,0,0,0,3,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10750,40,2096,219,69,30,259,2711,18,1291,23,35,13,20,1398,210,2133,223,75,115,50,2802,2126,1481,743,49,179,45,4623,2835,465,922,11,109,31,4374,4800,264,877,23,100,34,6097,1682,16,342,4,30,12,2077,780,6,116,10,10,5,933,90,11,27,0,0,0,126,21,19,4,0,3,5,57,8,3,0,0,0,0,19,9,3,0,0,0,0,14,3,3,0,0,0,0,6,70,112,17,0,7,6,218,223,551,148,20,45,44,1032,12907,8455,3672,301,636,522,26487,34,776,270,70,44,179,1366,7,1771,12,42,6,3,1840,38,1861,140,70,42,19,2177,193,1580,259,85,74,13,2211,320,788,314,42,96,12,1567,1364,575,575,51,96,18,2679,4833,263,1259,49,137,41,6578,5207,50,867,18,129,24,6290,1305,12,253,3,9,4,1592,550,8,69,9,12,4,647,99,7,21,3,3,0,135,18,16,7,0,0,0,48,7,7,4,3
LGA10800,6,13,62,11,44,50,183,11,13,22,6,10,0,49,29,18,62,4,13,0,128,17,3,35,0,18,0,68,3,0,13,0,3,0,24,12,0,3,0,11,0,33,8,0,0,0,10,0,17,3,0,0,0,8,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,7,0,30,90,52,208,19,130,57,542,3,3,46,9,34,36,132,7,10,16,0,0,0,33,40,13,34,4,7,0,98,29,8,32,0,15,0,91,21,3,16,0,7,0,41,17,0,8,0,19,0,50,12,0,3,0,3,0,21,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
