LGA_NAME16	Year	CountryOfBirth	Sex	persons
Albury (C)	2006		F	1636
Albury (C)	2006		M	1712
Albury (C)	2006	AUS	F	20499
Albury (C)	2006	AUS	M	19038
Albury (C)	2006	CAN	F	19
Albury (C)	2006	CAN	M	31
Albury (C)	2006	CHN	F	18
Albury (C)	2006	CHN	M	18
Albury (C)	2006	DEU	F	155
Albury (C)	2006	DEU	M	131
Albury (C)	2006	EGY	F	8
Albury (C)	2006	EGY	M	7
Albury (C)	2006	FJI	F	17
Albury (C)	2006	FJI	M	21
Albury (C)	2006	GBR	F	630
Albury (C)	2006	GBR	M	667
Albury (C)	2006	GRC	F	35
Albury (C)	2006	GRC	M	39
Albury (C)	2006	HKG	F	10
Albury (C)	2006	HKG	M	11
Albury (C)	2006	HRV	F	31
Albury (C)	2006	HRV	M	21
Albury (C)	2006	IDN	F	5
Albury (C)	2006	IDN	M	3
Albury (C)	2006	IND	F	35
Albury (C)	2006	IND	M	50
Albury (C)	2006	IRL	F	23
Albury (C)	2006	IRL	M	28
Albury (C)	2006	IRN	F	7
Albury (C)	2006	IRN	M	3
Albury (C)	2006	IRQ	F	4
Albury (C)	2006	IRQ	M	3
Albury (C)	2006	ITA	F	48
Albury (C)	2006	ITA	M	53
Albury (C)	2006	JPN	F	5
Albury (C)	2006	JPN	M	4
Albury (C)	2006	KOR	F	14
Albury (C)	2006	KOR	M	4
Albury (C)	2006	LBN	F	4
Albury (C)	2006	LBN	M	17
Albury (C)	2006	LKA	F	16
Albury (C)	2006	LKA	M	15
Albury (C)	2006	MKD	F	0
Albury (C)	2006	MKD	M	0
Albury (C)	2006	MLT	F	3
Albury (C)	2006	MLT	M	11
Albury (C)	2006	MYS	F	22
Albury (C)	2006	MYS	M	7
Albury (C)	2006	NLD	F	100
Albury (C)	2006	NLD	M	111
Albury (C)	2006	NZL	F	228
Albury (C)	2006	NZL	M	241
Albury (C)	2006	PAK	F	0
Albury (C)	2006	PAK	M	3
Albury (C)	2006	PHL	F	106
Albury (C)	2006	PHL	M	37
Albury (C)	2006	POL	F	35
Albury (C)	2006	POL	M	23
Albury (C)	2006	SGP	F	9
Albury (C)	2006	SGP	M	4
Albury (C)	2006	THA	F	21
Albury (C)	2006	THA	M	5
Albury (C)	2006	TUR	F	0
Albury (C)	2006	TUR	M	0
Albury (C)	2006	USA	F	40
Albury (C)	2006	USA	M	38
Albury (C)	2006	VNM	F	3
Albury (C)	2006	VNM	M	0
Albury (C)	2006	ZAF	F	65
Albury (C)	2006	ZAF	M	60
Albury (C)	2006	ZWE	F	17
Albury (C)	2006	ZWE	M	12
Albury (C)	2011		F	1686
Albury (C)	2011		M	1726
Albury (C)	2011	AUS	F	21056
Albury (C)	2011	AUS	M	19417
Albury (C)	2011	CAN	F	17
Albury (C)	2011	CAN	M	29
Albury (C)	2011	CHN	F	35
Albury (C)	2011	CHN	M	37
Albury (C)	2011	DEU	F	159
Albury (C)	2011	DEU	M	130
Albury (C)	2011	EGY	F	5
Albury (C)	2011	EGY	M	14
