LGA_NAME16	Year	Sex	IndigenousStatus	persons
Albury (C)	2006	F	Aboriginal	465
Albury (C)	2006	F	Both Aboriginal & Torres Strait Islander	10
Albury (C)	2006	F	Non-indigenous	23368
Albury (C)	2006	F	Torres Strait Islander	11
Albury (C)	2006	M	Aboriginal	458
Albury (C)	2006	M	Both Aboriginal & Torres Strait Islander	12
Albury (C)	2006	M	Non-indigenous	21938
Albury (C)	2006	M	Torres Strait Islander	16
Albury (C)	2011	F	Aboriginal	533
Albury (C)	2011	F	Both Aboriginal & Torres Strait Islander	14
Albury (C)	2011	F	Non-indigenous	24177
Albury (C)	2011	F	Torres Strait Islander	16
Albury (C)	2011	M	Aboriginal	507
Albury (C)	2011	M	Both Aboriginal & Torres Strait Islander	7
Albury (C)	2011	M	Non-indigenous	22532
Albury (C)	2011	M	Torres Strait Islander	27
Albury (C)	2016	F	Aboriginal	700
Albury (C)	2016	F	Both Aboriginal & Torres Strait Islander	8
Albury (C)	2016	F	Non-indigenous	25688
Albury (C)	2016	F	Torres Strait Islander	15
Albury (C)	2016	M	Aboriginal	661
Albury (C)	2016	M	Both Aboriginal & Torres Strait Islander	12
Albury (C)	2016	M	Non-indigenous	23970
Albury (C)	2016	M	Torres Strait Islander	19
Armidale Regional (A)	2006	F	Aboriginal	850
Armidale Regional (A)	2006	F	Both Aboriginal & Torres Strait Islander	16
Armidale Regional (A)	2006	F	Non-indigenous	13360
Armidale Regional (A)	2006	F	Torres Strait Islander	14
Armidale Regional (A)	2006	M	Aboriginal	809
Armidale Regional (A)	2006	M	Both Aboriginal & Torres Strait Islander	9
Armidale Regional (A)	2006	M	Non-indigenous	12523
Armidale Regional (A)	2006	M	Torres Strait Islander	17
Armidale Regional (A)	2011	F	Aboriginal	1013
Armidale Regional (A)	2011	F	Both Aboriginal & Torres Strait Islander	12
Armidale Regional (A)	2011	F	Non-indigenous	13743
Armidale Regional (A)	2011	F	Torres Strait Islander	9
Armidale Regional (A)	2011	M	Aboriginal	898
Armidale Regional (A)	2011	M	Both Aboriginal & Torres Strait Islander	13
Armidale Regional (A)	2011	M	Non-indigenous	12800
Armidale Regional (A)	2011	M	Torres Strait Islander	8
Armidale Regional (A)	2016	F	Aboriginal	1076
Armidale Regional (A)	2016	F	Both Aboriginal & Torres Strait Islander	12
Armidale Regional (A)	2016	F	Non-indigenous	14115
Armidale Regional (A)	2016	F	Torres Strait Islander	17
Armidale Regional (A)	2016	M	Aboriginal	1031
Armidale Regional (A)	2016	M	Both Aboriginal & Torres Strait Islander	16
Armidale Regional (A)	2016	M	Non-indigenous	13161
Armidale Regional (A)	2016	M	Torres Strait Islander	19
Ballina (A)	2006	F	Aboriginal	520
Ballina (A)	2006	F	Both Aboriginal & Torres Strait Islander	9
Ballina (A)	2006	F	Non-indigenous	19454
Ballina (A)	2006	F	Torres Strait Islander	15
Ballina (A)	2006	M	Aboriginal	486
Ballina (A)	2006	M	Both Aboriginal & Torres Strait Islander	7
Ballina (A)	2006	M	Non-indigenous	17962
Ballina (A)	2006	M	Torres Strait Islander	8
Ballina (A)	2011	F	Aboriginal	645
Ballina (A)	2011	F	Both Aboriginal & Torres Strait Islander	11
Ballina (A)	2011	F	Non-indigenous	19762
Ballina (A)	2011	F	Torres Strait Islander	15
Ballina (A)	2011	M	Aboriginal	522
Ballina (A)	2011	M	Both Aboriginal & Torres Strait Islander	19
Ballina (A)	2011	M	Non-indigenous	18285
Ballina (A)	2011	M	Torres Strait Islander	17
Ballina (A)	2016	F	Aboriginal	670
Ballina (A)	2016	F	Both Aboriginal & Torres Strait Islander	11
Ballina (A)	2016	F	Non-indigenous	20958
Ballina (A)	2016	F	Torres Strait Islander	19
Ballina (A)	2016	M	Aboriginal	628
Ballina (A)	2016	M	Both Aboriginal & Torres Strait Islander	11
Ballina (A)	2016	M	Non-indigenous	19457
Ballina (A)	2016	M	Torres Strait Islander	31
Balranald (A)	2006	F	Aboriginal	90
Balranald (A)	2006	F	Both Aboriginal & Torres Strait Islander	0
Balranald (A)	2006	F	Non-indigenous	1084
Balranald (A)	2006	F	Torres Strait Islander	0
Balranald (A)	2006	M	Aboriginal	70
Balranald (A)	2006	M	Both Aboriginal & Torres Strait Islander	3
Balranald (A)	2006	M	Non-indigenous	1190
Balranald (A)	2006	M	Torres Strait Islander	0
Balranald (A)	2011	F	Aboriginal	79
Balranald (A)	2011	F	Both Aboriginal & Torres Strait Islander	0
Balranald (A)	2011	F	Non-indigenous	1027
