LGA_NAME16	Year	LabourForceStatus	adults
Albury (C)	2006		2004
Albury (C)	2006	Employed (away from work)	1339
Albury (C)	2006	Employed (full-time)	13441
Albury (C)	2006	Employed (part-time)	6731
Albury (C)	2006	Not in the labour force	11842
Albury (C)	2006	Unemployed (looking for work)	1385
Albury (C)	2011		1880
Albury (C)	2011	Employed (away from work)	1441
Albury (C)	2011	Employed (full-time)	13795
Albury (C)	2011	Employed (part-time)	7196
Albury (C)	2011	Not in the labour force	12820
Albury (C)	2011	Unemployed (looking for work)	1378
Albury (C)	2016		3024
Albury (C)	2016	Employed (away from work)	1224
Albury (C)	2016	Employed (full-time)	13599
Albury (C)	2016	Employed (part-time)	8084
Albury (C)	2016	Not in the labour force	13853
Albury (C)	2016	Unemployed (looking for work)	1684
Armidale Regional (A)	2006		1171
Armidale Regional (A)	2006	Employed (away from work)	753
Armidale Regional (A)	2006	Employed (full-time)	6903
Armidale Regional (A)	2006	Employed (part-time)	3887
Armidale Regional (A)	2006	Not in the labour force	8230
Armidale Regional (A)	2006	Unemployed (looking for work)	1032
Armidale Regional (A)	2011		1386
Armidale Regional (A)	2011	Employed (away from work)	767
Armidale Regional (A)	2011	Employed (full-time)	7252
Armidale Regional (A)	2011	Employed (part-time)	4180
Armidale Regional (A)	2011	Not in the labour force	8397
Armidale Regional (A)	2011	Unemployed (looking for work)	953
Armidale Regional (A)	2016		1928
Armidale Regional (A)	2016	Employed (away from work)	736
Armidale Regional (A)	2016	Employed (full-time)	7126
Armidale Regional (A)	2016	Employed (part-time)	4459
Armidale Regional (A)	2016	Not in the labour force	8834
Armidale Regional (A)	2016	Unemployed (looking for work)	1032
Ballina (A)	2006		1569
Ballina (A)	2006	Employed (away from work)	1010
Ballina (A)	2006	Employed (full-time)	9075
Ballina (A)	2006	Employed (part-time)	6128
Ballina (A)	2006	Not in the labour force	12196
Ballina (A)	2006	Unemployed (looking for work)	1269
Ballina (A)	2011		1458
Ballina (A)	2011	Employed (away from work)	1068
Ballina (A)	2011	Employed (full-time)	9075
Ballina (A)	2011	Employed (part-time)	6448
Ballina (A)	2011	Not in the labour force	13071
Ballina (A)	2011	Unemployed (looking for work)	1112
Ballina (A)	2016		2674
Ballina (A)	2016	Employed (away from work)	939
Ballina (A)	2016	Employed (full-time)	9382
Ballina (A)	2016	Employed (part-time)	7140
Ballina (A)	2016	Not in the labour force	13639
Ballina (A)	2016	Unemployed (looking for work)	1086
Balranald (A)	2006		159
Balranald (A)	2006	Employed (away from work)	84
Balranald (A)	2006	Employed (full-time)	774
Balranald (A)	2006	Employed (part-time)	280
Balranald (A)	2006	Not in the labour force	569
Balranald (A)	2006	Unemployed (looking for work)	60
Balranald (A)	2011		146
Balranald (A)	2011	Employed (away from work)	84
Balranald (A)	2011	Employed (full-time)	674
Balranald (A)	2011	Employed (part-time)	272
Balranald (A)	2011	Not in the labour force	593
Balranald (A)	2011	Unemployed (looking for work)	46
Balranald (A)	2016		215
Balranald (A)	2016	Employed (away from work)	63
Balranald (A)	2016	Employed (full-time)	614
Balranald (A)	2016	Employed (part-time)	302
Balranald (A)	2016	Not in the labour force	552
Balranald (A)	2016	Unemployed (looking for work)	55
Bathurst Regional (A)	2006		1175
Bathurst Regional (A)	2006	Employed (away from work)	1077
Bathurst Regional (A)	2006	Employed (full-time)	10032
Bathurst Regional (A)	2006	Employed (part-time)	5066
Bathurst Regional (A)	2006	Not in the labour force	10086
Bathurst Regional (A)	2006	Unemployed (looking for work)	1065
Bathurst Regional (A)	2011		1554
Bathurst Regional (A)	2011	Employed (away from work)	1057
Bathurst Regional (A)	2011	Employed (full-time)	10952
Bathurst Regional (A)	2011	Employed (part-time)	5523
Bathurst Regional (A)	2011	Not in the labour force	10447
Bathurst Regional (A)	2011	Unemployed (looking for work)	988
Bathurst Regional (A)	2016		2428
Bathurst Regional (A)	2016	Employed (away from work)	1079
Bathurst Regional (A)	2016	Employed (full-time)	11165
Bathurst Regional (A)	2016	Employed (part-time)	5923
Bathurst Regional (A)	2016	Not in the labour force	11424
Bathurst Regional (A)	2016	Unemployed (looking for work)	1162
Bega Valley (A)	2006		1176
Bega Valley (A)	2006	Employed (away from work)	868
Bega Valley (A)	2006	Employed (full-time)	6791
Bega Valley (A)	2006	Employed (part-time)	4808
Bega Valley (A)	2006	Not in the labour force	10424
Bega Valley (A)	2006	Unemployed (looking for work)	938
Bega Valley (A)	2011		1320
Bega Valley (A)	2011	Employed (away from work)	934
Bega Valley (A)	2011	Employed (full-time)	6998
Bega Valley (A)	2011	Employed (part-time)	5112
Bega Valley (A)	2011	Not in the labour force	11169
Bega Valley (A)	2011	Unemployed (looking for work)	825
Bega Valley (A)	2016		2146
Bega Valley (A)	2016	Employed (away from work)	895
Bega Valley (A)	2016	Employed (full-time)	6957
Bega Valley (A)	2016	Employed (part-time)	5298
Bega Valley (A)	2016	Not in the labour force	11948
Bega Valley (A)	2016	Unemployed (looking for work)	750
Bellingen (A)	2006		523
Bellingen (A)	2006	Employed (away from work)	308
Bellingen (A)	2006	Employed (full-time)	2322
Bellingen (A)	2006	Employed (part-time)	1879
Bellingen (A)	2006	Not in the labour force	4353
Bellingen (A)	2006	Unemployed (looking for work)	529
