LGA_NAME16	Year	LabourForceStatus	Sex	adults
Albury (C)	2006		F	955
Albury (C)	2006		M	1038
Albury (C)	2006	Employed (away from work)	F	685
Albury (C)	2006	Employed (away from work)	M	654
Albury (C)	2006	Employed (full-time)	F	4545
Albury (C)	2006	Employed (full-time)	M	8900
Albury (C)	2006	Employed (part-time)	F	4896
Albury (C)	2006	Employed (part-time)	M	1839
Albury (C)	2006	Not in the labour force	F	7419
Albury (C)	2006	Not in the labour force	M	4427
Albury (C)	2006	Unemployed (looking for work)	F	671
Albury (C)	2006	Unemployed (looking for work)	M	715
Albury (C)	2011		F	914
Albury (C)	2011		M	967
Albury (C)	2011	Employed (away from work)	F	748
Albury (C)	2011	Employed (away from work)	M	684
Albury (C)	2011	Employed (full-time)	F	4889
Albury (C)	2011	Employed (full-time)	M	8912
Albury (C)	2011	Employed (part-time)	F	5234
Albury (C)	2011	Employed (part-time)	M	1963
Albury (C)	2011	Not in the labour force	F	7738
Albury (C)	2011	Not in the labour force	M	5081
Albury (C)	2011	Unemployed (looking for work)	F	657
Albury (C)	2011	Unemployed (looking for work)	M	720
Albury (C)	2016		F	1545
Albury (C)	2016		M	1472
Albury (C)	2016	Employed (away from work)	F	691
Albury (C)	2016	Employed (away from work)	M	534
Albury (C)	2016	Employed (full-time)	F	4856
Albury (C)	2016	Employed (full-time)	M	8745
Albury (C)	2016	Employed (part-time)	F	5738
Albury (C)	2016	Employed (part-time)	M	2345
Albury (C)	2016	Not in the labour force	F	8087
Albury (C)	2016	Not in the labour force	M	5767
Albury (C)	2016	Unemployed (looking for work)	F	787
Albury (C)	2016	Unemployed (looking for work)	M	896
Armidale Regional (A)	2006		F	571
Armidale Regional (A)	2006		M	607
Armidale Regional (A)	2006	Employed (away from work)	F	368
Armidale Regional (A)	2006	Employed (away from work)	M	379
Armidale Regional (A)	2006	Employed (full-time)	F	2601
Armidale Regional (A)	2006	Employed (full-time)	M	4303
Armidale Regional (A)	2006	Employed (part-time)	F	2601
Armidale Regional (A)	2006	Employed (part-time)	M	1285
Armidale Regional (A)	2006	Not in the labour force	F	4886
Armidale Regional (A)	2006	Not in the labour force	M	3345
Armidale Regional (A)	2006	Unemployed (looking for work)	F	477
Armidale Regional (A)	2006	Unemployed (looking for work)	M	550
Armidale Regional (A)	2011		F	727
Armidale Regional (A)	2011		M	674
Armidale Regional (A)	2011	Employed (away from work)	F	408
Armidale Regional (A)	2011	Employed (away from work)	M	357
Armidale Regional (A)	2011	Employed (full-time)	F	2788
Armidale Regional (A)	2011	Employed (full-time)	M	4461
Armidale Regional (A)	2011	Employed (part-time)	F	2759
Armidale Regional (A)	2011	Employed (part-time)	M	1419
Armidale Regional (A)	2011	Not in the labour force	F	4940
Armidale Regional (A)	2011	Not in the labour force	M	3453
Armidale Regional (A)	2011	Unemployed (looking for work)	F	429
Armidale Regional (A)	2011	Unemployed (looking for work)	M	520
Armidale Regional (A)	2016		F	995
Armidale Regional (A)	2016		M	936
Armidale Regional (A)	2016	Employed (away from work)	F	407
Armidale Regional (A)	2016	Employed (away from work)	M	325
Armidale Regional (A)	2016	Employed (full-time)	F	2793
Armidale Regional (A)	2016	Employed (full-time)	M	4335
Armidale Regional (A)	2016	Employed (part-time)	F	2875
Armidale Regional (A)	2016	Employed (part-time)	M	1585
Armidale Regional (A)	2016	Not in the labour force	F	5021
Armidale Regional (A)	2016	Not in the labour force	M	3810
Armidale Regional (A)	2016	Unemployed (looking for work)	F	476
Armidale Regional (A)	2016	Unemployed (looking for work)	M	554
Ballina (A)	2006		F	842
Ballina (A)	2006		M	732
Ballina (A)	2006	Employed (away from work)	F	507
Ballina (A)	2006	Employed (away from work)	M	505
Ballina (A)	2006	Employed (full-time)	F	3275
Ballina (A)	2006	Employed (full-time)	M	5798
Ballina (A)	2006	Employed (part-time)	F	4046
Ballina (A)	2006	Employed (part-time)	M	2085
Ballina (A)	2006	Not in the labour force	F	7153
Ballina (A)	2006	Not in the labour force	M	5036
Ballina (A)	2006	Unemployed (looking for work)	F	600
Ballina (A)	2006	Unemployed (looking for work)	M	671
Ballina (A)	2011		F	740
Ballina (A)	2011		M	716
Ballina (A)	2011	Employed (away from work)	F	550
Ballina (A)	2011	Employed (away from work)	M	516
Ballina (A)	2011	Employed (full-time)	F	3340
Ballina (A)	2011	Employed (full-time)	M	5732
Ballina (A)	2011	Employed (part-time)	F	4313
Ballina (A)	2011	Employed (part-time)	M	2138
Ballina (A)	2011	Not in the labour force	F	7576
Ballina (A)	2011	Not in the labour force	M	5491
Ballina (A)	2011	Unemployed (looking for work)	F	505
Ballina (A)	2011	Unemployed (looking for work)	M	613
Ballina (A)	2016		F	1406
Ballina (A)	2016		M	1270
Ballina (A)	2016	Employed (away from work)	F	494
Ballina (A)	2016	Employed (away from work)	M	444
Ballina (A)	2016	Employed (full-time)	F	3540
Ballina (A)	2016	Employed (full-time)	M	5843
Ballina (A)	2016	Employed (part-time)	F	4676
Ballina (A)	2016	Employed (part-time)	M	2467
Ballina (A)	2016	Not in the labour force	F	7788
Ballina (A)	2016	Not in the labour force	M	5851
Ballina (A)	2016	Unemployed (looking for work)	F	459
Ballina (A)	2016	Unemployed (looking for work)	M	623
Balranald (A)	2006		F	65
Balranald (A)	2006		M	88
Balranald (A)	2006	Employed (away from work)	F	37
Balranald (A)	2006	Employed (away from work)	M	50
Balranald (A)	2006	Employed (full-time)	F	250
Balranald (A)	2006	Employed (full-time)	M	525
Balranald (A)	2006	Employed (part-time)	F	207
Balranald (A)	2006	Employed (part-time)	M	73
Balranald (A)	2006	Not in the labour force	F	354
Balranald (A)	2006	Not in the labour force	M	216
Balranald (A)	2006	Unemployed (looking for work)	F	33
Balranald (A)	2006	Unemployed (looking for work)	M	24
Balranald (A)	2011		F	63
Balranald (A)	2011		M	79
Balranald (A)	2011	Employed (away from work)	F	36
Balranald (A)	2011	Employed (away from work)	M	46
Balranald (A)	2011	Employed (full-time)	F	220
Balranald (A)	2011	Employed (full-time)	M	458
Balranald (A)	2011	Employed (part-time)	F	187
Balranald (A)	2011	Employed (part-time)	M	86
Balranald (A)	2011	Not in the labour force	F	372
Balranald (A)	2011	Not in the labour force	M	223
Balranald (A)	2011	Unemployed (looking for work)	F	20
Balranald (A)	2011	Unemployed (looking for work)	M	25
Balranald (A)	2016		F	95
Balranald (A)	2016		M	113
Balranald (A)	2016	Employed (away from work)	F	29
Balranald (A)	2016	Employed (away from work)	M	37
Balranald (A)	2016	Employed (full-time)	F	194
Balranald (A)	2016	Employed (full-time)	M	419
Balranald (A)	2016	Employed (part-time)	F	212
Balranald (A)	2016	Employed (part-time)	M	93
Balranald (A)	2016	Not in the labour force	F	321
Balranald (A)	2016	Not in the labour force	M	230
Balranald (A)	2016	Unemployed (looking for work)	F	28
Balranald (A)	2016	Unemployed (looking for work)	M	30
Bathurst Regional (A)	2006		F	594
Bathurst Regional (A)	2006		M	584
Bathurst Regional (A)	2006	Employed (away from work)	F	551
Bathurst Regional (A)	2006	Employed (away from work)	M	531
Bathurst Regional (A)	2006	Employed (full-time)	F	3500
Bathurst Regional (A)	2006	Employed (full-time)	M	6529
Bathurst Regional (A)	2006	Employed (part-time)	F	3612
Bathurst Regional (A)	2006	Employed (part-time)	M	1454
Bathurst Regional (A)	2006	Not in the labour force	F	5553
Bathurst Regional (A)	2006	Not in the labour force	M	4532
Bathurst Regional (A)	2006	Unemployed (looking for work)	F	516
Bathurst Regional (A)	2006	Unemployed (looking for work)	M	544
Bathurst Regional (A)	2011		F	767
Bathurst Regional (A)	2011		M	796
Bathurst Regional (A)	2011	Employed (away from work)	F	540
Bathurst Regional (A)	2011	Employed (away from work)	M	517
Bathurst Regional (A)	2011	Employed (full-time)	F	3861
Bathurst Regional (A)	2011	Employed (full-time)	M	7089
Bathurst Regional (A)	2011	Employed (part-time)	F	3909
Bathurst Regional (A)	2011	Employed (part-time)	M	1608
Bathurst Regional (A)	2011	Not in the labour force	F	5779
Bathurst Regional (A)	2011	Not in the labour force	M	4663
Bathurst Regional (A)	2011	Unemployed (looking for work)	F	479
Bathurst Regional (A)	2011	Unemployed (looking for work)	M	518
