SA3_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
11703,22,10,49,105,182,750,127,110,724,1087,1811,25924,25087,2099,1899,6417,7623,833,3151,68221,58314,103486,96080,199572
11801,15,10,62,148,318,1395,121,148,1179,1987,3166,21399,21718,1005,1153,3257,5170,798,3800,23795,24497,50253,56344,106594
11802,21,18,55,145,339,1390,113,191,1129,2053,3181,23253,22785,1236,1457,3274,4893,934,4040,29808,28018,58494,61195,119690
11901,26,3,67,98,578,1933,58,64,1525,2505,4028,34360,34408,2086,2770,4436,6593,1579,6295,23062,19160,65520,69222,134748
11902,17,9,34,56,288,1124,45,50,1072,1529,2601,29010,28182,1544,1937,3252,4653,941,4291,19528,14698,54269,53763,108033
11903,18,21,33,97,381,1704,45,76,1165,2245,3409,27669,28088,1112,1503,2841,4639,1049,4766,18330,16025,51003,55028,106028
11904,25,12,71,111,415,1500,91,94,1338,2038,3379,29050,28836,1525,1803,3511,5204,1167,4768,21449,18216,56698,58824,115524
12001,13,7,22,68,220,957,29,78,735,1280,2011,18117,18416,690,891,1965,3171,645,2803,12313,12249,33738,37526,71258
12002,3,5,16,47,86,326,33,42,261,466,726,9762,9816,498,630,1717,2694,339,1211,9274,9864,21583,24220,45798
12003,23,21,58,98,361,1556,110,160,1261,2150,3410,29816,29732,1295,1653,3448,5142,955,4770,28059,25143,63569,66447,130010
12101,20,9,32,99,277,1108,44,102,916,1598,2514,24027,24561,790,1055,2220,3773,702,2984,15653,15287,43399,47652,91054
12102,11,4,35,53,190,691,16,45,574,958,1532,18508,18669,606,797,1588,3023,581,2197,9694,8487,30986,33171,64158
12103,20,4,40,99,460,1786,44,113,1500,2543,4039,28468,29408,624,848,1513,3096,1008,4195,12871,12396,44480,49936,94421
12104,8,3,46,100,203,880,57,153,709,1341,2052,18136,18194,900,995,2855,4787,566,2697,14875,16742,37331,43418,80751
12201,7,3,16,45,90,358,14,33,338,557,892,8323,8344,354,399,1157,1612,277,1024,6354,6175,16460,17552,34011
12202,0,7,33,73,187,790,18,35,576,1078,1651,13525,13583,531,664,1731,2659,523,2214,7104,6170,23410,25283,48692
12203,24,14,82,199,530,2042,41,113,1543,2860,4399,31509,31664,1279,1530,3739,5999,1331,5202,20133,17946,57983,62339,120319
12301,8,3,11,22,105,476,6,6,283,592,868,12966,13049,636,894,1285,2236,381,1580,7469,7021,22743,24773,47522
12302,12,11,31,68,215,830,26,27,580,1114,1695,29459,29475,2128,2863,4135,6275,1162,4349,23461,21086,60346,64042,124387
12303,3,0,13,12,81,280,9,9,223,383,605,8687,8754,458,519,1056,1365,322,1048,5313,4650,15835,16340,32176
12401,7,10,29,89,199,770,35,58,548,1077,1622,15379,15408,859,1099,2475,4112,743,2655,10342,9576,29802,32851,62651
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3
12403,12,3,31,64,239,876,22,41,591,1127,1715,26504,26644,1755,2234,3705,5625,1088,3707,20136,18252,53192,56462,109652
12404,3,0,8,27,100,350,12,11,237,456,693,6453,6274,524,609,1183,1793,355,1242,6059,5122,14570,15045,29613
12405,3,4,7,19,67,287,12,8,179,359,535,9616,9600,774,943,1585,2162,375,1490,8710,7606,21059,21808,42867
12501,11,5,17,22,117,492,22,34,348,646,998,20577,18349,968,1089,1981,2609,482,1939,15712,10306,39721,34295,74020
12502,4,3,22,39,146,562,17,24,503,787,1287,14877,15094,546,694,1460,2209,519,2020,8794,7635,26191,27660,53851
12503,28,11,41,82,346,1325,44,47,985,1729,2710,30410,29616,2031,2477,3778,5095,1154,5055,22106,16794,59479,59041,118524
12504,11,3,42,74,366,1293,40,69,935,1661,2597,32567,31614,1265,1484,3066,4583,1039,4312,18941,14650,56880,56645,113525
12601,4,3,12,36,122,507,7,23,438,711,1149,11336,11535,283,358,655,1220,343,1377,6272,5544,18883,20032,38919
12602,13,3,54,134,463,1707,76,210,1355,2428,3780,28679,28901,1031,1229,2703,4468,1083,4505,20531,19169,54024,58273,112299
12701,6,6,16,20,110,400,8,18,312,507,815,20651,20657,1244,1673,2110,3113,545,2511,14131,12168,38679,40118,78799
12702,35,20,41,82,364,1458,41,50,1250,1933,3187,36447,36464,2507,3201,5226,7546,1414,6819,27748,23311,73347,77342,150687
12703,8,9,20,51,180,776,22,24,546,995,1547,23938,23798,1474,1932,2767,4004,753,3590,15871,12965,44798,46288,91086
12801,13,8,45,138,403,1654,42,60,1278,2292,3563,23066,23179,1114,1349,3064,4634,1080,4347,14891,13308,43212,46817,90027
12802,15,7,23,79,323,1151,35,54,843,1537,2381,24185,24298,889,1184,2262,3790,917,3296,13550,11920,41808,44496,86302
19797,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
19999,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
20101,15,12,36,74,281,1198,34,71,801,1603,2398,18574,18671,1278,1730,2978,4684,1049,4015,15828,15034,39714,44132,83848
20102,3,0,16,16,89,316,13,15,233,420,648,5787,5785,377,364,1122,1288,363,1067,3834,3435,11485,11939,23428
20103,3,6,5,17,99,333,11,14,263,439,700,5037,4936,476,407,1248,1249,440,1221,3571,2668,10772,10474,21245
20201,17,16,31,78,325,1194,47,64,886,1632,2515,17017,17106,1232,1559,2784,4335,1012,3651,14043,13499,36093,40147,76243
20202,5,3,19,43,147,500,26,29,433,698,1128,9733,9529,636,659,1884,2321,611,1726,6376,5598,19239,19830,39071
20203,6,0,7,4,49,130,16,3,141,173,311,2459,2455,219,143,541,440,183,483,1433,1110,4841,4624,9469
20301,3,0,0,5,28,126,10,4,97,162,258,4203,4228,230,200,503,549,168,446,2326,1899,7428,7330,14759
20302,29,20,70,141,653,2487,66,119,1845,3343,5191,35367,35051,2290,2934,5509,8197,2057,7753,28823,26492,74047,80427,154470
20303,9,6,26,39,244,872,15,27,723,1154,1869,15959,16020,809,982,2014,2976,793,2602,8093,7636,27678,30213,57894
20401,11,6,31,43,187,635,38,14,565,820,1384,10815,10713,909,885,2224,2424,761,2198,7557,6186,22269,22410,44677
20402,8,3,14,33,225,783,25,40,605,1031,1631,9449,9537,674,732,1648,2077,706,2332,5763,5235,18241,19918,38158
20403,3,8,31,27,199,727,21,29,587,990,1576,14133,14024,943,1055,2433,3122,736,2572,9656,8290,27900,29058,56959
20501,10,3,14,25,123,528,14,22,405,707,1111,10153,10185,600,746,1505,2028,519,1831,6132,5627,18904,20417,39320
20502,9,3,27,22,198,643,14,21,560,839,1395,9704,9663,695,747,1931,2125,717,2206,5521,4697,18560,19432,37995
20503,10,6,35,61,259,884,33,32,752,1204,1954,13103,13046,957,961,2431,3126,854,2840,7349,6507,24686,26481,51170
20504,4,8,35,41,230,858,24,17,655,1106,1759,13338,13431,1111,1358,2677,3267,850,3191,10934,9700,28906,30954,59863
20505,8,0,20,33,147,478,19,18,395,638,1029,8914,8631,655,659,1580,1774,551,1769,6011,4700,17710,17540,35249
20601,12,9,29,34,188,741,43,51,667,1006,1680,13371,13340,722,772,1940,2647,614,2524,19044,19347,35696,38633,74327
20602,3,11,13,23,123,519,34,38,393,692,1089,8097,8121,433,549,1191,1729,392,1547,10187,11380,20301,23327,43625
20603,12,3,27,39,158,673,33,49,525,953,1480,12153,12214,670,850,1599,2423,467,2029,11589,11666,26479,29190,55664
20604,4,3,31,41,139,538,89,131,459,795,1255,16415,16234,1073,1041,2794,3574,437,1740,41027,42902,61748,65498,127245
20605,6,4,42,85,159,615,94,39,565,868,1433,14489,14425,1130,1120,3649,4800,571,2174,23476,23247,43304,45774,89081
20606,13,7,35,61,134,563,59,63,529,830,1352,9280,9505,552,651,1652,2567,394,1806,14836,15442,26714,29973,56683
20607,7,11,28,45,120,424,51,62,445,640,1083,10989,11071,820,973,2481,3522,456,1863,22758,22722,37511,40156,77659
20701,23,13,58,149,487,2239,97,315,1627,3208,4829,34402,35570,1048,1393,2687,5043,1241,5379,26006,25662,65383,73046,138430
20702,15,4,35,78,336,1309,15,43,1178,1818,3004,21646,22287,663,891,1587,2759,942,4032,11421,10089,36258,40064,76324
20703,13,8,49,98,404,1448,43,112,1211,2063,3273,20813,21249,745,981,1911,3532,952,3807,16274,15338,40697,44904,85602
20801,15,14,42,122,416,1723,47,134,1228,2393,3624,21345,21644,765,1027,2271,3971,941,3868,11604,11238,36928,41741,78669
20802,30,20,69,138,550,2098,63,124,1603,2801,4405,29877,30005,1185,1528,3201,5330,1234,5142,22413,21450,57903,63451,121353
20803,27,6,72,115,404,1610,55,94,1235,2161,3393,23273,23332,1324,1631,3433,5495,1155,4521,16244,15140,45419,50110,95538
20804,4,5,11,39,131,488,30,54,411,709,1121,8297,8336,271,317,728,1323,325,1301,6574,6804,16193,18086,34286
20901,23,9,40,102,396,1533,30,52,1188,2066,3253,25245,25384,1196,1511,2845,4710,1180,4352,17463,15966,47926,51928,99850
20902,8,17,29,74,378,1255,59,43,996,1646,2649,17007,16891,1045,1157,2332,3296,1004,3910,17243,15765,38634,41019,79654
20903,7,0,14,21,87,362,13,14,258,462,720,14533,14585,565,685,1376,2162,416,1343,8810,7819,25700,26595,52287
20904,8,5,28,44,374,1123,27,26,980,1458,2440,44756,44882,2420,3248,4505,6944,1480,5637,28808,25020,81967,85741,167708
21001,15,3,19,21,219,753,23,23,706,1003,1713,12950,13001,617,732,1296,2054,611,2622,7854,6765,23324,25176,48500
21002,3,3,5,8,63,194,8,3,166,248,411,6605,6635,318,352,777,1032,238,705,3499,3096,11437,11823,23263
21003,7,7,20,35,366,1303,30,29,987,1635,2626,15035,14775,822,1040,1742,2451,850,3648,11668,9417,30119,31333,61453
21004,5,3,13,11,66,298,14,10,224,399,625,7628,7701,493,645,1125,1670,307,1128,5674,5239,15233,16383,31617
21005,7,7,16,35,191,609,19,10,503,772,1280,32205,32147,1922,2689,3422,4940,945,3951,22890,18661,61389,62385,123772
21101,20,18,41,94,379,1518,36,50,1102,2008,3105,33105,33356,1541,1986,3749,6222,1296,5007,21668,19158,61356,65727,127080
21102,0,0,5,14,76,316,3,8,241,432,668,6198,6277,172,203,469,693,220,863,3303,2880,10358,10918,21275
21103,14,10,42,79,312,1333,28,50,895,1743,2639,22537,22681,1098,1529,2912,5021,1015,3857,14990,13778,42550,46869,89423
21104,3,3,31,58,199,785,22,35,623,1072,1691,13703,13945,481,588,1254,2248,548,2338,7774,6938,23762,26055,49819
21105,19,3,56,71,347,1169,37,42,981,1546,2531,30208,30279,1720,2158,4461,6430,1249,4285,21222,18437,58862,61587,120450
21201,9,6,17,30,140,538,24,27,451,730,1177,18307,18331,1174,1450,2540,3619,643,2165,12604,11703,35266,37261,72532
21202,5,12,26,54,300,971,11,35,763,1274,2043,28196,27858,1360,1781,2970,4559,1018,3736,17862,15047,51408,52981,104387
21203,14,4,30,45,191,679,24,28,506,898,1407,34319,34231,1800,2271,3631,5298,926,3501,22108,18976,62791,64272,127067
21204,26,12,63,99,447,1783,51,64,1408,2346,3755,40270,38632,2174,2516,5084,6978,1597,7111,28814,20489,77934,75725,153660
21205,23,12,40,95,585,2219,49,82,1922,3003,4926,37865,38663,1214,1552,2932,4868,1554,6426,28278,24117,71853,75621,147473
21301,16,11,23,50,344,1375,23,36,961,1737,2699,37530,36876,2529,3173,4836,6866,1460,6120,29121,22886,75476,75921,151396
21302,15,10,30,43,239,881,45,39,720,1188,1910,16445,16469,1014,1218,2393,3310,768,3110,12537,11201,33153,35301,68456
21303,8,13,20,45,174,627,31,37,522,854,1379,13936,13651,980,1083,2173,2975,556,2159,17016,14564,34661,34435,69093
21304,3,7,24,34,169,623,21,11,421,795,1209,29912,29961,1865,2507,3544,5299,875,3232,20631,18430,56815,59435,116252
21305,5,3,19,34,193,758,15,14,529,964,1490,46263,46013,2380,3132,4458,6447,1035,4133,28952,24472,83092,84196,167288
21401,29,7,60,101,392,1292,23,41,1019,1696,2713,23621,23650,1906,2309,4882,7229,1331,4482,20739,18963,52474,56637,109114
21402,43,21,84,147,670,2171,46,69,2036,3022,5059,32811,32857,2052,2438,5227,7941,2033,6754,18964,17082,61091,67067,128156
21501,6,3,30,31,266,1001,56,67,762,1359,2119,12391,12179,886,867,1999,2144,877,3055,8208,6386,24362,24629,48998
21502,3,0,20,34,180,678,26,21,531,889,1419,10289,10241,748,878,1803,2157,630,2358,7777,6771,21243,22402,43642
21503,4,3,16,9,160,596,41,28,498,779,1276,7968,7837,510,516,1213,1256,541,1878,5047,3952,15284,15435,30716
21601,4,4,13,22,158,548,21,18,437,727,1164,7704,7747,542,595,1352,1492,543,1706,4827,4029,14969,15567,30536
21602,4,0,17,11,126,404,19,13,387,547,935,6149,6180,463,474,1081,1139,467,1372,3691,2955,11854,12121,23981
21603,8,9,18,29,174,697,20,23,546,941,1486,12608,12440,911,1101,1920,2462,704,2362,8898,7576,25044,25947,50990
21701,3,3,20,16,174,582,24,16,407,727,1138,7452,7473,489,466,1235,1509,548,1795,4774,3881,14507,15121,29624
21703,4,0,11,18,160,509,31,37,393,661,1053,7490,7455,496,515,1213,1407,513,1754,5380,4187,15094,15331,30421
21704,6,4,19,20,142,636,26,40,476,866,1340,9876,9876,586,738,1407,1952,526,2039,7141,6479,19542,21085,40629
29797,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,9,0,27,4,25
29999,0,0,0,3,4,17,3,3,9,28,38,653,623,351,196,422,328,46,91,2462,1647,3942,2883,6825
30101,7,5,31,39,160,620,17,16,445,825,1276,14655,14662,863,1058,2084,3169,614,2128,9889,8596,28108,29608,57711
30102,17,7,34,68,271,923,24,29,820,1264,2087,17915,17979,1061,1385,2747,3835,861,3200,9908,8686,32483,35078,67566
30103,9,4,24,63,170,688,27,31,455,893,1347,13319,13347,853,1002,2243,3228,560,2184,9211,8495,26188,28255,54445
30201,3,3,18,24,113,511,19,47,342,662,1007,8767,8830,397,501,986,1452,327,1417,5346,5169,15818,17374,33199
30202,13,7,25,61,226,1007,31,75,715,1377,2093,12694,12780,719,906,1987,3035,625,2623,10930,10511,26954,29850,56808
30203,5,0,17,22,70,374,14,81,233,538,773,6766,6703,501,529,1292,1714,255,1104,7194,6350,16004,16401,32413
30204,13,5,37,53,158,628,22,22,482,852,1333,10910,10998,792,897,1913,2932,510,2176,8312,7619,22431,24621,47054
30301,8,7,13,44,140,593,14,32,382,791,1175,10008,10136,424,594,1108,1907,364,1640,7473,7249,19372,21514,40887
30302,11,7,33,55,127,649,29,54,446,895,1336,11588,11555,729,792,2036,2786,462,1836,14771,13790,29584,30762,60344
30303,8,8,21,43,151,697,18,27,486,917,1407,14380,14585,596,761,1497,2472,514,2167,11149,10443,28144,30425,58572
30304,0,0,12,24,89,379,17,16,276,505,783,7290,7284,383,414,936,1363,272,1169,6868,5889,15743,16114,31850
30305,5,3,15,21,101,368,12,15,268,467,731,12487,12633,595,758,1290,1889,352,1353,8217,7355,22938,23984,46926
30306,3,0,12,30,118,459,5,17,303,580,887,10385,10558,393,521,1041,1495,364,1386,8233,6567,20414,20523,40942
30401,3,0,8,16,71,318,5,13,186,406,586,7406,7485,252,325,733,1200,222,896,3880,3615,12486,13518,26009
30402,5,3,7,27,117,424,10,22,349,596,943,10519,10748,285,454,777,1400,329,1188,5319,4823,17232,18617,35848
30403,8,3,10,26,113,411,4,23,332,574,909,8585,8696,367,449,893,1501,262,1167,10832,10817,20936,22621,43562
30404,0,8,18,35,125,601,14,30,363,797,1163,9871,9972,444,611,1130,1988,363,1545,7211,6472,19026,20594,39620
30501,3,7,13,53,72,423,45,115,288,670,956,9193,9167,861,686,2430,2631,316,1243,19089,16544,31891,30267,62160
30502,0,0,8,32,42,198,12,22,139,295,438,6962,7010,420,487,1142,1587,211,681,7465,7298,16209,17068,33278
30503,4,6,26,56,140,629,35,62,413,867,1279,14068,14124,864,956,2570,3233,453,1819,18135,17391,36098,37521,73616
30504,0,5,14,25,66,299,30,33,214,411,626,9397,9441,422,459,1235,1871,244,957,11357,11051,22654,23781,46439
30601,5,3,13,14,45,180,11,4,160,240,398,9816,9995,659,824,1892,2562,311,1056,7609,7076,20281,21509,41791
30602,17,11,34,50,188,762,32,41,508,995,1507,15639,15801,1465,1737,3745,4612,778,2969,17498,15900,39130,41025,80153
30603,4,0,20,25,95,339,17,13,287,438,727,6423,6394,535,455,1398,1202,393,1290,5572,4350,14316,13687,28001
30604,0,3,9,8,30,61,9,0,72,86,159,2022,2019,170,172,572,593,133,300,1969,1754,4867,4830,9701
30605,4,3,23,25,116,407,29,11,399,542,932,7658,7776,565,611,1676,1895,503,1665,5656,4885,16058,16828,32890
30701,6,3,18,16,109,364,31,18,301,467,765,8934,8697,709,604,1495,1243,493,1489,6003,4891,17632,16926,34560
30702,3,0,12,13,123,438,23,29,362,580,937,8702,8715,618,569,1411,1361,484,1535,5560,4321,16777,16496,33273
30703,6,0,20,30,112,464,18,18,363,616,982,8322,8421,587,609,1465,1793,512,1698,5024,4140,15909,16657,32566
30801,0,0,9,3,13,45,9,0,61,67,133,5659,5422,446,344,905,780,163,395,4327,3282,11498,10218,21714
30803,12,7,38,58,301,1066,61,80,869,1441,2306,21778,21391,1659,1817,3917,4662,1220,4066,17338,14721,45908,46664,92567
30804,4,0,3,4,27,103,5,4,87,131,211,3132,3037,204,184,400,341,128,444,1910,1379,5769,5383,11152
30805,6,4,14,12,71,246,10,14,186,325,509,12046,11877,966,915,2197,1998,442,1313,8934,7009,24583,23119,47696
30901,3,3,49,80,177,714,26,26,601,1023,1625,10903,11032,859,974,2549,3476,607,2336,10265,9522,25172,27341,52515
30902,9,3,50,78,209,699,34,23,628,974,1602,9514,9590,778,907,2301,3222,650,2123,8012,7296,21252,23136,44386
30903,15,13,56,86,262,894,32,27,758,1245,2001,12363,12495,951,1321,2842,4506,832,3053,9447,8626,26440,29993,56429
30904,3,0,6,5,28,85,8,3,128,123,253,3969,4003,267,301,787,1023,154,474,2237,1966,7416,7763,15178
30905,3,0,11,10,48,169,7,4,151,218,369,6982,7047,349,468,898,1441,203,677,3989,3703,12422,13329,25756
30906,9,4,16,25,156,502,16,9,465,726,1192,12874,13063,888,1190,2164,3100,493,1833,9429,8506,25841,27693,53531
30907,4,3,22,41,129,505,13,5,409,716,1119,23168,23358,1506,1924,3169,4552,644,2169,15977,15144,44461,47152,91615
30908,8,3,32,39,162,660,4,17,450,857,1307,9247,9383,559,819,1424,2613,415,1864,7324,7130,18967,21817,40781
30909,11,8,50,68,197,807,29,35,544,1062,1605,9492,9626,767,1057,2276,3269,575,2361,11106,9676,24212,25995,50206
30910,9,9,25,29,97,325,18,13,321,466,785,7350,7391,626,673,1900,2347,377,1297,7743,6420,18003,18129,36129
31001,3,0,16,33,120,516,20,24,364,681,1046,13186,12553,1110,1185,2083,3046,495,2130,11710,9460,28589,28379,56975
31002,14,7,29,18,129,447,34,17,401,583,979,12572,12444,1056,1063,2450,2580,657,1906,8577,7101,25306,25094,50400
31003,8,7,28,39,226,818,36,47,630,1068,1699,17553,17702,1632,2078,3241,4589,943,3199,16131,14315,39501,41872,81372
31004,0,0,15,12,46,168,7,5,149,235,387,13969,14070,1146,1540,2065,2869,379,1320,12521,11671,30078,31462,61542
31101,0,0,5,12,60,141,7,8,134,195,328,2644,2610,247,277,535,662,183,518,1865,1610,5470,5682,11152
31102,10,0,23,36,87,238,6,3,251,327,580,6631,6659,642,865,1476,2050,395,1304,6299,5795,15452,16671,32120
31103,4,0,14,21,85,381,8,17,270,492,761,13600,13724,1162,1500,2237,2975,486,1928,12137,10918,29628,31043,60673
