SA3_CODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
10102,3,0,0,123,1183,269,300,90,13,1846,16069,3008,2665,189,85,22008
10103,11,10,21,117,550,64,451,44,162,1262,6757,501,994,283,396,8931
10104,41,24,14,378,1890,282,242,274,38,2725,25136,2754,1732,1021,283,30934
10105,3,6,7,134,917,91,60,51,35,1157,12400,981,420,190,112,14096
10106,10,3,3,139,900,76,42,43,19,1090,12737,595,369,157,120,13977
10201,245,7,5,1262,2644,805,669,288,73,4482,49160,9572,6317,984,325,66351
10202,59,0,10,518,2940,744,484,164,90,4420,49709,6408,3786,641,292,60836
10301,7,0,12,104,1050,168,124,20,61,1420,14751,1610,737,82,235,17419
10302,12,11,5,193,2050,114,193,112,27,2498,20369,613,971,390,290,22633
10303,0,8,3,155,1867,136,70,147,45,2262,16843,975,437,622,192,19078
10304,22,3,9,138,1390,199,136,57,87,1871,19402,1622,767,164,192,22145
10401,8,19,8,146,1419,115,139,231,30,1932,17816,1194,1126,1282,186,21605
10402,40,25,8,384,1721,422,394,289,78,2906,26116,3861,3176,1451,422,35019
10501,3,32,9,174,1260,23,96,267,39,1688,8711,125,526,827,217,10408
10502,7,3,3,89,704,33,50,55,41,881,8078,216,233,161,76,8767
10503,110,10,9,318,1949,153,224,205,26,2564,23043,1274,1587,749,190,26844
10601,5,0,0,217,2226,257,106,54,55,2697,29143,2233,685,242,225,32529
10602,0,0,62,257,1118,220,103,47,116,1605,23539,2569,691,151,385,27330
10603,24,18,3,349,1547,476,127,277,78,2497,22195,4025,1139,889,183,28428
10604,0,0,7,89,861,84,53,66,17,1086,10453,760,341,175,106,11833
10701,16,0,0,218,1196,198,275,41,16,1726,23513,2287,1779,150,82,27808
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10703,122,3,30,304,1390,351,228,86,52,2110,26026,4426,1778,540,217,32984
10704,153,13,38,474,1373,518,1280,286,138,3597,29452,7319,11891,705,412,49785
10801,10,12,7,159,712,178,215,117,24,1248,9951,1881,1561,592,128,14110
10802,9,13,4,151,1485,93,124,161,46,1909,17287,797,1043,906,239,20265
10803,0,0,0,3,21,0,0,0,3,21,149,0,0,0,3,150
10804,194,14,0,592,1436,397,479,215,37,2559,23728,4281,3692,1114,212,33027
10805,3,7,3,237,1318,155,109,110,33,1729,19091,1630,1032,504,174,22428
10901,0,4,4,254,1380,424,151,28,12,1995,20188,3733,544,164,109,24735
10902,0,12,3,55,539,9,49,91,11,699,4514,87,254,308,69,5229
10903,15,13,5,203,1498,82,173,127,28,1909,15587,608,1044,590,120,17950
11001,9,5,3,135,955,96,106,48,17,1217,12286,1012,678,157,134,14266
11002,0,13,7,145,1388,30,89,136,29,1683,14542,305,615,408,220,16085
11003,11,3,0,105,1077,81,196,117,10,1480,8527,481,832,376,95,10302
11004,10,7,6,269,2301,298,138,254,38,3030,27834,2210,899,767,213,31926
11101,89,6,0,379,1488,382,227,59,24,2181,38222,5461,2378,405,98,46561
11102,44,5,0,433,1129,160,48,115,17,1471,25114,1906,586,409,69,28088
11103,57,0,8,476,1986,594,873,140,55,3643,46878,9774,8397,361,295,65695
11201,11,14,7,388,2281,570,256,629,97,3825,23851,5285,1910,2017,382,33442
11202,34,12,8,255,2048,209,257,181,24,2728,24201,1807,1510,771,167,28455
11203,69,26,49,467,1696,620,641,498,49,3500,24287,6918,4752,2153,385,38497
11301,6,5,3,147,1590,103,300,120,23,2126,15535,725,1426,343,148,18173
11302,0,0,0,44,497,22,33,25,6,580,5472,150,185,53,41,5906
11303,52,7,6,366,2173,123,289,115,15,2717,31049,1253,2727,452,160,35641
11401,26,16,16,482,2504,330,160,249,41,3289,35365,2841,1079,1268,303,40857
11402,5,3,3,205,1118,111,42,64,21,1357,17008,1144,352,187,140,18825
11501,413,0,3,1001,966,277,240,0,26,1508,36342,5993,3241,22,107,45692
11502,12,0,0,126,425,14,19,37,14,514,7494,334,212,180,63,8282
11503,0,0,0,45,636,10,3,19,27,687,7977,34,33,91,98,8230
11504,0,0,0,44,381,42,22,45,14,510,8535,1053,168,101,58,9914
11601,33,0,0,266,2075,467,313,8,31,2900,35297,5914,3075,89,150,44533
