SA3_CODE_2016,Managers_C06_M,Managers_C06_F,Managers_C06_P,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Professionals_C06_M,Professionals_C06_F,Professionals_C06_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Tech_trad_wkrs_C06_M,Tech_trad_wkrs_C06_F,Tech_trad_wkrs_C06_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Com_pers_S_work_C06_Cens_M,Com_pers_S_work_C06_Cens_F,Com_pers_S_work_C06_Cens_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Cler_admin_work_C06_M,Cler_admin_work_C06_F,Cler_admin_work_C06_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Sales_workers_C06_M,Sales_workers_C06_F,Sales_workers_C06_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Mach_oper_driv_C06_M,Mach_oper_driv_C06_F,Mach_oper_driv_C06_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Labourers_C06_M,Labourers_C06_F,Labourers_C06_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Inadeq_descr_Ns_C06_M,Inadeq_descr_Ns_C06_F,Inadeq_descr_Ns_C06_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
10102,2570,1495,4064,2738,1818,4560,2900,1964,4860,2313,2673,4984,2631,3170,5803,2586,3382,5970,3106,549,3656,3464,591,4055,3454,592,4046,806,1421,2229,1042,1652,2697,1112,1973,3091,1160,3652,4811,1412,4259,5673,1370,4102,5473,717,1228,1946,818,1343,2161,954,1396,2359,1301,104,1404,1440,104,1537,1307,86,1390,1421,762,2187,1436,673,2110,1533,631,2162,259,185,447,402,321,722,361,317,680,13657,12070,25727,15381,13931,29314,15574,14451,30027
10103,1146,645,1793,1098,645,1745,1115,660,1773,474,669,1146,482,775,1255,475,802,1283,1120,198,1322,1161,221,1382,1118,199,1320,276,567,844,344,649,996,377,778,1159,180,820,1002,185,881,1065,172,892,1072,260,493,758,307,547,853,341,556,896,503,38,539,547,31,577,563,58,620,638,391,1026,660,360,1020,723,422,1144,74,54,124,94,61,159,107,66,171,4668,3879,8547,4876,4169,9046,4993,4441,9436
10104,2327,1454,3781,2123,1292,3410,2045,1341,3387,1536,2103,3637,1620,2450,4069,1526,2655,4188,3259,612,3864,3366,685,4052,3388,735,4126,774,1803,2580,832,2257,3094,913,2416,3331,470,2418,2882,511,2537,3054,528,2524,3051,975,1832,2810,1004,1809,2813,1052,1884,2929,1315,97,1409,1410,116,1522,1362,110,1470,2121,1200,3321,2128,1116,3247,2145,1142,3286,247,164,405,221,162,383,255,177,431,13018,11675,24692,13225,12416,25637,13213,12977,26195
10105,1434,777,2212,1471,758,2232,1459,765,2229,732,1135,1871,806,1283,2093,757,1432,2189,1583,295,1869,1771,338,2108,1851,346,2199,636,1087,1725,755,1300,2061,786,1462,2247,295,1297,1588,376,1468,1845,340,1471,1816,445,833,1285,465,905,1375,540,875,1419,1120,135,1260,1069,115,1183,1112,125,1236,1131,692,1824,1056,627,1682,1170,644,1815,134,69,205,147,87,234,157,105,265,7515,6320,13831,7912,6884,14799,8182,7231,15408
10106,2124,1134,3258,2108,1146,3256,2081,1222,3305,942,1335,2277,1050,1577,2626,966,1705,2674,1713,322,2032,1874,368,2242,1819,370,2189,299,882,1178,384,1046,1429,410,1224,1635,369,1490,1856,423,1634,2053,436,1678,2108,451,750,1207,455,810,1264,478,784,1257,780,55,832,813,61,875,834,64,901,1333,626,1956,1236,560,1801,1285,620,1911,137,86,221,191,141,332,174,124,291,8151,6675,14825,8536,7333,15871,8485,7789,16274
10201,5312,2753,8061,5612,2960,8573,5834,3305,9135,6192,7023,13216,6791,8187,14984,7132,9241,16380,8797,1427,10219,9122,1560,10679,9121,1642,10766,2305,4519,6822,2586,5321,7903,2767,6079,8844,2333,8253,10584,2411,8486,10895,2351,8204,10557,2943,4652,7596,2897,4706,7603,2858,4593,7453,2925,380,3303,2978,368,3346,2999,377,3368,4188,2250,6442,4206,2027,6234,4540,2162,6701,584,435,1019,688,478,1170,753,498,1251,35575,31682,67254,37288,34100,71383,38355,36102,74452
10202,3511,1865,5377,3630,2105,5734,3991,2515,6504,2948,4092,7036,3357,5128,8486,3504,6025,9529,7920,1221,9149,8561,1371,9938,9245,1580,10832,1702,4026,5733,2114,5055,7170,2335,6131,8472,1579,6064,7643,1672,6576,8243,1693,6840,8532,2239,4330,6569,2322,4812,7135,2504,4899,7403,3746,488,4236,4235,459,4689,4482,499,4985,4424,2408,6831,4883,2312,7200,5305,2446,7755,514,369,886,637,390,1030,668,468,1137,28589,24873,53457,31414,28207,59628,33731,31413,65144
10301,1732,834,2561,1694,879,2571,1654,934,2591,1282,1879,3162,1377,2153,3531,1300,2399,3699,2391,426,2814,2569,438,3004,2481,466,2950,612,1200,1808,695,1461,2149,887,1764,2654,441,1922,2364,487,2004,2492,437,1973,2412,621,1275,1893,636,1262,1897,664,1273,1940,1203,101,1300,1348,95,1447,1375,102,1479,1462,887,2352,1521,910,2428,1459,885,2344,159,108,260,203,119,318,211,138,347,9902,8613,18515,10530,9312,19842,10467,9942,20409
10302,4037,1873,5914,3658,1700,5361,3203,1504,4708,890,1819,2708,966,2004,2962,895,2088,2983,2486,516,3001,2529,518,3054,2551,483,3031,379,1550,1932,427,1670,2103,446,1748,2196,366,1973,2343,372,2031,2404,335,1921,2253,731,1105,1835,645,1203,1851,686,1205,1891,1614,114,1729,1913,139,2052,1748,161,1907,2114,1018,3124,1736,919,2651,1829,959,2791,234,169,407,246,159,400,260,169,427,12859,10134,22992,12497,10339,22827,11957,10230,22183
10303,1668,958,2626,1527,883,2404,1429,863,2293,782,1280,2063,815,1500,2317,750,1531,2283,2403,418,2826,2588,459,3051,2596,484,3072,425,1167,1591,463,1339,1809,475,1521,1994,302,1581,1882,286,1746,2034,309,1741,2053,468,1105,1574,460,1091,1549,482,1087,1566,1795,83,1884,2254,116,2368,2094,131,2225,1378,880,2252,1296,832,2132,1310,874,2179,162,99,259,179,121,299,179,114,295,9391,7566,16959,9877,8088,17969,9621,8339,17966
