STE_NAME16	Year	Age5yr	LabourForceStatus	adults
New South Wales	2006	15-19		23344
New South Wales	2006	15-19	Employed (away from work)	7468
New South Wales	2006	15-19	Employed (full-time)	52313
New South Wales	2006	15-19	Employed (hours worked not stated)	9105
New South Wales	2006	15-19	Employed (part-time)	103533
New South Wales	2006	15-19	Not in the labour force	213522
New South Wales	2006	15-19	Unemployed (looking for full-time work)	14738
New South Wales	2006	15-19	Unemployed (looking for part-time work)	15840
New South Wales	2006	20-24		31747
New South Wales	2006	20-24	Employed (away from work)	8768
New South Wales	2006	20-24	Employed (full-time)	175656
New South Wales	2006	20-24	Employed (hours worked not stated)	11307
New South Wales	2006	20-24	Employed (part-time)	92788
New South Wales	2006	20-24	Not in the labour force	82092
New South Wales	2006	20-24	Unemployed (looking for full-time work)	18859
New South Wales	2006	20-24	Unemployed (looking for part-time work)	10647
New South Wales	2006	25-29		32633
New South Wales	2006	25-29	Employed (away from work)	10687
New South Wales	2006	25-29	Employed (full-time)	223768
New South Wales	2006	25-29	Employed (hours worked not stated)	8481
New South Wales	2006	25-29	Employed (part-time)	60304
New South Wales	2006	25-29	Not in the labour force	68525
New South Wales	2006	25-29	Unemployed (looking for full-time work)	13990
New South Wales	2006	25-29	Unemployed (looking for part-time work)	5760
New South Wales	2006	30-34		31669
New South Wales	2006	30-34	Employed (away from work)	14178
New South Wales	2006	30-34	Employed (full-time)	236545
New South Wales	2006	30-34	Employed (hours worked not stated)	8288
New South Wales	2006	30-34	Employed (part-time)	76562
New South Wales	2006	30-34	Not in the labour force	81672
New South Wales	2006	30-34	Unemployed (looking for full-time work)	12131
New South Wales	2006	30-34	Unemployed (looking for part-time work)	5845
New South Wales	2006	35-39		29120
New South Wales	2006	35-39	Employed (away from work)	12033
New South Wales	2006	35-39	Employed (full-time)	230066
New South Wales	2006	35-39	Employed (hours worked not stated)	8915
New South Wales	2006	35-39	Employed (part-time)	91359
New South Wales	2006	35-39	Not in the labour force	84921
New South Wales	2006	35-39	Unemployed (looking for full-time work)	11677
New South Wales	2006	35-39	Unemployed (looking for part-time work)	6582
New South Wales	2006	40-44		27987
New South Wales	2006	40-44	Employed (away from work)	10038
New South Wales	2006	40-44	Employed (full-time)	240571
New South Wales	2006	40-44	Employed (hours worked not stated)	9371
New South Wales	2006	40-44	Employed (part-time)	98376
New South Wales	2006	40-44	Not in the labour force	78613
New South Wales	2006	40-44	Unemployed (looking for full-time work)	11780
New South Wales	2006	40-44	Unemployed (looking for part-time work)	6414
New South Wales	2006	45-49		26101
New South Wales	2006	45-49	Employed (away from work)	10135
New South Wales	2006	45-49	Employed (full-time)	245087
New South Wales	2006	45-49	Employed (hours worked not stated)	8888
New South Wales	2006	45-49	Employed (part-time)	92942
New South Wales	2006	45-49	Not in the labour force	75789
New South Wales	2006	45-49	Unemployed (looking for full-time work)	11022
New South Wales	2006	45-49	Unemployed (looking for part-time work)	5280
New South Wales	2006	50-54		23094
New South Wales	2006	50-54	Employed (away from work)	10224
New South Wales	2006	50-54	Employed (full-time)	212223
New South Wales	2006	50-54	Employed (hours worked not stated)	7229
New South Wales	2006	50-54	Employed (part-time)	78278
New South Wales	2006	50-54	Not in the labour force	84741
New South Wales	2006	50-54	Unemployed (looking for full-time work)	9142
New South Wales	2006	50-54	Unemployed (looking for part-time work)	4172
New South Wales	2006	55-59		22068
New South Wales	2006	55-59	Employed (away from work)	9859
New South Wales	2006	55-59	Employed (full-time)	157823
New South Wales	2006	55-59	Employed (hours worked not stated)	5522
New South Wales	2006	55-59	Employed (part-time)	67899
New South Wales	2006	55-59	Not in the labour force	127747
New South Wales	2006	55-59	Unemployed (looking for full-time work)	7189
New South Wales	2006	55-59	Unemployed (looking for part-time work)	3812
New South Wales	2006	60-64		18564
New South Wales	2006	60-64	Employed (away from work)	5762
New South Wales	2006	60-64	Employed (full-time)	73414
New South Wales	2006	60-64	Employed (hours worked not stated)	3083
New South Wales	2006	60-64	Employed (part-time)	45270
New South Wales	2006	60-64	Not in the labour force	164856
