STE_NAME16	Year	LabourForceStatus	adults
New South Wales	2006		356653
New South Wales	2006	Employed (away from work)	187103
New South Wales	2006	Employed (full-time)	1879627
New South Wales	2006	Employed (part-time)	842713
New South Wales	2006	Not in the labour force	1801010
New South Wales	2006	Unemployed (looking for work)	183156
New South Wales	2011		317011
New South Wales	2011	Employed (away from work)	190944
New South Wales	2011	Employed (full-time)	2007927
New South Wales	2011	Employed (part-time)	939466
New South Wales	2011	Not in the labour force	1933275
New South Wales	2011	Unemployed (looking for work)	196527
New South Wales	2016		399783
New South Wales	2016	Employed (away from work)	174654
New South Wales	2016	Employed (full-time)	2134521
New South Wales	2016	Employed (part-time)	1071151
New South Wales	2016	Not in the labour force	2088240
New South Wales	2016	Unemployed (looking for work)	225546
Victoria	2006		247062
Victoria	2006	Employed (away from work)	146384
Victoria	2006	Employed (full-time)	1445460
Victoria	2006	Employed (part-time)	682602
Victoria	2006	Not in the labour force	1330370
Victoria	2006	Unemployed (looking for work)	130159
Victoria	2011		228181
Victoria	2011	Employed (away from work)	155527
Victoria	2011	Employed (full-time)	1583264
Victoria	2011	Employed (part-time)	791835
Victoria	2011	Not in the labour force	1451593
Victoria	2011	Unemployed (looking for work)	144843
Victoria	2016		305988
Victoria	2016	Employed (away from work)	144696
Victoria	2016	Employed (full-time)	1670556
Victoria	2016	Employed (part-time)	920875
Victoria	2016	Not in the labour force	1610130
Victoria	2016	Unemployed (looking for work)	193465
Queensland	2006		210219
Queensland	2006	Employed (away from work)	113608
Queensland	2006	Employed (full-time)	1180891
Queensland	2006	Employed (part-time)	530501
Queensland	2006	Not in the labour force	971827
Queensland	2006	Unemployed (looking for work)	90951
Queensland	2011		206500
Queensland	2011	Employed (away from work)	125023
Queensland	2011	Employed (full-time)	1302955
Queensland	2011	Employed (part-time)	611294
Queensland	2011	Not in the labour force	1079304
Queensland	2011	Unemployed (looking for work)	131800
Queensland	2016		272339
Queensland	2016	Employed (away from work)	111509
Queensland	2016	Employed (full-time)	1333193
Queensland	2016	Employed (part-time)	691751
Queensland	2016	Not in the labour force	1206040
Queensland	2016	Unemployed (looking for work)	175665
South Australia	2006		63626
South Australia	2006	Employed (away from work)	45173
South Australia	2006	Employed (full-time)	426181
South Australia	2006	Employed (part-time)	218542
South Australia	2006	Not in the labour force	441818
South Australia	2006	Unemployed (looking for work)	38176
South Australia	2011		58886
South Australia	2011	Employed (away from work)	46682
South Australia	2011	Employed (full-time)	445075
South Australia	2011	Employed (part-time)	247599
South Australia	2011	Not in the labour force	466428
South Australia	2011	Unemployed (looking for work)	44968
South Australia	2016		75073
South Australia	2016	Employed (away from work)	40582
South Australia	2016	Employed (full-time)	435110
South Australia	2016	Employed (part-time)	270409
South Australia	2016	Not in the labour force	501988
South Australia	2016	Unemployed (looking for work)	60488
Western Australia	2006		111615
Western Australia	2006	Employed (away from work)	66508
Western Australia	2006	Employed (full-time)	593676
