STE_NAME16	Year	Age5yr	LabourForceStatus	Sex	adults
New South Wales	2006	15-19		F	10603
New South Wales	2006	15-19		M	12740
New South Wales	2006	15-19	Employed (away from work)	F	3992
New South Wales	2006	15-19	Employed (away from work)	M	3477
New South Wales	2006	15-19	Employed (full-time)	F	18473
New South Wales	2006	15-19	Employed (full-time)	M	33843
New South Wales	2006	15-19	Employed (hours worked not stated)	F	4432
New South Wales	2006	15-19	Employed (hours worked not stated)	M	4678
New South Wales	2006	15-19	Employed (part-time)	F	60694
New South Wales	2006	15-19	Employed (part-time)	M	42832
New South Wales	2006	15-19	Not in the labour force	F	101644
New South Wales	2006	15-19	Not in the labour force	M	111875
New South Wales	2006	15-19	Unemployed (looking for full-time work)	F	6074
New South Wales	2006	15-19	Unemployed (looking for full-time work)	M	8666
New South Wales	2006	15-19	Unemployed (looking for part-time work)	F	8383
New South Wales	2006	15-19	Unemployed (looking for part-time work)	M	7466
New South Wales	2006	20-24		F	14118
New South Wales	2006	20-24		M	17627
New South Wales	2006	20-24	Employed (away from work)	F	4497
New South Wales	2006	20-24	Employed (away from work)	M	4274
New South Wales	2006	20-24	Employed (full-time)	F	77123
New South Wales	2006	20-24	Employed (full-time)	M	98531
New South Wales	2006	20-24	Employed (hours worked not stated)	F	4669
New South Wales	2006	20-24	Employed (hours worked not stated)	M	6639
New South Wales	2006	20-24	Employed (part-time)	F	53328
New South Wales	2006	20-24	Employed (part-time)	M	39454
New South Wales	2006	20-24	Not in the labour force	F	47372
New South Wales	2006	20-24	Not in the labour force	M	34722
New South Wales	2006	20-24	Unemployed (looking for full-time work)	F	6849
New South Wales	2006	20-24	Unemployed (looking for full-time work)	M	12009
New South Wales	2006	20-24	Unemployed (looking for part-time work)	F	5727
New South Wales	2006	20-24	Unemployed (looking for part-time work)	M	4925
New South Wales	2006	25-29		F	14623
New South Wales	2006	25-29		M	18010
New South Wales	2006	25-29	Employed (away from work)	F	6498
New South Wales	2006	25-29	Employed (away from work)	M	4187
New South Wales	2006	25-29	Employed (full-time)	F	94579
New South Wales	2006	25-29	Employed (full-time)	M	129189
New South Wales	2006	25-29	Employed (hours worked not stated)	F	3049
New South Wales	2006	25-29	Employed (hours worked not stated)	M	5434
New South Wales	2006	25-29	Employed (part-time)	F	38003
New South Wales	2006	25-29	Employed (part-time)	M	22305
New South Wales	2006	25-29	Not in the labour force	F	48397
New South Wales	2006	25-29	Not in the labour force	M	20128
New South Wales	2006	25-29	Unemployed (looking for full-time work)	F	4824
New South Wales	2006	25-29	Unemployed (looking for full-time work)	M	9164
New South Wales	2006	25-29	Unemployed (looking for part-time work)	F	3755
New South Wales	2006	25-29	Unemployed (looking for part-time work)	M	2001
New South Wales	2006	30-34		F	14746
New South Wales	2006	30-34		M	16922
New South Wales	2006	30-34	Employed (away from work)	F	9161
New South Wales	2006	30-34	Employed (away from work)	M	5012
New South Wales	2006	30-34	Employed (full-time)	F	83081
New South Wales	2006	30-34	Employed (full-time)	M	153465
New South Wales	2006	30-34	Employed (hours worked not stated)	F	2865
New South Wales	2006	30-34	Employed (hours worked not stated)	M	5427
New South Wales	2006	30-34	Employed (part-time)	F	56833
New South Wales	2006	30-34	Employed (part-time)	M	19731
New South Wales	2006	30-34	Not in the labour force	F	63667
New South Wales	2006	30-34	Not in the labour force	M	18008
New South Wales	2006	30-34	Unemployed (looking for full-time work)	F	4004
New South Wales	2006	30-34	Unemployed (looking for full-time work)	M	8126
New South Wales	2006	30-34	Unemployed (looking for part-time work)	F	4349
New South Wales	2006	30-34	Unemployed (looking for part-time work)	M	1495
New South Wales	2006	35-39		F	13641
New South Wales	2006	35-39		M	15486
New South Wales	2006	35-39	Employed (away from work)	F	7073
New South Wales	2006	35-39	Employed (away from work)	M	4959
New South Wales	2006	35-39	Employed (full-time)	F	74156
New South Wales	2006	35-39	Employed (full-time)	M	155917
New South Wales	2006	35-39	Employed (hours worked not stated)	F	3178
New South Wales	2006	35-39	Employed (hours worked not stated)	M	5738
New South Wales	2006	35-39	Employed (part-time)	F	71135
New South Wales	2006	35-39	Employed (part-time)	M	20223
New South Wales	2006	35-39	Not in the labour force	F	65253
New South Wales	2006	35-39	Not in the labour force	M	19671
New South Wales	2006	35-39	Unemployed (looking for full-time work)	F	4054
New South Wales	2006	35-39	Unemployed (looking for full-time work)	M	7629
New South Wales	2006	35-39	Unemployed (looking for part-time work)	F	5125
New South Wales	2006	35-39	Unemployed (looking for part-time work)	M	1457
New South Wales	2006	40-44		F	12761
New South Wales	2006	40-44		M	15232
New South Wales	2006	40-44	Employed (away from work)	F	5071
New South Wales	2006	40-44	Employed (away from work)	M	4968
New South Wales	2006	40-44	Employed (full-time)	F	81511
New South Wales	2006	40-44	Employed (full-time)	M	159063
New South Wales	2006	40-44	Employed (hours worked not stated)	F	3650
New South Wales	2006	40-44	Employed (hours worked not stated)	M	5721
New South Wales	2006	40-44	Employed (part-time)	F	76645
New South Wales	2006	40-44	Employed (part-time)	M	21730
New South Wales	2006	40-44	Not in the labour force	F	56197
New South Wales	2006	40-44	Not in the labour force	M	22415
New South Wales	2006	40-44	Unemployed (looking for full-time work)	F	4461
New South Wales	2006	40-44	Unemployed (looking for full-time work)	M	7325
New South Wales	2006	40-44	Unemployed (looking for part-time work)	F	4947
New South Wales	2006	40-44	Unemployed (looking for part-time work)	M	1471
New South Wales	2006	45-49		F	11773
New South Wales	2006	45-49		M	14328
New South Wales	2006	45-49	Employed (away from work)	F	5215
New South Wales	2006	45-49	Employed (away from work)	M	4922
New South Wales	2006	45-49	Employed (full-time)	F	90876
New South Wales	2006	45-49	Employed (full-time)	M	154211
New South Wales	2006	45-49	Employed (hours worked not stated)	F	3598
New South Wales	2006	45-49	Employed (hours worked not stated)	M	5289
New South Wales	2006	45-49	Employed (part-time)	F	70954
New South Wales	2006	45-49	Employed (part-time)	M	21989
New South Wales	2006	45-49	Not in the labour force	F	50833
New South Wales	2006	45-49	Not in the labour force	M	24954
New South Wales	2006	45-49	Unemployed (looking for full-time work)	F	4212
New South Wales	2006	45-49	Unemployed (looking for full-time work)	M	6807
New South Wales	2006	45-49	Unemployed (looking for part-time work)	F	3838
New South Wales	2006	45-49	Unemployed (looking for part-time work)	M	1441
New South Wales	2006	50-54		F	10699
New South Wales	2006	50-54		M	12398
New South Wales	2006	50-54	Employed (away from work)	F	5312
