STE_NAME16	Year	Age5yr	MaritalStatus	Sex	persons
New South Wales	2006	15-19	Divorced	F	132
New South Wales	2006	15-19	Divorced	M	155
New South Wales	2006	15-19	Married	F	1311
New South Wales	2006	15-19	Married	M	513
New South Wales	2006	15-19	Never married	F	212551
New South Wales	2006	15-19	Never married	M	224687
New South Wales	2006	15-19	Separated	F	142
New South Wales	2006	15-19	Separated	M	117
New South Wales	2006	15-19	Widowed	F	155
New South Wales	2006	15-19	Widowed	M	102
New South Wales	2006	20-24	Divorced	F	690
New South Wales	2006	20-24	Divorced	M	350
New South Wales	2006	20-24	Married	F	22381
New South Wales	2006	20-24	Married	M	9475
New South Wales	2006	20-24	Never married	F	188856
New South Wales	2006	20-24	Never married	M	207660
New South Wales	2006	20-24	Separated	F	1508
New South Wales	2006	20-24	Separated	M	566
New South Wales	2006	20-24	Widowed	F	245
New South Wales	2006	20-24	Widowed	M	130
New South Wales	2006	25-29	Divorced	F	4263
New South Wales	2006	25-29	Divorced	M	2056
New South Wales	2006	25-29	Married	F	79727
New South Wales	2006	25-29	Married	M	53461
New South Wales	2006	25-29	Never married	F	124366
New South Wales	2006	25-29	Never married	M	152219
New South Wales	2006	25-29	Separated	F	4992
New South Wales	2006	25-29	Separated	M	2498
New South Wales	2006	25-29	Widowed	F	393
New South Wales	2006	25-29	Widowed	M	182
New South Wales	2006	30-34	Divorced	F	12617
New South Wales	2006	30-34	Divorced	M	7437
New South Wales	2006	30-34	Married	F	136177
New South Wales	2006	30-34	Married	M	113223
New South Wales	2006	30-34	Never married	F	80164
New South Wales	2006	30-34	Never married	M	101788
New South Wales	2006	30-34	Separated	F	8988
New South Wales	2006	30-34	Separated	M	5490
New South Wales	2006	30-34	Widowed	F	757
New South Wales	2006	30-34	Widowed	M	250
New South Wales	2006	35-39	Divorced	F	22174
New South Wales	2006	35-39	Divorced	M	14409
New South Wales	2006	35-39	Married	F	154990
New South Wales	2006	35-39	Married	M	138614
New South Wales	2006	35-39	Never married	F	52990
New South Wales	2006	35-39	Never married	M	69826
New South Wales	2006	35-39	Separated	F	11969
New South Wales	2006	35-39	Separated	M	7858
New South Wales	2006	35-39	Widowed	F	1493
New South Wales	2006	35-39	Widowed	M	365
New South Wales	2006	40-44	Divorced	F	30287
New South Wales	2006	40-44	Divorced	M	21184
New South Wales	2006	40-44	Married	F	160129
New South Wales	2006	40-44	Married	M	152782
New South Wales	2006	40-44	Never married	F	38648
New South Wales	2006	40-44	Never married	M	53366
New South Wales	2006	40-44	Separated	F	13499
New South Wales	2006	40-44	Separated	M	9755
New South Wales	2006	40-44	Widowed	F	2675
New South Wales	2006	40-44	Widowed	M	834
New South Wales	2006	45-49	Divorced	F	36365
New South Wales	2006	45-49	Divorced	M	26740
