STE_NAME16	Year	IndigenousStatus	persons
New South Wales	2006	Aboriginal	130788
New South Wales	2006	Both Aboriginal & Torres Strait Islander	2950
New South Wales	2006	Non-indigenous	6410662
New South Wales	2006	Torres Strait Islander	4774
New South Wales	2011	Aboriginal	164611
New South Wales	2011	Both Aboriginal & Torres Strait Islander	3244
New South Wales	2011	Non-indigenous	6745031
New South Wales	2011	Torres Strait Islander	4770
New South Wales	2016	Aboriginal	207256
New South Wales	2016	Both Aboriginal & Torres Strait Islander	4080
New South Wales	2016	Non-indigenous	7264053
New South Wales	2016	Torres Strait Islander	4839
Victoria	2006	Aboriginal	27074
Victoria	2006	Both Aboriginal & Torres Strait Islander	855
Victoria	2006	Non-indigenous	4902273
Victoria	2006	Torres Strait Islander	2220
Victoria	2011	Aboriginal	34947
Victoria	2011	Both Aboriginal & Torres Strait Islander	881
Victoria	2011	Non-indigenous	5316053
Victoria	2011	Torres Strait Islander	2158
Victoria	2016	Aboriginal	44592
Victoria	2016	Both Aboriginal & Torres Strait Islander	1171
Victoria	2016	Non-indigenous	5878837
Victoria	2016	Torres Strait Islander	2024
Queensland	2006	Aboriginal	98719
Queensland	2006	Both Aboriginal & Torres Strait Islander	10489
Queensland	2006	Non-indigenous	3776947
Queensland	2006	Torres Strait Islander	18376
Queensland	2011	Aboriginal	122897
Queensland	2011	Both Aboriginal & Torres Strait Islander	12831
Queensland	2011	Non-indigenous	4176914
Queensland	2011	Torres Strait Islander	20095
Queensland	2016	Aboriginal	148943
Queensland	2016	Both Aboriginal & Torres Strait Islander	16493
Queensland	2016	Non-indigenous	4516704
Queensland	2016	Torres Strait Islander	21053
South Australia	2006	Aboriginal	24081
South Australia	2006	Both Aboriginal & Torres Strait Islander	431
South Australia	2006	Non-indigenous	1488787
South Australia	2006	Torres Strait Islander	1041
South Australia	2011	Aboriginal	28831
South Australia	2011	Both Aboriginal & Torres Strait Islander	559
South Australia	2011	Non-indigenous	1566140
South Australia	2011	Torres Strait Islander	1039
South Australia	2016	Aboriginal	32616
South Australia	2016	Both Aboriginal & Torres Strait Islander	629
South Australia	2016	Non-indigenous	1642470
South Australia	2016	Torres Strait Islander	938
Western Australia	2006	Aboriginal	56649
Western Australia	2006	Both Aboriginal & Torres Strait Islander	1007
Western Australia	2006	Non-indigenous	1900372
Western Australia	2006	Torres Strait Islander	1059
Western Australia	2011	Aboriginal	67063
Western Australia	2011	Both Aboriginal & Torres Strait Islander	1296
Western Australia	2011	Non-indigenous	2169503
Western Australia	2011	Torres Strait Islander	1309
Western Australia	2016	Aboriginal	72924
Western Australia	2016	Both Aboriginal & Torres Strait Islander	1628
Western Australia	2016	Non-indigenous	2398424
Western Australia	2016	Torres Strait Islander	1434
Tasmania	2006	Aboriginal	14877
Tasmania	2006	Both Aboriginal & Torres Strait Islander	629
Tasmania	2006	Non-indigenous	459719
Tasmania	2006	Torres Strait Islander	1256
Tasmania	2011	Aboriginal	17742
Tasmania	2011	Both Aboriginal & Torres Strait Islander	713
Tasmania	2011	Non-indigenous	475725
Tasmania	2011	Torres Strait Islander	1171
Tasmania	2016	Aboriginal	21570
Tasmania	2016	Both Aboriginal & Torres Strait Islander	889
Tasmania	2016	Non-indigenous	486387
Tasmania	2016	Torres Strait Islander	1119
Northern Territory	2006	Aboriginal	51705
Northern Territory	2006	Both Aboriginal & Torres Strait Islander	1348
Northern Territory	2006	Non-indigenous	139230
Northern Territory	2006	Torres Strait Islander	616
Northern Territory	2011	Aboriginal	54571
Northern Territory	2011	Both Aboriginal & Torres Strait Islander	1532
Northern Territory	2011	Non-indigenous	155165
Northern Territory	2011	Torres Strait Islander	675
Northern Territory	2016	Aboriginal	55805
Northern Territory	2016	Both Aboriginal & Torres Strait Islander	1699
Northern Territory	2016	Non-indigenous	170585
Northern Territory	2016	Torres Strait Islander	744
Australian Capital Territory	2006	Aboriginal	3603
Australian Capital Territory	2006	Both Aboriginal & Torres Strait Islander	104
Australian Capital Territory	2006	Non-indigenous	320163
Australian Capital Territory	2006	Torres Strait Islander	164
Australian Capital Territory	2011	Aboriginal	4859
Australian Capital Territory	2011	Both Aboriginal & Torres Strait Islander	138
Australian Capital Territory	2011	Non-indigenous	352031
Australian Capital Territory	2011	Torres Strait Islander	190
Australian Capital Territory	2016	Aboriginal	6140
Australian Capital Territory	2016	Both Aboriginal & Torres Strait Islander	183
Australian Capital Territory	2016	Non-indigenous	390891
Australian Capital Territory	2016	Torres Strait Islander	183
Other Territories	2006	Aboriginal	210
Other Territories	2006	Both Aboriginal & Torres Strait Islander	0
Other Territories	2006	Non-indigenous	2098
Other Territories	2006	Torres Strait Islander	12
Other Territories	2011	Aboriginal	236
Other Territories	2011	Both Aboriginal & Torres Strait Islander	4
Other Territories	2011	Non-indigenous	2781
Other Territories	2011	Torres Strait Islander	8
Other Territories	2016	Aboriginal	215
Other Territories	2016	Both Aboriginal & Torres Strait Islander	3
Other Territories	2016	Non-indigenous	4356
Other Territories	2016	Torres Strait Islander	13
