STE_NAME16	Year	Occupation	workers
New South Wales	2006		55478
New South Wales	2006	Clerical and administrative workers	447951
New South Wales	2006	Community and personal service workers	249579
New South Wales	2006	Labourers	277547
New South Wales	2006	Machinery operators and drivers	187134
New South Wales	2006	Managers	396461
New South Wales	2006	Professionals	616284
New South Wales	2006	Sales workers	282292
New South Wales	2006	Technicians and trades workers	396724
New South Wales	2011		57909
New South Wales	2011	Clerical and administrative workers	473140
New South Wales	2011	Community and personal service workers	297668
New South Wales	2011	Labourers	273129
New South Wales	2011	Machinery operators and drivers	199437
New South Wales	2011	Managers	418331
New South Wales	2011	Professionals	713549
New South Wales	2011	Sales workers	290496
New South Wales	2011	Technicians and trades workers	414668
New South Wales	2016		62505
New South Wales	2016	Clerical and administrative workers	467977
New South Wales	2016	Community and personal service workers	350261
New South Wales	2016	Labourers	297887
New South Wales	2016	Machinery operators and drivers	206839
New South Wales	2016	Managers	456084
New South Wales	2016	Professionals	798126
New South Wales	2016	Sales workers	311414
New South Wales	2016	Technicians and trades workers	429239
Victoria	2006		44583
Victoria	2006	Clerical and administrative workers	337417
Victoria	2006	Community and personal service workers	190486
Victoria	2006	Labourers	224546
Victoria	2006	Machinery operators and drivers	149223
Victoria	2006	Managers	306321
Victoria	2006	Professionals	472304
Victoria	2006	Sales workers	230377
Victoria	2006	Technicians and trades workers	319190
Victoria	2011		56224
Victoria	2011	Clerical and administrative workers	364497
Victoria	2011	Community and personal service workers	234380
Victoria	2011	Labourers	227184
Victoria	2011	Machinery operators and drivers	154542
Victoria	2011	Managers	332931
Victoria	2011	Professionals	564779
Victoria	2011	Sales workers	245335
Victoria	2011	Technicians and trades workers	350757
Victoria	2016		46924
Victoria	2016	Clerical and administrative workers	363216
Victoria	2016	Community and personal service workers	289348
Victoria	2016	Labourers	247428
Victoria	2016	Machinery operators and drivers	159193
Victoria	2016	Managers	369921
Victoria	2016	Professionals	636220
Victoria	2016	Sales workers	265142
Victoria	2016	Technicians and trades workers	358749
Queensland	2006		32094
Queensland	2006	Clerical and administrative workers	269199
Queensland	2006	Community and personal service workers	166399
Queensland	2006	Labourers	217249
Queensland	2006	Machinery operators and drivers	132113
Queensland	2006	Managers	225692
Queensland	2006	Professionals	312867
Queensland	2006	Sales workers	189041
Queensland	2006	Technicians and trades workers	280340
Queensland	2011		37033
Queensland	2011	Clerical and administrative workers	299327
Queensland	2011	Community and personal service workers	202980
Queensland	2011	Labourers	215232
Queensland	2011	Machinery operators and drivers	149322
Queensland	2011	Managers	245607
Queensland	2011	Professionals	385580
Queensland	2011	Sales workers	199633
Queensland	2011	Technicians and trades workers	304565
Queensland	2016		34599
Queensland	2016	Clerical and administrative workers	291317
Queensland	2016	Community and personal service workers	241956
Queensland	2016	Labourers	225268
Queensland	2016	Machinery operators and drivers	147636
Queensland	2016	Managers	258509
Queensland	2016	Professionals	423917
Queensland	2016	Sales workers	207795
Queensland	2016	Technicians and trades workers	305441
South Australia	2006		10665
South Australia	2006	Clerical and administrative workers	100238
South Australia	2006	Community and personal service workers	65095
South Australia	2006	Labourers	85887
South Australia	2006	Machinery operators and drivers	44090
South Australia	2006	Managers	92580
South Australia	2006	Professionals	127147
South Australia	2006	Sales workers	66442
South Australia	2006	Technicians and trades workers	97745
South Australia	2011		12160
South Australia	2011	Clerical and administrative workers	106216
South Australia	2011	Community and personal service workers	77702
South Australia	2011	Labourers	82328
South Australia	2011	Machinery operators and drivers	47070
South Australia	2011	Managers	93295
South Australia	2011	Professionals	145127
South Australia	2011	Sales workers	70882
South Australia	2011	Technicians and trades workers	104588
South Australia	2016		11507
South Australia	2016	Clerical and administrative workers	99540
South Australia	2016	Community and personal service workers	89625
South Australia	2016	Labourers	82850
South Australia	2016	Machinery operators and drivers	45515
South Australia	2016	Managers	94075
South Australia	2016	Professionals	151091
South Australia	2016	Sales workers	71761
South Australia	2016	Technicians and trades workers	100142
Western Australia	2006		14687
Western Australia	2006	Clerical and administrative workers	135974
Western Australia	2006	Community and personal service workers	82917
Western Australia	2006	Labourers	102022
Western Australia	2006	Machinery operators and drivers	67894
Western Australia	2006	Managers	117032
Western Australia	2006	Professionals	173954
Western Australia	2006	Sales workers	88082
Western Australia	2006	Technicians and trades workers	153561
Western Australia	2011		16186
Western Australia	2011	Clerical and administrative workers	158179
Western Australia	2011	Community and personal service workers	103386
Western Australia	2011	Labourers	106227
Western Australia	2011	Machinery operators and drivers	83855
Western Australia	2011	Managers	133802
Western Australia	2011	Professionals	218355
Western Australia	2011	Sales workers	94596
Western Australia	2011	Technicians and trades workers	183301
Western Australia	2016		19132
Western Australia	2016	Clerical and administrative workers	150408
Western Australia	2016	Community and personal service workers	122889
Western Australia	2016	Labourers	112599
Western Australia	2016	Machinery operators and drivers	86392
Western Australia	2016	Managers	139350
Western Australia	2016	Professionals	237230
Western Australia	2016	Sales workers	102337
Western Australia	2016	Technicians and trades workers	187396
Tasmania	2006		3028
Tasmania	2006	Clerical and administrative workers	28654
Tasmania	2006	Community and personal service workers	20466
Tasmania	2006	Labourers	25569
Tasmania	2006	Machinery operators and drivers	14580
Tasmania	2006	Managers	26289
Tasmania	2006	Professionals	35894
Tasmania	2006	Sales workers	20301
Tasmania	2006	Technicians and trades workers	29957
Tasmania	2011		3271
