STE_NAME16	Year	Age	Denomination	Religion	persons
New South Wales	2006	0-14		(Other)	139611
New South Wales	2006	0-14		Buddhism	27694
New South Wales	2006	0-14		Christianity	21001
New South Wales	2006	0-14		Hinduism	15012
New South Wales	2006	0-14		Islam	52040
New South Wales	2006	0-14		Judaism	6291
New South Wales	2006	0-14		No religion	218897
New South Wales	2006	0-14	(Other)	(Other)	3526
New South Wales	2006	0-14	(Other)	Christianity	1625
New South Wales	2006	0-14	Anglican	Christianity	230994
New South Wales	2006	0-14	Assyrian Apostolic	Christianity	1384
New South Wales	2006	0-14	Australian Aboriginal Traditional	(Other)	159
New South Wales	2006	0-14	Baptist	Christianity	18321
New South Wales	2006	0-14	Brethren	Christianity	2124
New South Wales	2006	0-14	Catholic	Christianity	401000
New South Wales	2006	0-14	Churches Of Christ	Christianity	1730
New South Wales	2006	0-14	Eastern Orthodox	Christianity	37572
New South Wales	2006	0-14	Jehovah's Witnesses	Christianity	4038
New South Wales	2006	0-14	Latter Day Saints	Christianity	4470
New South Wales	2006	0-14	Lutheran	Christianity	4253
New South Wales	2006	0-14	Oriental Orthodox	Christianity	4313
New South Wales	2006	0-14	Pentecostal	Christianity	16990
New South Wales	2006	0-14	Presbyterian Reformed	Christianity	22799
New South Wales	2006	0-14	Protestant (Other)	Christianity	3488
New South Wales	2006	0-14	Salvation Army	Christianity	3704
New South Wales	2006	0-14	Seventh Day Adventist	Christianity	4257
New South Wales	2006	0-14	Sikhism	(Other)	2660
New South Wales	2006	0-14	Uniting Church	Christianity	48953
New South Wales	2006	15-24		(Other)	99625
New South Wales	2006	15-24		Buddhism	24009
New South Wales	2006	15-24		Christianity	14608
New South Wales	2006	15-24		Hinduism	11473
New South Wales	2006	15-24		Islam	31342
New South Wales	2006	15-24		Judaism	4243
New South Wales	2006	15-24		No religion	148970
New South Wales	2006	15-24	(Other)	(Other)	3920
New South Wales	2006	15-24	(Other)	Christianity	1152
New South Wales	2006	15-24	Anglican	Christianity	152112
New South Wales	2006	15-24	Assyrian Apostolic	Christianity	1119
New South Wales	2006	15-24	Australian Aboriginal Traditional	(Other)	92
New South Wales	2006	15-24	Baptist	Christianity	13049
New South Wales	2006	15-24	Brethren	Christianity	1336
New South Wales	2006	15-24	Catholic	Christianity	251549
New South Wales	2006	15-24	Churches Of Christ	Christianity	1167
New South Wales	2006	15-24	Eastern Orthodox	Christianity	23106
New South Wales	2006	15-24	Jehovah's Witnesses	Christianity	2914
New South Wales	2006	15-24	Latter Day Saints	Christianity	2739
New South Wales	2006	15-24	Lutheran	Christianity	3002
New South Wales	2006	15-24	Oriental Orthodox	Christianity	3151
New South Wales	2006	15-24	Pentecostal	Christianity	12449
New South Wales	2006	15-24	Presbyterian Reformed	Christianity	17776
New South Wales	2006	15-24	Protestant (Other)	Christianity	2521
New South Wales	2006	15-24	Salvation Army	Christianity	2524
New South Wales	2006	15-24	Seventh Day Adventist	Christianity	3013
New South Wales	2006	15-24	Sikhism	(Other)	2157
New South Wales	2006	15-24	Uniting Church	Christianity	36594
New South Wales	2006	25-34		(Other)	107065
New South Wales	2006	25-34		Buddhism	28635
New South Wales	2006	25-34		Christianity	12421
New South Wales	2006	25-34		Hinduism	18201
New South Wales	2006	25-34		Islam	31666
New South Wales	2006	25-34		Judaism	4488
New South Wales	2006	25-34		No religion	160258
New South Wales	2006	25-34	(Other)	(Other)	4728
New South Wales	2006	25-34	(Other)	Christianity	1109
New South Wales	2006	25-34	Anglican	Christianity	160576
New South Wales	2006	25-34	Assyrian Apostolic	Christianity	984
New South Wales	2006	25-34	Australian Aboriginal Traditional	(Other)	106
New South Wales	2006	25-34	Baptist	Christianity	11797
New South Wales	2006	25-34	Brethren	Christianity	899
New South Wales	2006	25-34	Catholic	Christianity	236509
New South Wales	2006	25-34	Churches Of Christ	Christianity	963
New South Wales	2006	25-34	Eastern Orthodox	Christianity	30223
New South Wales	2006	25-34	Jehovah's Witnesses	Christianity	3139
New South Wales	2006	25-34	Latter Day Saints	Christianity	2369
New South Wales	2006	25-34	Lutheran	Christianity	3617
New South Wales	2006	25-34	Oriental Orthodox	Christianity	2884
New South Wales	2006	25-34	Pentecostal	Christianity	9920
New South Wales	2006	25-34	Presbyterian Reformed	Christianity	20833
New South Wales	2006	25-34	Protestant (Other)	Christianity	2402
New South Wales	2006	25-34	Salvation Army	Christianity	2088
New South Wales	2006	25-34	Seventh Day Adventist	Christianity	2735
New South Wales	2006	25-34	Sikhism	(Other)	2602
New South Wales	2006	25-34	Uniting Church	Christianity	27807
New South Wales	2006	35-44		(Other)	98884
New South Wales	2006	35-44		Buddhism	31421
New South Wales	2006	35-44		Christianity	12928
New South Wales	2006	35-44		Hinduism	12976
New South Wales	2006	35-44		Islam	24400
New South Wales	2006	35-44		Judaism	4595
New South Wales	2006	35-44		No religion	145156
New South Wales	2006	35-44	(Other)	(Other)	4669
New South Wales	2006	35-44	(Other)	Christianity	1291
New South Wales	2006	35-44	Anglican	Christianity	198556
New South Wales	2006	35-44	Assyrian Apostolic	Christianity	1097
New South Wales	2006	35-44	Australian Aboriginal Traditional	(Other)	124
New South Wales	2006	35-44	Baptist	Christianity	13891
New South Wales	2006	35-44	Brethren	Christianity	922
New South Wales	2006	35-44	Catholic	Christianity	269730
New South Wales	2006	35-44	Churches Of Christ	Christianity	1223
New South Wales	2006	35-44	Eastern Orthodox	Christianity	33870
New South Wales	2006	35-44	Jehovah's Witnesses	Christianity	3332
New South Wales	2006	35-44	Latter Day Saints	Christianity	2067
New South Wales	2006	35-44	Lutheran	Christianity	5002
New South Wales	2006	35-44	Oriental Orthodox	Christianity	2846
New South Wales	2006	35-44	Pentecostal	Christianity	10540
New South Wales	2006	35-44	Presbyterian Reformed	Christianity	30408
New South Wales	2006	35-44	Protestant (Other)	Christianity	2692
New South Wales	2006	35-44	Salvation Army	Christianity	2511
New South Wales	2006	35-44	Seventh Day Adventist	Christianity	2885
New South Wales	2006	35-44	Sikhism	(Other)	1844
New South Wales	2006	35-44	Uniting Church	Christianity	37963
New South Wales	2006	45-54		(Other)	89795
New South Wales	2006	45-54		Buddhism	30046
New South Wales	2006	45-54		Christianity	12168
New South Wales	2006	45-54		Hinduism	9013
New South Wales	2006	45-54		Islam	15946
New South Wales	2006	45-54		Judaism	5345
New South Wales	2006	45-54		No religion	126606
New South Wales	2006	45-54	(Other)	(Other)	4100
New South Wales	2006	45-54	(Other)	Christianity	1413
New South Wales	2006	45-54	Anglican	Christianity	208799
New South Wales	2006	45-54	Assyrian Apostolic	Christianity	1054
New South Wales	2006	45-54	Australian Aboriginal Traditional	(Other)	104
New South Wales	2006	45-54	Baptist	Christianity	14396
New South Wales	2006	45-54	Brethren	Christianity	740
New South Wales	2006	45-54	Catholic	Christianity	244547
New South Wales	2006	45-54	Churches Of Christ	Christianity	1550
New South Wales	2006	45-54	Eastern Orthodox	Christianity	24733
New South Wales	2006	45-54	Jehovah's Witnesses	Christianity	3333
New South Wales	2006	45-54	Latter Day Saints	Christianity	1828
New South Wales	2006	45-54	Lutheran	Christianity	5063
New South Wales	2006	45-54	Oriental Orthodox	Christianity	2945
New South Wales	2006	45-54	Pentecostal	Christianity	9906
New South Wales	2006	45-54	Presbyterian Reformed	Christianity	36945
New South Wales	2006	45-54	Protestant (Other)	Christianity	2409
New South Wales	2006	45-54	Salvation Army	Christianity	3012
New South Wales	2006	45-54	Seventh Day Adventist	Christianity	2820
New South Wales	2006	45-54	Sikhism	(Other)	1304
New South Wales	2006	45-54	Uniting Church	Christianity	44412
New South Wales	2006	55-64		(Other)	67651
New South Wales	2006	55-64		Buddhism	14553
New South Wales	2006	55-64		Christianity	7438
New South Wales	2006	55-64		Hinduism	4239
New South Wales	2006	55-64		Islam	8611
New South Wales	2006	55-64		Judaism	4850
New South Wales	2006	55-64		No religion	79178
New South Wales	2006	55-64	(Other)	(Other)	2155
New South Wales	2006	55-64	(Other)	Christianity	1118
New South Wales	2006	55-64	Anglican	Christianity	195703
New South Wales	2006	55-64	Assyrian Apostolic	Christianity	664
New South Wales	2006	55-64	Australian Aboriginal Traditional	(Other)	55
New South Wales	2006	55-64	Baptist	Christianity	11238
New South Wales	2006	55-64	Brethren	Christianity	611
New South Wales	2006	55-64	Catholic	Christianity	195440
New South Wales	2006	55-64	Churches Of Christ	Christianity	1230
New South Wales	2006	55-64	Eastern Orthodox	Christianity	24332
New South Wales	2006	55-64	Jehovah's Witnesses	Christianity	2740
New South Wales	2006	55-64	Latter Day Saints	Christianity	1262
New South Wales	2006	55-64	Lutheran	Christianity	5191
New South Wales	2006	55-64	Oriental Orthodox	Christianity	2195
New South Wales	2006	55-64	Pentecostal	Christianity	5589
New South Wales	2006	55-64	Presbyterian Reformed	Christianity	34968
New South Wales	2006	55-64	Protestant (Other)	Christianity	1726
New South Wales	2006	55-64	Salvation Army	Christianity	2712
New South Wales	2006	55-64	Seventh Day Adventist	Christianity	2406
New South Wales	2006	55-64	Sikhism	(Other)	551
New South Wales	2006	55-64	Uniting Church	Christianity	41140
New South Wales	2006	65-74		(Other)	41489
New South Wales	2006	65-74		Buddhism	6825
New South Wales	2006	65-74		Christianity	3664
New South Wales	2006	65-74		Hinduism	1992
New South Wales	2006	65-74		Islam	3299
New South Wales	2006	65-74		Judaism	2742
New South Wales	2006	65-74		No religion	36087
New South Wales	2006	65-74	(Other)	(Other)	856
New South Wales	2006	65-74	(Other)	Christianity	678
New South Wales	2006	65-74	Anglican	Christianity	133774
New South Wales	2006	65-74	Assyrian Apostolic	Christianity	461
New South Wales	2006	65-74	Australian Aboriginal Traditional	(Other)	10
New South Wales	2006	65-74	Baptist	Christianity	7003
New South Wales	2006	65-74	Brethren	Christianity	506
