STE_NAME16	Year	Sex	IndigenousStatus	persons
New South Wales	2006	F	Aboriginal	66291
New South Wales	2006	F	Both Aboriginal & Torres Strait Islander	1422
New South Wales	2006	F	Non-indigenous	3250699
New South Wales	2006	F	Torres Strait Islander	2314
New South Wales	2006	M	Aboriginal	64493
New South Wales	2006	M	Both Aboriginal & Torres Strait Islander	1524
New South Wales	2006	M	Non-indigenous	3159974
New South Wales	2006	M	Torres Strait Islander	2460
New South Wales	2011	F	Aboriginal	83603
New South Wales	2011	F	Both Aboriginal & Torres Strait Islander	1615
New South Wales	2011	F	Non-indigenous	3421233
New South Wales	2011	F	Torres Strait Islander	2331
New South Wales	2011	M	Aboriginal	81012
New South Wales	2011	M	Both Aboriginal & Torres Strait Islander	1633
New South Wales	2011	M	Non-indigenous	3323792
New South Wales	2011	M	Torres Strait Islander	2443
New South Wales	2016	F	Aboriginal	104424
New South Wales	2016	F	Both Aboriginal & Torres Strait Islander	2028
New South Wales	2016	F	Non-indigenous	3685417
New South Wales	2016	F	Torres Strait Islander	2348
New South Wales	2016	M	Aboriginal	102826
New South Wales	2016	M	Both Aboriginal & Torres Strait Islander	2052
New South Wales	2016	M	Non-indigenous	3578644
New South Wales	2016	M	Torres Strait Islander	2492
Victoria	2006	F	Aboriginal	13863
Victoria	2006	F	Both Aboriginal & Torres Strait Islander	443
Victoria	2006	F	Non-indigenous	2496606
Victoria	2006	F	Torres Strait Islander	1097
Victoria	2006	M	Aboriginal	13207
Victoria	2006	M	Both Aboriginal & Torres Strait Islander	413
Victoria	2006	M	Non-indigenous	2405669
Victoria	2006	M	Torres Strait Islander	1126
Victoria	2011	F	Aboriginal	17810
Victoria	2011	F	Both Aboriginal & Torres Strait Islander	434
Victoria	2011	F	Non-indigenous	2702106
Victoria	2011	F	Torres Strait Islander	1073
Victoria	2011	M	Aboriginal	17139
Victoria	2011	M	Both Aboriginal & Torres Strait Islander	450
Victoria	2011	M	Non-indigenous	2613936
Victoria	2011	M	Torres Strait Islander	1092
Victoria	2016	F	Aboriginal	22587
Victoria	2016	F	Both Aboriginal & Torres Strait Islander	593
Victoria	2016	F	Non-indigenous	2994384
Victoria	2016	F	Torres Strait Islander	985
Victoria	2016	M	Aboriginal	22003
Victoria	2016	M	Both Aboriginal & Torres Strait Islander	582
Victoria	2016	M	Non-indigenous	2884455
Victoria	2016	M	Torres Strait Islander	1037
Queensland	2006	F	Aboriginal	50479
Queensland	2006	F	Both Aboriginal & Torres Strait Islander	5335
Queensland	2006	F	Non-indigenous	1904259
Queensland	2006	F	Torres Strait Islander	9078
Queensland	2006	M	Aboriginal	48237
Queensland	2006	M	Both Aboriginal & Torres Strait Islander	5159
Queensland	2006	M	Non-indigenous	1872683
Queensland	2006	M	Torres Strait Islander	9299
Queensland	2011	F	Aboriginal	62535
Queensland	2011	F	Both Aboriginal & Torres Strait Islander	6505
Queensland	2011	F	Non-indigenous	2105435
Queensland	2011	F	Torres Strait Islander	10045
Queensland	2011	M	Aboriginal	60360
Queensland	2011	M	Both Aboriginal & Torres Strait Islander	6334
Queensland	2011	M	Non-indigenous	2071478
Queensland	2011	M	Torres Strait Islander	10049
Queensland	2016	F	Aboriginal	75437
