STE_NAME16	Year	Occupation	Sex	workers
New South Wales	2006		F	22520
New South Wales	2006		M	32958
New South Wales	2006	Clerical and administrative workers	F	342353
New South Wales	2006	Clerical and administrative workers	M	105598
New South Wales	2006	Community and personal service workers	F	166977
New South Wales	2006	Community and personal service workers	M	82600
New South Wales	2006	Labourers	F	98100
New South Wales	2006	Labourers	M	179444
New South Wales	2006	Machinery operators and drivers	F	18727
New South Wales	2006	Machinery operators and drivers	M	168407
New South Wales	2006	Managers	F	137247
New South Wales	2006	Managers	M	259213
New South Wales	2006	Professionals	F	323519
New South Wales	2006	Professionals	M	292761
New South Wales	2006	Sales workers	F	171302
New South Wales	2006	Sales workers	M	110985
New South Wales	2006	Technicians and trades workers	F	58244
New South Wales	2006	Technicians and trades workers	M	338475
New South Wales	2011		F	23151
New South Wales	2011		M	34759
New South Wales	2011	Clerical and administrative workers	F	359086
New South Wales	2011	Clerical and administrative workers	M	114052
New South Wales	2011	Community and personal service workers	F	200760
New South Wales	2011	Community and personal service workers	M	96909
New South Wales	2011	Labourers	F	93568
New South Wales	2011	Labourers	M	179558
New South Wales	2011	Machinery operators and drivers	F	18809
New South Wales	2011	Machinery operators and drivers	M	180628
New South Wales	2011	Managers	F	149210
New South Wales	2011	Managers	M	269125
New South Wales	2011	Professionals	F	379832
New South Wales	2011	Professionals	M	333717
New South Wales	2011	Sales workers	F	176888
New South Wales	2011	Sales workers	M	113607
New South Wales	2011	Technicians and trades workers	F	62614
New South Wales	2011	Technicians and trades workers	M	352057
New South Wales	2016		F	25568
New South Wales	2016		M	36937
New South Wales	2016	Clerical and administrative workers	F	352824
New South Wales	2016	Clerical and administrative workers	M	115157
New South Wales	2016	Community and personal service workers	F	241506
New South Wales	2016	Community and personal service workers	M	108753
New South Wales	2016	Labourers	F	101060
New South Wales	2016	Labourers	M	196828
New South Wales	2016	Machinery operators and drivers	F	20736
New South Wales	2016	Machinery operators and drivers	M	186100
New South Wales	2016	Managers	F	169733
New South Wales	2016	Managers	M	286353
New South Wales	2016	Professionals	F	435609
New South Wales	2016	Professionals	M	362516
New South Wales	2016	Sales workers	F	187657
New South Wales	2016	Sales workers	M	123753
New South Wales	2016	Technicians and trades workers	F	66581
New South Wales	2016	Technicians and trades workers	M	362657
Victoria	2006		F	18395
Victoria	2006		M	26193
Victoria	2006	Clerical and administrative workers	F	254946
Victoria	2006	Clerical and administrative workers	M	82471
Victoria	2006	Community and personal service workers	F	132088
Victoria	2006	Community and personal service workers	M	58397
Victoria	2006	Labourers	F	83724
Victoria	2006	Labourers	M	140819
Victoria	2006	Machinery operators and drivers	F	18854
Victoria	2006	Machinery operators and drivers	M	130368
Victoria	2006	Managers	F	101926
Victoria	2006	Managers	M	204395
Victoria	2006	Professionals	F	250008
Victoria	2006	Professionals	M	222294
Victoria	2006	Sales workers	F	141192
Victoria	2006	Sales workers	M	89183
Victoria	2006	Technicians and trades workers	F	47779
Victoria	2006	Technicians and trades workers	M	271411
Victoria	2011		F	22765
Victoria	2011		M	33458
Victoria	2011	Clerical and administrative workers	F	272880
Victoria	2011	Clerical and administrative workers	M	91616
Victoria	2011	Community and personal service workers	F	164258
Victoria	2011	Community and personal service workers	M	70122
Victoria	2011	Labourers	F	79954
Victoria	2011	Labourers	M	147230
Victoria	2011	Machinery operators and drivers	F	17833
Victoria	2011	Machinery operators and drivers	M	136709
Victoria	2011	Managers	F	114688
Victoria	2011	Managers	M	218238
Victoria	2011	Professionals	F	303619
Victoria	2011	Professionals	M	261157
Victoria	2011	Sales workers	F	149904
Victoria	2011	Sales workers	M	95426
Victoria	2011	Technicians and trades workers	F	53204
Victoria	2011	Technicians and trades workers	M	297554
Victoria	2016		F	19134
Victoria	2016		M	27790
Victoria	2016	Clerical and administrative workers	F	268855
Victoria	2016	Clerical and administrative workers	M	94359
Victoria	2016	Community and personal service workers	F	203205
