STE_NAME16	Year	EduInstitutionType	students
New South Wales	2006		600661
New South Wales	2006	Infants/Primary	547146
New South Wales	2006	Pre-school	114023
New South Wales	2006	Secondary	438218
New South Wales	2006	Technical or Further Educational Institution	160820
New South Wales	2006	University or other tertiary	239039
New South Wales	2011		537156
New South Wales	2011	Infants/Primary	549346
New South Wales	2011	Pre-school	126603
New South Wales	2011	Secondary	451935
New South Wales	2011	Technical or Further Educational Institution	168003
New South Wales	2011	University or other tertiary	303070
New South Wales	2016		598939
New South Wales	2016	Infants/Primary	607171
New South Wales	2016	Pre-school	132047
New South Wales	2016	Secondary	466858
New South Wales	2016	Technical or Further Educational Institution	144103
New South Wales	2016	University or other tertiary	376133
Victoria	2006		428906
Victoria	2006	Infants/Primary	401095
Victoria	2006	Pre-school	78097
Victoria	2006	Secondary	333558
Victoria	2006	Technical or Further Educational Institution	102307
Victoria	2006	University or other tertiary	199023
Victoria	2011		406747
Victoria	2011	Infants/Primary	411016
Victoria	2011	Pre-school	89820
Victoria	2011	Secondary	345465
Victoria	2011	Technical or Further Educational Institution	117952
Victoria	2011	University or other tertiary	246549
Victoria	2016		472697
Victoria	2016	Infants/Primary	468702
Victoria	2016	Pre-school	94970
Victoria	2016	Secondary	364142
Victoria	2016	Technical or Further Educational Institution	103685
Victoria	2016	University or other tertiary	325051
Queensland	2006		346067
Queensland	2006	Infants/Primary	348516
Queensland	2006	Pre-school	58750
Queensland	2006	Secondary	236682
Queensland	2006	Technical or Further Educational Institution	68106
Queensland	2006	University or other tertiary	137846
Queensland	2011		340630
Queensland	2011	Infants/Primary	379781
Queensland	2011	Pre-school	50611
Queensland	2011	Secondary	258554
Queensland	2011	Technical or Further Educational Institution	79243
Queensland	2011	University or other tertiary	173432
Queensland	2016		398405
Queensland	2016	Infants/Primary	400511
Queensland	2016	Pre-school	56639
Queensland	2016	Secondary	298146
Queensland	2016	Technical or Further Educational Institution	76992
Queensland	2016	University or other tertiary	213221
South Australia	2006		115534
South Australia	2006	Infants/Primary	139515
South Australia	2006	Pre-school	18577
South Australia	2006	Secondary	87298
South Australia	2006	Technical or Further Educational Institution	32751
South Australia	2006	University or other tertiary	53729
South Australia	2011		109791
South Australia	2011	Infants/Primary	136539
South Australia	2011	Pre-school	20579
