STE_NAME16	Year	Sex	labourForceParticipation
New South Wales	2006	F	52.9
New South Wales	2006	M	65.2
New South Wales	2011	F	54.4
New South Wales	2011	M	65.3
New South Wales	2016	F	54.7
New South Wales	2016	M	63.8
Victoria	2006	F	54.1
Victoria	2006	M	67
Victoria	2011	F	55.8
Victoria	2011	M	67.3
Victoria	2016	F	55.7
Victoria	2016	M	65.5
Queensland	2006	F	56.2
Queensland	2006	M	67.7
Queensland	2011	F	58
Queensland	2011	M	67.8
Queensland	2016	F	57.2
Queensland	2016	M	65
South Australia	2006	F	53.3
South Australia	2006	M	65
South Australia	2011	F	55
South Australia	2011	M	65
South Australia	2016	F	54.4
South Australia	2016	M	62.4
Western Australia	2006	F	55.7
Western Australia	2006	M	68.9
Western Australia	2011	F	58.2
Western Australia	2011	M	69.9
Western Australia	2016	F	58
Western Australia	2016	M	67.8
Tasmania	2006	F	51.8
Tasmania	2006	M	63.2
Tasmania	2011	F	53.4
Tasmania	2011	M	62.5
Tasmania	2016	F	52.2
Tasmania	2016	M	59
Northern Territory	2006	F	59.1
Northern Territory	2006	M	66.2
Northern Territory	2011	F	61.2
Northern Territory	2011	M	66.4
Northern Territory	2016	F	59.2
Northern Territory	2016	M	63.8
Australian Capital Territory	2006	F	65.9
Australian Capital Territory	2006	M	73.6
Australian Capital Territory	2011	F	66.5
Australian Capital Territory	2011	M	73.4
Australian Capital Territory	2016	F	63.8
Australian Capital Territory	2016	M	70
Other Territories	2006	F	53
Other Territories	2006	M	72.9
Other Territories	2011	F	59.9
Other Territories	2011	M	42.8
Other Territories	2016	F	58.6
Other Territories	2016	M	59.6
