SA4_CODE_2016,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_SDRTHT1S_NPUR_1,C06_SDRTHT1S_NPUR_2,C06_SDRTHT1S_NPUR_3,C06_SDRTHT1S_NPUR_4,C06_SDRTHT1S_NPUR_5,C06_SDRTHT1S_NPUR_6mo,C06_SDRTHT1S_To,C06_SDRTHT2S_NPUR_1,C06_SDRTHT2S_NPUR_2,C06_SDRTHT2S_NPUR_3,C06_SDRTHT2S_NPUR_4,C06_SDRTHT2S_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_SDRTHT_NPUR_1,C06_SDRTHT_NPUR_2,C06_SDRTHT_NPUR_3,C06_SDRTHT_NPUR_4,C06_SDRTHT_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_SDRTHT_Tot,C06_FUA_1_2SB_NPUR_1,C06_FUA_1_2SB_NPUR_2,C06_FUA_1_2SB_NPUR_3,C06_FUA_1_2SB_NPUR_4,C06_FUA_1_2SB_NPUR_5,C06_FUA_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_FUA_I_a_3SB_NPUR_1,C06_FUA_I_a_3SB_NPUR_2,C06_FUA_I_a_3SB_NPUR_3,C06_FUA_I_a_3SB_NPUR_4,C06_FUA_I_a_3SB_NPUR_5,C06_FUA_I_a_3SB_NPUR_6m,C06_FUA_In_a_3SB_To,C06_FUA_4mor_s_b_NPUR_1,C06_FUA_4mor_s_b_NPUR_2,C06_FUA_4mor_s_b_NPUR_3,C06_FUA_4mor_s_b_NPUR_4,C06_FUA_4mor_s_b_NPUR_5,C06_FUA_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4
101,13330,23995,9502,9532,4443,1976,62785,1463,1072,284,152,48,26,3042,523,437,139,73,14,3,1191,1986,1508,419,228,58,30,4238,2567,1145,263,110,30,11,4128,418,174,48,18,3,0,664,258,136,34,10,8,0,452,93,49,13,5,7,3,167,3337,1502,361,149,47,18,5409,492,301,54,34,16,7,903,40,47,13,28,16,4,150,118,92,32,31,20,9,294,652,443,92,89,50,17,1344,33,18,3,5,0,0,58,19338,27464,10380,10011,4596,2046,73837,14722,25647,9767,9590,4502,2015,66237,2060,1233,360,199,65,21,3928,654,654,187,115,30,15,1658,2712,1884,555,312,95,29,5590,2452,1066,273,148,39,9,3993,526,276,74,38,7,3,926,231,129,33,18,3,0,422,84,27,9,3,0,0,128,3298,1502,391,212,52,17,5472,474,268,35,32,4,3,815,37,30,11,7,7,3,102,102,103,38,19,3,8,283,615,394,88,59,20,18,1192,68,40,23,12
102,18370,31283,14735,15530,7219,2922,90060,3723,2666,558,318,114,27,7404,1703,1671,556,355,115,41,4439,5429,4338,1118,671,229,72,11851,3393,1484,327,137,47,12,5392,466,365,75,28,3,3,933,356,358,72,27,4,4,820,130,47,16,16,0,0,209,4341,2254,495,199,56,20,7358,949,380,44,25,6,4,1408,23,4,0,0,0,0,31,66,46,17,7,10,0,143,1038,429,58,38,13,7,1582,23,19,4,3,0,0,59,29195,38326,16414,16442,7512,3018,110907,19337,32019,15275,16118,7199,3347,93306,4412,3008,723,440,137,59,8777,1857,1799,725,455,175,62,5072,6267,4807,1440,899,318,124,13848,3417,1577,305,161,48,19,5530,673,494,125,41,15,3,1353,587,641,157,65,9,8,1467,150,63,10,12,0,0,228,4831,2781,595,278,73,27,8575,786,294,23,37,0,10,1147,5,5,0,0,0,0,7,77,54,19,22,8,7,188,864,350,44,53,12,16,1339,65,41,17,4
103,14421,23016,9418,9164,4766,2250,63027,1180,621,193,100,44,20,2160,117,106,46,29,4,5,303,1298,726,236,127,50,24,2462,2271,800,149,83,21,7,3333,83,34,9,3,3,3,140,40,22,8,0,3,0,70,42,12,4,4,4,0,69,2437,870,171,92,28,12,3607,317,105,26,17,8,3,477,22,14,10,3,0,0,60,130,120,39,36,15,8,342,469,240,77,55,22,13,872,17,20,17,13,0,4,71,18644,24870,9919,9447,4871,2300,70043,15739,24177,9538,9117,4891,2332,65791,1744,905,251,112,40,23,3070,139,119,32,27,10,4,334,1887,1024,282,138,52,31,3409,2105,611,130,37,16,5,2905,99,27,0,0,0,0,136,24,10,0,0,0,0,30,49,18,3,4,8,0,84,2279,670,132,46,27,5,3158,266,77,9,11,3,3,373,34,8,3,3,6,0,51,114,75,27,15,12,4,240,412,162,36,31,23,4,669,37,33,6,6
104,7732,15147,5965,5800,2745,1276,38668,1102,828,201,143,27,12,2318,497,519,170,93,33,12,1325,1595,1348,375,239,60,21,3642,1827,987,249,98,33,10,3200,169,134,29,13,0,0,338,166,131,13,11,0,0,326,74,26,11,8,0,0,121,2230,1278,302,121,36,13,3983,771,401,59,35,13,5,1284,79,11,9,4,0,0,102,51,61,24,27,6,0,171,899,469,95,66,21,4,1553,4,3,0,3,0,0,14,12460,18254,6735,6228,2859,1323,47857,8660,16361,6225,5831,2714,1373,41164,1202,784,163,89,18,13,2273,606,559,196,100,33,9,1504,1805,1343,364,192,52,24,3774,1902,890,237,89,30,13,3163,163,126,27,15,0,3,334,121,96,21,5,0,3,249,73,24,6,7,3,0,115,2260,1136,287,119,35,19,3864,779,424,53,21,3,3,1284,43,7,3,5,0,0,68,55,48,17,19,0,3,148,881,489,66,47,10,8,1498,30,10,3,3
105,9153,13421,5467,5222,2783,1589,37634,529,358,137,94,30,20,1169,46,18,3,5,0,0,70,578,379,138,98,31,20,1245,1412,455,100,36,20,3,2028,7,4,0,0,0,0,8,26,0,0,0,0,0,28,28,22,10,3,0,0,62,1463,474,118,46,18,3,2124,368,162,34,32,6,4,602,95,23,10,8,0,0,138,73,65,21,22,5,10,200,532,252,71,57,17,17,939,10,11,0,6,0,0,31,11737,14533,5798,5436,2841,1627,41974,9823,13609,5475,4970,2661,1515,38047,609,308,86,41,16,7,1072,19,18,6,3,0,0,51,626,321,99,48,17,5,1123,1562,512,95,54,24,11,2253,8,10,0,0,0,0,20,29,35,8,7,0,0,87,9,3,0,3,0,0,16,1615,554,103,64,25,10,2370,272,119,14,12,3,4,421,45,10,7,0,0,0,69,94,66,27,19,5,10,215,413,197,41,28,13,14,704,32,32,15,7
106,13546,25789,11805,12669,5775,2475,72062,1328,1057,317,173,64,36,2967,318,437,140,87,33,3,1017,1644,1489,452,263,99,38,3984,2142,949,226,104,34,13,3481,63,54,16,4,0,3,140,30,66,6,3,3,4,108,32,20,3,5,0,0,60,2270,1087,257,122,40,17,3788,499,243,48,35,17,3,846,20,10,5,9,5,3,60,67,46,30,18,13,0,173,586,299,80,66,33,12,1074,16,23,10,12,4,3,58,18059,28688,12606,13122,5954,2541,80965,15201,27705,12577,12923,6069,2773,77254,2019,1464,413,220,89,31,4237,548,651,229,172,40,9,1655,2568,2117,642,391,130,37,5893,2028,934,253,115,34,19,3377,81,62,14,9,0,0,166,69,68,8,3,0,0,155,45,16,8,4,0,0,77,2225,1087,278,130,37,22,3772,537,241,27,10,3,3,828,12,12,6,4,3,0,37,95,55,17,14,7,3,197,645,308,50,35,13,8,1057,29,22,7,5
107,11764,23824,12863,14656,6509,2566,72182,2064,1715,507,300,93,47,4725,1620,1774,748,428,108,72,4741,3684,3486,1254,725,202,113,9467,4245,2264,630,322,88,30,7579,1407,885,240,92,18,3,2651,1114,1085,275,123,27,3,2619,95,55,20,20,6,0,194,6856,4285,1165,558,141,38,13036,559,369,48,15,11,0,999,25,3,0,4,0,0,30,87,62,38,15,8,0,214,670,436,86,29,27,3,1248,9,18,10,14,8,0,54,22982,32053,15372,15979,6881,2722,95977,12875,25068,13310,14993,6513,2821,75578,2536,1960,610,347,102,38,5585,1979,2069,944,567,193,73,5820,4516,4026,1552,916,294,108,11408,3896,2042,612,299,99,33,6976,1550,1120,305,117,40,4,3138,1264,1280,381,138,27,6,3096,109,54,18,10,4,5,199,6816,4493,1312,566,163,50,13404,493,293,27,6,3,4,820,8,0,0,0,0,0,10,138,88,48,28,13,12,315,628,377,83,35,17,15,1150,21,23,9,0
108,12628,25315,8937,8375,3956,1817,61021,2482,2152,367,158,43,12,5212,426,401,116,49,17,11,1019,2910,2546,483,206,59,19,6232,2903,1235,270,98,21,6,4537,388,286,35,14,0,0,729,382,317,35,16,3,0,753,83,37,8,3,0,0,142,3762,1884,349,130,23,7,6157,1055,654,63,32,14,9,1835,61,32,17,12,6,0,136,97,98,39,29,7,6,283,1220,781,118,81,32,23,2252,10,15,0,0,4,0,29,20529,30536,9887,8792,4080,1864,75690,14570,27104,8931,8082,3934,2000,64618,2742,2081,393,195,63,23,5501,653,546,170,74,25,14,1484,3400,2625,561,271,89,38,6983,2765,1160,285,71,25,8,4315,479,314,68,23,3,0,884,510,481,70,34,4,0,1104,58,23,9,7,3,0,100,3812,1983,438,127,35,12,6407,818,505,36,21,10,8,1399,29,16,6,3,3,3,68,182,142,40,18,7,3,393,1034,665,83,48,23,12,1860,21,21,13,5
109,7454,13246,5370,5123,2712,1114,35011,814,540,92,44,10,8,1507,87,68,16,5,0,4,177,899,603,109,54,14,11,1686,2340,1148,201,92,16,6,3803,117,55,9,6,0,0,188,123,56,11,0,0,0,194,17,11,3,0,0,0,28,2592,1269,223,100,16,7,4210,263,179,26,16,9,5,497,32,9,9,0,0,0,50,61,58,19,17,12,0,156,355,247,44,39,23,5,707,3,6,3,0,0,0,14,11308,15375,5748,5316,2763,1130,41629,8515,14142,5126,5045,2416,1099,36346,905,450,93,35,7,0,1493,47,49,31,3,3,3,144,953,501,125,37,11,7,1637,2619,1096,268,100,21,7,4107,69,23,8,0,0,0,99,17,9,0,0,0,0,26,14,5,4,0,0,0,26,2715,1136,277,98,21,7,4262,237,119,15,9,4,0,375,13,4,0,0,0,0,20,59,53,16,15,8,3,153,300,175,30,20,14,3,542,12,21,10,12
110,12757,21070,8704,8295,4291,1920,57042,613,341,94,41,12,4,1101,101,82,21,11,3,0,217,710,418,110,50,15,6,1321,2930,1057,248,82,21,16,4349,73,20,0,3,0,0,94,39,14,4,0,0,0,64,35,19,3,0,0,0,60,3083,1103,261,89,25,16,4573,271,133,25,28,13,3,469,63,37,9,19,7,0,128,82,86,31,26,6,6,247,416,260,67,69,26,9,844,15,25,12,6,0,5,56,16984,22874,9147,8516,4357,1958,63836,13792,22124,8620,8074,4063,1983,58660,987,485,122,74,24,10,1701,175,89,28,19,9,3,321,1164,573,155,90,33,13,2021,2731,1049,276,99,31,5,4191,53,17,9,3,0,0,81,9,8,0,0,0,0,21,46,12,0,3,0,0,69,2841,1090,282,113,35,5,4363,309,119,23,9,7,7,474,43,17,8,0,0,0,68,73,73,30,19,6,8,210,415,202,56,31,19,16,745,32,33,7,7
