SA4_CODE_2016,C06_0_4_Indig_M,C06_0_4_Indig_F,C06_0_4_Indig_P,C06_0_4_NonInd_M,C06_0_4_NonInd_F,C06_0_4_NonInd_P,C06_0_4_Indig_st_ns_M,C06_0_4_Indig_st_ns_F,C06_0_4_Indig_st_ns_P,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_9_Indig_M,C06_5_9_Indig_F,C06_5_9_Indig_P,C06_5_9_NonInd_M,C06_5_9_NonInd_F,C06_5_9_NonInd_P,C06_5_9_Indig_st_ns_M,C06_5_9_Indig_st_ns_F,C06_5_9_Indig_st_ns_P,C06_5_9_T_M,C06_5_9_T_F,C06_5_9_T_P,C06_10_14_Indigen_M,C06_10_14_Indigen_F,C06_10_14_Indigen_P,C06_10_14_NonInd_M,C06_10_14_NonInd_F,C06_10_14_NonInd_P,C06_10_14_Ind_st_ns_M,C06_10_14_Ind_st_ns_F,C06_10_14_Ind_st_ns_P,C06_10_14_T_M,C06_10_14_T_F,C06_10_14_T_P,C06_15_19_Indigen_M,C06_15_19_Indigen_F,C06_15_19_Indigen_P,C06_15_19_NonInd_M,C06_15_19_NonInd_F,C06_15_19_NonInd_P,C06_15_19_Ind_st_ns_M,C06_15_19_Ind_st_ns_F,C06_15_19_Ind_st_ns_P,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Indigen_M,C06_20_24_Indigen_F,C06_20_24_Indigen_P,C06_20_24_NonInd_M,C06_20_24_NonInd_F,C06_20_24_NonInd_P,C06_20_24_Ind_st_ns_M,C06_20_24_Ind_st_ns_F,C06_20_24_Ind_st_ns_P,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_29_Indigen_M,C06_25_29_Indigen_F,C06_25_29_Indigen_P,C06_25_29_NonInd_M,C06_25_29_NonInd_F,C06_25_29_NonInd_P,C06_25_29_Ind_st_ns_M,C06_25_29_Ind_st_ns_F,C06_25_29_Ind_st_ns_P,C06_25_29_T_M,C06_25_29_T_F,C06_25_29_T_P,C06_30_34_Indigen_M,C06_30_34_Indigen_F,C06_30_34_Indigen_P,C06_30_34_NonInd_M,C06_30_34_NonInd_F,C06_30_34_NonInd_P,C06_30_34_Ind_st_ns_M,C06_30_34_Ind_st_ns_F,C06_30_34_Ind_st_ns_P,C06_30_34_T_M,C06_30_34_T_F,C06_30_34_T_P,C06_35_39_Indigen_M,C06_35_39_Indigen_F,C06_35_39_Indigen_P,C06_35_39_NonInd_M,C06_35_39_NonInd_F,C06_35_39_NonInd_P,C06_35_39_Ind_st_ns_M,C06_35_39_Ind_st_ns_F,C06_35_39_Ind_st_ns_P,C06_35_39_T_M,C06_35_39_T_F,C06_35_39_T_P,C06_40_44_Indigen_M,C06_40_44_Indigen_F,C06_40_44_Indigen_P,C06_40_44_NonInd_M,C06_40_44_NonInd_F,C06_40_44_NonInd_P,C06_40_44_Ind_st_ns_M,C06_40_44_Ind_st_ns_F,C06_40_44_Ind_st_ns_P,C06_40_44_T_M,C06_40_44_T_F,C06_40_44_T_P,C06_45_49_Indigen_M,C06_45_49_Indigen_F,C06_45_49_Indigen_P,C06_45_49_NonInd_M,C06_45_49_NonInd_F,C06_45_49_NonInd_P,C06_45_49_Ind_st_ns_M,C06_45_49_Ind_st_ns_F,C06_45_49_Ind_st_ns_P,C06_45_49_T_M,C06_45_49_T_F,C06_45_49_T_P,C06_50_54_Indigen_M,C06_50_54_Indigen_F,C06_50_54_Indigen_P,C06_50_54_NonInd_M,C06_50_54_NonInd_F,C06_50_54_NonInd_P,C06_50_54_Ind_st_ns_M,C06_50_54_Ind_st_ns_F,C06_50_54_Ind_st_ns_P,C06_50_54_T_M,C06_50_54_T_F,C06_50_54_T_P,C06_55_59_Indigen_M,C06_55_59_Indigen_F,C06_55_59_Indigen_P,C06_55_59_NonInd_M,C06_55_59_NonInd_F,C06_55_59_NonInd_P,C06_55_59_Ind_st_ns_M,C06_55_59_Ind_st_ns_F,C06_55_59_Ind_st_ns_P,C06_55_59_T_M,C06_55_59_T_F,C06_55_59_T_P,C06_60_64_Indigen_M,C06_60_64_Indigen_F,C06_60_64_Indigen_P,C06_60_64_NonInd_M,C06_60_64_NonInd_F,C06_60_64_NonInd_P,C06_60_64_Ind_st_ns_M,C06_60_64_Ind_st_ns_F,C06_60_64_Ind_st_ns_P,C06_60_64_T_M,C06_60_64_T_F,C06_60_64_T_P,C06_65_over_Indigen_M,C06_65_over_Indigen_F,C06_65_over_Indigen_P,C06_65ove_NonInd_M,C06_65ove_NonInd_F,C06_65ove_NonInd_P,C06_65ove_Indig_st_ns_M,C06_65ove_Indig_st_ns_F,C06_65ove_Indig_st_ns_P,C06_65_over_T_M,C06_65_over_T_F,C06_65_over_T_P,C06_Tot_Indig_M,C06_Tot_Indig_F,C06_Tot_Indig_P,C06_Tot_NonInd_M,C06_Tot_NonInd_F,C06_Tot_NonInd_P,C06_Tot_Indig_st_ns_M,C06_Tot_Indig_st_ns_F,C06_Tot_Indig_st_ns_P,C06_Tot_T_M,C06_Tot_T_F,C06_Tot_T_P,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F
101,333,296,632,5411,5113,10525,342,314,659,6092,5723,11817,320,333,655,6099,5910,12006,364,362,732,6787,6608,13392,339,322,656,6817,6576,13387,383,372,761,7540,7269,14805,261,191,451,6026,5768,11797,360,316,677,6645,6271,12921,210,187,400,4310,4063,8368,273,202,480,4794,4448,9248,184,147,329,3984,4153,8131,276,213,486,4446,4507,8948,170,154,319,5051,5322,10367,299,274,572,5513,5749,11258,161,171,330,5980,6577,12561,344,290,634,6491,7033,13526,140,157,298,6759,6916,13673,368,356,725,7276,7428,14698,115,141,257,7232,7242,14474,419,330,752,7770,7717,15486,89,123,216,6848,6778,13624,375,285,657,7320,7185,14500,96,98,195,6896,6666,13567,372,256,623,7367,7017,14385,54,61,114,5671,5582,11251,292,233,526,6015,5879,11894,88,90,175,13768,15385,29154,799,939,1741,14652,16411,31068,2570,2469,5035,90847,92035,182888,5282,4740,10019,98696,99243,197942,369,359,732,5892,5468,11361,334,333,666,6594,6159,12754,428,376,800,5821,5509,11334,340,334
102,404,375,779,8613,8046,16659,522,544,1065,9540,8962,18500,467,404,864,9235,9176,18414,566,571,1137,10269,10151,20415,484,433,920,10238,9624,19861,621,564,1191,11337,10627,21967,448,356,807,9478,8968,18444,531,525,1052,10454,9851,20303,213,246,461,7240,7145,14387,488,395,884,7948,7787,15730,161,192,354,6489,6780,13263,410,332,738,7057,7301,14356,139,211,354,7741,8512,16249,443,398,837,8328,9121,17448,169,218,390,8639,9649,18284,470,446,918,9279,10316,19596,176,235,415,9418,10218,19634,534,479,1012,10126,10935,21062,159,161,319,9554,10447,20000,547,505,1055,10268,11116,21380,124,115,236,8842,9253,18098,483,426,914,9453,9802,19253,90,115,205,8168,8798,16965,463,436,898,8718,9342,18063,61,55,112,6984,7690,14674,411,382,787,7452,8123,15574,108,128,235,22020,28203,50225,1598,2257,3859,23724,30595,54316,3208,3249,6453,132657,142502,275161,8076,8264,16340,143943,154013,297957,529,526,1057,9172,8669,17840,471,407,881,10167,9608,19776,552,519,1073,9248,8666,17919,473,468
103,545,484,1026,5568,5226,10792,295,278,571,6407,5990,12394,566,499,1063,6214,5810,12028,321,315,635,7098,6627,13723,535,556,1090,6537,6201,12743,318,310,626,7394,7068,14464,445,452,893,6404,5934,12340,294,230,524,7139,6615,13755,353,285,635,4868,4695,9563,201,184,383,5422,5162,10581,230,229,462,4377,4253,8623,179,147,325,4784,4630,9411,282,267,553,5002,5219,10219,236,185,421,5524,5672,11196,265,271,534,5513,5808,11327,232,203,434,6014,6278,12296,230,239,470,6018,6269,12292,244,227,467,6493,6741,13232,202,186,392,6383,6269,12655,278,194,471,6863,6652,13513,158,169,334,6013,5870,11885,267,186,455,6439,6231,12672,144,127,270,6083,5860,11947,280,237,516,6507,6222,12728,86,90,174,4970,4874,9841,238,228,466,5295,5186,10487,131,148,280,12350,14957,27308,730,901,1632,13220,16010,29229,4172,4005,8181,86308,87251,173564,4114,3812,7926,94590,95075,189671,706,676,1376,5996,5615,11609,392,332,721,7086,6623,13709,639,601,1237,5914,5535,11444,330,322
104,311,291,604,3070,2905,5973,130,137,271,3512,3332,6843,354,348,705,3890,3633,7526,209,172,381,4450,4157,8608,336,324,658,4417,4288,8712,214,179,391,4963,4793,9754,302,256,563,4076,3924,7998,182,150,331,4556,4327,8888,186,163,353,2446,2322,4768,158,85,245,2790,2571,5367,117,141,264,2117,2313,4431,94,73,163,2333,2528,4860,142,137,279,2699,3064,5765,103,105,211,2949,3300,6248,150,186,337,3219,3704,6915,129,110,244,3497,4001,7497,135,174,309,3920,4368,8288,166,143,309,4220,4682,8908,137,130,263,4398,4884,9286,213,174,383,4743,5186,9931,100,111,210,4473,4549,9022,178,122,302,4748,4785,9535,71,64,134,4322,4278,8596,208,151,356,4606,4483,9091,51,51,106,3579,3596,7170,145,146,295,3774,3801,7573,76,92,160,9751,11234,20985,530,696,1224,10355,12019,22368,2473,2468,4940,56377,59065,115438,2653,2446,5095,61499,63972,125469,394,367,763,3340,3234,6581,171,150,320,3911,3751,7658,362,366,731,3588,3341,6937,175,180
105,1059,983,2045,3008,2777,5786,224,212,429,4292,3974,8261,1086,998,2082,3147,3084,6231,250,235,480,4484,4314,8800,1049,995,2044,3249,3073,6325,245,240,481,4544,4310,8855,821,829,1655,2788,2548,5337,242,208,455,3854,3584,7442,555,588,1147,2239,2365,4606,197,171,368,2995,3126,6118,416,469,890,2263,2487,4752,155,139,299,2837,3096,5932,438,531,972,2684,2767,5454,165,147,309,3285,3447,6728,446,554,1003,2957,3111,6070,209,169,373,3615,3831,7441,444,467,904,3320,3349,6669,226,194,419,3990,4001,7988,362,444,810,3659,3584,7239,242,211,449,4258,4239,8494,336,320,655,3410,3282,6692,203,163,363,3954,3759,7713,246,265,515,3412,3122,6530,199,161,363,3857,3557,7413,175,180,352,2785,2546,5338,188,154,343,3145,2884,6027,260,328,588,7170,8278,15449,529,698,1225,7954,9304,17259,7698,7955,15652,46104,46362,92468,3262,3107,6369,57064,57422,114485,1108,1169,2279,2900,2701,5602,249,213,460,4257,4086,8348,1090,1016,2106,2778,2666,5448,232,201
106,455,451,910,7150,6661,13809,348,393,744,7951,7513,15465,402,464,859,7729,7360,15090,396,450,838,8522,8267,16786,480,445,921,7969,7637,15606,419,444,871,8866,8528,17402,376,378,751,7378,6926,14304,397,348,746,8157,7647,15805,255,236,490,6025,5605,11624,307,228,534,6580,6069,12651,218,187,401,5714,5654,11367,232,205,436,6162,6047,12210,212,190,400,6511,6872,13382,284,252,535,7014,7308,14322,180,240,417,7090,7457,14545,324,289,616,7594,7987,15583,177,216,392,7474,7725,15200,346,271,609,7992,8214,16199,167,180,347,7617,7786,15400,361,281,640,8141,8246,16387,117,120,240,7130,7167,14301,302,236,535,7557,7527,15078,91,100,190,6813,6954,13763,328,287,612,7229,7342,14575,64,64,126,5796,5614,11412,264,223,485,6117,5900,12020,98,119,216,13318,15985,29304,756,997,1756,14171,17101,31272,3286,3397,6681,103702,105412,209115,5067,4889,9957,112058,113697,225753,623,613,1232,7842,7382,15224,337,387,724,8804,8385,17186,617,633,1249,7604,7118,14720,365,349
107,316,274,588,7730,7363,15091,390,406,802,8434,8042,16473,325,307,634,8365,7871,16242,453,463,917,9143,8636,17782,314,321,640,8825,8290,17114,453,443,898,9592,9054,18649,292,268,565,8601,8217,16813,441,398,836,9327,8888,18214,229,191,416,8576,8138,16714,563,415,983,9373,8747,18114,149,138,284,7251,7110,14362,404,310,713,7801,7557,15359,133,149,287,7907,8307,16215,370,296,667,8417,8753,17170,137,160,296,8126,8624,16749,362,350,705,8618,9135,17755,112,171,282,9001,9369,18368,445,364,811,9562,9903,19463,92,120,208,8892,9236,18134,439,346,779,9416,9707,19124,90,92,180,7901,8372,16272,383,331,715,8380,8791,17167,60,69,123,7484,7300,14780,399,336,729,7937,7701,15638,34,49,90,5888,6245,12136,287,303,592,6211,6596,12815,65,90,156,16668,20519,37191,1067,1395,2460,17805,22003,39805,2337,2411,4740,121229,124956,246182,6461,6149,12613,130024,133512,263537,410,408,815,8157,7739,15898,323,335,660,8884,8484,17372,400,346,748,8142,7774,15916,327,328
108,526,523,1053,4491,4208,8695,231,254,493,5255,4990,10236,579,547,1127,5324,5112,10437,296,298,591,6194,5955,12151,609,569,1181,6133,5984,12117,316,312,625,7056,6872,13924,454,443,899,5736,5258,10988,233,231,461,6416,5932,12350,319,268,586,3358,3076,6431,173,141,317,3847,3486,7337,214,211,423,3044,3196,6238,158,138,300,3422,3541,6964,235,269,502,3744,4174,7915,176,157,331,4153,4596,8746,226,292,514,4638,5275,9909,214,185,400,5079,5755,10831,214,259,478,5601,6266,11869,249,222,477,6069,6756,12817,185,230,420,6338,7004,13341,292,237,534,6818,7474,14293,176,199,375,6257,6388,12643,260,214,468,6691,6803,13488,138,142,283,6551,6783,13328,280,236,511,6966,7158,14123,95,93,190,6184,6468,12650,225,232,461,6512,6793,13303,135,176,313,18564,20984,39552,971,1342,2311,19668,22500,42171,4111,4224,8334,85950,90167,176114,4071,4206,8281,94128,98600,192729,745,657,1402,4724,4519,9242,231,249,474,5700,5418,11121,728,665,1396,5089,4834,9921,242,270
109,174,171,343,3157,3069,6227,185,119,307,3521,3362,6882,185,172,353,3496,3341,6836,160,140,299,3842,3644,7486,202,189,397,3906,3605,7516,188,171,361,4305,3970,8274,174,144,316,3566,3371,6944,191,144,330,3932,3656,7585,91,119,211,2669,2814,5485,142,96,237,2905,3029,5936,77,74,148,2560,2603,5160,120,89,212,2755,2768,5525,80,86,166,2900,2974,5869,136,87,226,3112,3153,6261,88,109,193,3129,3362,6494,150,129,281,3362,3597,6965,76,84,166,3471,3624,7094,163,117,274,3710,3823,7536,63,73,140,3784,3944,7727,172,165,342,4017,4191,8212,63,57,116,3705,3613,7317,153,122,273,3922,3787,7714,37,52,88,3573,3368,6937,156,118,274,3764,3541,7302,38,38,76,2873,2810,5680,140,114,251,3048,2957,6002,61,61,123,7707,9035,16739,490,601,1088,8255,9689,17952,1410,1430,2841,50498,51529,102026,2547,2215,4761,54451,55169,109621,210,225,432,3087,3006,6094,160,152,316,3456,3392,6841,201,191,390,3187,3054,6242,171,144
110,918,866,1785,4655,4503,9151,247,262,508,5817,5631,11443,922,886,1810,5224,4808,10032,295,268,560,6440,5964,12404,933,898,1835,5485,5317,10799,316,294,608,6731,6511,13240,735,682,1421,5335,5179,10515,241,212,456,6311,6076,12391,508,494,1007,4190,4167,8354,192,149,344,4891,4817,9707,380,434,818,3579,3765,7344,175,135,316,4135,4335,8470,352,455,807,4193,4486,8682,212,180,394,4757,5127,9881,383,469,856,4718,4930,9653,235,202,430,5334,5606,10938,382,454,834,5131,5416,10545,244,239,481,5758,6105,11860,323,373,694,5557,5761,11325,261,184,445,6146,6320,12465,250,265,508,5441,5270,10713,224,199,422,5915,5731,11645,218,213,424,5387,5236,10626,242,209,455,5845,5657,11501,157,159,310,4550,4419,8977,228,186,421,4936,4765,9707,205,277,481,11228,13458,24687,670,900,1567,12100,14637,26733,6665,6932,13596,74674,76727,151399,3781,3612,7395,85115,87277,172396,1087,1032,2121,4754,4625,9376,301,288,588,6144,5940,12084,952,947,1903,4900,4594,9492,285,301
