SA3_NAME16	Year	Sex	IndigenousStatus	persons
Queanbeyan	2006	F	Aboriginal	517
Queanbeyan	2006	F	Both Aboriginal & Torres Strait Islander	4
Queanbeyan	2006	F	Non-indigenous	23959
Queanbeyan	2006	F	Torres Strait Islander	12
Queanbeyan	2006	M	Aboriginal	481
Queanbeyan	2006	M	Both Aboriginal & Torres Strait Islander	9
Queanbeyan	2006	M	Non-indigenous	24070
Queanbeyan	2006	M	Torres Strait Islander	18
Queanbeyan	2011	F	Aboriginal	669
Queanbeyan	2011	F	Both Aboriginal & Torres Strait Islander	15
Queanbeyan	2011	F	Non-indigenous	25965
Queanbeyan	2011	F	Torres Strait Islander	11
Queanbeyan	2011	M	Aboriginal	660
Queanbeyan	2011	M	Both Aboriginal & Torres Strait Islander	20
Queanbeyan	2011	M	Non-indigenous	26161
Queanbeyan	2011	M	Torres Strait Islander	11
Queanbeyan	2016	F	Aboriginal	864
Queanbeyan	2016	F	Both Aboriginal & Torres Strait Islander	13
Queanbeyan	2016	F	Non-indigenous	27614
Queanbeyan	2016	F	Torres Strait Islander	10
Queanbeyan	2016	M	Aboriginal	830
Queanbeyan	2016	M	Both Aboriginal & Torres Strait Islander	18
Queanbeyan	2016	M	Non-indigenous	27957
Queanbeyan	2016	M	Torres Strait Islander	23
Snowy Mountains	2006	F	Aboriginal	103
Snowy Mountains	2006	F	Both Aboriginal & Torres Strait Islander	3
Snowy Mountains	2006	F	Non-indigenous	8874
Snowy Mountains	2006	F	Torres Strait Islander	8
Snowy Mountains	2006	M	Aboriginal	127
Snowy Mountains	2006	M	Both Aboriginal & Torres Strait Islander	5
Snowy Mountains	2006	M	Non-indigenous	9363
Snowy Mountains	2006	M	Torres Strait Islander	8
Snowy Mountains	2011	F	Aboriginal	165
Snowy Mountains	2011	F	Both Aboriginal & Torres Strait Islander	5
Snowy Mountains	2011	F	Non-indigenous	9007
Snowy Mountains	2011	F	Torres Strait Islander	16
Snowy Mountains	2011	M	Aboriginal	190
