SA3_NAME16	Year	LabourForceStatus	Sex	adults
Queanbeyan	2006		F	1130
Queanbeyan	2006		M	1293
Queanbeyan	2006	Employed (away from work)	F	823
Queanbeyan	2006	Employed (away from work)	M	822
Queanbeyan	2006	Employed (full-time)	F	6769
Queanbeyan	2006	Employed (full-time)	M	10895
Queanbeyan	2006	Employed (part-time)	F	4478
Queanbeyan	2006	Employed (part-time)	M	1936
Queanbeyan	2006	Not in the labour force	F	5738
Queanbeyan	2006	Not in the labour force	M	3763
Queanbeyan	2006	Unemployed (looking for work)	F	343
Queanbeyan	2006	Unemployed (looking for work)	M	412
Queanbeyan	2011		F	1027
Queanbeyan	2011		M	1300
Queanbeyan	2011	Employed (away from work)	F	1030
Queanbeyan	2011	Employed (away from work)	M	863
Queanbeyan	2011	Employed (full-time)	F	8015
Queanbeyan	2011	Employed (full-time)	M	12224
Queanbeyan	2011	Employed (part-time)	F	4885
Queanbeyan	2011	Employed (part-time)	M	2297
Queanbeyan	2011	Not in the labour force	F	5908
Queanbeyan	2011	Not in the labour force	M	4095
Queanbeyan	2011	Unemployed (looking for work)	F	371
Queanbeyan	2011	Unemployed (looking for work)	M	472
Queanbeyan	2016		F	1629
Queanbeyan	2016		M	1734
Queanbeyan	2016	Employed (away from work)	F	953
Queanbeyan	2016	Employed (away from work)	M	793
Queanbeyan	2016	Employed (full-time)	F	8293
Queanbeyan	2016	Employed (full-time)	M	12235
Queanbeyan	2016	Employed (part-time)	F	5209
Queanbeyan	2016	Employed (part-time)	M	2551
Queanbeyan	2016	Not in the labour force	F	6457
Queanbeyan	2016	Not in the labour force	M	4998
Queanbeyan	2016	Unemployed (looking for work)	F	571
Queanbeyan	2016	Unemployed (looking for work)	M	679
Snowy Mountains	2006		F	717
Snowy Mountains	2006		M	922
Snowy Mountains	2006	Employed (away from work)	F	219
Snowy Mountains	2006	Employed (away from work)	M	269
Snowy Mountains	2006	Employed (full-time)	F	1883
Snowy Mountains	2006	Employed (full-time)	M	3599
Snowy Mountains	2006	Employed (part-time)	F	1777
Snowy Mountains	2006	Employed (part-time)	M	807
Snowy Mountains	2006	Not in the labour force	F	2452
Snowy Mountains	2006	Not in the labour force	M	1791
Snowy Mountains	2006	Unemployed (looking for work)	F	151
Snowy Mountains	2006	Unemployed (looking for work)	M	203
Snowy Mountains	2011		F	496
Snowy Mountains	2011		M	649
Snowy Mountains	2011	Employed (away from work)	F	265
Snowy Mountains	2011	Employed (away from work)	M	282
Snowy Mountains	2011	Employed (full-time)	F	2110
Snowy Mountains	2011	Employed (full-time)	M	3699
Snowy Mountains	2011	Employed (part-time)	F	1795
Snowy Mountains	2011	Employed (part-time)	M	888
Snowy Mountains	2011	Not in the labour force	F	2657
Snowy Mountains	2011	Not in the labour force	M	2115
Snowy Mountains	2011	Unemployed (looking for work)	F	139
Snowy Mountains	2011	Unemployed (looking for work)	M	195
Snowy Mountains	2016		F	680
Snowy Mountains	2016		M	732
