SA3_NAME16	Year	LabourForceStatus	adults
Queanbeyan	2006		2412
Queanbeyan	2006	Employed (away from work)	1642
Queanbeyan	2006	Employed (full-time)	17669
Queanbeyan	2006	Employed (part-time)	6415
Queanbeyan	2006	Not in the labour force	9508
Queanbeyan	2006	Unemployed (looking for work)	754
Queanbeyan	2011		2331
Queanbeyan	2011	Employed (away from work)	1896
Queanbeyan	2011	Employed (full-time)	20243
Queanbeyan	2011	Employed (part-time)	7176
Queanbeyan	2011	Not in the labour force	9997
Queanbeyan	2011	Unemployed (looking for work)	844
Queanbeyan	2016		3372
Queanbeyan	2016	Employed (away from work)	1746
Queanbeyan	2016	Employed (full-time)	20524
Queanbeyan	2016	Employed (part-time)	7758
Queanbeyan	2016	Not in the labour force	11453
Queanbeyan	2016	Unemployed (looking for work)	1248
Snowy Mountains	2006		1640
Snowy Mountains	2006	Employed (away from work)	483
Snowy Mountains	2006	Employed (full-time)	5482
Snowy Mountains	2006	Employed (part-time)	2580
Snowy Mountains	2006	Not in the labour force	4243
Snowy Mountains	2006	Unemployed (looking for work)	359
Snowy Mountains	2011		1150
Snowy Mountains	2011	Employed (away from work)	546
Snowy Mountains	2011	Employed (full-time)	5808
Snowy Mountains	2011	Employed (part-time)	2683
Snowy Mountains	2011	Not in the labour force	4770
Snowy Mountains	2011	Unemployed (looking for work)	338
Snowy Mountains	2016		1408
Snowy Mountains	2016	Employed (away from work)	546
Snowy Mountains	2016	Employed (full-time)	5931
Snowy Mountains	2016	Employed (part-time)	2963
Snowy Mountains	2016	Not in the labour force	4919
Snowy Mountains	2016	Unemployed (looking for work)	330
South Coast	2006		2627
South Coast	2006	Employed (away from work)	1772
South Coast	2006	Employed (full-time)	13186
South Coast	2006	Employed (part-time)	9743
South Coast	2006	Not in the labour force	24416
South Coast	2006	Unemployed (looking for work)	2163
South Coast	2011		3139
South Coast	2011	Employed (away from work)	1863
South Coast	2011	Employed (full-time)	13440
South Coast	2011	Employed (part-time)	10331
South Coast	2011	Not in the labour force	25751
South Coast	2011	Unemployed (looking for work)	1845
South Coast	2016		4849
South Coast	2016	Employed (away from work)	1737
South Coast	2016	Employed (full-time)	13468
South Coast	2016	Employed (part-time)	10989
South Coast	2016	Not in the labour force	27255
South Coast	2016	Unemployed (looking for work)	1735
Goulburn - Mulwaree	2006		1327
Goulburn - Mulwaree	2006	Employed (away from work)	983
Goulburn - Mulwaree	2006	Employed (full-time)	8696
Goulburn - Mulwaree	2006	Employed (part-time)	4149
Goulburn - Mulwaree	2006	Not in the labour force	9753
Goulburn - Mulwaree	2006	Unemployed (looking for work)	825
Goulburn - Mulwaree	2011		1272
Goulburn - Mulwaree	2011	Employed (away from work)	903
Goulburn - Mulwaree	2011	Employed (full-time)	9381
Goulburn - Mulwaree	2011	Employed (part-time)	4520
Goulburn - Mulwaree	2011	Not in the labour force	9942
Goulburn - Mulwaree	2011	Unemployed (looking for work)	821
Goulburn - Mulwaree	2016		2270
Goulburn - Mulwaree	2016	Employed (away from work)	909
Goulburn - Mulwaree	2016	Employed (full-time)	9504
Goulburn - Mulwaree	2016	Employed (part-time)	4995
Goulburn - Mulwaree	2016	Not in the labour force	10527
Goulburn - Mulwaree	2016	Unemployed (looking for work)	960
Young - Yass	2006		986
Young - Yass	2006	Employed (away from work)	1015
Young - Yass	2006	Employed (full-time)	9505
Young - Yass	2006	Employed (part-time)	4306
Young - Yass	2006	Not in the labour force	8624
Young - Yass	2006	Unemployed (looking for work)	663
Young - Yass	2011		1393
Young - Yass	2011	Employed (away from work)	1054
Young - Yass	2011	Employed (full-time)	10014
Young - Yass	2011	Employed (part-time)	4803
Young - Yass	2011	Not in the labour force	9092
Young - Yass	2011	Unemployed (looking for work)	663
Young - Yass	2016		2159
Young - Yass	2016	Employed (away from work)	1048
Young - Yass	2016	Employed (full-time)	10067
Young - Yass	2016	Employed (part-time)	5159
Young - Yass	2016	Not in the labour force	9534
Young - Yass	2016	Unemployed (looking for work)	718
Gosford	2006		9392
Gosford	2006	Employed (away from work)	4505
Gosford	2006	Employed (full-time)	40399
Gosford	2006	Employed (part-time)	22346
Gosford	2006	Not in the labour force	46638
Gosford	2006	Unemployed (looking for work)	4458
Gosford	2011		7592
Gosford	2011	Employed (away from work)	4534
Gosford	2011	Employed (full-time)	42525
Gosford	2011	Employed (part-time)	24323
Gosford	2011	Not in the labour force	49017
Gosford	2011	Unemployed (looking for work)	4613
Gosford	2016		7952
Gosford	2016	Employed (away from work)	3949
Gosford	2016	Employed (full-time)	44131
Gosford	2016	Employed (part-time)	26374
Gosford	2016	Not in the labour force	51523
Gosford	2016	Unemployed (looking for work)	4889
Wyong	2006		6245
Wyong	2006	Employed (away from work)	3715
Wyong	2006	Employed (full-time)	32023
Wyong	2006	Employed (part-time)	17727
Wyong	2006	Not in the labour force	44836
Wyong	2006	Unemployed (looking for work)	4790
Wyong	2011		6285
Wyong	2011	Employed (away from work)	4054
Wyong	2011	Employed (full-time)	35827
Wyong	2011	Employed (part-time)	19743
Wyong	2011	Not in the labour force	47896
Wyong	2011	Unemployed (looking for work)	5076
Wyong	2016		8274
Wyong	2016	Employed (away from work)	3636
Wyong	2016	Employed (full-time)	38657
Wyong	2016	Employed (part-time)	22849
Wyong	2016	Not in the labour force	49870
Wyong	2016	Unemployed (looking for work)	5208
Bathurst	2006		1386
Bathurst	2006	Employed (away from work)	1242
Bathurst	2006	Employed (full-time)	11583
Bathurst	2006	Employed (part-time)	5682
Bathurst	2006	Not in the labour force	11418
Bathurst	2006	Unemployed (looking for work)	1172
Bathurst	2011		1739
Bathurst	2011	Employed (away from work)	1208
Bathurst	2011	Employed (full-time)	12455
Bathurst	2011	Employed (part-time)	6178
Bathurst	2011	Not in the labour force	11840
Bathurst	2011	Unemployed (looking for work)	1113
Bathurst	2016		2888
Bathurst	2016	Employed (away from work)	1211
Bathurst	2016	Employed (full-time)	12577
Bathurst	2016	Employed (part-time)	6615
Bathurst	2016	Not in the labour force	12957
Bathurst	2016	Unemployed (looking for work)	1300
Lachlan Valley	2006		1972
Lachlan Valley	2006	Employed (away from work)	1580
Lachlan Valley	2006	Employed (full-time)	14751
Lachlan Valley	2006	Employed (part-time)	6662
Lachlan Valley	2006	Not in the labour force	16862
Lachlan Valley	2006	Unemployed (looking for work)	1599
Lachlan Valley	2011		2479
Lachlan Valley	2011	Employed (away from work)	1551
Lachlan Valley	2011	Employed (full-time)	14461
Lachlan Valley	2011	Employed (part-time)	6816
Lachlan Valley	2011	Not in the labour force	16826
Lachlan Valley	2011	Unemployed (looking for work)	1261
Lachlan Valley	2016		4245
Lachlan Valley	2016	Employed (away from work)	1468
Lachlan Valley	2016	Employed (full-time)	13759
Lachlan Valley	2016	Employed (part-time)	6962
Lachlan Valley	2016	Not in the labour force	16643
Lachlan Valley	2016	Unemployed (looking for work)	1445
Lithgow - Mudgee	2006		1890
Lithgow - Mudgee	2006	Employed (away from work)	1076
Lithgow - Mudgee	2006	Employed (full-time)	10512
Lithgow - Mudgee	2006	Employed (part-time)	5369
Lithgow - Mudgee	2006	Not in the labour force	13586
Lithgow - Mudgee	2006	Unemployed (looking for work)	1424
Lithgow - Mudgee	2011		2096
Lithgow - Mudgee	2011	Employed (away from work)	1175
Lithgow - Mudgee	2011	Employed (full-time)	11061
Lithgow - Mudgee	2011	Employed (part-time)	5725
Lithgow - Mudgee	2011	Not in the labour force	14048
Lithgow - Mudgee	2011	Unemployed (looking for work)	1234
Lithgow - Mudgee	2016		3863
Lithgow - Mudgee	2016	Employed (away from work)	1087
Lithgow - Mudgee	2016	Employed (full-time)	10758
Lithgow - Mudgee	2016	Employed (part-time)	6115
Lithgow - Mudgee	2016	Not in the labour force	14642
Lithgow - Mudgee	2016	Unemployed (looking for work)	1386
Orange	2006		1951
Orange	2006	Employed (away from work)	1463
Orange	2006	Employed (full-time)	14642
Orange	2006	Employed (part-time)	6498
Orange	2006	Not in the labour force	13480
Orange	2006	Unemployed (looking for work)	1296
Orange	2011		2155
Orange	2011	Employed (away from work)	1543
Orange	2011	Employed (full-time)	16411
Orange	2011	Employed (part-time)	7070
Orange	2011	Not in the labour force	14046
Orange	2011	Unemployed (looking for work)	1099
Orange	2016		3081
Orange	2016	Employed (away from work)	1458
Orange	2016	Employed (full-time)	16322
Orange	2016	Employed (part-time)	7944
Orange	2016	Not in the labour force	14933
Orange	2016	Unemployed (looking for work)	1582
Clarence Valley	2006		1910
Clarence Valley	2006	Employed (away from work)	1216
Clarence Valley	2006	Employed (full-time)	9430
Clarence Valley	2006	Employed (part-time)	6114
Clarence Valley	2006	Not in the labour force	17716
Clarence Valley	2006	Unemployed (looking for work)	1842
Clarence Valley	2011		1811
Clarence Valley	2011	Employed (away from work)	1222
Clarence Valley	2011	Employed (full-time)	9649
Clarence Valley	2011	Employed (part-time)	6715
Clarence Valley	2011	Not in the labour force	18987
Clarence Valley	2011	Unemployed (looking for work)	1714
Clarence Valley	2016		3122
Clarence Valley	2016	Employed (away from work)	1125
Clarence Valley	2016	Employed (full-time)	9353
Clarence Valley	2016	Employed (part-time)	6936
Clarence Valley	2016	Not in the labour force	19774
Clarence Valley	2016	Unemployed (looking for work)	1726
Coffs Harbour	2006		3127
Coffs Harbour	2006	Employed (away from work)	2051
Coffs Harbour	2006	Employed (full-time)	16391
Coffs Harbour	2006	Employed (part-time)	11903
Coffs Harbour	2006	Not in the labour force	25522
Coffs Harbour	2006	Unemployed (looking for work)	3046
Coffs Harbour	2011		3158
Coffs Harbour	2011	Employed (away from work)	2146
Coffs Harbour	2011	Employed (full-time)	17961
Coffs Harbour	2011	Employed (part-time)	12839
Coffs Harbour	2011	Not in the labour force	26654
Coffs Harbour	2011	Unemployed (looking for work)	2968
Coffs Harbour	2016		5357
Coffs Harbour	2016	Employed (away from work)	1892
Coffs Harbour	2016	Employed (full-time)	18784
Coffs Harbour	2016	Employed (part-time)	13986
Coffs Harbour	2016	Not in the labour force	27636
Coffs Harbour	2016	Unemployed (looking for work)	2735
Bourke - Cobar - Coonamble	2006		1537
Bourke - Cobar - Coonamble	2006	Employed (away from work)	773
Bourke - Cobar - Coonamble	2006	Employed (full-time)	7377
Bourke - Cobar - Coonamble	2006	Employed (part-time)	2841
Bourke - Cobar - Coonamble	2006	Not in the labour force	6891
Bourke - Cobar - Coonamble	2006	Unemployed (looking for work)	925
Bourke - Cobar - Coonamble	2011		1662
Bourke - Cobar - Coonamble	2011	Employed (away from work)	781
Bourke - Cobar - Coonamble	2011	Employed (full-time)	7127
Bourke - Cobar - Coonamble	2011	Employed (part-time)	2497
Bourke - Cobar - Coonamble	2011	Not in the labour force	6796
Bourke - Cobar - Coonamble	2011	Unemployed (looking for work)	741
Bourke - Cobar - Coonamble	2016		2510
Bourke - Cobar - Coonamble	2016	Employed (away from work)	639
Bourke - Cobar - Coonamble	2016	Employed (full-time)	6195
Bourke - Cobar - Coonamble	2016	Employed (part-time)	2368
Bourke - Cobar - Coonamble	2016	Not in the labour force	6507
Bourke - Cobar - Coonamble	2016	Unemployed (looking for work)	822
Broken Hill and Far West	2006		1261
Broken Hill and Far West	2006	Employed (away from work)	649
Broken Hill and Far West	2006	Employed (full-time)	5042
Broken Hill and Far West	2006	Employed (part-time)	2385
Broken Hill and Far West	2006	Not in the labour force	7587
Broken Hill and Far West	2006	Unemployed (looking for work)	783
Broken Hill and Far West	2011		1241
Broken Hill and Far West	2011	Employed (away from work)	630
Broken Hill and Far West	2011	Employed (full-time)	5283
Broken Hill and Far West	2011	Employed (part-time)	2317
Broken Hill and Far West	2011	Not in the labour force	7119
Broken Hill and Far West	2011	Unemployed (looking for work)	732
Broken Hill and Far West	2016		1420
Broken Hill and Far West	2016	Employed (away from work)	560
Broken Hill and Far West	2016	Employed (full-time)	4945
