GCCSA_CODE_2016,Med_age_persns_C2006,Med_age_persns_C2011,Med_age_persns_C2016,Med_mortg_rep_mon_C2006,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_person_inc_we_C2006,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_rent_weekly_C2006,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_Famly_inc_we_C2006,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Avg_num_p_per_brm_C2006,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Med_tot_hh_inc_wee_C2006,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Average_hh_size_C2006,Average_hh_size_C2011,Average_hh_size_C2016
9OTER,36,32,42,1083,1300,1400,519,817,715,102,115,140,1229,1768,1568,0.9,1,0.9,1184,1660,1398,2.9,2.8,2.6
99799,0,0,39,0,0,0,0,0,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,25,30,42,0,0,0,883,1525,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,34,34,35,1500,2167,2058,723,918,1000,260,380,380,1789,2277,2445,0.8,0.8,0.8,1450,1883,2067,2.6,2.6,2.5
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,27,31,36,0,0,0,444,498,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7RNTE,28,29,30,1200,1782,1816,340,477,525,56,70,92,1006,1247,1352,1.2,1.2,1.2,1097,1384,1498,3.4,3.2,3.2
7GDAR,32,33,33,1308,2167,2200,682,897,1052,200,360,420,1487,2040,2386,0.9,1,1,1261,1723,2145,2.6,2.7,2.7
79799,26,34,36,0,0,0,890,1298,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,45,45,44,0,0,0,418,493,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6RTAS,40,41,44,856,1205,1200,376,459,527,125,180,206,967,1101,1286,0.8,0.8,0.8,741,875,998,2.4,2.4,2.3
6GHOB,38,39,40,975,1430,1402,444,556,637,150,235,260,1121,1359,1569,0.8,0.8,0.8,902,1062,1232,2.4,2.4,2.4
69799,40,43,41,0,0,0,1379,1238,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,33,37,38,0,0,0,308,338,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5RWAU,36,37,39,1047,1625,1700,479,641,713,123,180,240,1167,1494,1730,0.8,0.8,0.8,1019,1234,1393,2.6,2.6,2.5
5GPER,36,36,36,1300,2000,2000,507,669,728,180,320,360,1290,1785,1955,0.8,0.8,0.8,1087,1455,1637,2.5,2.6,2.6
59799,36,36,40,0,0,0,1589,3000,2654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59499,38,40,41,0,0,0,446,490,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4RSAU,40,42,45,828,1170,1170,388,477,550,115,155,190,1000,1107,1307,0.8,0.8,0.7,753,885,1030,2.4,2.3,2.3
4GADE,38,39,39,1083,1540,1517,449,554,617,165,250,285,1154,1403,1591,0.8,0.8,0.8,929,1105,1262,2.4,2.4,2.5
49799,31,31,45,0,0,0,1733,1125,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,35,39,40,0,0,0,344,369,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3RQLD,37,38,39,1200,1733,1707,449,553,624,190,270,300,1106,1327,1511,0.8,0.8,0.8,957,1097,1259,2.6,2.5,2.5
3GBRI,35,35,35,1300,1950,1861,509,633,703,220,325,355,1252,1614,1821,0.8,0.8,0.8,1112,1385,1559,2.6,2.7,2.7
39799,45,47,56,0,0,0,1060,660,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39499,41,44,45,0,0,0,354,379,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2RVIC,40,41,43,997,1300,1300,396,493,576,144,190,233,1046,1200,1418,0.8,0.8,0.8,807,945,1124,2.5,2.4,2.4
2GMEL,36,36,36,1300,1811,1800,481,591,673,200,300,350,1252,1575,1826,0.8,0.9,0.9,1090,1331,1539,2.6,2.6,2.7
29799,45,48,49,0,0,0,1321,1949,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,31,32,34,0,0,0,373,352,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RNSW,40,41,43,1200,1560,1590,386,490,584,160,220,270,1035,1215,1449,0.8,0.8,0.8,795,960,1166,2.5,2.4,2.4
1GSYD,35,36,36,1800,2167,2167,518,619,719,250,355,440,1360,1678,1988,0.9,0.9,1,1173,1444,1746,2.7,2.7,2.8
19799,38,64,58,0,0,0,1037,490,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19499,35,37,39,0,0,0,344,349,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
