GCCSA_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
9OTER,980,369,20,198,1556
99799,0,0,0,0,0
99499,0,0,0,0,0
8ACTE,100308,35413,6938,8032,150693
89799,0,0,0,0,0
89499,0,0,0,0,0
7RNTE,15881,5269,864,7460,29476
7GDAR,31515,8957,2574,6725,49770
79799,0,0,0,0,0
79499,0,0,0,0,0
6RTAS,75163,33666,3120,7448,119401
6GHOB,57405,24851,3371,4581,90210
69799,0,0,0,0,0
69499,0,0,0,0,0
5RWAU,126238,45207,5050,29251,205742
5GPER,503642,159002,27644,42066,732349
59799,0,0,0,0,0
59499,0,0,0,0,0
4RSAU,98639,44290,3418,12463,158804
4GADE,338181,134833,19439,22292,514742
49799,0,0,0,0,0
49499,0,0,0,0,0
3RQLD,615423,215655,36293,90970,958343
3GBRI,574438,173424,41605,43937,833399
39799,0,0,0,0,0
39499,0,0,0,0,0
2RVIC,365732,155827,16673,39511,577735
2GMEL,1129553,366005,78913,90066,1664540
29799,0,0,0,0,0
29499,0,0,0,0,0
1RNSW,678869,269360,32214,74744,1055183
1GSYD,1195662,351423,76795,95804,1719678
19799,0,0,0,0,0
19499,0,0,0,0,0
