SA2_NAME16	Year	LabourForceStatus	adults
Braidwood	2006		116
Braidwood	2006	Employed (away from work)	64
Braidwood	2006	Employed (full-time)	632
Braidwood	2006	Employed (part-time)	363
Braidwood	2006	Not in the labour force	718
Braidwood	2006	Unemployed (looking for work)	37
Braidwood	2011		167
Braidwood	2011	Employed (away from work)	92
Braidwood	2011	Employed (full-time)	921
Braidwood	2011	Employed (part-time)	541
Braidwood	2011	Not in the labour force	944
Braidwood	2011	Unemployed (looking for work)	64
Braidwood	2016		370
Braidwood	2016	Employed (away from work)	115
Braidwood	2016	Employed (full-time)	972
Braidwood	2016	Employed (part-time)	559
Braidwood	2016	Not in the labour force	1133
Braidwood	2016	Unemployed (looking for work)	73
Karabar	2006		398
Karabar	2006	Employed (away from work)	337
Karabar	2006	Employed (full-time)	3175
Karabar	2006	Employed (part-time)	1198
Karabar	2006	Not in the labour force	1927
Karabar	2006	Unemployed (looking for work)	164
Karabar	2011		350
Karabar	2011	Employed (away from work)	298
Karabar	2011	Employed (full-time)	3166
Karabar	2011	Employed (part-time)	1083
Karabar	2011	Not in the labour force	1725
Karabar	2011	Unemployed (looking for work)	154
Karabar	2016		386
Karabar	2016	Employed (away from work)	241
Karabar	2016	Employed (full-time)	2855
Karabar	2016	Employed (part-time)	1092
Karabar	2016	Not in the labour force	1841
Karabar	2016	Unemployed (looking for work)	208
Queanbeyan	2006		690
Queanbeyan	2006	Employed (away from work)	286
Queanbeyan	2006	Employed (full-time)	3178
Queanbeyan	2006	Employed (part-time)	1011
Queanbeyan	2006	Not in the labour force	2317
Queanbeyan	2006	Unemployed (looking for work)	187
Queanbeyan	2011		679
Queanbeyan	2011	Employed (away from work)	357
Queanbeyan	2011	Employed (full-time)	3914
Queanbeyan	2011	Employed (part-time)	1162
Queanbeyan	2011	Not in the labour force	2363
Queanbeyan	2011	Unemployed (looking for work)	194
Queanbeyan	2016		694
Queanbeyan	2016	Employed (away from work)	335
Queanbeyan	2016	Employed (full-time)	3889
Queanbeyan	2016	Employed (part-time)	1387
Queanbeyan	2016	Not in the labour force	2558
Queanbeyan	2016	Unemployed (looking for work)	306
Queanbeyan - East	2006		292
Queanbeyan - East	2006	Employed (away from work)	124
Queanbeyan - East	2006	Employed (full-time)	1595
Queanbeyan - East	2006	Employed (part-time)	501
Queanbeyan - East	2006	Not in the labour force	777
Queanbeyan - East	2006	Unemployed (looking for work)	67
Queanbeyan - East	2011		258
Queanbeyan - East	2011	Employed (away from work)	173
Queanbeyan - East	2011	Employed (full-time)	1939
Queanbeyan - East	2011	Employed (part-time)	602
Queanbeyan - East	2011	Not in the labour force	856
Queanbeyan - East	2011	Unemployed (looking for work)	82
Queanbeyan - East	2016		243
Queanbeyan - East	2016	Employed (away from work)	134
Queanbeyan - East	2016	Employed (full-time)	1880
Queanbeyan - East	2016	Employed (part-time)	633
Queanbeyan - East	2016	Not in the labour force	951
Queanbeyan - East	2016	Unemployed (looking for work)	140
Queanbeyan Region	2006		541
Queanbeyan Region	2006	Employed (away from work)	427
Queanbeyan Region	2006	Employed (full-time)	4576
Queanbeyan Region	2006	Employed (part-time)	1843
Queanbeyan Region	2006	Not in the labour force	2258
Queanbeyan Region	2006	Unemployed (looking for work)	154
Queanbeyan Region	2011		592
Queanbeyan Region	2011	Employed (away from work)	532
Queanbeyan Region	2011	Employed (full-time)	5225
Queanbeyan Region	2011	Employed (part-time)	2062
Queanbeyan Region	2011	Not in the labour force	2417
