SA2_NAME16	Year	persons
Braidwood	2006	2342
Braidwood	2011	3356
Braidwood	2016	3872
Karabar	2006	9245
Karabar	2011	8602
Karabar	2016	8247
Queanbeyan	2006	9127
Queanbeyan	2011	10233
Queanbeyan	2016	10842
Queanbeyan - East	2006	4002
Queanbeyan - East	2011	4639
Queanbeyan - East	2016	4786
Queanbeyan Region	2006	12650
Queanbeyan Region	2011	14111
Queanbeyan Region	2016	16946
Queanbeyan West - Jerrabomberra	2006	11701
Queanbeyan West - Jerrabomberra	2011	12572
Queanbeyan West - Jerrabomberra	2016	12643
Bombala	2006	2538
Bombala	2011	2419
Bombala	2016	2390
Cooma	2006	6789
Cooma	2011	6677
Cooma	2016	6742
Cooma Region	2006	2757
Cooma Region	2011	3175
Cooma Region	2016	3280
Jindabyne - Berridale	2006	6406
Jindabyne - Berridale	2011	6664
Jindabyne - Berridale	2016	6951
Batemans Bay	2006	7540
Batemans Bay	2011	7504
Batemans Bay	2016	7692
Batemans Bay - South	2006	7880
Batemans Bay - South	2011	8223
Batemans Bay - South	2016	8358
Bega - Tathra	2006	7567
Bega - Tathra	2011	8046
Bega - Tathra	2016	8405
Bega-Eden Hinterland	2006	8868
Bega-Eden Hinterland	2011	8767
Bega-Eden Hinterland	2016	8793
Broulee - Tomakin	2006	2516
Broulee - Tomakin	2011	2827
Broulee - Tomakin	2016	3285
Deua - Wadbilliga	2006	0
Deua - Wadbilliga	2011	57
Deua - Wadbilliga	2016	25
Eden	2006	3009
Eden	2011	3207
Eden	2016	3216
Eurobodalla Hinterland	2006	2583
Eurobodalla Hinterland	2011	3211
Eurobodalla Hinterland	2016	3301
Merimbula - Tura Beach	2006	9194
Merimbula - Tura Beach	2011	9779
Merimbula - Tura Beach	2016	10618
Moruya - Tuross Head	2006	7976
Moruya - Tuross Head	2011	7616
Moruya - Tuross Head	2016	7968
Narooma - Bermagui	2006	8946
Narooma - Bermagui	2011	8632
Narooma - Bermagui	2016	8978
Goulburn	2006	20775
Goulburn	2011	21485
Goulburn	2016	22890
Goulburn Region	2006	11300
Goulburn Region	2011	11615
Goulburn Region	2016	12670
Yass	2006	5735
Yass	2011	6331
