SA2_NAME16	Year	Sex	IndigenousStatus	persons
Braidwood	2006	F	Aboriginal	8
Braidwood	2006	F	Both Aboriginal & Torres Strait Islander	0
Braidwood	2006	F	Non-indigenous	1146
Braidwood	2006	F	Torres Strait Islander	0
Braidwood	2006	M	Aboriginal	19
Braidwood	2006	M	Both Aboriginal & Torres Strait Islander	0
Braidwood	2006	M	Non-indigenous	1165
Braidwood	2006	M	Torres Strait Islander	4
Braidwood	2011	F	Aboriginal	18
Braidwood	2011	F	Both Aboriginal & Torres Strait Islander	0
Braidwood	2011	F	Non-indigenous	1650
Braidwood	2011	F	Torres Strait Islander	0
Braidwood	2011	M	Aboriginal	21
Braidwood	2011	M	Both Aboriginal & Torres Strait Islander	0
Braidwood	2011	M	Non-indigenous	1669
Braidwood	2011	M	Torres Strait Islander	0
Braidwood	2016	F	Aboriginal	32
Braidwood	2016	F	Both Aboriginal & Torres Strait Islander	0
Braidwood	2016	F	Non-indigenous	1884
Braidwood	2016	F	Torres Strait Islander	0
Braidwood	2016	M	Aboriginal	45
Braidwood	2016	M	Both Aboriginal & Torres Strait Islander	0
Braidwood	2016	M	Non-indigenous	1910
Braidwood	2016	M	Torres Strait Islander	0
Karabar	2006	F	Aboriginal	211
Karabar	2006	F	Both Aboriginal & Torres Strait Islander	0
Karabar	2006	F	Non-indigenous	4454
Karabar	2006	F	Torres Strait Islander	4
Karabar	2006	M	Aboriginal	216
Karabar	2006	M	Both Aboriginal & Torres Strait Islander	3
Karabar	2006	M	Non-indigenous	4354
Karabar	2006	M	Torres Strait Islander	6
Karabar	2011	F	Aboriginal	205
Karabar	2011	F	Both Aboriginal & Torres Strait Islander	6
Karabar	2011	F	Non-indigenous	4147
Karabar	2011	F	Torres Strait Islander	4
Karabar	2011	M	Aboriginal	219
Karabar	2011	M	Both Aboriginal & Torres Strait Islander	8
Karabar	2011	M	Non-indigenous	4005
Karabar	2011	M	Torres Strait Islander	5
Karabar	2016	F	Aboriginal	254
Karabar	2016	F	Both Aboriginal & Torres Strait Islander	0
Karabar	2016	F	Non-indigenous	3912
Karabar	2016	F	Torres Strait Islander	6
Karabar	2016	M	Aboriginal	231
Karabar	2016	M	Both Aboriginal & Torres Strait Islander	0
Karabar	2016	M	Non-indigenous	3834
Karabar	2016	M	Torres Strait Islander	8
Queanbeyan	2006	F	Aboriginal	103
Queanbeyan	2006	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan	2006	F	Non-indigenous	4399
Queanbeyan	2006	F	Torres Strait Islander	0
Queanbeyan	2006	M	Aboriginal	92
Queanbeyan	2006	M	Both Aboriginal & Torres Strait Islander	3
Queanbeyan	2006	M	Non-indigenous	4529
Queanbeyan	2006	M	Torres Strait Islander	3
Queanbeyan	2011	F	Aboriginal	144
Queanbeyan	2011	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan	2011	F	Non-indigenous	4881
Queanbeyan	2011	F	Torres Strait Islander	0
Queanbeyan	2011	M	Aboriginal	108
Queanbeyan	2011	M	Both Aboriginal & Torres Strait Islander	3
Queanbeyan	2011	M	Non-indigenous	5099
Queanbeyan	2011	M	Torres Strait Islander	0
Queanbeyan	2016	F	Aboriginal	169
Queanbeyan	2016	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan	2016	F	Non-indigenous	5229
Queanbeyan	2016	F	Torres Strait Islander	5
Queanbeyan	2016	M	Aboriginal	140
Queanbeyan	2016	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan	2016	M	Non-indigenous	5282
Queanbeyan	2016	M	Torres Strait Islander	8
Queanbeyan - East	2006	F	Aboriginal	56
Queanbeyan - East	2006	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2006	F	Non-indigenous	1876
Queanbeyan - East	2006	F	Torres Strait Islander	3
Queanbeyan - East	2006	M	Aboriginal	40
Queanbeyan - East	2006	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2006	M	Non-indigenous	2027
Queanbeyan - East	2006	M	Torres Strait Islander	4
Queanbeyan - East	2011	F	Aboriginal	50
Queanbeyan - East	2011	F	Both Aboriginal & Torres Strait Islander	3
Queanbeyan - East	2011	F	Non-indigenous	2173
Queanbeyan - East	2011	F	Torres Strait Islander	4
Queanbeyan - East	2011	M	Aboriginal	67
Queanbeyan - East	2011	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2011	M	Non-indigenous	2347
Queanbeyan - East	2011	M	Torres Strait Islander	0
Queanbeyan - East	2016	F	Aboriginal	73
Queanbeyan - East	2016	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2016	F	Non-indigenous	2252
Queanbeyan - East	2016	F	Torres Strait Islander	0
Queanbeyan - East	2016	M	Aboriginal	91
Queanbeyan - East	2016	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan - East	2016	M	Non-indigenous	2368
Queanbeyan - East	2016	M	Torres Strait Islander	0
Queanbeyan Region	2006	F	Aboriginal	47
Queanbeyan Region	2006	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2006	F	Non-indigenous	6190
Queanbeyan Region	2006	F	Torres Strait Islander	0
Queanbeyan Region	2006	M	Aboriginal	46
Queanbeyan Region	2006	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2006	M	Non-indigenous	6366
Queanbeyan Region	2006	M	Torres Strait Islander	0
Queanbeyan Region	2011	F	Aboriginal	105
Queanbeyan Region	2011	F	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2011	F	Non-indigenous	6885
Queanbeyan Region	2011	F	Torres Strait Islander	3
Queanbeyan Region	2011	M	Aboriginal	110
Queanbeyan Region	2011	M	Both Aboriginal & Torres Strait Islander	0
Queanbeyan Region	2011	M	Non-indigenous	7006
Queanbeyan Region	2011	M	Torres Strait Islander	0
Queanbeyan Region	2016	F	Aboriginal	150
Queanbeyan Region	2016	F	Both Aboriginal & Torres Strait Islander	10
Queanbeyan Region	2016	F	Non-indigenous	8171
Queanbeyan Region	2016	F	Torres Strait Islander	0
Queanbeyan Region	2016	M	Aboriginal	167
Queanbeyan Region	2016	M	Both Aboriginal & Torres Strait Islander	6
Queanbeyan Region	2016	M	Non-indigenous	8443
Queanbeyan Region	2016	M	Torres Strait Islander	3
Queanbeyan West - Jerrabomberra	2006	F	Aboriginal	97
Queanbeyan West - Jerrabomberra	2006	F	Both Aboriginal & Torres Strait Islander	3
Queanbeyan West - Jerrabomberra	2006	F	Non-indigenous	5894
Queanbeyan West - Jerrabomberra	2006	F	Torres Strait Islander	0
