SA2_NAME16	Year	medianRentWeekly
Braidwood	2006	148
Karabar	2006	179
Queanbeyan	2006	170
Queanbeyan - East	2006	173
Queanbeyan Region	2006	200
Queanbeyan West - Jerrabomberra	2006	240
Bombala	2006	85
Cooma	2006	140
Cooma Region	2006	100
Jindabyne - Berridale	2006	200
Batemans Bay	2006	180
Batemans Bay - South	2006	190
Bega - Tathra	2006	160
Bega-Eden Hinterland	2006	120
Broulee - Tomakin	2006	180
Deua - Wadbilliga	2006	0
Eden	2006	150
Eurobodalla Hinterland	2006	110
Merimbula - Tura Beach	2006	180
Moruya - Tuross Head	2006	155
Narooma - Bermagui	2006	160
Goulburn	2006	150
Goulburn Region	2006	100
Yass	2006	150
Yass Region	2006	125
Young	2006	145
Young Region	2006	90
Avoca Beach - Copacabana	2006	250
Box Head - MacMasters Beach	2006	240
Calga - Kulnura	2006	150
Erina - Green Point	2006	213
Gosford - Springfield	2006	200
Kariong	2006	235
Kincumber - Picketts Valley	2006	210
Narara	2006	210
Niagara Park - Lisarow	2006	230
Point Clare - Koolewong	2006	215
Saratoga - Davistown	2006	228
Terrigal - North Avoca	2006	268
Umina - Booker Bay - Patonga	2006	200
Wamberal - Forresters Beach	2006	250
Woy Woy - Blackwall	2006	195
Wyoming	2006	205
Bateau Bay - Killarney Vale	2006	200
Blue Haven - San Remo	2006	210
Budgewoi - Buff Point - Halekulani	2006	185
Chittaway Bay - Tumbi Umbi	2006	225
Gorokan - Kanwal - Charmhaven	2006	190
Jilliby - Yarramalong	2006	190
Lake Munmorah - Mannering Park	2006	195
Ourimbah - Fountaindale	2006	210
Summerland Point - Gwandalan	2006	195
The Entrance	2006	190
Toukley - Norah Head	2006	180
Tuggerah - Kangy Angy	2006	225
Warnervale - Wadalba	2006	280
Wyong	2006	175
Bathurst	2006	175
Bathurst - East	2006	175
Bathurst Region	2006	100
Oberon	2006	150
Condobolin	2006	90
Cowra	2006	135
Cowra Region	2006	100
Forbes	2006	120
Grenfell	2006	85
Parkes (NSW)	2006	130
Parkes Region	2006	80
West Wyalong	2006	100
Lithgow	2006	140
Lithgow Region	2006	125
Mudgee	2006	166
Mudgee Region - East	2006	110
Mudgee Region - West	2006	120
Wollangambe - Wollemi	2006	0
Blayney	2006	140
Orange	2006	160
Orange - North	2006	185
Orange Region	2006	120
Grafton	2006	150
Grafton Region	2006	130
Maclean - Yamba - Iluka	2006	170
Bellingen	2006	185
Coffs Harbour - North	2006	180
Coffs Harbour - South	2006	180
Coramba - Nana Glen - Bucca	2006	160
Dorrigo	2006	120
Korora - Emerald Beach	2006	240
Sawtell - Boambee	2006	185
Urunga	2006	165
Woolgoolga - Arrawarra	2006	180
Bourke - Brewarrina	2006	95
Cobar	2006	120
Coonamble	2006	90
Nyngan - Warren	2006	100
Walgett - Lightning Ridge	2006	65
Broken Hill	2006	110
Far West	2006	40
Coonabarabran	2006	100
Dubbo - East	2006	165
Dubbo - South	2006	165
Dubbo - West	2006	135
Dubbo Region	2006	110
Gilgandra	2006	100
Narromine	2006	110
Wellington	2006	100
Branxton - Greta - Pokolbin	2006	185
Cessnock	2006	160
Cessnock Region	2006	150
Dungog	2006	145
Kurri Kurri - Abermain	2006	155
Singleton	2006	180
Singleton Region	2006	135
Maitland	2006	150
Maitland - East	2006	175
Maitland - North	2006	210
Maitland - West	2006	180
Thornton - Millers Forest	2006	200
Anna Bay	2006	220
Lemon Tree Passage - Tanilba Bay	2006	190
Nelson Bay Peninsula	2006	200
Raymond Terrace	2006	150
Seaham - Woodville	2006	185
Tea Gardens - Hawks Nest	2006	185
Williamtown - Medowie - Karuah	2006	180
Muswellbrook	2006	160
Muswellbrook Region	2006	120
Scone	2006	150
Scone Region	2006	100
Dapto - Avondale	2006	170
Horsley - Kembla Grange	2006	250
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	155
Berkeley - Lake Heights - Cringila	2006	145
Port Kembla - Warrawong	2006	120
Windang - Primbee	2006	150
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	225
Albion Park Rail	2006	199
Kiama	2006	231
Kiama Downs - Minnamurra	2006	240
Kiama Hinterland - Gerringong	2006	220
Shellharbour - Flinders	2006	250
Shellharbour - Oak Flats	2006	200
Warilla	2006	160
Balgownie - Fairy Meadow	2006	180
Corrimal - Tarrawanna - Bellambi	2006	160
Figtree - Keiraville	2006	190
Helensburgh	2006	270
Thirroul - Austinmer - Coalcliff	2006	260
Woonona - Bulli - Russell Vale	2006	190
