SA2_NAME16	Year	medianTotalPersonalIncomeWeekly
Braidwood	2006	376
Karabar	2006	552
Queanbeyan	2006	544
Queanbeyan - East	2006	650
Queanbeyan Region	2006	704
Queanbeyan West - Jerrabomberra	2006	832
Bombala	2006	383
Cooma	2006	425
Cooma Region	2006	417
Jindabyne - Berridale	2006	559
Batemans Bay	2006	343
Batemans Bay - South	2006	358
Bega - Tathra	2006	378
Bega-Eden Hinterland	2006	358
Broulee - Tomakin	2006	347
Deua - Wadbilliga	2006	0
Eden	2006	339
Eurobodalla Hinterland	2006	349
Merimbula - Tura Beach	2006	391
Moruya - Tuross Head	2006	346
Narooma - Bermagui	2006	322
Goulburn	2006	407
Goulburn Region	2006	391
Yass	2006	433
Yass Region	2006	594
Young	2006	373
Young Region	2006	354
Avoca Beach - Copacabana	2006	525
Box Head - MacMasters Beach	2006	454
Calga - Kulnura	2006	451
Erina - Green Point	2006	414
Gosford - Springfield	2006	461
Kariong	2006	509
Kincumber - Picketts Valley	2006	370
Narara	2006	474
Niagara Park - Lisarow	2006	506
Point Clare - Koolewong	2006	450
Saratoga - Davistown	2006	436
Terrigal - North Avoca	2006	541
Umina - Booker Bay - Patonga	2006	372
Wamberal - Forresters Beach	2006	515
Woy Woy - Blackwall	2006	371
Wyoming	2006	414
Bateau Bay - Killarney Vale	2006	377
Blue Haven - San Remo	2006	393
Budgewoi - Buff Point - Halekulani	2006	346
Chittaway Bay - Tumbi Umbi	2006	442
Gorokan - Kanwal - Charmhaven	2006	358
Jilliby - Yarramalong	2006	496
Lake Munmorah - Mannering Park	2006	345
Ourimbah - Fountaindale	2006	514
Summerland Point - Gwandalan	2006	378
The Entrance	2006	365
Toukley - Norah Head	2006	350
Tuggerah - Kangy Angy	2006	466
Warnervale - Wadalba	2006	454
Wyong	2006	356
Bathurst	2006	406
Bathurst - East	2006	460
Bathurst Region	2006	449
Oberon	2006	433
Condobolin	2006	357
Cowra	2006	365
Cowra Region	2006	342
Forbes	2006	363
Grenfell	2006	330
Parkes (NSW)	2006	369
Parkes Region	2006	318
West Wyalong	2006	363
Lithgow	2006	348
Lithgow Region	2006	363
Mudgee	2006	391
Mudgee Region - East	2006	304
Mudgee Region - West	2006	332
Wollangambe - Wollemi	2006	0
Blayney	2006	391
Orange	2006	412
Orange - North	2006	498
Orange Region	2006	467
Grafton	2006	357
Grafton Region	2006	318
Maclean - Yamba - Iluka	2006	323
Bellingen	2006	357
Coffs Harbour - North	2006	361
Coffs Harbour - South	2006	352
Coramba - Nana Glen - Bucca	2006	367
Dorrigo	2006	302
Korora - Emerald Beach	2006	454
Sawtell - Boambee	2006	371
Urunga	2006	321
Woolgoolga - Arrawarra	2006	329
Bourke - Brewarrina	2006	375
Cobar	2006	455
Coonamble	2006	365
Nyngan - Warren	2006	383
Walgett - Lightning Ridge	2006	323
Broken Hill	2006	334
Far West	2006	325
Coonabarabran	2006	322
Dubbo - East	2006	486
Dubbo - South	2006	459
Dubbo - West	2006	425
Dubbo Region	2006	470
Gilgandra	2006	355
Narromine	2006	394
Wellington	2006	337
Branxton - Greta - Pokolbin	2006	453
Cessnock	2006	344
Cessnock Region	2006	379
Dungog	2006	385
Kurri Kurri - Abermain	2006	348
Singleton	2006	484
Singleton Region	2006	490
Maitland	2006	376
Maitland - East	2006	427
Maitland - North	2006	488
Maitland - West	2006	408
Thornton - Millers Forest	2006	501
Anna Bay	2006	386
Lemon Tree Passage - Tanilba Bay	2006	348
Nelson Bay Peninsula	2006	385
Raymond Terrace	2006	367
Seaham - Woodville	2006	542
Tea Gardens - Hawks Nest	2006	349
Williamtown - Medowie - Karuah	2006	443
Muswellbrook	2006	453
Muswellbrook Region	2006	453
Scone	2006	457
Scone Region	2006	425
Dapto - Avondale	2006	370
Horsley - Kembla Grange	2006	521
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	426
Berkeley - Lake Heights - Cringila	2006	301
Port Kembla - Warrawong	2006	279
Windang - Primbee	2006	327
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	475
Albion Park Rail	2006	393
Kiama	2006	441
Kiama Downs - Minnamurra	2006	470
Kiama Hinterland - Gerringong	2006	452
Shellharbour - Flinders	2006	480
Shellharbour - Oak Flats	2006	389
Warilla	2006	336
Balgownie - Fairy Meadow	2006	376
Corrimal - Tarrawanna - Bellambi	2006	376
Figtree - Keiraville	2006	425
Helensburgh	2006	569
Thirroul - Austinmer - Coalcliff	2006	544
Woonona - Bulli - Russell Vale	2006	441
Wollongong - East	2006	460
Wollongong - West	2006	371
Bulahdelah - Stroud	2006	333
Forster	2006	351
Forster-Tuncurry Region	2006	334
Tuncurry	2006	313
Kempsey	2006	324
Kempsey Region	2006	311
Macksville - Scotts Head	2006	299
Nambucca Heads	2006	298
Nambucca Heads Region	2006	291
South West Rocks	2006	321
Lord Howe Island	2006	549
Laurieton - Bonny Hills	2006	325
Port Macquarie - East	2006	398
Port Macquarie - West	2006	342
Port Macquarie Region	2006	360
Wauchope	2006	364
Gloucester	2006	343
Old Bar - Manning Point - Red Head	2006	377
Taree	2006	335
Taree Region	2006	309
Wingham	2006	334
Albury - East	2006	524
Albury - North	2006	424
Albury - South	2006	452
Albury Region	2006	423
Lavington	2006	415
Hay	2006	404
Wentworth - Buronga	2006	387
Wentworth-Balranald Region	2006	383
Corowa	2006	396
Corowa Region	2006	377
Deniliquin	2006	404
Deniliquin Region	2006	378
Moama	2006	417
Tocumwal - Finley - Jerilderie	2006	390
Armidale	2006	380
Armidale Region - North	2006	388
Armidale Region - South	2006	406
Walcha	2006	377
Glen Innes	2006	337
Inverell	2006	366
Inverell Region - East	2006	295
Inverell Region - West	2006	325
Tenterfield	2006	307
Moree	2006	468
Moree Region	2006	475
Narrabri	2006	415
Narrabri Region	2006	436
Gunnedah	2006	365
Gunnedah Region	2006	349
Quirindi	2006	351
Tamworth - East	2006	426
Tamworth - North	2006	448
Tamworth - West	2006	355
Tamworth Region	2006	373
Belmont - Bennetts Green	2006	390
Belmont South - Blacksmiths	2006	336
Charlestown - Dudley	2006	420
Glendale - Cardiff - Hillsborough	2006	441
Mount Hutton - Windale	2006	329
Redhead	2006	388
Swansea - Caves Beach	2006	354
Valentine - Eleebana	2006	527
Warners Bay - Boolaroo	2006	420
Bolton Point - Teralba	2006	355
Bonnells Bay - Silverwater	2006	395
Edgeworth - Cameron Park	2006	424
Morisset - Cooranbong	2006	359
Toronto - Awaba	2006	373
Wangi Wangi - Rathmines	2006	427
West Wallsend - Barnsley - Killingworth	2006	390
Adamstown - Kotara	2006	449
Beresfield - Hexham	2006	364
Hamilton - Broadmeadow	2006	407
Lambton - New Lambton	2006	461
Maryland - Fletcher - Minmi	2006	495
Mayfield - Warabrook	2006	369
Merewether - The Junction	2006	565
Newcastle - Cooks Hill	2006	580
Newcastle Port - Kooragang	2006	424
Shortland - Jesmond	2006	287
Stockton - Fullerton Cove	2006	350
Wallsend - Elermore Vale	2006	379
Waratah - North Lambton	2006	367
Wickham - Carrington - Tighes Hill	2006	409
Ballina	2006	367
Ballina Region	2006	412
Bangalow	2006	432
Brunswick Heads - Ocean Shores	2006	366
Byron Bay	2006	410
Evans Head	2006	338
Lennox Head - Skennars Head	2006	488
Mullumbimby	2006	352
Casino	2006	347
Casino Region	2006	316
Goonellabah	2006	395
Kyogle	2006	311
Lismore	2006	352
Lismore Region	2006	394
Kingscliff - Fingal Head	2006	382
Murwillumbah	2006	350
Murwillumbah Region	2006	365
Pottsville	2006	377
Tweed Heads	2006	361
Banora Point	2006	378
Terranora - North Tumblegum	2006	458
Tweed Heads South	2006	315
Griffith (NSW)	2006	448
Griffith Region	2006	458
Leeton	2006	413
Narrandera	2006	379
Tumbarumba	2006	388
Tumut	2006	373
Tumut Region	2006	407
Cootamundra	2006	360
Gundagai	2006	376
Junee	2006	366
Temora	2006	347
Wagga Wagga - East	2006	508
Wagga Wagga - North	2006	363
Wagga Wagga - South	2006	456
Wagga Wagga - West	2006	428
Wagga Wagga Region	2006	433
Berry - Kangaroo Valley	2006	389
Callala Bay - Currarong	2006	322
Culburra Beach	2006	316
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	383
North Nowra - Bomaderry	2006	398
Nowra	2006	365
St Georges Basin - Erowal Bay	2006	308
Sussex Inlet - Berrara	2006	284
Tomerong - Wandandian - Woollamia	2006	401
Ulladulla	2006	331
Ulladulla Region	2006	336
Bowral	2006	514
Hill Top - Colo Vale	2006	463
Mittagong	2006	428
Moss Vale - Berrima	2006	418
Robertson - Fitzroy Falls	2006	487
Southern Highlands	2006	449
Baulkham Hills (East)	2006	622
Baulkham Hills (West) - Bella Vista	2006	627
Glenhaven	2006	671
West Pennant Hills	2006	651
