SA2_NAME16	Year	averageHouseholdSize
Braidwood	2006	2.2
Karabar	2006	2.7
Queanbeyan	2006	2.1
Queanbeyan - East	2006	2.1
Queanbeyan Region	2006	2.9
Queanbeyan West - Jerrabomberra	2006	3
Bombala	2006	2.3
Cooma	2006	2.3
Cooma Region	2006	2.4
Jindabyne - Berridale	2006	2.5
Batemans Bay	2006	2.3
Batemans Bay - South	2006	2.3
Bega - Tathra	2006	2.4
Bega-Eden Hinterland	2006	2.6
Broulee - Tomakin	2006	2.3
Deua - Wadbilliga	2006	0
Eden	2006	2.4
Eurobodalla Hinterland	2006	2.5
Merimbula - Tura Beach	2006	2.3
Moruya - Tuross Head	2006	2.3
Narooma - Bermagui	2006	2.2
Goulburn	2006	2.4
Goulburn Region	2006	2.5
Yass	2006	2.5
Yass Region	2006	2.7
Young	2006	2.5
Young Region	2006	2.4
Avoca Beach - Copacabana	2006	2.7
Box Head - MacMasters Beach	2006	2.6
Calga - Kulnura	2006	2.5
Erina - Green Point	2006	2.5
Gosford - Springfield	2006	2.2
Kariong	2006	3.1
Kincumber - Picketts Valley	2006	2.4
Narara	2006	2.8
Niagara Park - Lisarow	2006	3
Point Clare - Koolewong	2006	2.4
Saratoga - Davistown	2006	2.5
Terrigal - North Avoca	2006	2.6
Umina - Booker Bay - Patonga	2006	2.3
Wamberal - Forresters Beach	2006	2.8
Woy Woy - Blackwall	2006	2.2
Wyoming	2006	2.5
Bateau Bay - Killarney Vale	2006	2.5
Blue Haven - San Remo	2006	2.8
Budgewoi - Buff Point - Halekulani	2006	2.3
Chittaway Bay - Tumbi Umbi	2006	2.8
Gorokan - Kanwal - Charmhaven	2006	2.4
Jilliby - Yarramalong	2006	2.9
Lake Munmorah - Mannering Park	2006	2.4
Ourimbah - Fountaindale	2006	2.8
Summerland Point - Gwandalan	2006	2.5
The Entrance	2006	2.1
Toukley - Norah Head	2006	2.2
Tuggerah - Kangy Angy	2006	2.8
Warnervale - Wadalba	2006	3
Wyong	2006	2.5
Bathurst	2006	2.4
Bathurst - East	2006	2.8
Bathurst Region	2006	2.7
Oberon	2006	2.5
Condobolin	2006	2.5
Cowra	2006	2.4
Cowra Region	2006	2.5
Forbes	2006	2.4
Grenfell	2006	2.3
Parkes (NSW)	2006	2.5
Parkes Region	2006	2.5
West Wyalong	2006	2.5
