SA2_NAME16	Year	overseas_visitors
Braidwood	2006	3
Braidwood	2011	8
Braidwood	2016	16
Karabar	2006	27
Karabar	2011	14
Karabar	2016	24
Queanbeyan	2006	57
Queanbeyan	2011	54
Queanbeyan	2016	67
Queanbeyan - East	2006	24
Queanbeyan - East	2011	25
Queanbeyan - East	2016	26
Queanbeyan Region	2006	29
Queanbeyan Region	2011	52
Queanbeyan Region	2016	102
Queanbeyan West - Jerrabomberra	2006	37
Queanbeyan West - Jerrabomberra	2011	60
Queanbeyan West - Jerrabomberra	2016	42
Bombala	2006	7
Bombala	2011	13
Bombala	2016	5
Cooma	2006	39
Cooma	2011	19
Cooma	2016	23
Cooma Region	2006	24
Cooma Region	2011	25
Cooma Region	2016	54
Jindabyne - Berridale	2006	467
Jindabyne - Berridale	2011	443
Jindabyne - Berridale	2016	672
Batemans Bay	2006	35
Batemans Bay	2011	37
Batemans Bay	2016	23
Batemans Bay - South	2006	34
Batemans Bay - South	2011	37
Batemans Bay - South	2016	20
Bega - Tathra	2006	14
Bega - Tathra	2011	13
Bega - Tathra	2016	24
Bega-Eden Hinterland	2006	13
Bega-Eden Hinterland	2011	28
Bega-Eden Hinterland	2016	25
Broulee - Tomakin	2006	4
Broulee - Tomakin	2011	22
Broulee - Tomakin	2016	23
Deua - Wadbilliga	2006	0
Deua - Wadbilliga	2011	0
Deua - Wadbilliga	2016	0
Eden	2006	21
Eden	2011	34
Eden	2016	18
Eurobodalla Hinterland	2006	14
Eurobodalla Hinterland	2011	10
Eurobodalla Hinterland	2016	22
Merimbula - Tura Beach	2006	27
Merimbula - Tura Beach	2011	33
Merimbula - Tura Beach	2016	56
Moruya - Tuross Head	2006	15
Moruya - Tuross Head	2011	18
Moruya - Tuross Head	2016	22
Narooma - Bermagui	2006	25
Narooma - Bermagui	2011	22
Narooma - Bermagui	2016	31
Goulburn	2006	68
Goulburn	2011	76
Goulburn	2016	110
Goulburn Region	2006	46
Goulburn Region	2011	28
Goulburn Region	2016	34
Yass	2006	11
Yass	2011	8
Yass	2016	12
Yass Region	2006	30
Yass Region	2011	33
Yass Region	2016	31
Young	2006	12
Young	2011	15
Young	2016	33
Young Region	2006	12
Young Region	2011	10
Young Region	2016	25
Avoca Beach - Copacabana	2006	28
Avoca Beach - Copacabana	2011	32
Avoca Beach - Copacabana	2016	31
Box Head - MacMasters Beach	2006	50
Box Head - MacMasters Beach	2011	52
Box Head - MacMasters Beach	2016	63
Calga - Kulnura	2006	44
Calga - Kulnura	2011	40
Calga - Kulnura	2016	63
Erina - Green Point	2006	58
Erina - Green Point	2011	51
Erina - Green Point	2016	60
Gosford - Springfield	2006	62
Gosford - Springfield	2011	62
Gosford - Springfield	2016	115
Kariong	2006	19
Kariong	2011	12
Kariong	2016	20
Kincumber - Picketts Valley	2006	16
Kincumber - Picketts Valley	2011	17
Kincumber - Picketts Valley	2016	19
Narara	2006	34
Narara	2011	22
Narara	2016	33
Niagara Park - Lisarow	2006	29
Niagara Park - Lisarow	2011	24
Niagara Park - Lisarow	2016	17
Point Clare - Koolewong	2006	24
Point Clare - Koolewong	2011	22
Point Clare - Koolewong	2016	16
Saratoga - Davistown	2006	14
Saratoga - Davistown	2011	14
Saratoga - Davistown	2016	17
Terrigal - North Avoca	2006	106
Terrigal - North Avoca	2011	80
Terrigal - North Avoca	2016	111
Umina - Booker Bay - Patonga	2006	98
Umina - Booker Bay - Patonga	2011	54
Umina - Booker Bay - Patonga	2016	75
Wamberal - Forresters Beach	2006	29
Wamberal - Forresters Beach	2011	16
Wamberal - Forresters Beach	2016	48
Woy Woy - Blackwall	2006	28
Woy Woy - Blackwall	2011	39
Woy Woy - Blackwall	2016	63
Wyoming	2006	42
Wyoming	2011	29
Wyoming	2016	46
