SA2_NAME16	Year	medianTotalFamilyIncomeWeekly
Braidwood	2006	926
Karabar	2006	1307
Queanbeyan	2006	1206
Queanbeyan - East	2006	1427
Queanbeyan Region	2006	1827
Queanbeyan West - Jerrabomberra	2006	1960
Bombala	2006	949
Cooma	2006	1074
Cooma Region	2006	1046
Jindabyne - Berridale	2006	1237
Batemans Bay	2006	747
Batemans Bay - South	2006	823
Bega - Tathra	2006	962
Bega-Eden Hinterland	2006	893
Broulee - Tomakin	2006	782
Deua - Wadbilliga	2006	0
Eden	2006	810
Eurobodalla Hinterland	2006	873
Merimbula - Tura Beach	2006	948
Moruya - Tuross Head	2006	765
Narooma - Bermagui	2006	684
Goulburn	2006	1069
Goulburn Region	2006	1033
Yass	2006	1143
Yass Region	2006	1504
Young	2006	953
Young Region	2006	843
Avoca Beach - Copacabana	2006	1362
Box Head - MacMasters Beach	2006	1211
Calga - Kulnura	2006	1179
Erina - Green Point	2006	1215
Gosford - Springfield	2006	1158
Kariong	2006	1292
Kincumber - Picketts Valley	2006	1048
Narara	2006	1226
Niagara Park - Lisarow	2006	1362
Point Clare - Koolewong	2006	1213
Saratoga - Davistown	2006	1160
Terrigal - North Avoca	2006	1359
Umina - Booker Bay - Patonga	2006	943
Wamberal - Forresters Beach	2006	1299
Woy Woy - Blackwall	2006	1012
Wyoming	2006	1132
Bateau Bay - Killarney Vale	2006	1022
Blue Haven - San Remo	2006	939
Budgewoi - Buff Point - Halekulani	2006	863
Chittaway Bay - Tumbi Umbi	2006	1158
Gorokan - Kanwal - Charmhaven	2006	905
Jilliby - Yarramalong	2006	1296
Lake Munmorah - Mannering Park	2006	846
Ourimbah - Fountaindale	2006	1322
Summerland Point - Gwandalan	2006	920
The Entrance	2006	868
Toukley - Norah Head	2006	822
Tuggerah - Kangy Angy	2006	1161
Warnervale - Wadalba	2006	1196
Wyong	2006	935
Bathurst	2006	1157
Bathurst - East	2006	1233
Bathurst Region	2006	1177
Oberon	2006	1109
Condobolin	2006	872
Cowra	2006	923
Cowra Region	2006	845
Forbes	2006	893
Grenfell	2006	775
Parkes (NSW)	2006	1010
Parkes Region	2006	779
West Wyalong	2006	949
Lithgow	2006	977
Lithgow Region	2006	1090
Mudgee	2006	1041
Mudgee Region - East	2006	746
Mudgee Region - West	2006	846
Wollangambe - Wollemi	2006	0
Blayney	2006	1078
Orange	2006	1079
Orange - North	2006	1236
Orange Region	2006	1162
Grafton	2006	857
Grafton Region	2006	788
Maclean - Yamba - Iluka	2006	699
Bellingen	2006	839
Coffs Harbour - North	2006	884
Coffs Harbour - South	2006	876
Coramba - Nana Glen - Bucca	2006	951
Dorrigo	2006	685
Korora - Emerald Beach	2006	1116
Sawtell - Boambee	2006	932
Urunga	2006	723
Woolgoolga - Arrawarra	2006	758
Bourke - Brewarrina	2006	912
Cobar	2006	1274
Coonamble	2006	877
Nyngan - Warren	2006	940
Walgett - Lightning Ridge	2006	707
Broken Hill	2006	829
Far West	2006	681
Coonabarabran	2006	742
Dubbo - East	2006	1156
Dubbo - South	2006	1123
Dubbo - West	2006	994
Dubbo Region	2006	1153
Gilgandra	2006	861
Narromine	2006	947
Wellington	2006	811
Branxton - Greta - Pokolbin	2006	1247
Cessnock	2006	970
Cessnock Region	2006	1062
Dungog	2006	1066
Kurri Kurri - Abermain	2006	950
Singleton	2006	1432
Singleton Region	2006	1369
Maitland	2006	1077
Maitland - East	2006	1170
Maitland - North	2006	1420
Maitland - West	2006	1119
Thornton - Millers Forest	2006	1327
Anna Bay	2006	1017
Lemon Tree Passage - Tanilba Bay	2006	810
Nelson Bay Peninsula	2006	994
Raymond Terrace	2006	944
Seaham - Woodville	2006	1507
Tea Gardens - Hawks Nest	2006	693
Williamtown - Medowie - Karuah	2006	1130
Muswellbrook	2006	1251
Muswellbrook Region	2006	1181
Scone	2006	1152
Scone Region	2006	1072
Dapto - Avondale	2006	1054
Horsley - Kembla Grange	2006	1402
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	1327
Berkeley - Lake Heights - Cringila	2006	856
Port Kembla - Warrawong	2006	731
Windang - Primbee	2006	903
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	1304
Albion Park Rail	2006	1063
Kiama	2006	1147
Kiama Downs - Minnamurra	2006	1336
Kiama Hinterland - Gerringong	2006	1251
Shellharbour - Flinders	2006	1297
Shellharbour - Oak Flats	2006	1136
Warilla	2006	894
Balgownie - Fairy Meadow	2006	1154
Corrimal - Tarrawanna - Bellambi	2006	1046
Figtree - Keiraville	2006	1308
Helensburgh	2006	1602
Thirroul - Austinmer - Coalcliff	2006	1530
Woonona - Bulli - Russell Vale	2006	1275
Wollongong - East	2006	1201
Wollongong - West	2006	1133
Bulahdelah - Stroud	2006	844
Forster	2006	793
Forster-Tuncurry Region	2006	777
Tuncurry	2006	626
Kempsey	2006	756
Kempsey Region	2006	766
Macksville - Scotts Head	2006	678
Nambucca Heads	2006	616
Nambucca Heads Region	2006	672
South West Rocks	2006	644
Lord Howe Island	2006	1163
Laurieton - Bonny Hills	2006	736
Port Macquarie - East	2006	1016
Port Macquarie - West	2006	795
Port Macquarie Region	2006	914
Wauchope	2006	915
Gloucester	2006	846
Old Bar - Manning Point - Red Head	2006	929
Taree	2006	783
Taree Region	2006	720
Wingham	2006	821
Albury - East	2006	1303
Albury - North	2006	1078
Albury - South	2006	1232
Albury Region	2006	1078
Lavington	2006	1042
Hay	2006	983
Wentworth - Buronga	2006	992
Wentworth-Balranald Region	2006	938
Corowa	2006	1046
Corowa Region	2006	967
Deniliquin	2006	1026
Deniliquin Region	2006	953
Moama	2006	1067
Tocumwal - Finley - Jerilderie	2006	977
Armidale	2006	1114
Armidale Region - North	2006	1023
Armidale Region - South	2006	1046
Walcha	2006	920
Glen Innes	2006	765
Inverell	2006	900
Inverell Region - East	2006	647
Inverell Region - West	2006	728
Tenterfield	2006	695
Moree	2006	1106
Moree Region	2006	1090
Narrabri	2006	1049
Narrabri Region	2006	1071
Gunnedah	2006	914
Gunnedah Region	2006	875
Quirindi	2006	857
Tamworth - East	2006	1097
Tamworth - North	2006	1115
Tamworth - West	2006	813
Tamworth Region	2006	985
Belmont - Bennetts Green	2006	1144
Belmont South - Blacksmiths	2006	871
Charlestown - Dudley	2006	1130
Glendale - Cardiff - Hillsborough	2006	1198
Mount Hutton - Windale	2006	889
Redhead	2006	1252
Swansea - Caves Beach	2006	972
Valentine - Eleebana	2006	1522
Warners Bay - Boolaroo	2006	1146
Bolton Point - Teralba	2006	986
Bonnells Bay - Silverwater	2006	1007
Edgeworth - Cameron Park	2006	1147
Morisset - Cooranbong	2006	1041
Toronto - Awaba	2006	1048
Wangi Wangi - Rathmines	2006	1139
West Wallsend - Barnsley - Killingworth	2006	1104
Adamstown - Kotara	2006	1190
Beresfield - Hexham	2006	964
Hamilton - Broadmeadow	2006	1202
Lambton - New Lambton	2006	1235
Maryland - Fletcher - Minmi	2006	1270
Mayfield - Warabrook	2006	1017
Merewether - The Junction	2006	1527
Newcastle - Cooks Hill	2006	1657
Newcastle Port - Kooragang	2006	0
Shortland - Jesmond	2006	823
Stockton - Fullerton Cove	2006	981
Wallsend - Elermore Vale	2006	1068
Waratah - North Lambton	2006	1042
Wickham - Carrington - Tighes Hill	2006	983
Ballina	2006	871
Ballina Region	2006	1053
Bangalow	2006	1086
Brunswick Heads - Ocean Shores	2006	866
Byron Bay	2006	1006
Evans Head	2006	785
Lennox Head - Skennars Head	2006	1193
Mullumbimby	2006	822
Casino	2006	840
Casino Region	2006	786
Goonellabah	2006	1018
Kyogle	2006	720
Lismore	2006	920
Lismore Region	2006	1031
Kingscliff - Fingal Head	2006	982
Murwillumbah	2006	838
Murwillumbah Region	2006	932
Pottsville	2006	918
Tweed Heads	2006	876
Banora Point	2006	953
Terranora - North Tumblegum	2006	1203
Tweed Heads South	2006	643
Griffith (NSW)	2006	1113
Griffith Region	2006	1116
Leeton	2006	1081
Narrandera	2006	936
Tumbarumba	2006	1006
Tumut	2006	1022
Tumut Region	2006	1064
Cootamundra	2006	895
Gundagai	2006	961
Junee	2006	993
Temora	2006	879
Wagga Wagga - East	2006	1253
Wagga Wagga - North	2006	1183
Wagga Wagga - South	2006	1134
Wagga Wagga - West	2006	1049
Wagga Wagga Region	2006	1075
Berry - Kangaroo Valley	2006	1050
Callala Bay - Currarong	2006	751
Culburra Beach	2006	723
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	961
North Nowra - Bomaderry	2006	1080
Nowra	2006	912
St Georges Basin - Erowal Bay	2006	680
Sussex Inlet - Berrara	2006	607
Tomerong - Wandandian - Woollamia	2006	1035
Ulladulla	2006	728
Ulladulla Region	2006	768
Bowral	2006	1286
Hill Top - Colo Vale	2006	1175
Mittagong	2006	1120
Moss Vale - Berrima	2006	1077
Robertson - Fitzroy Falls	2006	1184
Southern Highlands	2006	1136
Baulkham Hills (East)	2006	1660
Baulkham Hills (West) - Bella Vista	2006	1963
Glenhaven	2006	2248
West Pennant Hills	2006	2404
Castle Hill - Central	2006	1669
Castle Hill - East	2006	2045
Castle Hill - North	2006	2104
Castle Hill - South	2006	1879
Castle Hill - West	2006	2173
Cherrybrook	2006	1988
Kellyville	2006	1897
Dural - Kenthurst - Wisemans Ferry	2006	1727
Galston - Laughtondale	2006	1573
Bilpin - Colo - St Albans	2006	1117
Kurrajong Heights - Ebenezer	2006	1416
Pitt Town - McGraths Hill	2006	1397
Rouse Hill - Beaumont Hills	2006	1902
Blacktown (East) - Kings Park	2006	1101
Blacktown (North) - Marayong	2006	1136
Doonside - Woodcroft	2006	1238
Lalor Park - Kings Langley	2006	1342
Seven Hills - Toongabbie	2006	1255
Blacktown (South)	2006	1125
Blacktown (West)	2006	1145
Glenwood	2006	1789
Parklea - Kellyville Ridge	2006	1782
Riverstone - Marsden Park	2006	1141
Acacia Gardens	2006	1781
Quakers Hill	2006	1503
