SA2_NAME16	Year	unemployment
Braidwood	2006	3.4
Braidwood	2011	4
Braidwood	2016	4.2
Karabar	2006	3.4
Karabar	2011	3.3
Karabar	2016	4.7
Queanbeyan	2006	4
Queanbeyan	2011	3.5
Queanbeyan	2016	5.2
Queanbeyan - East	2006	2.9
Queanbeyan - East	2011	2.9
Queanbeyan - East	2016	5
Queanbeyan Region	2006	2.2
Queanbeyan Region	2011	2.2
Queanbeyan Region	2016	2.9
Queanbeyan West - Jerrabomberra	2006	2
Queanbeyan West - Jerrabomberra	2011	2.2
Queanbeyan West - Jerrabomberra	2016	3.4
Bombala	2006	5.3
Bombala	2011	3.7
Bombala	2016	4.5
Cooma	2006	5.5
Cooma	2011	5.3
Cooma	2016	4.7
Cooma Region	2006	3.5
Cooma Region	2011	3.3
Cooma Region	2016	3.7
Jindabyne - Berridale	2006	2
Jindabyne - Berridale	2011	2
Jindabyne - Berridale	2016	1.8
Batemans Bay	2006	9.9
Batemans Bay	2011	7.7
Batemans Bay	2016	8.1
Batemans Bay - South	2006	8.4
Batemans Bay - South	2011	8.2
Batemans Bay - South	2016	8.5
Bega - Tathra	2006	7.3
Bega - Tathra	2011	4.6
Bega - Tathra	2016	4.9
Bega-Eden Hinterland	2006	6.9
Bega-Eden Hinterland	2011	6.3
Bega-Eden Hinterland	2016	6
Broulee - Tomakin	2006	9.7
Broulee - Tomakin	2011	6.9
Broulee - Tomakin	2016	4.4
Deua - Wadbilliga	2006	0
Deua - Wadbilliga	2011	0
Deua - Wadbilliga	2016	0
Eden	2006	7.8
Eden	2011	8.2
Eden	2016	6.9
Eurobodalla Hinterland	2006	9.5
Eurobodalla Hinterland	2011	6.9
Eurobodalla Hinterland	2016	6.5
Merimbula - Tura Beach	2006	6.2
Merimbula - Tura Beach	2011	5.6
Merimbula - Tura Beach	2016	4.6
Moruya - Tuross Head	2006	9.1
Moruya - Tuross Head	2011	7.6
Moruya - Tuross Head	2016	6.7
Narooma - Bermagui	2006	8.7
Narooma - Bermagui	2011	6.9
Narooma - Bermagui	2016	5.9
Goulburn	2006	6.7
Goulburn	2011	6.1
Goulburn	2016	6.8
Goulburn Region	2006	3.8
Goulburn Region	2011	3.9
Goulburn Region	2016	4.2
Yass	2006	3.5
Yass	2011	2.9
Yass	2016	3.6
Yass Region	2006	2.3
Yass Region	2011	2.1
Yass Region	2016	2.8
Young	2006	6.4
Young	2011	6.4
Young	2016	6.2
Young Region	2006	5.1
Young Region	2011	5.3
Young Region	2016	5
Avoca Beach - Copacabana	2006	5.3
Avoca Beach - Copacabana	2011	4.7
Avoca Beach - Copacabana	2016	5.6
Box Head - MacMasters Beach	2006	5.1
Box Head - MacMasters Beach	2011	5.4
Box Head - MacMasters Beach	2016	4.5
Calga - Kulnura	2006	3.7
Calga - Kulnura	2011	4.3
Calga - Kulnura	2016	3.6
Erina - Green Point	2006	5.3
Erina - Green Point	2011	4.9
Erina - Green Point	2016	5.2
Gosford - Springfield	2006	7.1
Gosford - Springfield	2011	6.9
Gosford - Springfield	2016	7.5
Kariong	2006	5.4
Kariong	2011	5.3
Kariong	2016	6.4
Kincumber - Picketts Valley	2006	6.1
Kincumber - Picketts Valley	2011	5.9
Kincumber - Picketts Valley	2016	6
Narara	2006	5.3
Narara	2011	5.9
Narara	2016	5.6
Niagara Park - Lisarow	2006	5.2
Niagara Park - Lisarow	2011	5.3
Niagara Park - Lisarow	2016	5.7
Point Clare - Koolewong	2006	5.3
Point Clare - Koolewong	2011	5.2
Point Clare - Koolewong	2016	6.2
Saratoga - Davistown	2006	5.5
Saratoga - Davistown	2011	5.8
Saratoga - Davistown	2016	4.7
Terrigal - North Avoca	2006	4.5
Terrigal - North Avoca	2011	5.3
Terrigal - North Avoca	2016	5.1
Umina - Booker Bay - Patonga	2006	9.4
Umina - Booker Bay - Patonga	2011	8.3
Umina - Booker Bay - Patonga	2016	7.8
Wamberal - Forresters Beach	2006	4.9
Wamberal - Forresters Beach	2011	4.4
Wamberal - Forresters Beach	2016	4.1
Woy Woy - Blackwall	2006	8.6
Woy Woy - Blackwall	2011	8.6
Woy Woy - Blackwall	2016	8.2
Wyoming	2006	7.1
Wyoming	2011	6.5
Wyoming	2016	7.5
Bateau Bay - Killarney Vale	2006	7.3
Bateau Bay - Killarney Vale	2011	7.3
Bateau Bay - Killarney Vale	2016	6.3
Blue Haven - San Remo	2006	10
Blue Haven - San Remo	2011	8.9
Blue Haven - San Remo	2016	9.3
