SA2_NAME16	Year	averageNumberOfPersonsPerBedroom
Ryde	2016	1
Ashcroft - Busby - Miller	2016	1
Austral - Greendale	2016	0.9
Cobbitty - Leppington	2016	0.8
Badgerys Creek	2016	0.8
Cecil Hills	2016	0.9
Green Valley	2016	1
Hinchinbrook	2016	1
Hoxton Park - Carnes Hill - Horningsea Park	2016	1
West Hoxton - Middleton Grange	2016	0.9
Bonnyrigg Heights - Bonnyrigg	2016	1
Bossley Park - Abbotsbury	2016	0.9
Cabramatta - Lansvale	2016	1.2
Cabramatta West - Mount Pritchard	2016	1
Canley Vale - Canley Heights	2016	1.1
Edensor Park	2016	1
Fairfield	2016	1.2
Fairfield - West	2016	1
Greenfield Park - Prairiewood	2016	1
Horsley Park - Kemps Creek	2016	0.9
Smithfield - Wetherill Park	2016	1
St Johns Park - Wakeley	2016	1
Wetherill Park Industrial	2016	0
Casula	2016	0.9
Chipping Norton - Moorebank	2016	0.9
Holsworthy - Wattle Grove	2016	0.9
Liverpool	2016	1.1
Lurnea - Cartwright	2016	1
Prestons - Edmondson Park	2016	1
Warwick Farm	2016	1.1
Gymea - Grays Point	2016	0.9
Miranda - Yowie Bay	2016	0.9
Sylvania - Taren Point	2016	0.8
Caringbah	2016	0.9
Caringbah South	2016	0.8
Cronulla - Kurnell - Bundeena	2016	0.9
Lilli Pilli - Port Hacking - Dolans Bay	2016	0.8
Woolaware - Burraneer	2016	0.9
Heathcote - Waterfall	2016	0.9
Illawong - Alfords Point	2016	0.8
Menai - Lucas Heights - Woronora	2016	0.8
Oyster Bay - Como - Jannali	2016	0.9
Royal National Park	2016	0
Sutherland - Kirrawee	2016	0.9
Engadine	2016	0.9
Loftus - Yarrawarrah	2016	0.8
Woronora Heights	2016	0.8
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Alfredton	2016	0.8
Ballarat	2016	0.8
Ballarat - North	2016	0.8
Ballarat - South	2016	0.8
Buninyong	2016	0.8
Delacombe	2016	0.8
Smythes Creek	2016	0.8
Wendouree - Miners Rest	2016	0.8
Bacchus Marsh Region	2016	0.8
Creswick - Clunes	2016	0.8
Daylesford	2016	0.8
Gordon (Vic.)	2016	0.8
Avoca	2016	0.7
Beaufort	2016	0.8
Golden Plains - North	2016	0.8
Maryborough (Vic.)	2016	0.7
Maryborough Region	2016	0.8
Bendigo	2016	0.8
California Gully - Eaglehawk	2016	0.8
East Bendigo - Kennington	2016	0.7
Flora Hill - Spring Gully	2016	0.8
Kangaroo Flat - Golden Square	2016	0.8
Maiden Gully	2016	0.8
Strathfieldsaye	2016	0.8
White Hills - Ascot	2016	0.8
Bendigo Region - South	2016	0.8
Castlemaine	2016	0.8
Castlemaine Region	2016	0.8
Heathcote	2016	0.8
Kyneton	2016	0.8
Woodend	2016	0.8
Bendigo Region - North	2016	0.8
Loddon	2016	0.8
Bannockburn	2016	0.8
Golden Plains - South	2016	0.8
Winchelsea	2016	0.8
Belmont	2016	0.8
Corio - Norlane	2016	0.8
Geelong	2016	0.8
Geelong West - Hamlyn Heights	2016	0.8
Grovedale	2016	0.8
Highton	2016	0.8
Lara	2016	0.8
Leopold	2016	0.8
Newcomb - Moolap	2016	0.8
Newtown (Vic.)	2016	0.8
North Geelong - Bell Park	2016	0.8
Clifton Springs	2016	0.7
Lorne - Anglesea	2016	0.7
Ocean Grove - Barwon Heads	2016	0.8
Portarlington	2016	0.7
Point Lonsdale - Queenscliff	2016	0.7
Torquay	2016	0.8
Alexandra	2016	0.7
Euroa	2016	0.7
Kilmore - Broadford	2016	0.8
Mansfield (Vic.)	2016	0.7
Nagambie	2016	0.8
Seymour	2016	0.8
Seymour Region	2016	0.8
Upper Yarra Valley	2016	0.8
Yea	2016	0.8
Benalla	2016	0.7
Benalla Region	2016	0.8
Rutherglen	2016	0.7
Wangaratta	2016	0.7
Wangaratta Region	2016	0.8
Beechworth	2016	0.8
Bright - Mount Beauty	2016	0.7
Chiltern - Indigo Valley	2016	0.8
Myrtleford	2016	0.7
Towong	2016	0.7
West Wodonga	2016	0.8
Wodonga	2016	0.8
Yackandandah	2016	0.8
Drouin	2016	0.8
Mount Baw Baw Region	2016	0.8
Trafalgar (Vic.)	2016	0.8
Warragul	2016	0.8
Alps - East	2016	0
Bairnsdale	2016	0.7
Bruthen - Omeo	2016	0.8
Lake King	2016	0
Lakes Entrance	2016	0.7
Orbost	2016	0.7
Paynesville	2016	0.7
Foster	2016	0.7
French Island	2016	0.7
Korumburra	2016	0.8
Leongatha	2016	0.8
Phillip Island	2016	0.7
Wilsons Promontory	2016	0
Wonthaggi - Inverloch	2016	0.7
Churchill	2016	0.8
Moe - Newborough	2016	0.8
Morwell	2016	0.7
Traralgon	2016	0.8
Yallourn North - Glengarry	2016	0.8
Alps - West	2016	0.6
Longford - Loch Sport	2016	0.7
Maffra	2016	0.8
Rosedale	2016	0.8
Sale	2016	0.7
Yarram	2016	0.7
Brunswick	2016	1
Brunswick East	2016	1
Brunswick West	2016	1
Coburg	2016	1
Pascoe Vale South	2016	0.9
Alphington - Fairfield	2016	1
Northcote	2016	1
Thornbury	2016	1
Ascot Vale	2016	0.9
Essendon - Aberfeldie	2016	0.9
Flemington	2016	1
Moonee Ponds	2016	0.9
Carlton	2016	1.1
Docklands	2016	1.2
East Melbourne	2016	1
Flemington Racecourse	2016	0.7
Kensington (Vic.)	2016	1
Melbourne	2016	1.2
North Melbourne	2016	1.1
Parkville	2016	1
South Yarra - West	2016	1
Southbank	2016	1.1
West Melbourne	2016	0
Albert Park	2016	1
Elwood	2016	1
Port Melbourne	2016	0.9
Port Melbourne Industrial	2016	0
South Melbourne	2016	1
St Kilda	2016	1.1
St Kilda East	2016	1
Armadale	2016	0.9
Prahran - Windsor	2016	1
South Yarra - East	2016	1
Toorak	2016	0.9
Abbotsford	2016	1.1
Carlton North - Princes Hill	2016	0.9
Collingwood	2016	1.1
Fitzroy	2016	1
Fitzroy North	2016	1
Richmond (Vic.)	2016	1
Yarra - North	2016	0.9
Ashburton (Vic.)	2016	0.9
Balwyn	2016	0.8
Balwyn North	2016	0.8
Camberwell	2016	0.9
Glen Iris - East	2016	0.9
Hawthorn	2016	1
Hawthorn East	2016	1
Kew	2016	0.9
Kew East	2016	0.9
Surrey Hills (West) - Canterbury	2016	0.8
Bulleen	2016	0.8
Doncaster	2016	0.8
Templestowe	2016	0.8
Templestowe Lower	2016	0.8
Doncaster East (North)	2016	0.8
Doncaster East (South)	2016	0.8
Blackburn	2016	0.9
Blackburn South	2016	0.8
Box Hill	2016	1
Box Hill North	2016	0.9
Burwood	2016	0.9
Burwood East	2016	0.8
Surrey Hills (East) - Mont Albert	2016	0.9
Beaumaris	2016	0.8
Brighton (Vic.)	2016	0.8
Brighton East	2016	0.8
Cheltenham - Highett (West)	2016	0.9
Hampton	2016	0.9
Sandringham - Black Rock	2016	0.8
Bentleigh - McKinnon	2016	0.9
Carnegie	2016	1
Caulfield - North	2016	0.9
Caulfield - South	2016	0.9
Elsternwick	2016	0.9
Hughesdale	2016	0.9
Murrumbeena	2016	1
Ormond - Glen Huntly	2016	1
Bentleigh East (North)	2016	0.9
Bentleigh East (South)	2016	0.8
Aspendale Gardens - Waterways	2016	0.9
Braeside	2016	1
Carrum - Patterson Lakes	2016	0.8
Chelsea - Bonbeach	2016	0.8
Chelsea Heights	2016	0.8
Cheltenham - Highett (East)	2016	0.9
Edithvale - Aspendale	2016	0.8
Mentone	2016	0.9
Moorabbin - Heatherton	2016	0.9
Moorabbin Airport	2016	0
Mordialloc - Parkdale	2016	0.9
Malvern - Glen Iris	2016	0.9
Malvern East	2016	0.9
Bundoora - East	2016	0.8
Greensborough	2016	0.8
Heidelberg - Rosanna	2016	0.9
Heidelberg West	2016	0.9
Ivanhoe	2016	0.9
Ivanhoe East - Eaglemont	2016	0.8
Montmorency - Briar Hill	2016	0.8
Viewbank - Yallambie	2016	0.8
Watsonia	2016	0.8
Kingsbury	2016	0.9
Reservoir - East	2016	0.9
Reservoir - West	2016	0.9
Preston - East	2016	1
Preston - West	2016	1
Eltham	2016	0.8
Hurstbridge	2016	0.9
Kinglake	2016	0.8
Panton Hill - St Andrews	2016	0.9
Plenty - Yarrambat	2016	0.8
Research - North Warrandyte	2016	0.8
Wattle Glen - Diamond Creek	2016	0.8
Bundoora - North	2016	0.9
Bundoora - West	2016	0.8
Lalor	2016	0.9
Mill Park - North	2016	0.9
Mill Park - South	2016	0.9
Thomastown	2016	0.9
Wallan	2016	0.8
Whittlesea	2016	0.8
Doreen	2016	0.8
Epping - East	2016	0.9
Epping - South	2016	0.9
Epping - West	2016	0.9
Mernda	2016	0.8
South Morang (North)	2016	0.9
South Morang (South)	2016	0.9
Wollert	2016	0.9
Airport West	2016	0.8
Essendon Airport	2016	0
Keilor	2016	0.8
Keilor East	2016	0.8
Niddrie - Essendon West	2016	0.8
Strathmore	2016	0.8
Gisborne	2016	0.8
Macedon	2016	0.8
Riddells Creek	2016	0.8
Romsey	2016	0.8
Coburg North	2016	0.9
Fawkner	2016	1
Pascoe Vale	2016	0.9
Glenroy	2016	0.9
Gowanbrae	2016	0.8
Hadfield	2016	0.9
Sunbury	2016	0.8
Sunbury - South	2016	0.8
Broadmeadows	2016	1
Campbellfield - Coolaroo	2016	1
Gladstone Park - Westmeadows	2016	0.8
Greenvale - Bulla	2016	0.9
Meadow Heights	2016	1.1
Melbourne Airport	2016	0.5
Roxburgh Park - Somerton	2016	1.1
Tullamarine	2016	0.8
Craigieburn - Central	2016	0.9
Craigieburn - North	2016	1
Craigieburn - South	2016	0.9
Craigieburn - West	2016	1
Mickleham - Yuroke	2016	0.8
Bayswater	2016	0.8
Knoxfield - Scoresby	2016	0.8
Lysterfield	2016	0.8
Rowville - Central	2016	0.8
Rowville - North	2016	0.9
Rowville - South	2016	0.8
Wantirna	2016	0.8
Wantirna South	2016	0.8
Boronia	2016	0.8
Ferntree Gully (North)	2016	0.8
Ferntree Gully (South) - Upper Ferntree Gully	2016	0.8
The Basin	2016	0.8
Donvale - Park Orchards	2016	0.8
Warrandyte - Wonga Park	2016	0.8
Bayswater North	2016	0.8
Croydon Hills - Warranwood	2016	0.8
Ringwood	2016	0.9
Ringwood East	2016	0.8
Ringwood North	2016	0.8
Croydon - East	2016	0.8
Croydon - West	2016	0.8
Croydon South	2016	0.8
Forest Hill	2016	0.8
Mitcham (Vic.)	2016	0.9
Nunawading	2016	0.9
Vermont	2016	0.8
Vermont South	2016	0.8
Belgrave - Selby	2016	0.8
Chirnside Park	2016	0.8
Healesville - Yarra Glen	2016	0.8
Kilsyth	2016	0.8
Lilydale - Coldstream	2016	0.8
Monbulk - Silvan	2016	0.8
Montrose	2016	0.8
Mooroolbark	2016	0.8
Mount Dandenong - Olinda	2016	0.8
Mount Evelyn	2016	0.8
Upwey - Tecoma	2016	0.8
Wandin - Seville	2016	0.8
Yarra Valley	2016	0.8
Beaconsfield - Officer	2016	0.8
Bunyip - Garfield	2016	0.8
Emerald - Cockatoo	2016	0.8
Koo Wee Rup	2016	0.8
Pakenham - North	2016	0.8
Pakenham - South	2016	0.8
Berwick - North	2016	0.8
Berwick - South	2016	0.9
Doveton	2016	1
Hallam	2016	0.9
Narre Warren North	2016	0.8
Endeavour Hills - North	2016	0.9
Endeavour Hills - South	2016	0.9
Narre Warren - North East	2016	0.9
Narre Warren - South West	2016	0.9
Cranbourne	2016	0.9
Cranbourne East	2016	0.9
Cranbourne North	2016	0.9
Cranbourne South	2016	0.8
Cranbourne West	2016	0.9
Hampton Park - Lynbrook	2016	1
Lynbrook - Lyndhurst	2016	0.9
Pearcedale - Tooradin	2016	0.8
Narre Warren South (East)	2016	0.9
Narre Warren South (West)	2016	1
Clarinda - Oakleigh South	2016	0.9
Clayton South	2016	1
Dandenong	2016	1.1
Dandenong North	2016	0.9
Dingley Village	2016	0.8
Keysborough	2016	0.9
Noble Park North	2016	0.9
Springvale	2016	1.1
Springvale South	2016	1
Noble Park - East	2016	1
Noble Park - West	2016	1
Ashwood - Chadstone	2016	0.9
Clayton	2016	1
Glen Waverley - East	2016	0.8
Glen Waverley - West	2016	0.9
Mount Waverley - North	2016	0.8
Mount Waverley - South	2016	0.8
Mulgrave	2016	0.8
Oakleigh - Huntingdale	2016	0.9
Wheelers Hill	2016	0.8
Ardeer - Albion	2016	1
Cairnlea	2016	1
Deer Park - Derrimut	2016	0.9
Delahey	2016	0.9
Keilor Downs	2016	0.8
Kings Park (Vic.)	2016	0.9
St Albans - North	2016	1
St Albans - South	2016	1
Sunshine	2016	1
Sunshine North	2016	1
Sunshine West	2016	0.9
Sydenham	2016	0.9
Taylors Lakes	2016	0.9
Altona	2016	0.8
Altona Meadows	2016	0.8
Altona North	2016	0.9
Newport	2016	0.9
Seabrook	2016	0.9
Williamstown	2016	0.9
Braybrook	2016	1
Footscray	2016	1.1
Maribyrnong	2016	0.9
Seddon - Kingsville	2016	1
West Footscray - Tottenham	2016	1
Yarraville	2016	0.9
Bacchus Marsh	2016	0.8
Hillside	2016	0.9
Melton	2016	0.8
Melton South	2016	0.8
Melton West	2016	0.8
Rockbank - Mount Cottrell	2016	0.9
Taylors Hill	2016	0.9
Burnside	2016	0.9
Burnside Heights	2016	1
Caroline Springs	2016	0.9
Hoppers Crossing - North	2016	0.9
Hoppers Crossing - South	2016	0.9
Laverton	2016	0.9
Tarneit	2016	0.9
Truganina	2016	0.9
Werribee - South	2016	0.8
Wyndham Vale	2016	0.9
Point Cook - East	2016	0.8
Point Cook - North	2016	0.9
Point Cook - South	2016	0.8
Werribee - East	2016	0.9
Werribee - West	2016	0.8
Carrum Downs	2016	0.8
Frankston	2016	0.8
Frankston North	2016	0.8
Frankston South	2016	0.8
Langwarrin	2016	0.8
Seaford (Vic.)	2016	0.8
Skye - Sandhurst	2016	0.8
Dromana	2016	0.7
Flinders	2016	0.7
Hastings - Somers	2016	0.8
Mornington	2016	0.8
Mount Eliza	2016	0.8
Mount Martha	2016	0.8
Point Nepean	2016	0.7
Rosebud - McCrae	2016	0.7
Somerville	2016	0.8
Ararat	2016	0.7
Ararat Region	2016	0.7
Horsham	2016	0.7
Horsham Region	2016	0.8
Nhill Region	2016	0.7
St Arnaud	2016	0.7
Stawell	2016	0.7
West Wimmera	2016	0.7
Yarriambiack	2016	0.7
Irymple	2016	0.8
Merbein	2016	0.8
Mildura Region	2016	0.7
Red Cliffs	2016	0.8
Mildura - North	2016	0.8
Mildura - South	2016	0.8
Buloke	2016	0.7
Gannawarra	2016	0.7
Kerang	2016	0.7
Robinvale	2016	0.9
Swan Hill	2016	0.8
Swan Hill Region	2016	0.8
Echuca	2016	0.8
Kyabram	2016	0.8
Lockington - Gunbower	2016	0.8
Rochester	2016	0.7
Rushworth	2016	0.7
Cobram	2016	0.8
Moira	2016	0.7
Numurkah	2016	0.8
Yarrawonga	2016	0.7
Mooroopna	2016	0.8
Shepparton - North	2016	0.8
Shepparton - South	2016	0.8
Shepparton Region - East	2016	0.8
Shepparton Region - West	2016	0.8
Glenelg (Vic.)	2016	0.7
Hamilton (Vic.)	2016	0.7
Portland	2016	0.7
Southern Grampians	2016	0.7
Camperdown	2016	0.7
Colac	2016	0.8
Colac Region	2016	0.8
Corangamite - North	2016	0.7
Corangamite - South	2016	0.8
Otway	2016	0.7
Moyne - East	2016	0.8
Moyne - West	2016	0.8
Warrnambool - North	2016	0.8
Warrnambool - South	2016	0.8
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Alexandra Hills	2016	0.8
Belmont - Gumdale	2016	0.8
Birkdale	2016	0.8
Capalaba	2016	0.8
Thorneside	2016	0.8
Wellington Point	2016	0.8
Cleveland	2016	0.7
Ormiston	2016	0.7
Redland Bay	2016	0.8
Sheldon - Mount Cotton	2016	0.8
Thornlands	2016	0.8
Victoria Point	2016	0.7
Redland Islands	2016	0.8
Brisbane Port - Lytton	2016	1
Manly - Lota	2016	0.8
Manly West	2016	0.8
Murarrie	2016	0.8
Tingalpa	2016	0.8
Wakerley	2016	0.8
Wynnum	2016	0.8
Wynnum West - Hemmant	2016	0.8
Bald Hills	2016	0.8
Bridgeman Downs	2016	0.7
Carseldine	2016	0.7
Everton Park	2016	0.8
McDowall	2016	0.8
Aspley	2016	0.8
Chermside	2016	0.9
Chermside West	2016	0.8
Geebung	2016	0.8
Kedron - Gordon Park	2016	0.9
Stafford	2016	0.8
Stafford Heights	2016	0.8
Wavell Heights	2016	0.8
Boondall	2016	0.8
Brisbane Airport	2016	0.6
Eagle Farm - Pinkenba	2016	1
Northgate - Virginia	2016	0.8
Nudgee - Banyo	2016	0.8
Nundah	2016	0.9
Bracken Ridge	2016	0.8
Brighton (Qld)	2016	0.8
Deagon	2016	0.8
Sandgate - Shorncliffe	2016	0.8
Taigum - Fitzgibbon	2016	0.8
Zillmere	2016	0.9
Camp Hill	2016	0.8
Cannon Hill	2016	0.9
Carina	2016	0.8
Carina Heights	2016	0.8
Carindale	2016	0.7
Annerley	2016	0.9
Coorparoo	2016	0.9
Fairfield - Dutton Park	2016	1
Greenslopes	2016	0.9
Holland Park	2016	0.9
Holland Park West	2016	0.8
Woolloongabba	2016	1
Yeronga	2016	0.8
Eight Mile Plains	2016	0.8
Macgregor (Qld)	2016	0.8
Mansfield (Qld)	2016	0.8
Mount Gravatt	2016	0.8
Rochedale - Burbank	2016	0.8
Upper Mount Gravatt	2016	0.9
Wishart	2016	0.8
Coopers Plains	2016	0.9
Moorooka	2016	0.9
Robertson	2016	0.9
Salisbury - Nathan	2016	0.8
Tarragindi	2016	0.8
Algester	2016	0.8
Calamvale - Stretton	2016	0.8
Pallara - Willawong	2016	0.8
Parkinson - Drewvale	2016	0.8
Rocklea - Acacia Ridge	2016	0.9
Kuraby	2016	0.9
Runcorn	2016	0.9
Sunnybank	2016	0.9
Sunnybank Hills	2016	0.8
Jindalee - Mount Ommaney	2016	0.7
Middle Park - Jamboree Heights	2016	0.8
Riverhills	2016	0.8
Seventeen Mile Rocks - Sinnamon Park	2016	0.8
Westlake	2016	0.7
Bellbowrie - Moggill	2016	0.8
Brookfield - Kenmore Hills	2016	0.8
Chapel Hill	2016	0.7
Fig Tree Pocket	2016	0.8
Kenmore	2016	0.8
Pinjarra Hills - Pullenvale	2016	0.8
Chelmer - Graceville	2016	0.8
Corinda	2016	0.8
Indooroopilly	2016	0.9
Sherwood	2016	0.8
St Lucia	2016	1
Taringa	2016	0.9
Enoggera	2016	0.8
Enoggera Reservoir	2016	0.8
Keperra	2016	0.8
Mitchelton	2016	0.8
Mount Coot-tha	2016	0
The Gap	2016	0.8
Upper Kedron - Ferny Grove	2016	0.8
Brisbane City	2016	1.1
Fortitude Valley	2016	1.1
Highgate Hill	2016	1
Kangaroo Point	2016	0.9
New Farm	2016	0.9
South Brisbane	2016	1.1
Spring Hill	2016	1.2
West End	2016	1
Balmoral	2016	0.8
Bulimba	2016	0.9
East Brisbane	2016	0.9
Hawthorne	2016	0.8
Morningside - Seven Hills	2016	0.8
Norman Park	2016	0.8
Albion	2016	0.9
Alderley	2016	0.8
Ascot	2016	0.8
Clayfield	2016	0.8
Grange	2016	0.8
Hamilton (Qld)	2016	0.9
Hendra	2016	0.8
Kelvin Grove - Herston	2016	1.1
Newmarket	2016	0.9
Newstead - Bowen Hills	2016	1
Wilston	2016	0.8
Windsor	2016	0.9
Wooloowin - Lutwyche	2016	0.9
Ashgrove	2016	0.9
Auchenflower	2016	0.9
Bardon	2016	0.8
Paddington - Milton	2016	0.9
Red Hill (Qld)	2016	0.9
Toowong	2016	0.9
Brinsmead	2016	0.8
Clifton Beach - Kewarra Beach	2016	0.8
Freshwater - Stratford	2016	0.8
Redlynch	2016	0.8
Trinity Beach - Smithfield	2016	0.8
Yorkeys Knob - Machans Beach	2016	0.8
Bentley Park	2016	0.8
Cairns City	2016	0.9
Earlville - Bayview Heights	2016	0.8
Edmonton	2016	0.8
Gordonvale - Trinity	2016	0.8
Kanimbla - Mooroobool	2016	0.8
Lamb Range	2016	0
Manoora	2016	1
Manunda	2016	1
Mount Sheridan	2016	0.8
Westcourt - Bungalow	2016	1
White Rock	2016	0.8
Whitfield - Edge Hill	2016	0.8
Woree	2016	0.9
Babinda	2016	0.8
Innisfail	2016	0.8
Johnstone	2016	0.8
Tully	2016	0.8
Wooroonooran	2016	0
Yarrabah	2016	1.6
Daintree	2016	0.9
Port Douglas	2016	0.8
Atherton	2016	0.8
Herberton	2016	0.9
Kuranda	2016	0.9
Malanda - Yungaburra	2016	0.8
Mareeba	2016	0.8
Balonne	2016	0.8
Chinchilla	2016	0.8
Goondiwindi	2016	0.8
Inglewood - Waggamba	2016	0.8
Miles - Wandoan	2016	0.7
Roma	2016	0.7
Roma Region	2016	0.8
Tara	2016	0.9
Crows Nest - Rosalie	2016	0.8
Jondaryan	2016	0.8
Millmerran	2016	0.8
Pittsworth	2016	0.8
Wambo	2016	0.8
Clifton - Greenmount	2016	0.8
Southern Downs - East	2016	0.8
Southern Downs - West	2016	0.8
Stanthorpe	2016	0.7
Stanthorpe Region	2016	0.8
Warwick	2016	0.7
Central Highlands - East	2016	0.8
Central Highlands - West	2016	0.9
Emerald	2016	0.8
Berserker	2016	0.8
Bouldercombe	2016	0.9
Emu Park	2016	0.8
Frenchville - Mount Archer	2016	0.8
Glenlee - Rockyview	2016	0.8
Gracemere	2016	0.8
Lakes Creek	2016	0.9
Mount Morgan	2016	0.8
Norman Gardens	2016	0.8
Park Avenue	2016	0.8
Parkhurst - Kawana	2016	0.8
Rockhampton - West	2016	0.8
Rockhampton City	2016	0.8
Rockhampton Region - East	2016	0.9
Rockhampton Region - North	2016	0.9
Rockhampton Region - West	2016	0.9
Shoalwater Bay	2016	0.8
The Range - Allenstown	2016	0.8
Yeppoon	2016	0.8
Banana	2016	0.8
Biloela	2016	0.8
Agnes Water - Miriam Vale	2016	0.9
Boyne Island - Tannum Sands	2016	0.8
Callemondah	2016	1.1
Clinton - New Auckland	2016	0.8
Gladstone	2016	0.8
Gladstone Hinterland	2016	0.8
Kin Kora - Sun Valley	2016	0.7
South Trees	2016	0
Telina - Toolooa	2016	0.7
West Gladstone	2016	0.7
Broadbeach Waters	2016	0.8
Burleigh Heads	2016	0.9
Burleigh Waters	2016	0.8
Mermaid Beach - Broadbeach	2016	0.9
Mermaid Waters	2016	0.8
Miami	2016	0.9
Coolangatta	2016	0.9
Currumbin - Tugun	2016	0.8
Currumbin Waters	2016	0.8
Elanora	2016	0.8
Palm Beach	2016	0.9
Arundel	2016	0.8
Biggera Waters	2016	0.9
Coombabah	2016	0.8
Labrador	2016	0.9
Paradise Point - Hollywell	2016	0.7
Runaway Bay	2016	0.8
Guanaba - Springbrook	2016	0.8
Tamborine - Canungra	2016	0.8
Currumbin Valley - Tallebudgera	2016	0.9
Mudgeeraba - Bonogin	2016	0.8
Reedy Creek - Andrews	2016	0.8
Carrara	2016	0.8
Highland Park	2016	0.8
Nerang - Mount Nathan	2016	0.8
Pacific Pines - Gaven	2016	0.8
Worongary - Tallai	2016	0.8
Coomera	2016	0.8
Helensvale	2016	0.8
Hope Island	2016	0.7
Jacobs Well - Alberton	2016	0.8
Ormeau - Yatala	2016	0.8
Oxenford - Maudsland	2016	0.8
Pimpama	2016	0.8
Upper Coomera - Willow Vale	2016	0.8
Clear Island Waters	2016	0.7
Merrimac	2016	0.8
Robina	2016	0.8
Varsity Lakes	2016	0.9
Ashmore	2016	0.8
Molendinar	2016	0.8
Parkwood	2016	0.8
Southport - North	2016	1
Southport - South	2016	0.9
Benowa	2016	0.8
Bundall	2016	0.8
Main Beach	2016	0.9
Surfers Paradise	2016	1
Darra - Sumner	2016	0.9
Durack	2016	0.9
Forest Lake - Doolandella	2016	0.8
Inala - Richlands	2016	1
Oxley (Qld)	2016	0.8
Wacol	2016	0.9
Boonah	2016	0.8
Esk	2016	0.8
Lake Manchester - England Creek	2016	0
Lockyer Valley - East	2016	0.8
Lowood	2016	0.8
Rosewood	2016	0.8
Brassall	2016	0.8
Bundamba	2016	0.8
Churchill - Yamanto	2016	0.8
Ipswich - Central	2016	0.8
Ipswich - East	2016	0.8
Ipswich - North	2016	0.8
Karalee - Barellan Point	2016	0.8
Karana Downs	2016	0.8
Leichhardt - One Mile	2016	0.8
North Ipswich - Tivoli	2016	0.8
Raceview	2016	0.8
Ripley	2016	0.8
Riverview	2016	0.8
Bellbird Park - Brookwater	2016	0.8
Camira - Gailes	2016	0.8
Carole Park	2016	0
Collingwood Park - Redbank	2016	0.8
Goodna	2016	0.9
New Chum	2016	0
Redbank Plains	2016	0.9
Springfield	2016	0.8
Springfield Lakes	2016	0.8
Beaudesert	2016	0.8
Beenleigh	2016	0.9
Eagleby	2016	0.8
Edens Landing - Holmview	2016	0.8
Mount Warren Park	2016	0.8
Wolffdene - Bahrs Scrub	2016	0.8
Boronia Heights - Park Ridge	2016	0.8
Browns Plains	2016	0.9
Chambers Flat - Logan Reserve	2016	0.8
Crestmead	2016	0.9
Greenbank Military Camp	2016	0
Hillcrest	2016	0.8
Marsden	2016	0.9
Munruben - Park Ridge South	2016	0.8
Regents Park - Heritage Park	2016	0.8
Greenbank	2016	0.8
Jimboomba	2016	0.8
Logan Village	2016	0.8
Bethania - Waterford	2016	0.8
Cornubia - Carbrook	2016	0.8
Loganholme - Tanah Merah	2016	0.8
Loganlea	2016	0.9
Shailer Park	2016	0.8
Waterford West	2016	0.9
Daisy Hill	2016	0.8
Kingston (Qld.)	2016	0.9
Logan Central	2016	1
Rochedale South - Priestdale	2016	0.8
Slacks Creek	2016	0.9
Springwood	2016	0.8
Underwood	2016	0.8
Woodridge	2016	1
Bowen	2016	0.8
Broadsound - Nebo	2016	0.8
Clermont	2016	0.8
Collinsville	2016	0.8
Moranbah	2016	0.8
Andergrove - Beaconsfield	2016	0.8
East Mackay	2016	0.8
Eimeo - Rural View	2016	0.8
Eungella Hinterland	2016	1.3
Mackay	2016	0.9
Mackay Harbour	2016	0.7
Mount Pleasant - Glenella	2016	0.7
North Mackay	2016	0.8
Ooralea - Bakers Creek	2016	0.8
Pioneer Valley	2016	0.8
Sarina	2016	0.8
Seaforth - Calen	2016	0.9
Shoal Point - Bucasia	2016	0.8
Slade Point	2016	0.8
South Mackay	2016	0.8
Walkerston - Eton	2016	0.8
West Mackay	2016	0.8
Airlie - Whitsundays	2016	0.8
Cape Conway	2016	0
Proserpine	2016	0.8
Beachmere - Sandstone Point	2016	0.7
Bribie Island	2016	0.7
Burpengary - East	2016	0.8
Caboolture	2016	0.8
Caboolture - South	2016	0.8
Elimbah	2016	0.8
Morayfield - East	2016	0.8
Wamuran	2016	0.8
Kilcoy	2016	0.8
Woodford - D'Aguilar	2016	0.8
Burpengary	2016	0.8
Deception Bay	2016	0.8
Morayfield	2016	0.8
Narangba	2016	0.8
Upper Caboolture	2016	0.8
Clontarf	2016	0.8
Margate - Woody Point	2016	0.8
Redcliffe	2016	0.8
Rothwell - Kippa-Ring	2016	0.8
Scarborough - Newport - Moreton Island	2016	0.7
Albany Creek	2016	0.8
Cashmere	2016	0.8
Dayboro	2016	0.8
Eatons Hill	2016	0.8
The Hills District	2016	0.8
Samford Valley	2016	0.8
Dakabin - Kallangur	2016	0.8
Murrumba Downs - Griffin	2016	0.8
North Lakes - Mango Hill	2016	0.8
Bray Park	2016	0.8
Lawnton	2016	0.8
Petrie	2016	0.8
Strathpine - Brendale	2016	0.8
Aurukun	2016	1.4
Cape York	2016	1.1
Croydon - Etheridge	2016	0.9
Kowanyama - Pormpuraaw	2016	1.1
Northern Peninsula	2016	1.3
Tablelands	2016	0.9
Torres	2016	1.2
Torres Strait Islands	2016	1.1
Weipa	2016	1
Carpentaria	2016	1.2
Mount Isa	2016	0.9
