SA2_NAME16	Year	adults
ACT - South West	2006	210
ACT - South West	2011	349
ACT - South West	2016	429
APY Lands	2006	1619
APY Lands	2011	1806
APY Lands	2016	1726
Abbotsford	2006	3891
Abbotsford	2011	4399
Abbotsford	2016	7536
Aberfoyle Park	2006	9407
Aberfoyle Park	2011	9537
Aberfoyle Park	2016	9609
Acacia Gardens	2006	2317
Acacia Gardens	2011	2729
Acacia Gardens	2016	2893
Acton	2006	1799
Acton	2011	1953
Acton	2016	2073
Acton - Upper Burnie	2006	2694
Acton - Upper Burnie	2011	2678
Acton - Upper Burnie	2016	2595
Adamstown - Kotara	2006	11761
Adamstown - Kotara	2011	12187
Adamstown - Kotara	2016	12495
Adelaide	2006	9764
Adelaide	2011	12377
Adelaide	2016	14384
Adelaide Airport	2006	0
Adelaide Airport	2011	0
Adelaide Airport	2016	0
Adelaide Hills	2006	5223
Adelaide Hills	2011	5529
Adelaide Hills	2016	5682
Agnes Water - Miriam Vale	2006	4083
Agnes Water - Miriam Vale	2011	4461
Agnes Water - Miriam Vale	2016	5032
Ainslie	2006	3976
Ainslie	2011	4261
Ainslie	2016	4293
Airlie - Whitsundays	2006	8127
Airlie - Whitsundays	2011	8797
Airlie - Whitsundays	2016	10720
Airport West	2006	5657
Airport West	2011	5895
Airport West	2016	6389
Aitkenvale	2006	3907
Aitkenvale	2011	4028
Aitkenvale	2016	3870
Alawa	2006	1662
Alawa	2011	1661
Alawa	2016	1702
Albany	2006	11207
Albany	2011	11309
Albany	2016	11996
Albany Creek	2006	12090
Albany Creek	2011	12450
Albany Creek	2016	12586
Albany Region	2006	2322
Albany Region	2011	2401
Albany Region	2016	2778
Albert Park	2006	11409
Albert Park	2011	12293
Albert Park	2016	13239
Albion	2006	2108
Albion	2011	2210
Albion	2016	2452
Albion Park - Macquarie Pass	2006	9237
Albion Park - Macquarie Pass	2011	10313
Albion Park - Macquarie Pass	2016	11182
Albion Park Rail	2006	5332
Albion Park Rail	2011	5540
Albion Park Rail	2016	5635
Albury - East	2006	8555
Albury - East	2011	9981
Albury - East	2016	11824
Albury - North	2006	7517
Albury - North	2011	7401
Albury - North	2016	8001
Albury - South	2006	8491
Albury - South	2011	8848
Albury - South	2016	8692
Albury Region	2006	8371
Albury Region	2011	8515
Albury Region	2016	9051
Alderley	2006	4207
Alderley	2011	4665
Alderley	2016	4898
Aldgate - Stirling	2006	13770
Aldgate - Stirling	2011	13861
Aldgate - Stirling	2016	13946
Aldinga	2006	7647
Aldinga	2011	10818
Aldinga	2016	11913
Alexander Heights - Koondoola	2006	8791
Alexander Heights - Koondoola	2011	9116
Alexander Heights - Koondoola	2016	9514
Alexandra	2006	5154
Alexandra	2011	5180
Alexandra	2016	5507
Alexandra Hills	2006	13171
Alexandra Hills	2011	13234
Alexandra Hills	2016	13063
Alfredton	2006	6049
Alfredton	2011	6367
Alfredton	2016	8939
Algester	2006	5909
Algester	2011	6682
Algester	2016	6759
Alkimos - Eglinton	2006	0
Alkimos - Eglinton	2011	61
Alkimos - Eglinton	2016	5900
Alligator	2006	2891
Alligator	2011	3419
Alligator	2016	3695
Alphington - Fairfield	2006	5865
Alphington - Fairfield	2011	6726
Alphington - Fairfield	2016	7486
Alps - East	2006	0
Alps - East	2011	0
Alps - East	2016	4
Alps - West	2006	25
Alps - West	2011	23
Alps - West	2016	21
Altona	2006	9842
Altona	2011	10025
Altona	2016	10590
Altona Meadows	2006	14984
Altona Meadows	2011	15561
Altona Meadows	2016	15949
Altona North	2006	10252
Altona North	2011	10777
Altona North	2016	11498
Amaroo	2006	3816
Amaroo	2011	3920
Amaroo	2016	4190
Andergrove - Beaconsfield	2006	10463
