SA2_NAME16	Year	medianTotalHouseholdIncomeWeekly
Braidwood	2006	687
Karabar	2006	1145
Queanbeyan	2006	921
Queanbeyan - East	2006	1045
Queanbeyan Region	2006	1592
Queanbeyan West - Jerrabomberra	2006	1817
Bombala	2006	736
Cooma	2006	772
Cooma Region	2006	841
Jindabyne - Berridale	2006	1211
Batemans Bay	2006	633
Batemans Bay - South	2006	681
Bega - Tathra	2006	715
Bega-Eden Hinterland	2006	722
Broulee - Tomakin	2006	635
Deua - Wadbilliga	2006	0
Eden	2006	656
Eurobodalla Hinterland	2006	727
Merimbula - Tura Beach	2006	727
Moruya - Tuross Head	2006	636
Narooma - Bermagui	2006	589
Goulburn	2006	807
Goulburn Region	2006	827
Yass	2006	934
Yass Region	2006	1310
Young	2006	704
Young Region	2006	646
Avoca Beach - Copacabana	2006	1170
Box Head - MacMasters Beach	2006	1033
Calga - Kulnura	2006	1014
Erina - Green Point	2006	970
Gosford - Springfield	2006	874
Kariong	2006	1212
Kincumber - Picketts Valley	2006	695
Narara	2006	1127
Niagara Park - Lisarow	2006	1222
Point Clare - Koolewong	2006	981
Saratoga - Davistown	2006	938
Terrigal - North Avoca	2006	1181
Umina - Booker Bay - Patonga	2006	673
Wamberal - Forresters Beach	2006	1173
Woy Woy - Blackwall	2006	689
Wyoming	2006	902
Bateau Bay - Killarney Vale	2006	777
Blue Haven - San Remo	2006	846
Budgewoi - Buff Point - Halekulani	2006	633
Chittaway Bay - Tumbi Umbi	2006	1030
Gorokan - Kanwal - Charmhaven	2006	673
Jilliby - Yarramalong	2006	1183
Lake Munmorah - Mannering Park	2006	639
Ourimbah - Fountaindale	2006	1170
Summerland Point - Gwandalan	2006	740
The Entrance	2006	620
Toukley - Norah Head	2006	608
Tuggerah - Kangy Angy	2006	1071
Warnervale - Wadalba	2006	1120
Wyong	2006	697
Bathurst	2006	897
Bathurst - East	2006	1104
Bathurst Region	2006	1021
Oberon	2006	890
Condobolin	2006	663
Cowra	2006	677
Cowra Region	2006	647
Forbes	2006	671
Grenfell	2006	601
Parkes (NSW)	2006	733
Parkes Region	2006	617
West Wyalong	2006	722
Lithgow	2006	683
Lithgow Region	2006	858
Mudgee	2006	783
Mudgee Region - East	2006	606
Mudgee Region - West	2006	661
Wollangambe - Wollemi	2006	0
Blayney	2006	863
Orange	2006	798
Orange - North	2006	1092
Orange Region	2006	1030
Grafton	2006	643
Grafton Region	2006	660
Maclean - Yamba - Iluka	2006	609
Bellingen	2006	664
Coffs Harbour - North	2006	678
Coffs Harbour - South	2006	634
Coramba - Nana Glen - Bucca	2006	801
Dorrigo	2006	582
Korora - Emerald Beach	2006	1020
Sawtell - Boambee	2006	731
Urunga	2006	591
Woolgoolga - Arrawarra	2006	620
Bourke - Brewarrina	2006	787
Cobar	2006	1069
Coonamble	2006	694
Nyngan - Warren	2006	693
Walgett - Lightning Ridge	2006	582
Broken Hill	2006	619
Far West	2006	622
