SA2_NAME16	Year	BornAust	persons
Braidwood	2006	0	282
Braidwood	2006	1	1931
Braidwood	2011	0	403
Braidwood	2011	1	2711
Braidwood	2016	0	460
Braidwood	2016	1	2948
Karabar	2006	0	1423
Karabar	2006	1	7214
Karabar	2011	0	1407
Karabar	2011	1	6737
Karabar	2016	0	1322
Karabar	2016	1	6354
Queanbeyan	2006	0	1871
Queanbeyan	2006	1	6369
Queanbeyan	2011	0	2391
Queanbeyan	2011	1	7106
Queanbeyan	2016	0	2680
Queanbeyan	2016	1	7273
Queanbeyan - East	2006	0	755
Queanbeyan - East	2006	1	2876
Queanbeyan - East	2011	0	1092
Queanbeyan - East	2011	1	3240
Queanbeyan - East	2016	0	1189
Queanbeyan - East	2016	1	3291
Queanbeyan Region	2006	0	1832
Queanbeyan Region	2006	1	10006
Queanbeyan Region	2011	0	1949
Queanbeyan Region	2011	1	11338
Queanbeyan Region	2016	0	2205
Queanbeyan Region	2016	1	13040
Queanbeyan West - Jerrabomberra	2006	0	1822
Queanbeyan West - Jerrabomberra	2006	1	9242
Queanbeyan West - Jerrabomberra	2011	0	1990
Queanbeyan West - Jerrabomberra	2011	1	10173
Queanbeyan West - Jerrabomberra	2016	0	1988
Queanbeyan West - Jerrabomberra	2016	1	10112
Bombala	2006	0	187
Bombala	2006	1	2169
Bombala	2011	0	192
Bombala	2011	1	2122
Bombala	2016	0	192
Bombala	2016	1	1984
Cooma	2006	0	935
Cooma	2006	1	5411
Cooma	2011	0	948
Cooma	2011	1	5373
Cooma	2016	0	977
Cooma	2016	1	5124
Cooma Region	2006	0	396
Cooma Region	2006	1	2212
Cooma Region	2011	0	441
Cooma Region	2011	1	2626
Cooma Region	2016	0	408
Cooma Region	2016	1	2511
Jindabyne - Berridale	2006	0	725
Jindabyne - Berridale	2006	1	4351
Jindabyne - Berridale	2011	0	788
Jindabyne - Berridale	2011	1	4940
Jindabyne - Berridale	2016	0	917
Jindabyne - Berridale	2016	1	5354
Batemans Bay	2006	0	992
Batemans Bay	2006	1	6064
Batemans Bay	2011	0	1043
Batemans Bay	2011	1	5945
Batemans Bay	2016	0	1087
Batemans Bay	2016	1	5956
Batemans Bay - South	2006	0	1194
Batemans Bay - South	2006	1	6332
Batemans Bay - South	2011	0	1179
Batemans Bay - South	2011	1	6386
Batemans Bay - South	2016	0	1257
Batemans Bay - South	2016	1	6358
Bega - Tathra	2006	0	607
Bega - Tathra	2006	1	6574
Bega - Tathra	2011	0	675
Bega - Tathra	2011	1	6938
Bega - Tathra	2016	0	741
Bega - Tathra	2016	1	6906
Bega-Eden Hinterland	2006	0	991
Bega-Eden Hinterland	2006	1	7325
Bega-Eden Hinterland	2011	0	1059
Bega-Eden Hinterland	2011	1	7232
Bega-Eden Hinterland	2016	0	1015
Bega-Eden Hinterland	2016	1	7005
Broulee - Tomakin	2006	0	317
Broulee - Tomakin	2006	1	2026
Broulee - Tomakin	2011	0	384
Broulee - Tomakin	2011	1	2255
Broulee - Tomakin	2016	0	399
Broulee - Tomakin	2016	1	2604
Deua - Wadbilliga	2006	0	0
Deua - Wadbilliga	2006	1	0
Deua - Wadbilliga	2011	0	4
Deua - Wadbilliga	2011	1	45
Deua - Wadbilliga	2016	0	0
Deua - Wadbilliga	2016	1	16
Eden	2006	0	293
Eden	2006	1	2506
Eden	2011	0	336
Eden	2011	1	2730
Eden	2016	0	352
Eden	2016	1	2527
Eurobodalla Hinterland	2006	0	293
Eurobodalla Hinterland	2006	1	2114
Eurobodalla Hinterland	2011	0	374
Eurobodalla Hinterland	2011	1	2634
Eurobodalla Hinterland	2016	0	353
Eurobodalla Hinterland	2016	1	2639
Merimbula - Tura Beach	2006	0	1271
Merimbula - Tura Beach	2006	1	7528
Merimbula - Tura Beach	2011	0	1372
Merimbula - Tura Beach	2011	1	7918
Merimbula - Tura Beach	2016	0	1431
Merimbula - Tura Beach	2016	1	8308
Moruya - Tuross Head	2006	0	986
Moruya - Tuross Head	2006	1	6601
Moruya - Tuross Head	2011	0	1008
Moruya - Tuross Head	2011	1	6294
Moruya - Tuross Head	2016	0	1022
Moruya - Tuross Head	2016	1	6253
Narooma - Bermagui	2006	0	1263
Narooma - Bermagui	2006	1	7170
Narooma - Bermagui	2011	0	1223
Narooma - Bermagui	2011	1	6913
Narooma - Bermagui	2016	0	1196
Narooma - Bermagui	2016	1	6872
Goulburn	2006	0	1368
Goulburn	2006	1	18277
Goulburn	2011	0	1651
Goulburn	2011	1	18861
Goulburn	2016	0	2143
Goulburn	2016	1	19141
Goulburn Region	2006	0	1034
Goulburn Region	2006	1	9421
Goulburn Region	2011	0	1072
Goulburn Region	2011	1	9921
Goulburn Region	2016	0	1140
Goulburn Region	2016	1	10309
Yass	2006	0	446
Yass	2006	1	5094
Yass	2011	0	533
Yass	2011	1	5447
Yass	2016	0	528
Yass	2016	1	5513
Yass Region	2006	0	1074
Yass Region	2006	1	7421
Yass Region	2011	0	1202
Yass Region	2011	1	8656
Yass Region	2016	0	1282
Yass Region	2016	1	9384
Young	2006	0	561
Young	2006	1	9122
Young	2011	0	556
Young	2011	1	9097
Young	2016	0	623
Young	2016	1	9098
Young Region	2006	0	388
Young Region	2006	1	6560
Young Region	2011	0	441
Young Region	2011	1	6578
Young Region	2016	0	497
Young Region	2016	1	6238
Avoca Beach - Copacabana	2006	0	918
Avoca Beach - Copacabana	2006	1	5510
Avoca Beach - Copacabana	2011	0	1142
Avoca Beach - Copacabana	2011	1	5511
Avoca Beach - Copacabana	2016	0	1288
Avoca Beach - Copacabana	2016	1	5667
Box Head - MacMasters Beach	2006	0	1322
Box Head - MacMasters Beach	2006	1	8290
Box Head - MacMasters Beach	2011	0	1449
Box Head - MacMasters Beach	2011	1	8349
Box Head - MacMasters Beach	2016	0	1621
Box Head - MacMasters Beach	2016	1	8527
Calga - Kulnura	2006	0	592
Calga - Kulnura	2006	1	2904
Calga - Kulnura	2011	0	635
Calga - Kulnura	2011	1	3477
Calga - Kulnura	2016	0	708
Calga - Kulnura	2016	1	3475
Erina - Green Point	2006	0	2281
Erina - Green Point	2006	1	10113
Erina - Green Point	2011	0	2460
Erina - Green Point	2011	1	10482
Erina - Green Point	2016	0	2740
Erina - Green Point	2016	1	10241
Gosford - Springfield	2006	0	2666
Gosford - Springfield	2006	1	12369
Gosford - Springfield	2011	0	3349
Gosford - Springfield	2011	1	13268
Gosford - Springfield	2016	0	3988
Gosford - Springfield	2016	1	13426
Kariong	2006	0	1068
Kariong	2006	1	5087
Kariong	2011	0	1048
Kariong	2011	1	5177
Kariong	2016	0	1120
Kariong	2016	1	4950
Kincumber - Picketts Valley	2006	0	962
Kincumber - Picketts Valley	2006	1	5830
Kincumber - Picketts Valley	2011	0	1030
Kincumber - Picketts Valley	2011	1	5786
Kincumber - Picketts Valley	2016	0	1108
Kincumber - Picketts Valley	2016	1	5840
Narara	2006	0	1057
Narara	2006	1	5633
Narara	2011	0	1017
Narara	2011	1	5235
Narara	2016	0	1125
Narara	2016	1	5236
Niagara Park - Lisarow	2006	0	998
Niagara Park - Lisarow	2006	1	5611
Niagara Park - Lisarow	2011	0	1153
Niagara Park - Lisarow	2011	1	6578
Niagara Park - Lisarow	2016	0	1228
Niagara Park - Lisarow	2016	1	6467
Point Clare - Koolewong	2006	0	1071
Point Clare - Koolewong	2006	1	4716
Point Clare - Koolewong	2011	0	1176
Point Clare - Koolewong	2011	1	4704
Point Clare - Koolewong	2016	0	1189
Point Clare - Koolewong	2016	1	4757
Saratoga - Davistown	2006	0	785
Saratoga - Davistown	2006	1	5178
Saratoga - Davistown	2011	0	817
Saratoga - Davistown	2011	1	5573
Saratoga - Davistown	2016	0	889
Saratoga - Davistown	2016	1	5728
Terrigal - North Avoca	2006	0	2133
Terrigal - North Avoca	2006	1	9037
Terrigal - North Avoca	2011	0	2368
Terrigal - North Avoca	2011	1	9403
Terrigal - North Avoca	2016	0	2567
Terrigal - North Avoca	2016	1	10129
Umina - Booker Bay - Patonga	2006	0	2553
Umina - Booker Bay - Patonga	2006	1	16621
Umina - Booker Bay - Patonga	2011	0	3065
Umina - Booker Bay - Patonga	2011	1	17971
Umina - Booker Bay - Patonga	2016	0	3575
Umina - Booker Bay - Patonga	2016	1	18178
Wamberal - Forresters Beach	2006	0	1111
Wamberal - Forresters Beach	2006	1	7535
Wamberal - Forresters Beach	2011	0	1227
Wamberal - Forresters Beach	2011	1	7461
Wamberal - Forresters Beach	2016	0	1306
Wamberal - Forresters Beach	2016	1	7942
Woy Woy - Blackwall	2006	0	1711
Woy Woy - Blackwall	2006	1	10128
Woy Woy - Blackwall	2011	0	2023
Woy Woy - Blackwall	2011	1	10348
Woy Woy - Blackwall	2016	0	2317
Woy Woy - Blackwall	2016	1	10545
Wyoming	2006	0	1848
Wyoming	2006	1	9108
Wyoming	2011	0	1869
Wyoming	2011	1	8802
Wyoming	2016	0	2050
Wyoming	2016	1	8657
Bateau Bay - Killarney Vale	2006	0	2206
Bateau Bay - Killarney Vale	2006	1	17522
Bateau Bay - Killarney Vale	2011	0	2331
Bateau Bay - Killarney Vale	2011	1	18186
Bateau Bay - Killarney Vale	2016	0	2356
Bateau Bay - Killarney Vale	2016	1	18223
Blue Haven - San Remo	2006	0	1164
Blue Haven - San Remo	2006	1	8492
Blue Haven - San Remo	2011	0	1154
Blue Haven - San Remo	2011	1	9120
Blue Haven - San Remo	2016	0	1111
Blue Haven - San Remo	2016	1	9309
Budgewoi - Buff Point - Halekulani	2006	0	1006
Budgewoi - Buff Point - Halekulani	2006	1	7145
Budgewoi - Buff Point - Halekulani	2011	0	993
Budgewoi - Buff Point - Halekulani	2011	1	7570
Budgewoi - Buff Point - Halekulani	2016	0	977
Budgewoi - Buff Point - Halekulani	2016	1	7736
Chittaway Bay - Tumbi Umbi	2006	0	1693
Chittaway Bay - Tumbi Umbi	2006	1	12345
Chittaway Bay - Tumbi Umbi	2011	0	1683
Chittaway Bay - Tumbi Umbi	2011	1	12955
Chittaway Bay - Tumbi Umbi	2016	0	1818
Chittaway Bay - Tumbi Umbi	2016	1	12845
Gorokan - Kanwal - Charmhaven	2006	0	2387
Gorokan - Kanwal - Charmhaven	2006	1	16254
Gorokan - Kanwal - Charmhaven	2011	0	2432
Gorokan - Kanwal - Charmhaven	2011	1	17217
Gorokan - Kanwal - Charmhaven	2016	0	2576
Gorokan - Kanwal - Charmhaven	2016	1	17572
Jilliby - Yarramalong	2006	0	289
Jilliby - Yarramalong	2006	1	2199
Jilliby - Yarramalong	2011	0	337
Jilliby - Yarramalong	2011	1	2454
Jilliby - Yarramalong	2016	0	356
Jilliby - Yarramalong	2016	1	2687
Lake Munmorah - Mannering Park	2006	0	1069
Lake Munmorah - Mannering Park	2006	1	7945
Lake Munmorah - Mannering Park	2011	0	1157
Lake Munmorah - Mannering Park	2011	1	8469
Lake Munmorah - Mannering Park	2016	0	1210
Lake Munmorah - Mannering Park	2016	1	8793
Ourimbah - Fountaindale	2006	0	640
Ourimbah - Fountaindale	2006	1	3653
Ourimbah - Fountaindale	2011	0	672
Ourimbah - Fountaindale	2011	1	3946
Ourimbah - Fountaindale	2016	0	721
Ourimbah - Fountaindale	2016	1	3914
Summerland Point - Gwandalan	2006	0	565
Summerland Point - Gwandalan	2006	1	4203
