SA2_NAME16	Year	medianAgeOfPersons
Braidwood	2006	47
Karabar	2006	34
Queanbeyan	2006	38
Queanbeyan - East	2006	35
Queanbeyan Region	2006	39
Queanbeyan West - Jerrabomberra	2006	32
Bombala	2006	43
Cooma	2006	40
Cooma Region	2006	45
Jindabyne - Berridale	2006	37
Batemans Bay	2006	45
Batemans Bay - South	2006	48
Bega - Tathra	2006	42
Bega-Eden Hinterland	2006	43
Broulee - Tomakin	2006	46
Deua - Wadbilliga	2006	0
Eden	2006	43
Eurobodalla Hinterland	2006	43
Merimbula - Tura Beach	2006	48
Moruya - Tuross Head	2006	47
Narooma - Bermagui	2006	50
Goulburn	2006	38
Goulburn Region	2006	43
Yass	2006	39
Yass Region	2006	40
Young	2006	37
Young Region	2006	43
Avoca Beach - Copacabana	2006	37
Box Head - MacMasters Beach	2006	43
Calga - Kulnura	2006	43
Erina - Green Point	2006	45
Gosford - Springfield	2006	38
Kariong	2006	31
Kincumber - Picketts Valley	2006	43
Narara	2006	35
Niagara Park - Lisarow	2006	33
Point Clare - Koolewong	2006	43
Saratoga - Davistown	2006	42
Terrigal - North Avoca	2006	39
Umina - Booker Bay - Patonga	2006	44
Wamberal - Forresters Beach	2006	38
Woy Woy - Blackwall	2006	45
Wyoming	2006	39
Bateau Bay - Killarney Vale	2006	41
Blue Haven - San Remo	2006	31
Budgewoi - Buff Point - Halekulani	2006	43
Chittaway Bay - Tumbi Umbi	2006	37
Gorokan - Kanwal - Charmhaven	2006	40
Jilliby - Yarramalong	2006	38
Lake Munmorah - Mannering Park	2006	42
Ourimbah - Fountaindale	2006	35
Summerland Point - Gwandalan	2006	40
The Entrance	2006	44
Toukley - Norah Head	2006	46
Tuggerah - Kangy Angy	2006	34
Warnervale - Wadalba	2006	34
Wyong	2006	36
Bathurst	2006	33
Bathurst - East	2006	34
Bathurst Region	2006	40
Oberon	2006	39
Condobolin	2006	40
Cowra	2006	40
Cowra Region	2006	43
Forbes	2006	40
Grenfell	2006	45
Parkes (NSW)	2006	37
Parkes Region	2006	42
West Wyalong	2006	40
Lithgow	2006	40
Lithgow Region	2006	41
Mudgee	2006	37
Mudgee Region - East	2006	45
Mudgee Region - West	2006	43
Wollangambe - Wollemi	2006	0
Blayney	2006	39
Orange	2006	38
Orange - North	2006	33
Orange Region	2006	39
Grafton	2006	41
Grafton Region	2006	43
Maclean - Yamba - Iluka	2006	48
Bellingen	2006	41
Coffs Harbour - North	2006	40
Coffs Harbour - South	2006	43
Coramba - Nana Glen - Bucca	2006	39
Dorrigo	2006	44
Korora - Emerald Beach	2006	41
Sawtell - Boambee	2006	40
Urunga	2006	48
Woolgoolga - Arrawarra	2006	44
Bourke - Brewarrina	2006	32
Cobar	2006	35
Coonamble	2006	38
Nyngan - Warren	2006	39
Walgett - Lightning Ridge	2006	39
Broken Hill	2006	42
Far West	2006	40
Coonabarabran	2006	43
Dubbo - East	2006	32
Dubbo - South	2006	36
Dubbo - West	2006	33
Dubbo Region	2006	39
Gilgandra	2006	41
Narromine	2006	38
Wellington	2006	41
Branxton - Greta - Pokolbin	2006	36
Cessnock	2006	37
Cessnock Region	2006	40
Dungog	2006	41
Kurri Kurri - Abermain	2006	37
Singleton	2006	33
Singleton Region	2006	37
Maitland	2006	38
Maitland - East	2006	36
Maitland - North	2006	38
Maitland - West	2006	34
Thornton - Millers Forest	2006	32
Anna Bay	2006	39
Lemon Tree Passage - Tanilba Bay	2006	44
Nelson Bay Peninsula	2006	48
Raymond Terrace	2006	34
Seaham - Woodville	2006	37
Tea Gardens - Hawks Nest	2006	56
Williamtown - Medowie - Karuah	2006	35
Muswellbrook	2006	33
Muswellbrook Region	2006	36
Scone	2006	38
Scone Region	2006	40
Dapto - Avondale	2006	39
Horsley - Kembla Grange	2006	32
