SA2_NAME16	Year	medianMortgageRepaymentMonthly
Braidwood	2006	999
Karabar	2006	1343
Queanbeyan	2006	1233
Queanbeyan - East	2006	1300
Queanbeyan Region	2006	1647
Queanbeyan West - Jerrabomberra	2006	1733
Bombala	2006	800
Cooma	2006	960
Cooma Region	2006	1000
Jindabyne - Berridale	2006	1300
Batemans Bay	2006	1105
Batemans Bay - South	2006	1192
Bega - Tathra	2006	1005
Bega-Eden Hinterland	2006	921
Broulee - Tomakin	2006	1083
Deua - Wadbilliga	2006	0
Eden	2006	1000
Eurobodalla Hinterland	2006	977
Merimbula - Tura Beach	2006	1192
Moruya - Tuross Head	2006	1071
Narooma - Bermagui	2006	1040
Goulburn	2006	1115
Goulburn Region	2006	1192
Yass	2006	1209
Yass Region	2006	1560
Young	2006	997
Young Region	2006	800
Avoca Beach - Copacabana	2006	1600
Box Head - MacMasters Beach	2006	1625
Calga - Kulnura	2006	1517
Erina - Green Point	2006	1625
Gosford - Springfield	2006	1517
Kariong	2006	1525
Kincumber - Picketts Valley	2006	1408
Narara	2006	1485
Niagara Park - Lisarow	2006	1517
Point Clare - Koolewong	2006	1500
Saratoga - Davistown	2006	1591
Terrigal - North Avoca	2006	1733
Umina - Booker Bay - Patonga	2006	1400
Wamberal - Forresters Beach	2006	1647
Woy Woy - Blackwall	2006	1500
Wyoming	2006	1486
Bateau Bay - Killarney Vale	2006	1500
Blue Haven - San Remo	2006	1408
Budgewoi - Buff Point - Halekulani	2006	1300
Chittaway Bay - Tumbi Umbi	2006	1460
Gorokan - Kanwal - Charmhaven	2006	1300
Jilliby - Yarramalong	2006	1733
Lake Munmorah - Mannering Park	2006	1300
Ourimbah - Fountaindale	2006	1600
Summerland Point - Gwandalan	2006	1300
The Entrance	2006	1482
Toukley - Norah Head	2006	1473
Tuggerah - Kangy Angy	2006	1600
Warnervale - Wadalba	2006	1863
Wyong	2006	1343
Bathurst	2006	1213
Bathurst - East	2006	1387
Bathurst Region	2006	1300
Oberon	2006	1127
Condobolin	2006	758
Cowra	2006	953
Cowra Region	2006	867
Forbes	2006	873
Grenfell	2006	726
Parkes (NSW)	2006	1021
Parkes Region	2006	807
West Wyalong	2006	784
Lithgow	2006	1083
Lithgow Region	2006	1200
Mudgee	2006	1200
Mudgee Region - East	2006	889
Mudgee Region - West	2006	1000
Wollangambe - Wollemi	2006	0
Blayney	2006	1083
Orange	2006	1121
Orange - North	2006	1350
Orange Region	2006	1250
Grafton	2006	973
Grafton Region	2006	867
Maclean - Yamba - Iluka	2006	1083
Bellingen	2006	1083
Coffs Harbour - North	2006	1213
Coffs Harbour - South	2006	1083
Coramba - Nana Glen - Bucca	2006	1083
Dorrigo	2006	812
Korora - Emerald Beach	2006	1300
Sawtell - Boambee	2006	1192
Urunga	2006	1028
Woolgoolga - Arrawarra	2006	1000
Bourke - Brewarrina	2006	650
Cobar	2006	900
Coonamble	2006	620
Nyngan - Warren	2006	821
Walgett - Lightning Ridge	2006	607
Broken Hill	2006	650
Far West	2006	737
Coonabarabran	2006	693
Dubbo - East	2006	1213
Dubbo - South	2006	1192
Dubbo - West	2006	1101
Dubbo Region	2006	1192
Gilgandra	2006	867
Narromine	2006	867
Wellington	2006	867
Branxton - Greta - Pokolbin	2006	1300
Cessnock	2006	1170
Cessnock Region	2006	1200
Dungog	2006	1200
Kurri Kurri - Abermain	2006	1083
Singleton	2006	1400
Singleton Region	2006	1403
Maitland	2006	1300
Maitland - East	2006	1300
Maitland - North	2006	1406
Maitland - West	2006	1300
Thornton - Millers Forest	2006	1329
Anna Bay	2006	1333
Lemon Tree Passage - Tanilba Bay	2006	1083
Nelson Bay Peninsula	2006	1338
Raymond Terrace	2006	1186
Seaham - Woodville	2006	1400
Tea Gardens - Hawks Nest	2006	1200
Williamtown - Medowie - Karuah	2006	1343
Muswellbrook	2006	1300
Muswellbrook Region	2006	1200
Scone	2006	1200
Scone Region	2006	1040
Dapto - Avondale	2006	1387
Horsley - Kembla Grange	2006	1600
Port Kembla Industrial	2006	0
Unanderra - Mount Kembla	2006	1500
Berkeley - Lake Heights - Cringila	2006	1300
Port Kembla - Warrawong	2006	1300
Windang - Primbee	2006	1500
Illawarra Catchment Reserve	2006	0
Albion Park - Macquarie Pass	2006	1600
Albion Park Rail	2006	1339
Kiama	2006	1517
Kiama Downs - Minnamurra	2006	1400
Kiama Hinterland - Gerringong	2006	1400
Shellharbour - Flinders	2006	1733
Shellharbour - Oak Flats	2006	1387
Warilla	2006	1300
Balgownie - Fairy Meadow	2006	1551
Corrimal - Tarrawanna - Bellambi	2006	1500
Figtree - Keiraville	2006	1517
Helensburgh	2006	1857
Thirroul - Austinmer - Coalcliff	2006	1733
Woonona - Bulli - Russell Vale	2006	1704
Wollongong - East	2006	1625
Wollongong - West	2006	1517
Bulahdelah - Stroud	2006	1000
Forster	2006	1300
Forster-Tuncurry Region	2006	1000
Tuncurry	2006	1170
Kempsey	2006	960
Kempsey Region	2006	867
Macksville - Scotts Head	2006	953
Nambucca Heads	2006	999
Nambucca Heads Region	2006	867
South West Rocks	2006	1164
Lord Howe Island	2006	1083
Laurieton - Bonny Hills	2006	1172
Port Macquarie - East	2006	1300
Port Macquarie - West	2006	1300
Port Macquarie Region	2006	1083
Wauchope	2006	1192
Gloucester	2006	1078
Old Bar - Manning Point - Red Head	2006	1300
Taree	2006	1012
Taree Region	2006	1000
Wingham	2006	1000
Albury - East	2006	1270
Albury - North	2006	1083
Albury - South	2006	1153
Albury Region	2006	1000
Lavington	2006	1083
Hay	2006	693
Wentworth - Buronga	2006	900
Wentworth-Balranald Region	2006	780
Corowa	2006	1000
Corowa Region	2006	997
Deniliquin	2006	867
Deniliquin Region	2006	870
Moama	2006	1237
Tocumwal - Finley - Jerilderie	2006	867
Armidale	2006	1040
Armidale Region - North	2006	854
Armidale Region - South	2006	867
Walcha	2006	852
Glen Innes	2006	780
Inverell	2006	867
Inverell Region - East	2006	700
Inverell Region - West	2006	728
Tenterfield	2006	789
Moree	2006	1083
Moree Region	2006	910
Narrabri	2006	996
Narrabri Region	2006	900
Gunnedah	2006	867
Gunnedah Region	2006	813
Quirindi	2006	758
Tamworth - East	2006	1100
Tamworth - North	2006	1100
Tamworth - West	2006	1000
Tamworth Region	2006	1018
Belmont - Bennetts Green	2006	1387
Belmont South - Blacksmiths	2006	1300
Charlestown - Dudley	2006	1300
Glendale - Cardiff - Hillsborough	2006	1300
Mount Hutton - Windale	2006	1328
Redhead	2006	1500
Swansea - Caves Beach	2006	1300
Valentine - Eleebana	2006	1350
Warners Bay - Boolaroo	2006	1300
Bolton Point - Teralba	2006	1236
Bonnells Bay - Silverwater	2006	1300
Edgeworth - Cameron Park	2006	1300
Morisset - Cooranbong	2006	1360
Toronto - Awaba	2006	1300
Wangi Wangi - Rathmines	2006	1300
West Wallsend - Barnsley - Killingworth	2006	1170
Adamstown - Kotara	2006	1300
Beresfield - Hexham	2006	1083
Hamilton - Broadmeadow	2006	1473
Lambton - New Lambton	2006	1385
Maryland - Fletcher - Minmi	2006	1430
Mayfield - Warabrook	2006	1300
Merewether - The Junction	2006	1625
Newcastle - Cooks Hill	2006	1733
Newcastle Port - Kooragang	2006	0
Shortland - Jesmond	2006	1083
Stockton - Fullerton Cove	2006	1210
Wallsend - Elermore Vale	2006	1282
Waratah - North Lambton	2006	1300
Wickham - Carrington - Tighes Hill	2006	1300
Ballina	2006	1200
Ballina Region	2006	1257
Bangalow	2006	1300
Brunswick Heads - Ocean Shores	2006	1127
Byron Bay	2006	1320
Evans Head	2006	1000
Lennox Head - Skennars Head	2006	1387
Mullumbimby	2006	1100
Casino	2006	910
Casino Region	2006	867
Goonellabah	2006	1100
Kyogle	2006	850
Lismore	2006	996
Lismore Region	2006	1083
Kingscliff - Fingal Head	2006	1394
Murwillumbah	2006	1140
Murwillumbah Region	2006	1100
Pottsville	2006	1213
Tweed Heads	2006	1300
Banora Point	2006	1341
Terranora - North Tumblegum	2006	1500
Tweed Heads South	2006	1300
Griffith (NSW)	2006	1300
Griffith Region	2006	1083
Leeton	2006	1083
Narrandera	2006	780
Tumbarumba	2006	800
Tumut	2006	1083
Tumut Region	2006	1000
Cootamundra	2006	849
Gundagai	2006	888
Junee	2006	867
Temora	2006	867
Wagga Wagga - East	2006	1200
Wagga Wagga - North	2006	1083
Wagga Wagga - South	2006	1159
Wagga Wagga - West	2006	1083
Wagga Wagga Region	2006	988
Berry - Kangaroo Valley	2006	1444
Callala Bay - Currarong	2006	1257
Culburra Beach	2006	1083
Ettrema - Sassafras - Budawang	2006	0
Huskisson - Vincentia	2006	1300
North Nowra - Bomaderry	2006	1200
Nowra	2006	1300
St Georges Basin - Erowal Bay	2006	1083
Sussex Inlet - Berrara	2006	1083
Tomerong - Wandandian - Woollamia	2006	1127
Ulladulla	2006	1127
Ulladulla Region	2006	1083
Bowral	2006	1700
Hill Top - Colo Vale	2006	1484
Mittagong	2006	1500
Moss Vale - Berrima	2006	1375
Robertson - Fitzroy Falls	2006	1600
Southern Highlands	2006	1517
Baulkham Hills (East)	2006	1950
Baulkham Hills (West) - Bella Vista	2006	2000
Glenhaven	2006	2167
West Pennant Hills	2006	2167
Castle Hill - Central	2006	2000
Castle Hill - East	2006	2000
Castle Hill - North	2006	2000
Castle Hill - South	2006	2000
Castle Hill - West	2006	2316
Cherrybrook	2006	2000
Kellyville	2006	2167
Dural - Kenthurst - Wisemans Ferry	2006	2167
Galston - Laughtondale	2006	2000
Bilpin - Colo - St Albans	2006	1577
Kurrajong Heights - Ebenezer	2006	1727
Pitt Town - McGraths Hill	2006	1733
Rouse Hill - Beaumont Hills	2006	2236
Blacktown (East) - Kings Park	2006	1600
Blacktown (North) - Marayong	2006	1600
Doonside - Woodcroft	2006	1702
Lalor Park - Kings Langley	2006	1625
Seven Hills - Toongabbie	2006	1700
Blacktown (South)	2006	1629
Blacktown (West)	2006	1560
Glenwood	2006	2114
Parklea - Kellyville Ridge	2006	2383
Riverstone - Marsden Park	2006	1600
Acacia Gardens	2006	2253
Quakers Hill	2006	1800
Bidwill - Hebersham - Emerton	2006	1300
Glendenning - Dean Park	2006	1718
Hassall Grove - Plumpton	2006	1700
Lethbridge Park - Tregear	2006	1213
Mount Druitt - Whalan	2006	1400
Prospect Reservoir	2006	0
Rooty Hill - Minchinbury	2006	1733
Banksmeadow	2006	0
Botany	2006	2158
Mascot - Eastlakes	2006	1923
Pagewood - Hillsdale - Daceyville	2006	1733
Port Botany Industrial	2006	0
Sydney Airport	2006	0
Marrickville	2006	1800
Petersham - Stanmore	2006	2000
Sydenham - Tempe - St Peters	2006	1997
Darlinghurst	2006	2100
Erskineville - Alexandria	2006	2167
Glebe - Forest Lodge	2006	2226
Newtown - Camperdown - Darlington	2006	2167
Potts Point - Woolloomooloo	2006	2000
Pyrmont - Ultimo	2006	2150
Redfern - Chippendale	2006	2015
Surry Hills	2006	2104
Sydney - Haymarket - The Rocks	2006	2167
Waterloo - Beaconsfield	2006	2167
Bondi - Tamarama - Bronte	2006	2327
Bondi Beach - North Bondi	2006	2200
Bondi Junction - Waverly	2006	2396
Centennial Park	2006	0
Double Bay - Bellevue Hill	2006	2700
Dover Heights	2006	2500
Paddington - Moore Park	2006	2500
Rose Bay - Vaucluse - Watsons Bay	2006	3000
Woollahra	2006	2817
Coogee - Clovelly	2006	2200
Malabar - La Perouse - Chifley	2006	2000
Kensington (NSW)	2006	2058
Kingsford	2006	2000
Maroubra - North	2006	2171
Maroubra - South	2006	2167
Maroubra - West	2006	2156
Randwick - North	2006	2167
Randwick - South	2006	2000
Bass Hill - Georges Hall	2006	1705
Chullora	2006	0
Condell Park	2006	1733
Greenacre - Mount Lewis	2006	1700
Padstow	2006	1733
Panania - Milperra - Picnic Point	2006	1733
Revesby	2006	1806
Yagoona - Birrong	2006	1600
Bankstown - North	2006	1517
Bankstown - South	2006	1517
Belmore - Belfield	2006	1663
Canterbury (South) - Campsie	2006	1517
Kingsgrove (North) - Earlwood	2006	1950
Punchbowl	2006	1625
Roselands	2006	1733
Lakemba	2006	1285
Wiley Park	2006	1300
Hurstville	2006	1733
Mortdale - Penshurst	2006	1733
Narwee - Beverly Hills	2006	1700
Oatley - Hurstville Grove	2006	2000
Peakhurst - Lugarno	2006	1950
Riverwood	2006	1532
South Hurstville - Blakehurst	2006	1950
Arncliffe - Bardwell Valley	2006	1950
Bexley	2006	1733
Kingsgrove (South) - Bardwell Park	2006	1842
Kogarah	2006	1820
Kogarah Bay - Carlton - Allawah	2006	1787
Monterey - Brighton-le-Sands - Kyeemagh	2006	1900
Rockdale - Banksia	2006	1800
Sans Souci - Ramsgate	2006	2000
Concord - Mortlake - Cabarita	2006	2167
Concord West - North Strathfield	2006	2037
Drummoyne - Rodd Point	2006	2200
Five Dock - Abbotsford	2006	2167
Balmain	2006	2600
Leichhardt - Annandale	2006	2275
Lilyfield - Rozelle	2006	2500
Ashfield	2006	1733
Burwood - Croydon	2006	1855
Canterbury (North) - Ashbury	2006	1733
Croydon Park - Enfield	2006	1820
Dulwich Hill - Lewisham	2006	1820
Haberfield - Summer Hill	2006	1950
Homebush	2006	1896
Strathfield	2006	2167
Strathfield South	2006	1997
Chatswood (East) - Artarmon	2006	2223
Chatswood (West) - Lane Cove North	2006	2080
Lane Cove - Greenwich	2006	2383
St Leonards - Naremburn	2006	2383
Willoughby - Castle Cove - Northbridge	2006	2600
Asquith - Mount Colah	2006	1850
Berowra - Brooklyn - Cowan	2006	1800
Normanhurst - Thornleigh - Westleigh	2006	2000
