SA2_NAME16	Year	employmentToPopulation
Braidwood	2006	54.9
Braidwood	2011	56.9
Braidwood	2016	51.1
Karabar	2006	65.4
Karabar	2011	67.1
Karabar	2016	63.2
Queanbeyan	2006	58.4
Queanbeyan	2011	62.7
Queanbeyan	2016	61.2
Queanbeyan - East	2006	66.2
Queanbeyan - East	2011	69.4
Queanbeyan - East	2016	66.5
Queanbeyan Region	2006	69.9
Queanbeyan Region	2011	71
Queanbeyan Region	2016	65.9
Queanbeyan West - Jerrabomberra	2006	75.9
Queanbeyan West - Jerrabomberra	2011	77.3
Queanbeyan West - Jerrabomberra	2016	73.3
Bombala	2006	54.2
Bombala	2011	56
Bombala	2016	53.3
Cooma	2006	54.2
Cooma	2011	54.3
Cooma	2016	51.1
Cooma Region	2006	61.6
Cooma Region	2011	60.5
Cooma Region	2016	57.3
Jindabyne - Berridale	2006	61.3
Jindabyne - Berridale	2011	64.6
Jindabyne - Berridale	2016	68.3
Batemans Bay	2006	43.3
Batemans Bay	2011	41.4
Batemans Bay	2016	39.3
Batemans Bay - South	2006	42.6
Batemans Bay - South	2011	39.8
Batemans Bay - South	2016	39.9
Bega - Tathra	2006	51
Bega - Tathra	2011	52.9
Bega - Tathra	2016	50.7
Bega-Eden Hinterland	2006	54.5
Bega-Eden Hinterland	2011	53.5
Bega-Eden Hinterland	2016	50.4
Broulee - Tomakin	2006	40.7
Broulee - Tomakin	2011	44
Broulee - Tomakin	2016	44
Deua - Wadbilliga	2006	0
Deua - Wadbilliga	2011	66.7
Deua - Wadbilliga	2016	24
Eden	2006	49.7
Eden	2011	47.3
Eden	2016	42.3
Eurobodalla Hinterland	2006	49.4
Eurobodalla Hinterland	2011	50.6
Eurobodalla Hinterland	2016	49.5
Merimbula - Tura Beach	2006	47.8
Merimbula - Tura Beach	2011	46.5
Merimbula - Tura Beach	2016	44.8
Moruya - Tuross Head	2006	42.7
Moruya - Tuross Head	2011	43.6
Moruya - Tuross Head	2016	41.8
