SA2_MAINCODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
101041026,0,0,6,8,37,79,4,0,103,118,215,1749,1774,143,125,373,421,134,349,996,827,3390,3501,6891
101041027,3,3,9,4,57,189,4,0,156,253,410,1981,1958,161,145,531,545,184,547,940,845,3791,4035,7834
101051539,3,0,17,22,67,343,23,19,223,445,667,4183,3994,331,390,738,1059,276,1104,3764,2903,9292,9443,18737
101051540,3,0,3,7,41,98,3,3,96,126,224,2903,2880,206,150,463,456,214,444,1561,1153,5347,5082,10430
101061541,0,0,6,4,28,119,7,4,79,145,227,1265,1257,88,85,204,279,92,343,777,793,2427,2752,5186
101061542,0,0,3,0,13,36,3,0,56,51,103,2692,2677,124,115,364,361,83,225,1272,1167,4540,4549,9092
101061543,0,0,6,8,39,163,4,21,99,219,321,1977,1990,138,193,317,398,126,523,1403,1299,3958,4387,8352
101061544,3,4,7,3,24,97,3,0,72,119,189,1547,1549,145,121,301,280,112,331,912,758,3020,3042,6059
102011028,3,0,0,3,12,32,0,0,39,46,85,1549,1552,111,90,223,311,48,152,926,774,2858,2882,5738
102011029,0,0,5,13,51,100,0,0,113,135,249,2439,2441,113,163,363,474,150,394,1209,1094,4279,4558,8834
102011030,0,0,3,0,11,21,3,0,32,31,66,966,979,109,68,228,155,63,102,727,566,2090,1865,3955
102011031,3,0,21,33,114,390,9,33,331,590,922,3029,3061,142,181,420,735,250,984,1490,1387,5328,6351,11672
102011032,4,6,10,36,77,289,9,5,193,400,597,3134,3155,317,351,819,1203,207,860,3022,2637,7503,8191,15692
102011033,0,0,0,4,8,24,0,0,18,33,53,1235,1217,53,91,175,213,32,120,1032,797,2526,2440,4970
102011034,0,0,7,18,61,209,5,11,178,310,493,1496,1498,76,98,207,448,115,550,823,739,2724,3332,6056
102011035,0,0,0,6,14,33,0,0,38,50,93,1307,1313,61,110,178,314,72,177,946,848,2565,2756,5324
102011036,0,0,5,7,23,85,0,0,67,112,180,1649,1627,103,112,219,344,61,246,1062,934,3095,3263,6355
102011037,0,0,7,6,26,73,5,3,62,101,163,1270,1272,77,92,225,310,85,263,793,710,2446,2645,5084
102011038,0,0,3,7,26,83,3,8,84,122,201,1519,1516,74,89,206,310,77,263,810,758,2684,2939,5626
102011039,3,0,4,7,16,87,6,0,88,116,202,2867,2877,166,207,431,640,102,377,1740,1563,5305,5666,10968
102011040,8,9,15,37,129,469,14,21,345,606,954,4138,4168,375,473,1012,1495,389,1319,3397,2962,9306,10428,19735
102011041,0,0,0,3,33,71,3,3,89,107,193,2161,2167,105,109,241,365,91,268,1118,1036,3715,3939,7656
102011042,3,3,23,31,85,289,21,20,234,401,631,2380,2392,249,276,617,909,218,842,2078,1834,5544,6255,11801
102011043,3,7,7,13,83,321,3,9,191,409,599,2015,2025,152,208,408,643,190,712,1615,1382,4385,4967,9346
102021044,8,8,18,31,120,448,13,25,336,615,951,4003,4005,266,450,724,1173,307,1231,2958,2748,8247,9606,17856
102021045,0,0,6,3,11,56,0,3,45,76,122,1735,1766,171,247,356,516,85,303,1664,1624,4008,4453,8461
102021046,0,0,6,11,45,108,4,3,119,153,275,1708,1718,163,207,405,561,169,440,1316,1087,3764,4013,7779
102021047,0,7,3,13,68,197,3,11,161,266,428,3053,3067,200,260,456,695,174,575,1998,1835,5878,6432,12316
102021048,3,4,12,40,138,431,19,10,314,559,875,3626,3615,359,486,924,1327,358,1250,3294,2886,8560,9575,18128
102021049,0,0,0,3,4,16,0,0,14,16,32,756,755,46,30,108,111,21,65,433,404,1358,1365,2722
102021050,0,0,6,10,34,117,3,0,128,159,282,2181,2197,166,206,444,600,183,539,1373,1168,4339,4700,9043
102021051,0,0,0,0,6,20,0,0,22,30,53,973,980,61,76,151,221,38,107,678,607,1903,1987,3891
102021052,0,0,6,4,21,36,0,0,51,50,94,1159,1150,102,103,255,287,82,198,757,633,2354,2374,4728
102021053,4,0,19,18,54,229,3,5,179,297,478,2463,2432,285,380,761,1052,214,755,2260,1994,5974,6608,12582
102021054,3,0,12,19,74,225,4,3,182,304,487,1682,1659,197,207,455,634,199,651,1441,1131,3975,4287,8258
102021055,4,0,0,0,6,34,0,0,39,53,87,1025,1019,75,88,147,257,56,162,698,646,1996,2183,4182
102021056,0,0,0,10,37,116,3,0,100,153,259,2949,3001,172,242,358,589,124,431,1829,1729,5430,5985,11416
102021057,0,0,4,11,18,72,0,3,66,98,159,1389,1412,167,166,374,511,101,327,1438,1251,3467,3667,7133
103011058,0,4,16,25,62,325,12,28,181,415,596,4023,3875,289,399,704,1043,227,998,4351,3613,9593,9924,19517
103011059,0,0,4,10,24,94,3,3,86,141,225,2074,2118,128,167,272,372,99,324,1548,1369,4119,4353,8478
103011060,0,0,3,0,10,32,0,0,30,39,74,1607,1518,109,71,292,248,70,158,939,685,3012,2676,5691
103011061,0,0,0,3,15,51,4,0,44,64,108,939,929,76,62,177,174,67,207,766,474,2021,1847,3866
103021062,0,0,3,0,34,92,4,4,69,119,185,1281,1249,82,79,214,174,112,311,907,802,2600,2611,5209
103021063,3,8,3,9,57,185,9,13,137,248,386,1704,1727,129,162,331,401,154,533,1266,1102,3593,3929,7519
103021064,3,0,0,0,19,61,0,3,45,77,120,1139,1119,98,89,270,193,91,248,680,546,2275,2190,4467
103021065,0,0,4,6,37,137,5,9,100,177,276,1990,1991,156,169,330,332,159,472,1431,1101,4071,4061,8135
103021066,0,0,4,0,20,68,3,0,59,82,148,822,816,64,63,152,119,71,197,404,338,1509,1531,3038
103021067,0,0,3,3,34,163,3,15,118,223,344,1993,1999,137,165,342,417,122,577,1548,1396,4136,4554,8692
103021068,0,0,3,3,7,42,6,0,31,53,80,712,700,57,44,141,100,45,132,472,357,1428,1329,2760
103021069,0,0,0,4,26,102,9,4,76,135,211,1265,1261,83,66,170,157,98,307,736,564,2357,2349,4711
103031070,0,3,9,13,50,181,8,10,135,242,381,2319,2199,201,200,515,651,190,655,2144,1587,5371,5298,10670
103031071,0,0,3,7,22,64,6,3,46,89,133,1720,1697,149,121,374,328,96,288,1142,908,3479,3342,6821
103031072,0,3,4,10,37,160,9,8,96,208,304,2133,2161,178,184,322,467,116,523,1637,1405,4384,4751,9135
103031073,0,0,0,0,16,38,0,3,31,43,80,623,621,74,63,170,196,76,177,525,363,1479,1422,2896
103031074,0,0,3,0,31,63,4,8,78,84,162,2184,2151,163,161,455,354,144,353,1346,1015,4293,4037,8332
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,0,3,7,21,69,5,7,69,94,169,1447,1463,103,112,277,282,97,258,913,817,2841,2920,5760
103041077,0,4,5,24,93,348,7,9,213,447,662,3193,3194,284,360,664,965,254,1024,2878,2717,7276,8259,15534
103041078,3,0,8,11,26,109,0,3,96,149,240,3795,3771,190,277,467,728,151,518,2596,2484,7189,7775,14968
103041079,0,3,4,4,26,81,0,0,83,113,197,2685,2658,125,121,335,298,109,337,1314,1076,4571,4487,9056
104011080,10,3,8,22,66,366,11,23,234,485,725,3237,3201,301,378,661,929,256,1123,2748,2365,7195,7994,15191
104011081,6,0,6,9,27,92,5,8,101,132,233,3156,3147,303,245,778,736,194,504,2136,1593,6573,6228,12801
104011082,8,0,8,14,93,288,16,7,271,391,657,3538,3544,239,278,795,852,319,956,1914,1597,6809,7230,14045
104021083,0,0,8,6,17,61,3,0,39,78,122,971,993,75,99,267,374,59,196,784,752,2153,2412,4568
104021084,3,3,10,9,79,236,3,3,195,312,503,3008,3039,270,352,755,1039,208,811,2532,2233,6777,7473,14255
104021085,3,0,5,22,66,316,10,8,182,387,566,1733,1712,162,233,404,661,168,728,1517,1366,3986,4700,8685
104021086,0,0,3,0,3,12,0,0,13,16,33,818,820,67,46,151,140,37,60,483,440,1560,1509,3065
104021087,3,0,0,3,10,40,4,0,35,53,90,589,576,45,42,161,197,44,157,512,405,1349,1376,2726
104021088,0,0,0,11,8,44,0,3,45,70,113,1914,1951,133,140,300,420,68,215,934,871,3351,3594,6945
104021089,3,0,9,24,63,232,6,5,215,326,545,3800,3805,274,341,756,1026,237,816,2493,2306,7544,8293,15841
104021090,3,0,3,4,29,79,3,0,59,102,165,941,944,85,81,247,271,92,239,630,483,1995,2030,4018
104021091,8,0,10,3,42,131,4,3,132,173,300,2568,2544,199,230,501,594,167,493,1624,1365,5051,5226,10280
105011092,0,0,0,0,9,28,0,3,22,37,59,528,504,53,49,105,79,55,127,801,764,1537,1529,3072
105011093,0,0,3,0,14,32,0,0,27,47,78,838,815,79,70,176,133,52,158,726,576,1871,1753,3624
105011094,0,0,5,3,8,53,0,5,35,70,105,694,695,63,48,125,114,60,183,676,601,1614,1642,3257
105011095,0,5,3,3,16,51,0,4,49,73,121,937,919,80,76,139,118,89,241,751,611,1990,1969,3962
105011096,0,0,0,7,10,30,4,3,34,43,80,900,876,133,91,321,227,93,211,1281,991,2728,2403,5124
105021097,3,0,15,18,68,310,13,9,194,398,593,3057,3037,296,320,736,874,239,1000,2802,2398,7134,7629,14767
105021098,0,0,0,3,4,11,0,3,5,21,28,415,380,55,25,113,50,29,60,495,415,1103,928,2026
105031099,0,0,6,3,37,120,0,6,104,154,258,1610,1596,138,148,345,334,141,388,1018,821,3254,3288,6543
105031100,0,0,0,4,24,94,3,7,57,123,180,1826,1837,141,187,291,404,93,345,1550,1541,3899,4311,8204
105031101,0,3,11,15,56,240,5,4,182,323,508,3009,3008,207,320,487,718,188,791,2355,2397,6239,7235,13478
105031102,0,0,3,0,17,46,0,3,56,62,114,1507,1548,119,125,244,332,68,280,1277,1247,3218,3538,6758
105031103,0,0,0,4,8,20,0,0,35,31,69,1331,1331,62,62,183,144,55,118,638,512,2269,2166,4432
105031104,0,0,4,0,18,57,3,3,60,75,132,900,885,64,61,127,135,63,206,602,507,1749,1799,3555
105031105,4,0,3,10,25,85,6,3,67,111,179,1217,1243,109,99,213,203,106,320,889,723,2531,2591,5127
105031106,0,0,3,4,37,118,6,13,91,151,240,1607,1438,148,140,303,318,141,426,1580,1122,3780,3442,7223
106011107,0,0,0,0,12,37,0,0,39,51,88,2082,2112,136,135,323,332,74,202,1306,1133,3913,3911,7824
106011108,5,0,15,19,70,303,8,18,167,391,561,3710,3481,373,433,749,1023,266,1014,3651,2934,8753,8886,17637
106011109,0,0,11,0,10,38,3,0,47,41,85,1649,1655,124,114,307,350,62,210,975,936,3120,3270,6388
106011110,0,0,3,5,27,89,10,0,69,112,179,1977,1974,92,115,355,347,106,320,1093,925,3622,3687,7315
106011111,0,0,14,7,42,193,7,4,101,233,330,2968,2989,309,322,667,802,209,704,2735,2323,6893,7148,14033
106011112,0,0,3,16,38,139,3,14,90,201,292,2981,2968,203,230,484,564,142,502,2624,1940,6432,6207,12640
106011113,0,0,0,0,10,14,0,0,22,20,46,1160,1154,73,41,162,136,51,89,582,470,2028,1883,3912
106021114,3,0,3,5,24,99,11,15,57,126,182,1098,1098,122,111,245,307,74,240,1007,928,2548,2681,5229
106021115,4,3,10,18,58,265,5,10,183,342,522,5250,5328,331,449,800,1298,242,1029,3684,3338,10304,11453,21758
106021116,0,0,0,3,22,73,0,0,53,89,146,1700,1717,74,97,171,262,66,224,829,743,2836,3050,5884
106021117,0,0,4,9,32,164,12,11,114,228,340,3985,4050,304,400,630,883,185,668,3227,2999,8330,8999,17331
106021118,0,0,0,0,7,28,0,0,18,35,52,2159,2172,105,121,254,350,60,172,1240,1093,3806,3907,7714
106031119,0,0,0,4,12,43,0,0,36,59,97,1223,1209,76,89,232,303,71,232,748,606,2342,2448,4787
106031120,0,0,4,3,26,72,0,0,59,93,155,1365,1366,110,114,312,339,104,291,852,639,2748,2749,5497
106031121,0,3,17,25,118,428,4,7,335,564,904,4672,4644,278,331,858,1190,378,1189,2302,2033,8484,9379,17867
106031122,0,0,8,15,38,133,3,3,95,178,272,2201,2226,220,277,585,753,154,537,2182,1841,5341,5630,10968
106031123,0,0,0,0,0,12,0,0,27,18,44,1283,1292,54,66,129,123,41,94,656,579,2165,2160,4325
106031124,0,0,5,3,35,97,3,7,103,134,240,1328,1328,68,58,255,242,120,308,471,389,2232,2315,4555
106031125,8,0,5,0,18,52,0,0,60,68,129,2918,2913,206,170,436,507,115,333,1817,1400,5490,5324,10817
106041126,0,3,3,9,22,74,5,0,46,96,138,2038,1956,225,220,395,448,100,386,2000,1543,4756,4553,9305
106041127,0,0,0,0,11,31,0,0,23,42,66,819,803,67,62,140,111,43,127,543,443,1609,1544,3153
106041128,0,0,3,0,31,94,3,7,69,118,185,1123,1096,75,90,173,212,83,278,777,696,2229,2380,4605
106041129,0,0,3,3,12,74,9,3,68,102,165,1711,1695,121,100,282,307,93,303,1080,920,3278,3312,6597
107011131,3,0,4,11,90,297,3,4,225,370,593,4617,4633,282,380,732,1068,309,1017,3242,2758,9189,9856,19047
107011132,0,0,0,0,11,52,0,0,33,54,87,1875,1889,65,103,181,308,59,210,985,918,3164,3426,6584
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,10
107011134,0,0,9,6,61,268,4,10,148,328,484,3306,3320,122,198,318,573,162,642,2086,1779,5989,6504,12496
107011545,0,0,3,3,40,148,0,0,98,188,290,2380,2393,197,229,480,556,167,682,2176,1847,5405,5699,11108
107011546,3,0,6,15,57,164,0,3,142,215,353,1540,1552,135,145,406,440,164,601,1697,1296,3949,4038,7989
107011547,0,0,3,3,14,42,5,0,67,67,133,854,840,97,69,244,210,75,263,616,442,1886,1828,3711
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,8
107031136,0,0,0,4,42,141,4,0,101,180,281,2977,2994,125,208,342,495,105,396,1830,1693,5389,5794,11174
107031137,0,0,3,0,20,101,0,3,79,146,219,1262,1271,112,123,239,333,82,306,1005,899,2695,2937,5634
107031138,0,0,3,8,37,150,4,0,120,194,315,1821,1808,87,87,274,362,119,382,863,773,3164,3410,6570
107031139,0,0,0,3,18,51,0,0,51,71,117,1433,1449,42,64,133,194,45,167,709,507,2366,2386,4754
107031140,0,0,3,12,19,145,6,12,76,188,268,1832,1842,78,75,232,315,77,354,866,788,3083,3366,6454
107031141,0,0,3,5,19,59,3,0,78,96,170,3767,3768,175,182,394,608,110,354,1942,1722,6381,6639,13018
107031142,3,3,9,9,28,105,7,0,96,146,236,2026,2051,140,175,301,474,123,404,1342,1213,3934,4323,8256
107031143,5,0,4,20,67,197,0,3,184,277,461,3643,3631,299,393,732,1035,298,934,3095,2714,8061,8708,16769
107041144,5,4,10,12,86,299,3,8,269,399,666,4084,4128,264,289,574,891,260,937,3412,2789,8594,9042,17636
107041145,4,0,10,14,71,233,7,7,186,289,476,2690,2699,228,270,526,833,202,702,2441,2126,6088,6625,12718
107041146,0,0,7,13,57,254,6,11,207,346,550,4318,4326,175,240,454,692,197,784,3299,2637,8445,8683,17126
107041147,0,0,0,3,11,41,6,0,55,80,127,1910,1905,81,83,209,268,70,165,1214,966,3483,3389,6871
107041148,0,0,8,14,30,93,0,0,75,125,203,2434,2442,108,122,321,432,80,288,1424,1349,4369,4630,9000
107041150,0,0,6,15,52,290,3,12,161,354,518,3989,4044,192,252,522,881,191,793,2571,2260,7465,8225,15693
107041548,3,0,10,14,48,215,12,11,148,280,428,2178,2150,198,186,579,672,146,595,3410,2821,6512,6432,12939
107041549,0,3,4,17,40,153,5,8,127,214,344,2753,2726,185,197,503,650,141,507,3670,2804,7257,6897,14149
108011151,0,0,9,8,14,54,0,0,46,72,124,1000,1006,96,75,238,216,65,192,612,472,2004,1960,3962
108011152,7,0,19,11,104,335,3,3,320,461,785,2962,2959,232,289,674,866,293,942,1613,1435,5767,6485,12259
108011153,0,0,3,4,16,35,0,0,46,51,94,1312,1307,121,94,329,289,92,176,732,591,2593,2454,5047
108011154,3,3,11,12,70,211,4,8,164,285,447,1296,1296,115,121,337,419,206,569,684,525,2637,2933,5570
108021155,3,5,13,17,70,247,12,12,150,327,480,2378,2283,238,324,531,650,206,794,2487,1984,5835,6031,11870
108021156,0,0,6,3,32,67,4,0,87,96,185,1776,1771,195,154,542,450,140,321,1288,991,3945,3680,7624
108021157,0,0,3,5,29,96,6,4,73,130,205,938,940,83,75,194,243,83,277,613,506,1914,2038,3951
108021158,6,0,9,14,55,161,11,12,151,231,381,1176,1167,133,141,411,456,163,462,870,851,2744,3089,5832
108021159,0,0,4,3,29,42,3,0,57,63,113,1481,1490,119,141,362,362,102,249,1086,863,3154,3109,6259
108021160,0,0,4,0,35,97,7,3,87,119,207,1141,1156,88,84,266,256,123,317,560,471,2177,2276,4451
108031161,0,0,0,0,0,7,0,0,3,7,10,84,81,0,0,19,8,6,18,56,57,165,163,327
108041162,5,3,11,9,86,270,5,4,271,358,633,3924,3957,255,272,746,878,304,932,1723,1381,6952,7412,14367
108041163,3,4,12,33,116,471,11,19,395,656,1054,5818,5840,405,469,1102,1594,349,1370,3198,2990,10873,12268,23143
108041164,7,4,12,30,94,421,6,16,323,587,913,3432,3420,257,365,717,1056,288,1184,2009,1932,6710,7949,14658
108041165,0,0,0,0,15,30,3,0,27,36,64,1135,1162,75,82,307,208,62,153,681,551,2260,2159,4419
108041166,0,0,3,15,42,145,0,6,124,189,314,2178,2195,166,196,383,520,146,504,1330,1250,4206,4671,8878
108051167,3,3,7,4,19,85,0,7,63,114,173,1098,1095,79,76,217,217,75,296,591,480,2055,2158,4217
108051168,0,3,4,11,36,125,0,0,117,167,285,2479,2485,150,179,424,521,123,469,1019,930,4183,4582,8765
108051169,7,3,23,27,111,411,10,8,316,535,851,3588,3564,341,400,816,1122,360,1221,2815,2567,7927,8874,16799
108051170,3,0,9,11,28,80,6,0,107,116,222,2856,2834,264,188,635,577,201,481,1449,1194,5394,5272,10665
108051171,0,0,4,3,31,89,7,3,84,119,201,973,995,93,101,222,295,88,330,685,641,2060,2366,4428
109011172,0,0,3,5,45,149,0,5,111,183,298,2912,2947,137,189,378,540,138,471,2030,2088,5594,6236,11833
109011173,0,0,4,6,31,119,5,4,90,155,245,1722,1735,138,159,330,490,130,388,1533,1370,3853,4142,7998
109011174,0,0,12,8,52,228,8,15,150,288,447,1909,1902,138,162,376,525,143,536,1566,1434,4133,4554,8688
109011175,0,0,7,3,45,127,11,4,111,156,268,2538,2585,128,118,371,388,159,391,1300,1066,4501,4548,9054
109011176,0,0,13,10,46,160,0,5,127,207,335,2547,2537,234,302,564,782,139,661,2175,1947,5652,6236,11890
109021177,0,0,3,5,10,21,3,0,27,32,60,620,608,53,40,102,90,34,141,436,340,1236,1219,2453
109021178,0,0,0,0,20,62,3,0,48,85,128,1230,1251,91,75,217,178,77,216,811,673,2427,2397,4817
109021179,0,0,0,0,9,26,0,4,19,33,58,783,740,59,35,136,94,38,127,534,369,1545,1372,2916
109031180,0,0,3,9,34,95,3,3,87,135,219,1155,1157,89,101,188,249,102,311,697,542,2232,2353,4583
109031181,3,0,4,0,29,67,9,0,99,94,194,1500,1534,109,97,269,228,125,279,810,599,2811,2736,5543
109031182,0,0,6,4,41,144,3,4,99,178,280,1386,1380,102,116,285,357,111,432,1066,922,2952,3209,6160
109031183,0,0,0,5,31,71,8,0,84,101,178,1514,1513,116,92,252,228,123,264,847,609,2850,2702,5553
109031184,0,0,3,5,21,80,3,0,65,103,164,1368,1359,63,75,211,206,94,297,591,565,2328,2499,4823
109031185,3,0,3,0,47,151,10,3,141,199,336,2086,2108,148,151,393,375,184,502,1196,891,4011,4031,8040
110011186,3,3,6,24,61,270,8,5,166,351,521,3874,3907,255,354,597,891,256,878,4097,4117,9078,10141,19225
110011187,0,0,0,3,11,51,3,3,36,66,103,951,941,48,56,136,128,50,188,616,457,1795,1775,3571
110011188,0,0,0,0,15,43,0,3,49,57,107,1331,1328,85,77,230,250,56,210,661,657,2356,2518,4875
110011189,0,0,4,3,13,47,0,0,35,60,97,758,741,46,35,98,90,45,173,396,288,1334,1326,2660
110021190,0,3,3,7,36,145,0,11,92,187,279,1732,1694,149,151,366,423,148,468,1238,964,3635,3692,7322
110021191,0,0,4,3,29,178,3,10,109,230,340,2101,2111,161,210,345,474,167,599,1638,1486,4405,4883,9286
110021192,0,0,3,0,9,43,3,9,35,61,99,1048,1056,107,76,208,152,63,204,748,579,2179,2072,4245
110021193,0,0,0,0,25,91,0,3,59,111,170,1303,1277,91,73,226,198,111,299,699,574,2434,2428,4860
110021194,3,0,0,4,23,90,4,8,55,116,176,1338,1338,119,121,350,361,103,349,831,683,2739,2845,5591
110031195,0,0,0,0,21,69,0,3,51,91,143,1340,1301,140,158,233,229,116,338,1351,1274,3185,3303,6481
110031196,0,0,0,0,3,14,0,0,18,20,34,1035,1023,71,49,161,108,52,113,871,697,2188,1982,4177
110031197,0,0,3,7,24,87,0,3,44,110,154,1390,1368,80,92,198,219,98,325,997,895,2758,2896,5656
110031198,0,0,3,3,10,30,5,0,29,44,74,1005,997,71,58,163,120,56,148,631,487,1931,1808,3736
110041199,0,3,8,3,42,161,0,3,92,187,286,1673,1678,152,139,263,291,131,521,1269,1125,3491,3751,7241
110041200,0,0,0,0,9,28,0,0,26,38,62,859,851,93,58,149,107,49,143,627,403,1769,1566,3336
110041201,0,0,3,3,35,85,9,5,78,108,191,1496,1503,130,135,295,313,125,348,1058,838,3103,3137,6243
110041202,3,0,10,4,43,183,8,8,153,237,395,3759,3806,295,387,660,846,185,821,3020,2561,7920,8423,16351
110041203,0,4,7,18,64,315,9,27,179,421,600,2724,2676,212,259,428,712,185,837,2095,2088,5649,6572,12218
110041204,0,0,0,0,8,28,0,0,15,33,53,743,746,82,110,137,219,43,162,926,869,1933,2093,4027
110041205,0,0,13,10,49,187,7,8,148,240,393,4024,4071,253,269,677,684,218,725,2088,1792,7268,7545,14812
111011206,4,3,6,18,83,273,5,13,203,355,560,3708,3727,197,244,570,809,231,753,2305,1946,7014,7488,14496
111011207,0,0,4,3,20,68,0,3,68,92,157,1019,1026,97,102,270,342,96,264,841,705,2325,2434,4758
111011208,0,4,14,11,92,278,0,0,244,366,615,4647,4668,268,353,716,1036,271,949,3399,3081,9295,10081,19379
111011209,3,0,9,17,65,256,4,15,183,353,534,4566,4605,279,370,706,1013,225,851,3361,2876,9133,9717,18851
111011210,0,0,3,12,40,149,0,0,94,185,277,1407,1417,125,161,322,517,125,450,1348,1282,3327,3828,7151
111011211,0,3,4,4,19,79,0,0,45,109,151,758,751,41,44,138,138,49,219,395,319,1386,1479,2864
111011212,3,0,0,12,60,190,3,13,141,254,398,2451,2455,163,161,415,527,200,638,1483,1210,4718,4991,9710
111011213,0,0,0,3,34,112,0,3,105,154,259,3028,3011,106,138,242,405,114,429,1219,1060,4710,5043,9750
111011214,0,0,7,10,40,151,0,11,118,209,331,2784,2811,153,214,461,698,125,588,1732,1525,5245,5833,11080
111021215,0,0,4,9,34,162,0,4,89,208,293,1545,1539,111,139,348,468,128,441,1248,1099,3374,3691,7065
111021216,0,0,3,4,27,70,0,4,81,109,185,1837,1866,104,157,304,404,85,284,1107,956,3432,3662,7092
111021217,3,0,3,3,47,161,3,5,107,200,303,2828,2841,148,189,317,529,134,491,1767,1603,5200,5661,10864
111021218,4,0,16,16,105,308,8,18,288,442,730,3134,3114,207,210,522,683,246,837,1964,1673,6076,6521,12598
111021219,6,0,15,12,72,310,10,4,203,378,581,2674,2684,174,202,510,674,205,784,1813,1567,5377,5913,11288
111021220,3,0,3,0,25,63,0,0,80,94,169,2074,2081,112,126,338,414,109,286,1071,838,3707,3751,7456
111021221,0,0,0,3,18,27,3,0,29,36,64,1278,1278,79,99,186,251,67,144,971,815,2584,2585,5166
111031222,0,0,6,12,55,158,0,11,153,231,385,3140,3140,133,178,403,640,154,521,2231,1959,6064,6434,12492
111031223,0,3,3,0,18,66,0,5,48,98,145,1473,1460,150,137,282,381,99,374,1301,1152,3303,3503,6810
111031224,0,0,10,9,42,157,3,6,118,216,338,1848,1850,170,165,498,618,137,469,2311,1969,4963,5073,10034
111031225,0,3,7,16,56,228,4,4,158,294,455,3073,3091,166,230,517,842,176,650,2326,2198,6257,7005,13260
111031226,0,0,0,0,8,33,0,0,27,45,73,2751,2808,115,147,293,493,80,227,1779,1574,5026,5246,10280
111031227,3,4,3,20,52,258,17,7,127,312,442,2110,2091,227,253,619,792,171,611,3064,2679,6183,6429,12609
111031228,0,0,8,15,39,153,6,19,111,224,330,2572,2606,128,141,406,522,134,423,2312,2015,5541,5710,11252
