SA2_MAINCODE_2016,C11_F_NatPhy_sci_15_19,C11_F_NatPhy_sci_20_24,C11_F_NatPhy_sci_25_34,C11_F_NatPhy_sci_35_44,C11_F_NatPhy_sci_45_54,C11_F_NatPhy_sci_55_64,C11_F_NatPhy_sci_65_74,C11_F_NatPhy_sci_75_84,C11_F_NatPhy_sci_85o,C11_F_NatPhy_sci_T,C11_F_InfTec_15_19,C11_F_InfTec_20_24,C11_F_InfTec_25_34,C11_F_InfTec_35_44,C11_F_InfTec_45_54,C11_F_InfTec_55_64,C11_F_InfTec_65_74,C11_F_InfTec_75_84,C11_F_InfTec_85_ov,C11_F_InfTec_Tot,C11_F_EngRT_15_19,C11_F_EngRT_20_24,C11_F_EngRT_25_34,C11_F_EngRT_35_44,C11_F_EngRT_45_54,C11_F_EngRT_55_64,C11_F_EngRT_65_74,C11_F_EngRT_75_84,C11_F_EngRT_85_ov,C11_F_EngRT_Tot,C11_F_ArchBuild_15_19,C11_F_ArchBuild_20_24,C11_F_ArchBuild_25_34,C11_F_ArchBuild_35_44,C11_F_ArchBuild_45_54,C11_F_ArchBuild_55_64,C11_F_ArchBuild_65_74,C11_F_ArchBuild_75_84,C11_F_ArchBuild_85o,C11_F_Arch_building_Tot,C11_F_AgEnv_RS_15_19,C11_F_AgEnv_RS_20_24,C11_F_AgEnv_RS_25_34,C11_F_AgEnv_RS_35_44,C11_F_AgEnv_RS_45_54,C11_F_AgEnv_RS_55_64,C11_F_AgEnv_RS_65_74,C11_F_AgEnv_RS_75_84,C11_F_Agr_env_re_st_85o,C11_F_AgEnv_RS_Tot,C11_F_Health_15_19,C11_F_Health_20_24,C11_F_Health_25_34,C11_F_Health_35_44,C11_F_Health_45_54,C11_F_Health_55_64,C11_F_Health_65_74,C11_F_Health_75_84,C11_F_Health_85o,C11_F_Healt_To,C11_F_Educ_15_19,C11_F_Educ_20_24,C11_F_Educ_25_34,C11_F_Educ_35_44,C11_F_Educ_45_54,C11_F_Educ_55_64,C11_F_Educ_65_74,C11_F_Educ_75_84,C11_F_Educ_85o,C11_F_Educ_Tot,C11_F_MngtCom_15_19,C11_F_MngtCom_20_24,C11_F_MngtCom_25_34,C11_F_MngtCom_35_44,C11_F_MngtCom_45_54,C11_F_MngtCom_55_64,C11_F_MngtCom_65_74,C11_F_MngtCom_75_84,C11_F_MngtCom_85o,C11_F_MngtCom_Tot,C11_F_Soc_cult_15_19,C11_F_Soc_cult_20_24,C11_F_Soc_cult_25_34,C11_F_Soc_cult_35_44,C11_F_Soc_cult_45_54,C11_F_Soc_cult_55_64,C11_F_Soc_cult_65_74,C11_F_Soc_cult_75_84,C11_F_Soc_cult_85o,C11_F_Society_cultur_Tot,C11_F_Creative_art_15_19,C11_F_Creative_art_20_24,C11_F_Creative_art_25_34,C11_F_Creative_art_35_44,C11_F_Creative_art_45_54,C11_F_Creative_art_55_64,C11_F_Creative_art_65_74,C11_F_Creative_art_75_84,C11_F_Create_arts_85ov,C11_F_Creative_arts_Tot,C11_F_FoodHos_PS_15_19,C11_F_FoodHos_PS_20_24,C11_F_FoodHos_PS_25_34,C11_F_FoodHos_PS_35_44,C11_F_FoodHos_PS_45_54,C11_F_FoodHos_PS_55_64,C11_F_FoodHos_PS_65_74,C11_F_FoodHos_PS_75_84,C11_F_FoodHos_PS_85o,C11_F_Foo_hos_pers_S_Tot,C11_F_MixFld_pr_15_19,C11_F_MixFld_pr_20_24,C11_F_MixFld_pr_25_34,C11_F_MixFld_pr_35_44,C11_F_MixFld_pr_45_54,C11_F_MixFld_pr_55_64,C11_F_MixFld_pr_65_74,C11_F_MixFld_pr_75_84,C11_F_MixFld_pr_85_ov,C11_F_MixFld_pr_Tot,C11_F_FldStu_ID_15_19,C11_F_FldStu_ID_20_24,C11_F_FldStu_ID_25_34,C11_F_FldStu_ID_35_44,C11_F_FldStu_ID_45_54,C11_F_FldStu_ID_55_64,C11_F_FldStu_ID_65_74,C11_F_FldStu_ID_75_84,C11_F_FldStu_ID_85o,C11_F_FldStu_ID_Tot,C11_F_FldStu_NS_15_19,C11_F_FldStu_NS_20_24,C11_F_FldStu_NS_25_34,C11_F_FldStu_NS_35_44,C11_F_FldStu_NS_45_54,C11_F_FldStu_NS_55_64,C11_F_FldStu_NS_65_74,C11_F_FldStu_NS_75_84,C11_F_FldStu_NS_85o,C11_F_FldStu_NS_T,C11_F_Tot_15_19,C11_F_Tot_20_24,C11_F_Tot_25_34,C11_F_Tot_35_44,C11_F_Tot_45_54,C11_F_Tot_55_64,C11_F_Tot_65_74,C11_F_Tot_75_84,C11_F_Tot_85o,C11_F_T_T,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85_ov,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85_o,C16_F_InfTec_T,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85_o,C16_F_EngRT_T,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85o,C16_F_ArchBuild_T,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RE_85o,C16_F_AgEnv_RS_T
101021007,0,0,4,11,7,4,0,0,0,25,0,0,0,3,6,0,0,0,0,11,0,0,3,4,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,10,0,3,5,9,11,0,3,0,0,34,0,0,13,13,22,36,17,8,0,114,0,0,5,13,23,30,14,3,0,102,0,0,15,37,32,32,19,0,0,140,0,4,16,17,19,27,19,3,0,114,0,0,8,19,11,7,3,0,0,53,0,3,12,9,6,3,6,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,0,0,13,17,6,12,22,27,23,18,11,7,139,18,19,97,176,166,164,103,31,12,786,0,0,3,10,9,9,6,0,0,36,0,0,0,6,0,3,0,0,0,6,0,0,0,0,3,8,3,0,3,22,0,0,0,0,0,0,0,0,0,9,3,3,5,16,12,5,4,0,0,42
101021008,0,0,13,14,10,3,3,0,0,45,0,0,11,13,0,5,0,0,0,26,0,0,3,9,3,0,3,0,0,24,0,0,8,0,3,0,0,0,0,15,0,0,3,0,3,0,0,0,0,12,0,0,37,44,31,34,18,6,3,168,0,4,36,25,26,23,19,3,0,137,8,34,112,114,105,56,13,5,3,452,6,26,79,74,52,34,14,0,0,280,0,3,25,17,10,0,4,0,0,67,9,15,36,25,23,13,5,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,15,32,28,55,48,56,52,36,23,4,330,61,109,423,387,345,224,109,43,7,1695,0,7,5,11,9,7,0,0,0,47,0,3,3,9,4,8,0,0,0,33,0,0,3,5,9,7,3,3,0,27,0,0,3,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
101021009,0,0,34,16,7,4,0,0,0,66,0,8,18,7,4,7,0,0,0,47,0,0,13,12,10,3,5,6,3,50,0,0,4,9,5,0,0,0,0,19,0,0,10,8,4,6,0,0,0,26,0,12,58,45,51,39,20,11,7,248,0,11,41,45,31,18,13,4,4,166,7,47,160,124,79,55,21,11,7,512,5,46,148,97,61,31,17,0,0,413,0,6,37,32,14,8,4,3,0,103,4,25,47,28,16,20,3,0,3,140,0,0,0,0,0,0,0,0,0,4,0,0,9,5,4,3,3,0,0,20,29,28,73,42,42,43,56,64,62,436,48,192,655,480,318,243,138,108,87,2263,0,3,35,18,14,4,0,0,0,83,0,13,37,11,12,7,0,0,0,77,0,0,23,14,6,5,3,4,4,65,3,0,11,0,3,4,0,0,0,26,0,4,6,3,4,3,0,0,0,26
101021010,0,0,14,14,12,3,5,0,0,47,3,3,11,7,10,3,0,0,0,42,0,5,6,5,9,3,0,0,0,24,0,0,9,4,0,4,0,0,0,15,0,0,3,0,3,0,0,0,0,10,0,5,36,32,22,21,13,4,0,137,0,5,12,12,16,14,9,0,0,71,3,31,83,53,37,26,12,4,3,251,0,23,71,42,42,28,7,0,0,213,0,6,18,12,11,0,0,0,0,51,3,13,35,9,13,5,3,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,0,0,13,5,20,31,26,22,25,17,24,8,177,16,119,327,221,195,127,67,36,18,1128,0,3,14,9,9,7,4,0,0,47,0,3,16,5,8,0,0,0,0,27,0,0,7,0,3,6,3,0,0,24,0,0,3,4,0,3,3,0,0,13,0,0,3,9,0,0,0,0,0,13
101021011,0,5,16,37,43,30,13,0,0,147,5,0,6,22,28,11,3,0,0,77,0,3,11,15,15,8,5,0,3,58,0,0,8,11,8,0,9,0,0,35,0,3,9,24,15,17,3,0,0,75,3,15,52,93,146,105,45,6,0,459,0,3,43,86,105,115,49,9,0,414,10,38,110,219,216,130,40,4,3,765,9,20,74,175,170,113,30,6,0,592,0,11,36,37,41,21,16,4,0,156,5,23,33,43,20,22,0,0,0,148,0,0,0,0,3,0,0,0,0,3,0,0,5,10,16,9,5,0,0,46,44,20,27,65,76,76,39,18,3,359,77,134,451,836,879,653,247,53,11,3338,0,5,21,54,48,44,17,3,3,184,0,6,6,17,22,23,3,0,0,68,0,0,9,19,29,6,4,0,0,70,0,7,5,7,11,3,5,0,0,40,0,9,16,28,26,14,7,3,0,100
101021012,0,6,23,37,24,12,3,0,0,103,3,4,24,18,17,4,0,0,0,60,0,4,17,15,17,10,0,0,0,63,0,3,3,4,5,3,0,0,0,17,0,0,7,13,4,7,0,0,0,31,0,10,48,95,88,39,15,6,0,302,0,7,73,76,63,35,18,3,0,284,11,55,205,316,218,86,22,0,0,913,3,29,112,141,90,39,12,3,0,438,3,15,22,30,25,9,0,3,0,103,3,20,60,44,33,10,3,0,0,169,3,0,0,0,0,0,0,0,0,4,0,3,9,21,8,3,0,0,0,44,25,19,31,41,45,30,22,12,0,229,50,169,632,861,632,283,103,32,5,2766,0,3,16,29,26,17,3,0,0,99,3,0,11,21,9,9,0,0,0,58,0,4,4,26,15,6,3,3,3,68,0,5,6,3,7,0,3,0,0,30,0,3,3,16,11,8,4,0,0,38
101031013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,4,0,0,0,23,0,0,4,7,22,20,15,11,4,88,0,0,5,9,11,14,4,0,0,57,0,11,21,17,10,9,3,3,4,71,0,3,4,18,19,10,0,0,0,60,0,0,4,3,0,3,0,0,0,14,0,0,8,9,5,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,3,4,4,11,5,20,13,78,12,15,65,73,86,88,33,35,21,430,0,0,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,8,3,0,6,0,0,20
101031014,0,3,3,13,8,3,0,0,0,25,0,0,0,7,8,9,0,3,0,23,0,0,9,4,8,3,3,5,0,30,0,0,0,3,4,3,0,0,0,9,0,3,0,8,4,3,0,0,0,21,0,4,20,35,45,47,26,16,8,202,3,3,21,27,43,28,13,9,0,155,4,23,46,72,75,46,29,13,4,316,0,13,43,39,41,28,8,0,0,182,0,5,11,12,12,10,3,4,3,60,3,14,22,17,16,6,12,0,3,96,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,12,28,9,31,36,24,30,47,56,36,299,42,79,210,270,299,222,148,101,54,1430,0,7,3,0,4,6,0,3,0,22,0,0,0,0,5,0,5,0,3,14,0,0,3,0,3,9,5,3,0,26,0,3,3,0,3,3,0,0,0,10,0,3,3,6,0,6,0,3,0,18
101031015,0,0,0,9,6,0,3,0,0,16,0,0,0,3,0,0,0,0,0,10,0,0,0,0,4,3,5,3,0,16,0,0,3,4,0,3,0,0,0,12,0,9,9,15,10,3,0,0,0,37,0,0,0,23,38,31,20,6,0,117,0,0,5,9,22,27,13,3,0,77,3,13,27,45,44,30,8,3,0,163,0,4,10,26,22,12,5,0,0,81,0,3,0,6,9,4,3,0,0,21,4,7,4,7,8,8,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,3,4,3,14,14,13,23,13,4,88,9,33,65,150,170,133,81,26,4,681,0,0,0,11,3,6,3,0,0,25,0,0,0,3,0,3,0,0,0,6,0,0,3,5,0,3,3,4,0,23,0,0,3,6,0,0,3,0,0,15,3,4,6,9,13,5,0,3,0,47
101031016,0,0,5,6,8,4,7,0,0,40,0,0,0,6,3,5,4,0,0,17,0,0,0,8,4,10,3,0,0,27,0,0,0,0,3,3,0,0,0,10,0,3,10,8,8,3,0,0,0,32,3,4,30,49,48,32,18,3,4,194,0,3,26,35,44,40,10,4,0,162,0,26,65,103,74,51,15,5,3,343,3,14,42,33,46,20,3,5,0,158,0,3,11,19,9,6,3,0,0,56,3,13,26,31,21,15,8,3,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,34,29,64,76,69,39,23,17,4,353,39,100,280,384,343,234,91,38,11,1515,0,0,4,13,10,6,4,0,0,44,0,0,0,0,7,4,5,0,0,16,0,3,0,4,5,0,3,5,0,30,0,0,3,9,0,5,0,0,0,19,3,5,11,14,10,4,3,0,0,53
101041017,0,0,0,3,5,6,0,0,0,20,0,0,0,3,4,0,0,0,0,9,0,0,0,7,3,0,6,7,0,28,0,0,0,0,0,3,0,0,0,12,0,0,6,5,4,6,0,0,0,20,0,5,17,26,50,53,33,14,10,211,0,3,16,26,22,40,26,6,3,143,3,13,43,44,49,73,57,12,9,305,3,13,43,38,40,40,17,3,0,197,0,0,6,3,10,3,8,0,0,31,3,12,34,33,21,21,4,4,0,135,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,0,20,15,11,30,40,36,73,76,70,39,394,31,64,196,230,260,322,236,126,59,1525,0,0,4,6,7,9,8,0,3,40,0,0,0,3,3,3,0,0,0,10,0,0,0,6,3,0,6,0,3,23,0,0,3,0,0,0,4,0,0,8,0,0,0,0,3,0,0,0,0,9
101041018,0,0,3,3,0,6,8,0,0,23,0,0,5,0,3,0,3,0,0,11,0,0,0,3,8,5,11,6,4,30,0,0,0,0,5,0,0,0,0,10,0,0,0,7,4,3,0,0,0,19,0,3,25,36,74,60,46,17,6,272,0,0,19,24,44,57,47,12,8,220,6,13,49,77,76,96,50,19,9,395,3,11,25,47,39,57,31,13,0,227,0,0,4,15,10,12,0,9,3,57,0,10,35,29,22,16,15,0,4,133,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,8,0,3,3,21,25,13,34,39,54,47,84,76,27,390,38,50,203,280,335,384,287,158,72,1809,0,0,3,10,3,4,7,3,0,31,0,0,0,0,0,4,3,0,0,16,0,0,0,4,3,3,4,3,3,28,0,0,0,3,3,0,0,0,0,12,0,0,3,5,3,5,0,0,0,21
101041019,0,0,7,3,4,7,0,0,0,26,0,0,0,3,3,9,3,0,0,20,0,0,10,3,5,3,5,0,0,31,0,0,3,0,0,4,0,0,0,9,0,0,9,12,7,4,0,0,0,34,0,11,36,49,94,74,30,14,9,305,0,0,33,33,56,53,28,7,6,216,10,20,50,66,68,60,27,3,3,308,0,16,44,54,58,37,19,7,0,233,0,4,9,10,23,13,8,0,0,62,6,12,20,27,19,9,6,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,0,0,0,14,17,14,20,28,40,43,57,61,42,325,39,76,246,291,389,311,174,106,58,1688,0,3,3,7,3,3,6,0,0,23,0,0,0,5,3,3,3,0,0,11,0,0,3,3,10,3,0,3,3,32,0,0,0,3,0,0,0,0,0,11,0,3,8,13,3,6,3,0,0,40
101041020,0,0,7,8,13,19,0,0,0,48,0,0,3,8,5,7,0,0,0,21,0,0,4,11,12,6,0,3,0,37,0,0,4,3,5,0,0,0,0,10,0,3,7,19,22,15,3,0,0,76,4,0,17,55,119,79,47,6,0,342,0,0,20,30,77,109,28,10,0,270,3,13,36,85,97,76,20,6,0,342,3,6,29,62,89,67,27,0,0,274,0,0,8,15,36,28,4,3,0,94,3,5,28,41,29,19,5,3,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,0,0,0,24,40,3,20,37,50,59,39,33,3,291,52,39,179,379,562,488,181,68,9,1953,0,0,3,12,15,15,9,0,0,57,0,0,3,3,8,9,3,0,0,22,0,0,9,5,8,9,3,3,3,37,0,0,3,0,6,3,0,0,0,12,0,0,13,20,29,21,3,0,0,100
101041021,0,0,0,3,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,14,0,0,0,0,3,0,0,0,0,5,0,0,0,7,0,3,0,0,0,16,0,5,11,20,26,18,14,6,6,97,0,0,4,17,33,25,18,0,4,99,3,5,14,28,37,28,22,7,0,151,0,8,11,14,31,17,5,4,0,88,0,3,5,0,3,4,0,0,0,12,0,0,3,11,4,7,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,8,3,8,7,20,24,18,24,4,120,9,25,61,120,158,127,86,53,26,661,0,0,0,3,3,0,8,0,0,16,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,3,3,3,0,15,0,0,0,0,4,0,0,0,0,8,0,0,3,8,4,0,4,0,0,13
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,9,5,20,20,9,6,3,89,0,3,14,6,7,22,3,4,3,64,3,8,14,21,23,27,4,0,3,106,3,4,9,20,25,16,3,0,0,82,0,0,4,3,0,4,0,0,0,11,4,9,11,18,12,8,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,9,10,19,14,21,24,14,132,24,33,70,94,121,119,56,43,31,582,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9
101041024,0,0,0,0,3,0,0,0,0,7,0,0,0,3,3,0,0,0,0,10,0,0,0,0,3,4,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,8,9,7,0,0,0,27,0,0,8,17,31,36,12,11,0,113,0,0,3,14,14,33,18,3,0,83,0,5,14,22,31,43,4,3,0,134,0,0,5,14,31,33,4,3,0,95,0,0,5,5,5,0,0,3,0,22,3,0,13,18,11,13,4,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,12,4,11,16,19,19,18,15,4,118,22,18,69,120,172,195,72,35,8,693,0,0,3,0,3,0,0,0,0,10,0,0,0,0,3,0,0,0,0,12,0,0,0,0,4,3,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,10,3,5,5,10,8,0,0,38
101041025,0,0,4,4,6,17,5,0,0,34,0,0,3,0,5,4,3,0,0,13,0,0,3,8,3,5,6,4,3,37,0,0,3,3,3,0,0,0,0,11,0,0,6,9,9,9,3,0,0,34,0,3,22,62,92,73,69,22,7,359,0,3,21,45,65,86,60,19,4,302,9,17,42,78,97,90,66,35,12,443,3,17,49,48,76,65,27,9,3,287,0,0,11,13,14,12,13,9,0,67,3,18,46,38,41,21,21,5,0,190,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4,0,0,0,23,29,9,26,30,47,48,59,94,101,445,44,77,231,344,454,432,330,202,133,2248,0,0,5,4,5,15,11,0,0,43,0,0,3,0,0,3,0,0,0,13,0,0,3,4,12,6,7,5,4,41,0,0,0,9,0,6,0,0,0,10,0,0,5,4,7,14,8,3,0,38
101041026,0,0,3,3,3,10,3,0,0,23,0,0,3,0,3,3,0,0,0,11,0,0,0,6,0,8,5,7,0,29,0,0,0,0,3,3,0,0,0,10,0,0,5,7,4,10,0,0,0,30,0,7,18,43,72,65,50,24,4,284,0,0,11,33,53,74,41,9,3,229,4,25,43,64,69,75,63,9,3,350,0,10,21,46,78,56,27,6,0,241,0,0,6,8,11,6,8,0,0,50,10,13,24,16,17,21,8,3,0,109,0,0,0,0,0,0,0,0,0,5,0,0,4,8,5,7,0,0,0,19,17,6,10,31,34,38,57,51,13,261,31,57,160,265,356,374,272,114,28,1656,0,0,3,8,3,11,10,0,0,38,0,0,0,0,0,3,4,0,0,16,0,0,6,5,4,3,3,3,4,35,0,0,4,0,7,0,0,0,0,18,0,0,4,6,12,12,0,0,0,35
101041027,0,0,0,5,4,9,7,3,0,29,0,0,0,3,3,3,3,0,0,13,0,0,6,6,5,6,4,7,4,44,0,0,0,3,0,4,0,0,0,11,0,0,4,17,6,12,3,0,0,38,0,7,16,35,74,86,46,32,12,306,0,4,14,28,60,108,47,11,6,279,3,16,36,57,59,104,63,28,13,376,0,8,20,46,56,57,30,10,0,231,0,3,11,9,13,22,12,7,4,77,8,16,24,24,26,15,9,3,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,20,14,12,18,30,30,65,72,91,62,395,22,63,161,269,351,489,302,192,99,1950,0,0,0,9,6,17,12,0,3,51,0,0,0,0,3,3,6,0,0,18,0,0,0,3,6,7,3,4,0,29,0,0,3,4,0,4,0,4,0,14,0,0,3,4,14,14,9,0,0,49
101051539,0,6,5,6,13,3,0,3,0,38,3,3,13,14,14,4,0,0,0,49,0,3,3,6,12,12,9,7,5,51,0,3,6,7,4,3,0,0,0,22,3,4,19,19,11,3,0,0,0,61,3,34,84,121,177,146,92,42,13,718,0,13,65,76,86,103,53,27,12,442,18,79,223,209,190,119,44,21,17,902,18,70,137,172,123,93,26,6,0,656,0,12,16,30,22,11,3,0,8,107,16,46,97,53,35,25,14,0,0,281,4,3,0,0,0,0,0,0,0,7,0,0,3,7,9,7,0,4,0,29,49,28,61,86,84,94,142,173,96,808,109,305,730,809,764,623,393,280,148,4170,0,4,21,11,9,5,6,0,0,60,0,0,5,12,8,3,3,0,0,33,0,0,16,13,9,11,9,8,7,67,0,3,7,5,4,3,0,0,0,29,4,17,16,20,15,9,3,0,0,80
101051540,0,0,3,7,6,5,9,0,0,40,0,0,4,4,8,3,0,0,0,16,0,0,3,8,12,10,10,4,0,49,0,0,3,3,0,0,0,0,0,12,7,10,12,20,16,9,4,0,0,85,0,13,55,75,122,106,61,19,8,458,0,5,21,50,68,85,45,8,4,287,3,25,72,115,102,89,46,14,3,472,8,21,50,95,83,62,28,3,0,350,0,0,5,14,5,17,13,0,0,65,6,9,25,37,24,27,10,4,0,129,0,0,0,0,0,0,0,0,0,3,0,0,0,9,5,3,4,0,0,22,41,19,37,47,60,53,76,61,6,411,72,108,296,495,522,476,305,113,27,2403,0,3,3,5,15,15,10,0,0,46,0,0,3,4,11,12,0,0,0,30,0,4,4,10,12,8,14,5,0,51,0,0,4,10,4,0,3,0,0,22,3,9,29,24,26,16,10,0,0,120
101061541,0,0,6,14,4,8,0,0,0,41,0,0,8,4,0,3,0,0,0,15,0,0,4,0,5,0,0,3,0,17,0,0,0,4,4,0,0,0,0,17,0,3,18,11,7,0,3,0,0,40,0,13,27,47,29,39,17,7,0,190,0,9,32,23,29,33,23,7,0,160,6,18,48,89,46,53,16,4,3,280,3,13,37,44,43,31,15,3,0,185,0,4,12,18,3,7,5,3,0,56,3,11,15,24,6,10,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,14,17,10,24,29,22,21,37,63,61,288,36,85,239,320,200,199,116,96,69,1362,0,3,3,8,14,3,3,0,0,41,0,0,5,4,0,4,0,0,0,12,0,4,3,0,3,0,0,0,0,14,0,4,6,4,0,0,3,0,0,12,0,3,8,8,9,0,0,0,0,26
101061542,0,3,8,38,31,21,10,0,0,115,0,3,3,10,16,7,0,0,0,42,0,0,7,11,13,4,6,3,0,48,0,3,4,9,6,8,0,0,0,29,0,4,17,24,23,10,6,3,0,89,0,8,33,76,87,84,36,6,3,335,0,7,31,66,59,79,45,13,3,305,0,21,81,151,139,91,31,11,0,532,0,16,62,105,114,95,26,7,0,431,0,4,17,39,29,16,4,3,0,104,3,5,33,25,21,14,7,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,9,15,11,3,3,0,0,43,36,9,32,42,39,43,35,25,6,269,46,79,339,616,573,478,223,69,20,2443,0,7,10,35,46,21,19,5,0,137,0,3,3,9,14,3,7,0,0,39,0,0,11,11,12,6,5,3,0,51,0,0,4,8,10,3,0,0,0,25,3,8,26,25,27,21,10,6,0,128
101061543,0,3,4,3,3,0,0,0,0,22,0,0,4,0,0,5,0,0,0,10,0,3,3,3,4,5,3,0,4,25,0,0,3,3,0,0,0,0,0,5,0,3,12,11,7,4,3,0,0,40,0,9,35,64,82,90,45,17,5,349,0,12,35,55,42,47,21,15,7,233,6,24,110,102,66,64,22,11,4,409,3,30,47,48,44,19,8,3,0,198,0,0,11,4,3,5,6,0,0,25,5,20,33,35,8,18,3,0,0,112,0,0,0,0,0,0,0,0,0,4,0,0,3,4,3,3,0,0,0,15,36,25,40,46,48,66,66,73,38,433,59,126,333,374,310,326,170,121,63,1886,0,0,3,9,5,3,0,0,0,20,0,0,3,5,0,0,6,0,0,18,0,0,4,9,8,0,7,3,0,33,0,0,3,0,0,0,0,0,0,3,3,4,14,11,7,12,8,4,0,56
