SA2_MAINCODE_2016,C06_Budh_0_14_yrs,C06_Budh_15_24,C06_Budh_25_34,C06_Budh_35_44,C06_Budh_45_54,C06_Budh_55_64,C06_Budh_65_74,C06_Budh_75_84,C06_Budh_85ov,C06_Budh_Tot,C06_C_Ang_0_14,C06_C_Ang_15_24,C06_C_Ang_25_34,C06_C_Ang_35_44,C06_C_Ang_45_54,C06_C_Ang_55_64,C06_C_Ang_65_74,C06_C_Ang_75_84,C06_C_Ang_85ov,C06_C_Ang_Tot,C06_C_As_Apo_0_14,C06_C_As_Apo_15_24,C06_C_As_Apo_25_34,C06_C_As_Apo_35_44,C06_C_As_Apo_45_54,C06_C_As_Apo_55_64,C06_C_As_Apo_65_74,C06_C_As_Apo_75_84,C06_C_As_Apo_85ov,C06_C_As_Apo_Tot,C06_C_Bap_0_14,C06_C_Bap_15_24,C06_C_Bap_25_34,C06_C_Bap_35_44,C06_C_Bap_45_54,C06_C_Bap_55_64,C06_C_Bap_65_74,C06_C_Bap_75_84,C06_C_Bap_85ov,C06_C_Bap_Tot,C06_C_Breth_0_14,C06_C_Breth_15_24,C06_C_Breth_25_34,C06_C_Breth_35_44,C06_C_Breth_45_54,C06_C_Breth_55_64,C06_C_Breth_65_74,C06_C_Breth_75_84,C06_C_Breth_85ov,C06_C_Breth_Tot,C06_C_Cath_0_14,C06_C_Cath_15_24,C06_C_Cath_25_34,C06_C_Cath_35_44,C06_C_Cath_45_54,C06_C_Cath_55_64,C06_C_Cath_65_74,C06_C_Cath_75_84,C06_C_Cath_85ov,C06_C_Cath_Tot,C06_C_Ch_Chr_0_14,C06_C_Ch_Chr_15_24,C06_C_Ch_Chr_25_34,C06_C_Ch_Chr_35_44,C06_C_Ch_Chr_45_54,C06_C_Ch_Chr_55_64,C06_C_Ch_Chr_65_74,C06_C_Ch_Chr_75_84,C06_C_Ch_Chr_85ov,C06_C_Ch_Chr_Tot,C06_C_E_Orth_0_14,C06_C_E_Orth_15_24,C06_C_E_Orth_25_34,C06_C_E_Orth_35_44,C06_C_E_Orth_45_54,C06_C_E_Orth_55_64,C06_C_E_Orth_65_74,C06_C_E_Orth_75_84,C06_C_E_Orth_85ov,C06_C_E_Orth_Tot,C06_C_Jeh_Wit_0_14,C06_C_Jeh_Wit_15_24,C06_C_Jeh_Wit_25_34,C06_C_Jeh_Wit_35_44,C06_C_Jeh_Wit_45_54,C06_C_Jeh_Wit_55_64,C06_C_Jeh_Wit_65_74,C06_C_Jeh_Wit_75_84,C06_C_Jeh_Wit_85ov,C06_C_Jeh_Wit_Tot,C06_C_La_Da_Sai_0_14,C06_C_La_Da_Sai_15_24,C06_C_La_Da_Sai_25_34,C06_C_La_Da_Sai_35_44,C06_C_La_Da_Sai_45_54,C06_C_La_Da_Sai_55_64,C06_C_La_Da_Sai_65_74,C06_C_La_Da_Sai_75_84,C06_C_La_Da_Sai_85ov,C06_C_La_Da_Sai_Tot,C06_C_Luth_0_14,C06_C_Luth_15_24,C06_C_Luth_25_34,C06_C_Luth_35_44,C06_C_Luth_45_54,C06_C_Luth_55_64,C06_C_Luth_65_74,C06_C_Luth_75_84,C06_C_Luth_85ov,C06_C_Luth_Tot,C06_C_Ori_Orth_0_14,C06_C_Ori_Orth_15_24,C06_C_Ori_Orth_25_34,C06_C_Ori_Orth_35_44,C06_C_Ori_Orth_45_54,C06_C_Ori_Orth_55_64,C06_C_Ori_Orth_65_74,C06_C_Ori_Orth_75_84,C06_C_Ori_Orth_85ov,C06_C_Ori_Orth_Tot,C06_C_Oth_Prot_0_14,C06_C_Oth_Prot_15_24,C06_C_Oth_Prot_25_34,C06_C_Oth_Prot_35_44,C06_C_Oth_Prot_45_54,C06_C_Oth_Prot_55_64,C06_C_Oth_Prot_65_74,C06_C_Oth_Prot_75_84,C06_C_Oth_Prot_85ov,C06_C_Oth_Prot_Tot,C06_C_Pentec_0_14,C06_C_Pentec_15_24,C06_C_Pentec_25_34,C06_C_Pentec_35_44,C06_C_Pentec_45_54,C06_C_Pentec_55_64,C06_C_Pentec_65_74,C06_C_Pentec_75_84,C06_C_Pentec_85ov,C06_C_Pentec_Tot,C06_C_Pres_Ref_0_14,C06_C_Pres_Ref_15_24,C06_C_Pres_Ref_25_34,C06_C_Pres_Ref_35_44,C06_C_Pres_Ref_45_54,C06_C_Pres_Ref_55_64,C06_C_Pres_Ref_65_74,C06_C_Pres_Ref_75_84,C06_C_Pres_Ref_85ov,C06_C_Pres_Ref_Tot,C06_C_Sal_Army_0_14,C06_C_Sal_Army_15_24,C06_C_Sal_Army_25_34,C06_C_Sal_Army_35_44,C06_C_Sal_Army_45_54,C06_C_Sal_Army_55_64,C06_C_Sal_Army_65_74,C06_C_Sal_Army_75_84,C06_C_Sal_Army_85ov,C06_C_Sal_Army_Tot,C06_C_Se_da_Adv_0_14,C06_C_Se_da_Adv_15_24,C06_C_Se_da_Adv_25_34,C06_C_Se_da_Adv_35_44,C06_C_Se_da_Adv_45_54,C06_C_Se_da_Adv_55_64,C06_C_Se_da_Adv_65_74,C06_C_Se_da_Adv_75_84,C06_C_Se_da_Adv_85ov,C06_C_Se_da_Adv_Tot,C06_C_Uni_Ch_0_14,C06_C_Uni_Ch_15_24,C06_C_Uni_Ch_25_34,C06_C_Uni_Ch_35_44,C06_C_Uni_Ch_45_54,C06_C_Uni_Ch_55_64,C06_C_Uni_Ch_65_74,C06_C_Uni_Ch_75_84,C06_C_Uni_Ch_85ov,C06_C_Uni_Ch_Tot,C06_C_Chi_nfd_0_14,C06_C_Chi_nfd_15_24,C06_C_Chi_nfd_25_34,C06_C_Chi_nfd_35_44,C06_C_Chi_nfd_45_54,C06_C_Chi_nfd_55_64,C06_C_Chi_nfd_65_74,C06_C_Chi_nfd_75_84,C06_C_Chi_nfd_85ov,C06_C_Chi_nfd_Tot,C06_C_Oth_Chr_0_14,C06_C_Oth_Chr_15_24,C06_C_Oth_Chr_25_34,C06_C_Oth_Chr_35_44,C06_C_Oth_Chr_45_54,C06_C_Oth_Chr_55_64,C06_C_Oth_Chr_65_74,C06_C_Oth_Chr_75_84,C06_C_Oth_Chr_85ov,C06_C_Oth_Chr_Tot
101021007,3,0,4,6,8,6,0,0,0,22,105,32,65,77,95,116,99,56,12,656,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,132,67,51,77,99,97,69,29,12,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,3,12,8,26,4,4,7,69,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,5,6,13,11,25,23,13,4,108,3,3,0,4,3,0,0,0,0,20,0,0,0,0,0,3,0,0,0,3
101021008,15,4,20,10,14,3,3,0,0,66,458,265,288,342,345,238,130,58,14,2141,0,0,0,0,0,0,0,0,0,0,10,13,9,9,16,11,0,3,0,71,9,5,4,0,0,0,0,0,0,17,723,538,408,479,442,318,169,97,19,3192,5,3,3,4,3,3,0,0,0,20,116,94,95,101,90,82,46,19,4,644,0,0,3,4,3,4,3,3,0,25,12,4,0,3,3,0,3,0,0,22,0,8,5,10,16,9,10,13,0,72,3,3,0,7,0,0,0,0,0,16,7,0,7,0,0,4,0,0,0,20,15,15,4,17,5,3,0,0,0,56,35,28,30,55,48,68,31,17,7,321,8,9,4,3,12,3,3,0,0,41,0,9,0,0,6,0,0,0,0,12,66,57,36,59,49,34,22,16,5,340,29,12,19,8,17,7,0,0,0,102,0,0,0,0,0,0,0,0,0,0
101021009,8,6,19,17,12,7,0,0,0,78,237,244,235,291,289,237,151,131,52,1858,0,0,0,0,0,0,0,0,0,0,12,7,17,12,14,5,4,0,3,71,5,5,4,0,3,0,0,0,0,14,415,382,388,368,343,310,250,213,54,2715,9,0,3,3,0,0,0,3,0,22,67,43,77,75,66,87,87,52,15,576,7,0,9,0,4,0,0,0,0,16,0,0,5,0,0,0,3,0,0,8,3,0,4,9,19,13,6,16,0,82,0,3,0,0,0,0,0,0,0,4,3,3,0,8,0,3,0,0,0,15,11,5,12,10,7,11,3,0,0,59,25,29,21,34,44,42,22,28,11,274,5,6,3,3,3,3,7,0,3,36,0,0,3,0,0,0,0,0,0,9,34,59,40,34,53,30,15,22,8,306,34,26,20,16,9,7,3,0,0,121,3,0,0,0,0,0,0,0,0,10
101021010,9,3,7,9,3,3,0,0,0,42,128,140,112,123,143,111,36,37,3,834,0,0,0,0,0,0,0,0,0,0,3,7,9,4,10,5,7,0,0,41,17,6,4,9,3,3,4,3,0,50,200,189,151,171,161,98,59,57,17,1110,0,0,3,0,0,0,0,0,0,5,18,12,26,18,13,21,7,3,0,131,0,3,0,4,4,0,0,0,0,18,3,6,3,3,6,0,0,0,0,23,4,3,5,8,8,6,7,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,6,3,5,3,7,5,0,0,0,34,14,11,15,15,36,15,7,9,3,129,4,6,4,0,3,3,3,0,0,20,3,3,0,0,0,3,0,0,0,8,17,23,15,15,19,23,21,4,3,136,12,13,7,6,4,3,3,0,0,44,0,0,0,0,0,0,0,0,0,0
101021011,16,0,13,21,19,11,7,3,0,88,635,335,230,528,584,440,205,103,21,3077,0,0,0,0,0,0,0,0,0,0,28,14,11,23,33,17,14,0,0,141,0,0,0,0,0,0,0,0,0,0,873,463,317,608,561,400,134,54,10,3415,3,5,0,0,10,0,0,0,0,18,21,26,14,31,22,13,5,3,0,145,5,3,0,7,8,3,0,0,0,23,0,0,0,3,0,0,0,0,0,7,21,11,14,29,28,16,3,3,0,132,0,0,0,0,0,0,0,0,0,0,16,4,3,11,3,3,0,0,0,42,15,16,6,10,6,5,0,0,0,57,15,21,23,51,69,75,35,12,4,309,4,0,7,3,4,3,0,0,0,15,0,0,0,3,0,4,0,0,0,7,96,57,32,95,114,104,35,10,4,543,35,27,14,17,41,22,6,0,0,161,9,0,4,0,5,7,0,0,0,24
101021012,8,11,15,21,16,13,4,0,0,85,616,256,342,594,364,203,92,36,3,2518,0,0,0,0,0,0,0,0,0,0,28,17,12,28,20,10,4,0,0,115,7,7,9,4,0,4,8,0,0,29,1235,560,534,842,494,253,134,46,9,4119,3,3,4,3,0,0,0,0,0,12,124,36,118,80,57,34,14,4,0,465,7,3,13,11,12,3,3,4,0,53,5,4,3,3,0,3,0,0,0,22,45,11,22,32,20,17,9,5,0,165,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,3,0,0,13,30,12,18,15,13,11,0,0,0,97,45,31,41,92,73,33,15,9,3,337,4,5,3,9,9,3,3,3,0,35,8,3,0,3,4,0,0,3,0,27,136,50,65,137,81,31,11,4,4,524,26,9,16,19,21,8,3,4,0,105,0,0,0,3,3,0,0,0,0,8
101031013,0,0,0,0,4,0,0,0,0,5,178,81,86,122,145,142,80,81,34,941,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,124,54,50,99,87,107,56,30,16,624,0,0,0,0,0,0,0,0,0,0,11,3,9,5,3,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,3,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,14,27,10,11,27,26,31,37,20,14,205,4,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,3,3,6,15,14,8,0,4,57,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0
101031014,22,6,8,18,18,5,0,0,0,85,263,156,183,211,232,227,187,156,58,1675,0,0,0,0,0,0,0,0,0,0,42,20,20,22,30,15,12,3,0,166,0,0,0,0,3,3,3,0,0,6,480,274,220,301,286,274,198,170,61,2247,0,0,0,0,0,0,0,0,0,3,19,0,3,14,8,9,8,4,3,68,10,3,6,12,3,12,3,6,0,48,0,3,0,3,3,3,0,0,0,18,12,7,4,11,15,14,20,19,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,21,5,0,9,0,0,3,0,45,19,15,8,22,34,36,26,9,14,177,3,0,5,9,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,3,41,23,23,28,44,40,27,17,7,250,14,8,3,6,17,7,0,0,3,56,0,0,0,0,5,0,0,0,0,4
101031015,0,3,0,0,4,8,0,0,0,13,136,61,50,116,161,131,101,44,11,807,0,0,0,0,0,0,0,0,0,0,27,8,5,10,12,6,4,0,0,70,10,0,0,3,3,0,0,0,0,11,175,56,65,119,111,135,95,37,11,802,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,3,0,0,0,23,5,0,3,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,7,7,3,3,4,3,10,12,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,18,5,3,0,11,21,25,5,11,0,86,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,7,18,19,7,13,26,17,9,10,0,114,3,6,0,9,6,3,4,0,0,38,0,0,0,0,0,0,0,0,0,0
101031016,0,7,10,3,20,3,0,0,0,49,243,162,148,245,270,181,93,50,9,1397,0,0,0,0,0,0,0,0,0,0,10,9,18,7,9,3,3,0,0,61,0,0,0,0,0,0,0,0,0,0,284,158,176,244,198,160,83,42,15,1354,0,0,0,0,0,0,0,0,0,0,3,3,3,6,7,4,4,0,0,31,3,3,3,0,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,3,3,5,3,3,6,19,15,6,0,69,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,3,0,0,0,11,23,7,3,13,7,7,3,0,0,59,5,7,9,21,43,30,21,6,0,145,3,3,0,0,4,4,0,0,0,14,8,8,3,5,3,3,0,0,0,25,57,25,35,51,44,35,22,10,0,286,16,9,9,12,9,3,3,0,0,60,0,0,0,3,0,0,0,0,0,5
