SA2_MAINCODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
101021007,984,442,28,217,1674
101021008,2175,713,78,142,3104
101021009,2525,1930,170,418,5037
101021010,1177,795,64,128,2156
101021011,4469,715,66,507,5754
101021012,3394,675,71,138,4282
101031013,607,320,22,78,1024
101031014,1687,937,84,183,2889
101031015,881,318,19,181,1403
101031016,1588,664,133,1239,3622
101041017,1989,981,77,298,3355
101041018,2261,969,85,297,3609
101041019,2161,1011,71,298,3540
101041020,2437,867,88,293,3685
101041021,859,399,27,142,1428
101041022,4,7,0,4,17
101041023,797,442,41,114,1399
101041024,914,333,32,131,1409
101041025,2877,1366,104,373,4715
101041026,2218,1034,83,240,3571
101041027,2405,1282,89,423,4207
101051539,5661,2698,220,482,9058
101051540,3346,1172,83,437,5040
101061541,1670,630,53,153,2515
101061542,3151,659,63,259,4135
101061543,2661,1181,110,250,4192
101061544,1952,907,70,214,3143
102011028,1960,449,47,123,2580
102011029,2983,908,75,197,4163
102011030,1137,398,66,209,1820
102011031,3577,1515,95,180,5370
102011032,4685,2746,347,613,8390
102011033,1654,290,38,80,2054
102011034,1961,880,50,79,2971
102011035,1811,390,59,67,2325
102011036,2125,482,59,86,2747
102011037,1694,590,90,74,2454
102011038,1913,576,48,91,2634
102011039,3597,1029,204,219,5049
102011040,6167,3020,326,517,10032
102011041,2612,561,79,137,3393
102011042,3558,1977,201,295,6026
102011043,2865,1150,129,195,4346
102021044,5731,2049,187,370,8328
102021045,2905,656,136,139,3833
102021046,2511,1101,122,189,3925
102021047,4092,1095,115,159,5459
102021048,5523,2374,268,531,8699
102021049,818,143,19,93,1076
102021050,2948,1222,109,174,4458
102021051,1293,308,47,53,1706
102021052,1606,480,74,72,2240
102021053,3745,2356,267,504,6875
102021054,2436,1293,147,295,4177
102021055,1377,331,52,79,1837
102021056,3887,680,104,140,4806
102021057,2202,883,139,194,3422
103011058,5516,2700,462,529,9214
103011059,2854,709,92,167,3818
103011060,1725,503,45,244,2520
103011061,1150,481,35,199,1868
103021062,1633,698,38,295,2664
103021063,2330,1160,75,310,3878
103021064,1432,630,44,155,2251
103021065,2535,1111,89,349,4082
103021066,943,471,37,119,1569
103021067,2705,1180,75,405,4366
103021068,844,363,30,141,1376
103021069,1481,664,25,279,2447
103031070,3063,1800,122,357,5337
103031071,2051,753,66,416,3289
103031072,2913,1198,134,456,4701
103031073,842,503,44,169,1563
103031074,2576,982,79,554,4188
103031075,0,0,0,0,0
103041076,1907,717,46,179,2840
103041077,4503,2643,237,604,7990
103041078,5105,1466,223,329,7124
103041079,3067,787,57,282,4192
104011080,4642,2282,219,463,7603
104011081,4014,1368,194,591,6164
104011082,4494,2030,199,1103,7834
104021083,1521,555,80,161,2318
104021084,4372,2040,274,590,7273
104021085,2370,1326,200,317,4209
104021086,1010,215,48,107,1380
104021087,816,441,43,125,1423
104021088,2430,530,96,271,3334
104021089,5166,1936,265,401,7772
104021090,1265,585,54,203,2102
104021091,3257,1149,133,679,5223
105011092,853,395,39,357,1639
105011093,1107,503,36,306,1951
105011094,942,448,41,305,1738
105011095,1200,585,42,238,2063
105011096,1430,887,82,620,3019
105021097,4461,2532,182,555,7738
105021098,506,285,19,224,1030
105031099,2004,959,62,346,3372
105031100,2578,845,109,255,3786
105031101,4199,1864,222,411,6699
105031102,2225,735,108,322,3387
105031103,1493,302,30,176,1999
105031104,1126,476,34,126,1757
105031105,1636,661,48,232,2574
105031106,1959,917,74,322,3279
106011107,2704,667,70,211,3648
106011108,5378,2101,231,460,8179
106011109,1993,509,64,315,2879
106011110,2416,779,58,227,3485
106011111,4533,1629,161,303,6631
106011112,4077,1380,144,332,5932
106011113,1234,270,18,257,1782
106021114,1655,597,78,179,2506
106021115,7378,2496,242,423,10543
106021116,2086,433,35,96,2652
106021117,5951,1761,217,316,8241
106021118,2856,416,50,60,3385
106031119,1485,494,42,220,2238
106031120,1823,688,88,172,2765
106031121,5651,2367,218,738,8979
106031122,3499,1440,128,435,5495
106031123,1486,199,29,53,1767
106031124,1501,653,37,209,2394
106031125,3562,799,105,314,4783
106041126,3003,1237,155,301,4693
106041127,1038,308,20,133,1505
106041128,1455,664,67,159,2349
106041129,2099,808,68,318,3292
107011131,6390,2011,152,245,8801
107011132,2346,321,27,48,2736
107011133,0,0,0,3,3
107011134,4085,1016,81,183,5365
107011545,3526,1209,142,201,5082
107011546,2378,1173,109,236,3894
107011547,1094,680,48,103,1927
107021135,0,0,0,0,5
107031136,3837,655,65,135,4695
107031137,1836,541,52,125,2546
107031138,2146,809,70,215,3243
107031139,1662,317,35,83,2100
107031140,2035,529,77,270,2914
107031141,4565,786,92,239,5690
107031142,2705,788,66,155,3711
107031143,5377,2085,187,432,8080
107041144,5364,2108,349,310,8133
107041145,4028,1905,179,271,6388
107041146,5260,1609,387,254,7514
107041147,2334,381,48,95,2853
107041148,3043,725,117,168,4055
107041150,5222,1670,153,278,7326
107041548,2938,2322,811,867,6942
107041549,3772,1753,694,363,6583
108011151,1276,442,63,142,1923
108011152,3897,1946,174,478,6488
108011153,1658,617,69,255,2591
108011154,1595,1100,90,324,3106
108021155,3420,1444,155,476,5488
108021156,2361,974,114,424,3873
108021157,1250,553,50,148,1995
108021158,1711,1165,98,358,3318
108021159,2019,738,101,222,3090
108021160,1435,703,59,290,2493
108031161,90,43,7,21,150
108041162,4713,1938,167,465,7278
108041163,7584,3099,391,720,11792
108041164,4469,2464,255,571,7753
108041165,1380,397,51,203,2028
108041166,2952,915,97,213,4169
108051167,1377,603,46,140,2170
108051168,3044,1004,107,208,4365
108051169,5187,2578,261,461,8486
108051170,3450,1243,117,461,5268
108051171,1391,609,56,84,2143
109011172,3816,1214,270,261,5569
109011173,2450,1130,145,314,4038
109011174,2430,1562,166,382,4541
109011175,3029,974,68,237,4297
109011176,3593,2072,219,406,6287
109021177,740,348,18,171,1280
109021178,1517,576,47,302,2447
109021179,876,351,27,250,1502
109031180,1462,718,51,137,2365
109031181,1761,772,57,292,2876
109031182,1852,985,73,358,3269
109031183,1760,751,47,296,2857
109031184,1552,600,49,213,2420
109031185,2413,1213,93,450,4161
110011186,5196,2460,429,616,8700
110011187,1185,402,38,145,1769
110011188,1625,587,50,149,2408
110011189,845,369,22,153,1390
110021190,2187,1147,93,318,3744
110021191,3017,1332,120,312,4784
110021192,1307,456,50,202,2018
110021193,1556,632,53,256,2494
110021194,1674,941,67,365,3050
110031195,1949,893,96,541,3474
110031196,1255,486,35,288,2066
110031197,1787,700,74,324,2884
110031198,1156,449,45,241,1888
110041199,2320,1042,92,254,3706
110041200,1089,364,35,157,1657
110041201,1954,875,76,262,3174
110041202,5225,2129,281,499,8133
110041203,3635,1766,197,509,6107
110041204,1311,422,64,174,1973
110041205,4876,1640,140,518,7177
111011206,4889,1647,134,180,6850
111011207,1549,742,57,112,2461
111011208,6547,2241,268,287,9352
111011209,6368,1926,225,238,8759
111011210,2245,996,103,154,3505
111011211,895,419,31,39,1381
111011212,3189,1190,99,168,4644
111011213,3445,740,57,78,4313
111011214,3673,1358,113,158,5301
111021215,2218,802,74,144,3243
111021216,2472,663,89,97,3317
111021217,3790,813,109,115,4829
111021218,3811,1464,139,263,5671
111021219,3612,1350,123,176,5255
111021220,2576,738,68,79,3459
111021221,1807,382,58,70,2309
111031222,4214,1423,248,89,5972
111031223,2225,821,108,152,3303
111031224,2827,1644,414,261,5144
111031225,4369,1892,236,155,6656
111031226,3660,603,88,80,4429
111031227,3603,1939,445,224,6209
111031228,3416,1541,370,176,5500
111031229,2393,1912,517,495,5323
111031230,7,3,0,0,10
111031231,2071,1080,577,137,3863
111031232,1973,835,87,165,3059
111031233,5192,2055,332,211,7787
111031234,2889,1396,414,122,4821
111031235,1941,1111,361,213,3624
112011236,4371,2669,282,651,7972
112011237,4536,1396,154,444,6530
112011238,1404,427,100,251,2186
112011239,2073,966,215,423,3678
112011240,1927,902,402,888,4116
112011241,1341,681,71,424,2519
112011242,2123,538,119,239,3016
112011243,1873,830,182,548,3426
112021244,3061,1456,132,296,4945
112021245,1794,577,79,258,2704
112021246,3351,1410,188,292,5242
112021247,1854,937,92,300,3178
112021248,3433,2115,370,531,6453
112021249,3982,1235,207,506,5929
112031250,3380,1396,167,641,5584
112031251,2207,1023,131,240,3593
112031252,2482,770,136,435,3822
112031253,3499,1078,160,433,5171
112031254,4922,2691,370,900,8877
112031550,4266,1632,194,245,6344
112031551,873,125,25,36,1063
112031552,2014,1397,144,486,4038
113011256,4571,1633,232,637,7064
113011257,3193,1013,107,486,4793
113011258,2425,992,81,325,3824
113011259,1460,700,57,261,2488
113021260,872,364,23,111,1371
113021261,1599,732,43,238,2607
113021262,1255,481,30,156,1923
113031263,2006,950,64,185,3214
113031264,929,382,34,106,1449
113031265,1334,529,47,177,2083
