SA4_NAME16	Year	averageNumberOfPersonsPerBedroom
Capital Region	2006	0.8
Central Coast	2006	0.8
Central West	2006	0.8
Coffs Harbour - Grafton	2006	0.8
Far West and Orana	2006	0.8
Hunter Valley exc Newcastle	2006	0.8
Illawarra	2006	0.8
Mid North Coast	2006	0.8
Murray	2006	0.8
New England and North West	2006	0.8
Newcastle and Lake Macquarie	2006	0.8
Richmond - Tweed	2006	0.8
Riverina	2006	0.8
Southern Highlands and Shoalhaven	2006	0.8
Sydney - Baulkham Hills and Hawkesbury	2006	0.8
Sydney - Blacktown	2006	0.8
Sydney - City and Inner South	2006	1
Sydney - Eastern Suburbs	2006	0.9
Sydney - Inner South West	2006	0.9
Sydney - Inner West	2006	0.9
Sydney - North Sydney and Hornsby	2006	0.9
Sydney - Northern Beaches	2006	0.9
Sydney - Outer South West	2006	0.8
Sydney - Outer West and Blue Mountains	2006	0.8
Sydney - Parramatta	2006	0.9
Sydney - Ryde	2006	0.8
Sydney - South West	2006	0.9
Sydney - Sutherland	2006	0.8
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	0.8
Bendigo	2006	0.8
Geelong	2006	0.8
Hume	2006	0.8
Latrobe - Gippsland	2006	0.8
Melbourne - Inner	2006	0.9
Melbourne - Inner East	2006	0.8
Melbourne - Inner South	2006	0.8
Melbourne - North East	2006	0.8
Melbourne - North West	2006	0.8
Melbourne - Outer East	2006	0.8
Melbourne - South East	2006	0.8
Melbourne - West	2006	0.8
Mornington Peninsula	2006	0.8
North West	2006	0.8
Shepparton	2006	0.8
Warrnambool and South West	2006	0.8
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	0.8
Brisbane - North	2006	0.8
Brisbane - South	2006	0.8
Brisbane - West	2006	0.8
Brisbane Inner City	2006	0.8
Cairns	2006	0.8
Darling Downs - Maranoa	2006	0.8
Central Queensland	2006	0.8
Gold Coast	2006	0.8
Ipswich	2006	0.8
Logan - Beaudesert	2006	0.8
Mackay - Isaac - Whitsunday	2006	0.8
Moreton Bay - North	2006	0.8
Moreton Bay - South	2006	0.8
Queensland - Outback	2006	0.9
Sunshine Coast	2006	0.8
Toowoomba	2006	0.8
Townsville	2006	0.8
Wide Bay	2006	0.8
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	0.8
Adelaide - North	2006	0.8
Adelaide - South	2006	0.8
Adelaide - West	2006	0.8
Barossa - Yorke - Mid North	2006	0.8
South Australia - Outback	2006	0.8
South Australia - South East	2006	0.8
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	0.8
Mandurah	2006	0.7
Perth - Inner	2006	0.8
Perth - North East	2006	0.8
Perth - North West	2006	0.7
Perth - South East	2006	0.8
Perth - South West	2006	0.7
Western Australia - Wheat Belt	2006	0.8
Western Australia - Outback (North)	2006	1
Western Australia - Outback (South)	2006	0.8
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	0.8
Launceston and North East	2006	0.8
South East	2006	0.8
West and North West	2006	0.8
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	0.9
Northern Territory - Outback	2006	1.2
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	0.8
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	0.9
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	0.8
Central Coast	2011	0.8
Central West	2011	0.8
Coffs Harbour - Grafton	2011	0.8
Far West and Orana	2011	0.8
Hunter Valley exc Newcastle	2011	0.8
Illawarra	2011	0.8
Mid North Coast	2011	0.8
Murray	2011	0.8
New England and North West	2011	0.8
Newcastle and Lake Macquarie	2011	0.8
Richmond - Tweed	2011	0.8
Riverina	2011	0.8
Southern Highlands and Shoalhaven	2011	0.7
Sydney - Baulkham Hills and Hawkesbury	2011	0.8
Sydney - Blacktown	2011	0.9
Sydney - City and Inner South	2011	1.1
Sydney - Eastern Suburbs	2011	1
Sydney - Inner South West	2011	1
Sydney - Inner West	2011	1
Sydney - North Sydney and Hornsby	2011	0.9
Sydney - Northern Beaches	2011	0.9
Sydney - Outer South West	2011	0.9
Sydney - Outer West and Blue Mountains	2011	0.8
Sydney - Parramatta	2011	1
Sydney - Ryde	2011	0.9
Sydney - South West	2011	1
Sydney - Sutherland	2011	0.9
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	0.8
Bendigo	2011	0.8
Geelong	2011	0.8
Hume	2011	0.8
Latrobe - Gippsland	2011	0.8
Melbourne - Inner	2011	1
