SA4_NAME16	Year	Age	FOE	adults
Capital Region	2006	15-19	Agriculture environmental and related studies	45
Capital Region	2006	15-19	Architecture and building	56
Capital Region	2006	15-19	Creative arts	19
Capital Region	2006	15-19	Education	15
Capital Region	2006	15-19	Engineering and related technologies	91
Capital Region	2006	15-19	Field of study not stated	1596
Capital Region	2006	15-19	Food hospitality and personal services	147
Capital Region	2006	15-19	Health	32
Capital Region	2006	15-19	Information technology	29
Capital Region	2006	15-19	Management and commerce	168
Capital Region	2006	15-19	Mixed field programmes	3
Capital Region	2006	15-19	Natural and physical sciences	0
Capital Region	2006	15-19	Society and culture	77
Capital Region	2006	20-24	Agriculture environmental and related studies	220
Capital Region	2006	20-24	Architecture and building	311
Capital Region	2006	20-24	Creative arts	128
Capital Region	2006	20-24	Education	109
Capital Region	2006	20-24	Engineering and related technologies	514
Capital Region	2006	20-24	Field of study not stated	912
Capital Region	2006	20-24	Food hospitality and personal services	485
Capital Region	2006	20-24	Health	182
Capital Region	2006	20-24	Information technology	163
Capital Region	2006	20-24	Management and commerce	802
Capital Region	2006	20-24	Mixed field programmes	5
Capital Region	2006	20-24	Natural and physical sciences	73
Capital Region	2006	20-24	Society and culture	424
Capital Region	2006	25-34	Agriculture environmental and related studies	696
Capital Region	2006	25-34	Architecture and building	809
Capital Region	2006	25-34	Creative arts	401
Capital Region	2006	25-34	Education	708
Capital Region	2006	25-34	Engineering and related technologies	1692
Capital Region	2006	25-34	Field of study not stated	2032
Capital Region	2006	25-34	Food hospitality and personal services	1002
Capital Region	2006	25-34	Health	779
Capital Region	2006	25-34	Information technology	340
Capital Region	2006	25-34	Management and commerce	2156
Capital Region	2006	25-34	Mixed field programmes	9
Capital Region	2006	25-34	Natural and physical sciences	307
Capital Region	2006	25-34	Society and culture	1414
Capital Region	2006	35-44	Agriculture environmental and related studies	852
Capital Region	2006	35-44	Architecture and building	1220
Capital Region	2006	35-44	Creative arts	460
Capital Region	2006	35-44	Education	1072
Capital Region	2006	35-44	Engineering and related technologies	2748
Capital Region	2006	35-44	Field of study not stated	2624
Capital Region	2006	35-44	Food hospitality and personal services	941
Capital Region	2006	35-44	Health	1465
Capital Region	2006	35-44	Information technology	405
Capital Region	2006	35-44	Management and commerce	2856
Capital Region	2006	35-44	Mixed field programmes	10
Capital Region	2006	35-44	Natural and physical sciences	431
Capital Region	2006	35-44	Society and culture	1835
Capital Region	2006	45-54	Agriculture environmental and related studies	780
Capital Region	2006	45-54	Architecture and building	1388
Capital Region	2006	45-54	Creative arts	403
Capital Region	2006	45-54	Education	1902
Capital Region	2006	45-54	Engineering and related technologies	2784
Capital Region	2006	45-54	Field of study not stated	2740
Capital Region	2006	45-54	Food hospitality and personal services	724
Capital Region	2006	45-54	Health	2110
Capital Region	2006	45-54	Information technology	334
Capital Region	2006	45-54	Management and commerce	2533
Capital Region	2006	45-54	Mixed field programmes	18
Capital Region	2006	45-54	Natural and physical sciences	472
Capital Region	2006	45-54	Society and culture	1642
Capital Region	2006	55-64	Agriculture environmental and related studies	519
Capital Region	2006	55-64	Architecture and building	979
Capital Region	2006	55-64	Creative arts	308
Capital Region	2006	55-64	Education	1488
Capital Region	2006	55-64	Engineering and related technologies	2524
Capital Region	2006	55-64	Field of study not stated	2472
Capital Region	2006	55-64	Food hospitality and personal services	519
Capital Region	2006	55-64	Health	1378
Capital Region	2006	55-64	Information technology	145
Capital Region	2006	55-64	Management and commerce	1831
Capital Region	2006	55-64	Mixed field programmes	17
Capital Region	2006	55-64	Natural and physical sciences	384
Capital Region	2006	55-64	Society and culture	1284
