SA4_NAME16	Year	LabourForceStatus	adults
Capital Region	2006		9000
Capital Region	2006	Employed (away from work)	5896
Capital Region	2006	Employed (full-time)	54535
Capital Region	2006	Employed (part-time)	27191
Capital Region	2006	Not in the labour force	56539
Capital Region	2006	Unemployed (looking for work)	4767
Capital Region	2011		9276
Capital Region	2011	Employed (away from work)	6263
Capital Region	2011	Employed (full-time)	58887
Capital Region	2011	Employed (part-time)	29515
Capital Region	2011	Not in the labour force	59556
Capital Region	2011	Unemployed (looking for work)	4511
Capital Region	2016		14077
Capital Region	2016	Employed (away from work)	5979
Capital Region	2016	Employed (full-time)	59489
Capital Region	2016	Employed (part-time)	31861
Capital Region	2016	Not in the labour force	63685
Capital Region	2016	Unemployed (looking for work)	4985
Central Coast	2006		15634
Central Coast	2006	Employed (away from work)	8223
Central Coast	2006	Employed (full-time)	72420
Central Coast	2006	Employed (part-time)	40075
Central Coast	2006	Not in the labour force	91475
Central Coast	2006	Unemployed (looking for work)	9244
Central Coast	2011		13877
Central Coast	2011	Employed (away from work)	8590
Central Coast	2011	Employed (full-time)	78353
Central Coast	2011	Employed (part-time)	44067
Central Coast	2011	Not in the labour force	96917
Central Coast	2011	Unemployed (looking for work)	9685
Central Coast	2016		16213
Central Coast	2016	Employed (away from work)	7589
Central Coast	2016	Employed (full-time)	82786
Central Coast	2016	Employed (part-time)	49224
Central Coast	2016	Not in the labour force	101390
Central Coast	2016	Unemployed (looking for work)	10105
Central West	2006		7195
Central West	2006	Employed (away from work)	5370
Central West	2006	Employed (full-time)	51488
Central West	2006	Employed (part-time)	24206
Central West	2006	Not in the labour force	55340
Central West	2006	Unemployed (looking for work)	5493
Central West	2011		8460
Central West	2011	Employed (away from work)	5482
Central West	2011	Employed (full-time)	54393
Central West	2011	Employed (part-time)	25790
Central West	2011	Not in the labour force	56760
Central West	2011	Unemployed (looking for work)	4701
Central West	2016		14091
Central West	2016	Employed (away from work)	5231
Central West	2016	Employed (full-time)	53418
Central West	2016	Employed (part-time)	27636
Central West	2016	Not in the labour force	59168
Central West	2016	Unemployed (looking for work)	5707
Coffs Harbour - Grafton	2006		5043
Coffs Harbour - Grafton	2006	Employed (away from work)	3268
Coffs Harbour - Grafton	2006	Employed (full-time)	25818
Coffs Harbour - Grafton	2006	Employed (part-time)	18012
Coffs Harbour - Grafton	2006	Not in the labour force	43240
Coffs Harbour - Grafton	2006	Unemployed (looking for work)	4887
Coffs Harbour - Grafton	2011		4955
Coffs Harbour - Grafton	2011	Employed (away from work)	3371
Coffs Harbour - Grafton	2011	Employed (full-time)	27612
Coffs Harbour - Grafton	2011	Employed (part-time)	19552
Coffs Harbour - Grafton	2011	Not in the labour force	45646
Coffs Harbour - Grafton	2011	Unemployed (looking for work)	4688
Coffs Harbour - Grafton	2016		8479
Coffs Harbour - Grafton	2016	Employed (away from work)	3017
Coffs Harbour - Grafton	2016	Employed (full-time)	28134
Coffs Harbour - Grafton	2016	Employed (part-time)	20928
Coffs Harbour - Grafton	2016	Not in the labour force	47405
Coffs Harbour - Grafton	2016	Unemployed (looking for work)	4464
Far West and Orana	2006		6119
Far West and Orana	2006	Employed (away from work)	3442
Far West and Orana	2006	Employed (full-time)	30456
Far West and Orana	2006	Employed (part-time)	13283
Far West and Orana	2006	Not in the labour force	31730
Far West and Orana	2006	Unemployed (looking for work)	3539
Far West and Orana	2011		5695
Far West and Orana	2011	Employed (away from work)	3202
Far West and Orana	2011	Employed (full-time)	31522
Far West and Orana	2011	Employed (part-time)	13367
Far West and Orana	2011	Not in the labour force	32293
Far West and Orana	2011	Unemployed (looking for work)	3242
Far West and Orana	2016		8604
Far West and Orana	2016	Employed (away from work)	2876
Far West and Orana	2016	Employed (full-time)	30431
Far West and Orana	2016	Employed (part-time)	13402
Far West and Orana	2016	Not in the labour force	32310
Far West and Orana	2016	Unemployed (looking for work)	3527
Hunter Valley exc Newcastle	2006		9018
Hunter Valley exc Newcastle	2006	Employed (away from work)	6290
Hunter Valley exc Newcastle	2006	Employed (full-time)	59137
Hunter Valley exc Newcastle	2006	Employed (part-time)	29759
Hunter Valley exc Newcastle	2006	Not in the labour force	65260
Hunter Valley exc Newcastle	2006	Unemployed (looking for work)	6635
Hunter Valley exc Newcastle	2011		9688
Hunter Valley exc Newcastle	2011	Employed (away from work)	7084
Hunter Valley exc Newcastle	2011	Employed (full-time)	67105
Hunter Valley exc Newcastle	2011	Employed (part-time)	33100
Hunter Valley exc Newcastle	2011	Not in the labour force	69263
Hunter Valley exc Newcastle	2011	Unemployed (looking for work)	5983
Hunter Valley exc Newcastle	2016		14189
Hunter Valley exc Newcastle	2016	Employed (away from work)	6378
Hunter Valley exc Newcastle	2016	Employed (full-time)	66980
Hunter Valley exc Newcastle	2016	Employed (part-time)	37609
Hunter Valley exc Newcastle	2016	Not in the labour force	76329
