SA4_NAME16	Year	LabourForceStatus	Sex	adults
Capital Region	2006		F	4301
Capital Region	2006		M	4701
Capital Region	2006	Employed (away from work)	F	2772
Capital Region	2006	Employed (away from work)	M	3125
Capital Region	2006	Employed (full-time)	F	19269
Capital Region	2006	Employed (full-time)	M	35266
Capital Region	2006	Employed (part-time)	F	18574
Capital Region	2006	Employed (part-time)	M	8616
Capital Region	2006	Not in the labour force	F	32681
Capital Region	2006	Not in the labour force	M	23861
Capital Region	2006	Unemployed (looking for work)	F	2053
Capital Region	2006	Unemployed (looking for work)	M	2713
Capital Region	2011		F	4404
Capital Region	2011		M	4874
Capital Region	2011	Employed (away from work)	F	3201
Capital Region	2011	Employed (away from work)	M	3056
Capital Region	2011	Employed (full-time)	F	21651
Capital Region	2011	Employed (full-time)	M	37237
Capital Region	2011	Employed (part-time)	F	19879
Capital Region	2011	Employed (part-time)	M	9638
Capital Region	2011	Not in the labour force	F	33729
Capital Region	2011	Not in the labour force	M	25822
Capital Region	2011	Unemployed (looking for work)	F	1955
Capital Region	2011	Unemployed (looking for work)	M	2561
Capital Region	2016		F	7097
Capital Region	2016		M	6971
Capital Region	2016	Employed (away from work)	F	3156
Capital Region	2016	Employed (away from work)	M	2828
Capital Region	2016	Employed (full-time)	F	22584
Capital Region	2016	Employed (full-time)	M	36906
Capital Region	2016	Employed (part-time)	F	21150
Capital Region	2016	Employed (part-time)	M	10718
Capital Region	2016	Not in the labour force	F	34841
Capital Region	2016	Not in the labour force	M	28845
Capital Region	2016	Unemployed (looking for work)	F	2232
Capital Region	2016	Unemployed (looking for work)	M	2748
Central Coast	2006		F	8173
Central Coast	2006		M	7460
Central Coast	2006	Employed (away from work)	F	3906
Central Coast	2006	Employed (away from work)	M	4316
Central Coast	2006	Employed (full-time)	F	24608
Central Coast	2006	Employed (full-time)	M	47807
Central Coast	2006	Employed (part-time)	F	28044
Central Coast	2006	Employed (part-time)	M	12030
Central Coast	2006	Not in the labour force	F	55280
Central Coast	2006	Not in the labour force	M	36195
Central Coast	2006	Unemployed (looking for work)	F	4267
Central Coast	2006	Unemployed (looking for work)	M	4984
Central Coast	2011		F	7073
Central Coast	2011		M	6789
Central Coast	2011	Employed (away from work)	F	4463
Central Coast	2011	Employed (away from work)	M	4129
Central Coast	2011	Employed (full-time)	F	27055
Central Coast	2011	Employed (full-time)	M	51292
Central Coast	2011	Employed (part-time)	F	30786
Central Coast	2011	Employed (part-time)	M	13282
Central Coast	2011	Not in the labour force	F	57888
Central Coast	2011	Not in the labour force	M	39033
Central Coast	2011	Unemployed (looking for work)	F	4508
Central Coast	2011	Unemployed (looking for work)	M	5183
Central Coast	2016		F	8580
Central Coast	2016		M	7633
Central Coast	2016	Employed (away from work)	F	4145
Central Coast	2016	Employed (away from work)	M	3448
Central Coast	2016	Employed (full-time)	F	29325
Central Coast	2016	Employed (full-time)	M	53462
Central Coast	2016	Employed (part-time)	F	34046
Central Coast	2016	Employed (part-time)	M	15180
Central Coast	2016	Not in the labour force	F	58761
Central Coast	2016	Not in the labour force	M	42632
Central Coast	2016	Unemployed (looking for work)	F	4850
Central Coast	2016	Unemployed (looking for work)	M	5247
Central West	2006		F	3495
Central West	2006		M	3700
Central West	2006	Employed (away from work)	F	2609
Central West	2006	Employed (away from work)	M	2761
Central West	2006	Employed (full-time)	F	16675
Central West	2006	Employed (full-time)	M	34811
Central West	2006	Employed (part-time)	F	17481
Central West	2006	Employed (part-time)	M	6726
Central West	2006	Not in the labour force	F	32673
Central West	2006	Not in the labour force	M	22666
Central West	2006	Unemployed (looking for work)	F	2458
Central West	2006	Unemployed (looking for work)	M	3031
Central West	2011		F	3970
Central West	2011		M	4491
Central West	2011	Employed (away from work)	F	2735
Central West	2011	Employed (away from work)	M	2754
Central West	2011	Employed (full-time)	F	18111
Central West	2011	Employed (full-time)	M	36279
Central West	2011	Employed (part-time)	F	18558
Central West	2011	Employed (part-time)	M	7232
Central West	2011	Not in the labour force	F	32994
Central West	2011	Not in the labour force	M	23760
Central West	2011	Unemployed (looking for work)	F	2165
Central West	2011	Unemployed (looking for work)	M	2536
Central West	2016		F	7052
Central West	2016		M	7051
Central West	2016	Employed (away from work)	F	2777
Central West	2016	Employed (away from work)	M	2449
Central West	2016	Employed (full-time)	F	18700
Central West	2016	Employed (full-time)	M	34717
Central West	2016	Employed (part-time)	F	19509
Central West	2016	Employed (part-time)	M	8127
Central West	2016	Not in the labour force	F	33066
Central West	2016	Not in the labour force	M	26097
Central West	2016	Unemployed (looking for work)	F	2540
Central West	2016	Unemployed (looking for work)	M	3164
Coffs Harbour - Grafton	2006		F	2482
Coffs Harbour - Grafton	2006		M	2570
Coffs Harbour - Grafton	2006	Employed (away from work)	F	1524
Coffs Harbour - Grafton	2006	Employed (away from work)	M	1737
Coffs Harbour - Grafton	2006	Employed (full-time)	F	8906
Coffs Harbour - Grafton	2006	Employed (full-time)	M	16910
Coffs Harbour - Grafton	2006	Employed (part-time)	F	11909
Coffs Harbour - Grafton	2006	Employed (part-time)	M	6109
Coffs Harbour - Grafton	2006	Not in the labour force	F	24683
Coffs Harbour - Grafton	2006	Not in the labour force	M	18552
Coffs Harbour - Grafton	2006	Unemployed (looking for work)	F	2190
Coffs Harbour - Grafton	2006	Unemployed (looking for work)	M	2693
Coffs Harbour - Grafton	2011		F	2433
Coffs Harbour - Grafton	2011		M	2527
Coffs Harbour - Grafton	2011	Employed (away from work)	F	1672
Coffs Harbour - Grafton	2011	Employed (away from work)	M	1696
Coffs Harbour - Grafton	2011	Employed (full-time)	F	9913
Coffs Harbour - Grafton	2011	Employed (full-time)	M	17698
Coffs Harbour - Grafton	2011	Employed (part-time)	F	12981
Coffs Harbour - Grafton	2011	Employed (part-time)	M	6573
Coffs Harbour - Grafton	2011	Not in the labour force	F	25681
Coffs Harbour - Grafton	2011	Not in the labour force	M	19967
Coffs Harbour - Grafton	2011	Unemployed (looking for work)	F	2033
Coffs Harbour - Grafton	2011	Unemployed (looking for work)	M	2648
Coffs Harbour - Grafton	2016		F	4305
Coffs Harbour - Grafton	2016		M	4182
Coffs Harbour - Grafton	2016	Employed (away from work)	F	1585
Coffs Harbour - Grafton	2016	Employed (away from work)	M	1428
Coffs Harbour - Grafton	2016	Employed (full-time)	F	10439
Coffs Harbour - Grafton	2016	Employed (full-time)	M	17697
Coffs Harbour - Grafton	2016	Employed (part-time)	F	13664
Coffs Harbour - Grafton	2016	Employed (part-time)	M	7261
Coffs Harbour - Grafton	2016	Not in the labour force	F	26127
Coffs Harbour - Grafton	2016	Not in the labour force	M	21275
Coffs Harbour - Grafton	2016	Unemployed (looking for work)	F	1957
Coffs Harbour - Grafton	2016	Unemployed (looking for work)	M	2506
Far West and Orana	2006		F	2948
Far West and Orana	2006		M	3164
Far West and Orana	2006	Employed (away from work)	F	1561
Far West and Orana	2006	Employed (away from work)	M	1888
Far West and Orana	2006	Employed (full-time)	F	10606
Far West and Orana	2006	Employed (full-time)	M	19850
Far West and Orana	2006	Employed (part-time)	F	9380
Far West and Orana	2006	Employed (part-time)	M	3902
Far West and Orana	2006	Not in the labour force	F	18870
Far West and Orana	2006	Not in the labour force	M	12856
Far West and Orana	2006	Unemployed (looking for work)	F	1455
Far West and Orana	2006	Unemployed (looking for work)	M	2086
Far West and Orana	2011		F	2733
Far West and Orana	2011		M	2957
Far West and Orana	2011	Employed (away from work)	F	1582
Far West and Orana	2011	Employed (away from work)	M	1619
Far West and Orana	2011	Employed (full-time)	F	11459
Far West and Orana	2011	Employed (full-time)	M	20065
Far West and Orana	2011	Employed (part-time)	F	9552
Far West and Orana	2011	Employed (part-time)	M	3812
Far West and Orana	2011	Not in the labour force	F	18562
Far West and Orana	2011	Not in the labour force	M	13731
Far West and Orana	2011	Unemployed (looking for work)	F	1372
Far West and Orana	2011	Unemployed (looking for work)	M	1873
Far West and Orana	2016		F	4277
Far West and Orana	2016		M	4333
Far West and Orana	2016	Employed (away from work)	F	1486
Far West and Orana	2016	Employed (away from work)	M	1393
Far West and Orana	2016	Employed (full-time)	F	11596
Far West and Orana	2016	Employed (full-time)	M	18829
Far West and Orana	2016	Employed (part-time)	F	9351
Far West and Orana	2016	Employed (part-time)	M	4052
Far West and Orana	2016	Not in the labour force	F	17997
Far West and Orana	2016	Not in the labour force	M	14312
Far West and Orana	2016	Unemployed (looking for work)	F	1519
Far West and Orana	2016	Unemployed (looking for work)	M	2002
Hunter Valley exc Newcastle	2006		F	4469
Hunter Valley exc Newcastle	2006		M	4545
Hunter Valley exc Newcastle	2006	Employed (away from work)	F	2827
Hunter Valley exc Newcastle	2006	Employed (away from work)	M	3469
Hunter Valley exc Newcastle	2006	Employed (full-time)	F	17747
Hunter Valley exc Newcastle	2006	Employed (full-time)	M	41393
Hunter Valley exc Newcastle	2006	Employed (part-time)	F	21442
Hunter Valley exc Newcastle	2006	Employed (part-time)	M	8318
Hunter Valley exc Newcastle	2006	Not in the labour force	F	39705
Hunter Valley exc Newcastle	2006	Not in the labour force	M	25554
Hunter Valley exc Newcastle	2006	Unemployed (looking for work)	F	3197
Hunter Valley exc Newcastle	2006	Unemployed (looking for work)	M	3436
Hunter Valley exc Newcastle	2011		F	4631
Hunter Valley exc Newcastle	2011		M	5058
Hunter Valley exc Newcastle	2011	Employed (away from work)	F	3388
Hunter Valley exc Newcastle	2011	Employed (away from work)	M	3691
Hunter Valley exc Newcastle	2011	Employed (full-time)	F	20802
Hunter Valley exc Newcastle	2011	Employed (full-time)	M	46312
Hunter Valley exc Newcastle	2011	Employed (part-time)	F	23998
Hunter Valley exc Newcastle	2011	Employed (part-time)	M	9098
Hunter Valley exc Newcastle	2011	Not in the labour force	F	41689
Hunter Valley exc Newcastle	2011	Not in the labour force	M	27574
Hunter Valley exc Newcastle	2011	Unemployed (looking for work)	F	2943
Hunter Valley exc Newcastle	2011	Unemployed (looking for work)	M	3039
Hunter Valley exc Newcastle	2016		F	7139
Hunter Valley exc Newcastle	2016		M	7069
Hunter Valley exc Newcastle	2016	Employed (away from work)	F	3299
Hunter Valley exc Newcastle	2016	Employed (away from work)	M	3080
Hunter Valley exc Newcastle	2016	Employed (full-time)	F	22324
Hunter Valley exc Newcastle	2016	Employed (full-time)	M	44650
Hunter Valley exc Newcastle	2016	Employed (part-time)	F	26304
Hunter Valley exc Newcastle	2016	Employed (part-time)	M	11300
Hunter Valley exc Newcastle	2016	Not in the labour force	F	43731
Hunter Valley exc Newcastle	2016	Not in the labour force	M	32597
Hunter Valley exc Newcastle	2016	Unemployed (looking for work)	F	4078
Hunter Valley exc Newcastle	2016	Unemployed (looking for work)	M	4580
Illawarra	2006		F	5820
Illawarra	2006		M	5828
Illawarra	2006	Employed (away from work)	F	3489
Illawarra	2006	Employed (away from work)	M	4087
Illawarra	2006	Employed (full-time)	F	21825
Illawarra	2006	Employed (full-time)	M	46048
Illawarra	2006	Employed (part-time)	F	24959
Illawarra	2006	Employed (part-time)	M	10465
Illawarra	2006	Not in the labour force	F	47802
Illawarra	2006	Not in the labour force	M	31627
Illawarra	2006	Unemployed (looking for work)	F	3881
Illawarra	2006	Unemployed (looking for work)	M	4792
Illawarra	2011		F	4730
Illawarra	2011		M	5227
Illawarra	2011	Employed (away from work)	F	4027
Illawarra	2011	Employed (away from work)	M	4042
Illawarra	2011	Employed (full-time)	F	23777
Illawarra	2011	Employed (full-time)	M	48112
Illawarra	2011	Employed (part-time)	F	27702
Illawarra	2011	Employed (part-time)	M	11762
Illawarra	2011	Not in the labour force	F	50014
Illawarra	2011	Not in the labour force	M	35238
Illawarra	2011	Unemployed (looking for work)	F	3884
Illawarra	2011	Unemployed (looking for work)	M	4716
Illawarra	2016		F	6659
Illawarra	2016		M	6429
Illawarra	2016	Employed (away from work)	F	3679
Illawarra	2016	Employed (away from work)	M	3239
Illawarra	2016	Employed (full-time)	F	26338
Illawarra	2016	Employed (full-time)	M	49134
Illawarra	2016	Employed (part-time)	F	30976
