SA4_NAME16	Year	employmentToPopulation
Capital Region	2006	55.5
Capital Region	2011	56.3
Capital Region	2016	54
Central Coast	2006	50.9
Central Coast	2011	52.1
Central Coast	2016	52.2
Central West	2006	54.4
Central West	2011	55.1
Central West	2016	52.2
Coffs Harbour - Grafton	2006	47
Coffs Harbour - Grafton	2011	47.8
Coffs Harbour - Grafton	2016	46.3
Far West and Orana	2006	53.3
Far West and Orana	2011	53.8
Far West and Orana	2016	51.2
Hunter Valley exc Newcastle	2006	54.1
Hunter Valley exc Newcastle	2011	55.8
Hunter Valley exc Newcastle	2016	52.8
Illawarra	2006	52.6
Illawarra	2011	53.5
Illawarra	2016	53.1
Mid North Coast	2006	42.9
Mid North Coast	2011	43.2
Mid North Coast	2016	41.8
Murray	2006	57.3
Murray	2011	56
Murray	2016	53.1
New England and North West	2006	53.7
New England and North West	2011	54.1
New England and North West	2016	52.1
Newcastle and Lake Macquarie	2006	52.5
Newcastle and Lake Macquarie	2011	55.4
Newcastle and Lake Macquarie	2016	54.3
Richmond - Tweed	2006	48.9
Richmond - Tweed	2011	49.6
Richmond - Tweed	2016	48.6
Riverina	2006	58
Riverina	2011	57.8
Riverina	2016	55.6
Southern Highlands and Shoalhaven	2006	47.2
Southern Highlands and Shoalhaven	2011	47.3
Southern Highlands and Shoalhaven	2016	46.4
Sydney - Baulkham Hills and Hawkesbury	2006	66.8
Sydney - Baulkham Hills and Hawkesbury	2011	65.5
Sydney - Baulkham Hills and Hawkesbury	2016	63.8
Sydney - Blacktown	2006	57.7
Sydney - Blacktown	2011	58.3
Sydney - Blacktown	2016	58.2
Sydney - City and Inner South	2006	55.1
Sydney - City and Inner South	2011	61.4
Sydney - City and Inner South	2016	61.1
Sydney - Eastern Suburbs	2006	58.2
Sydney - Eastern Suburbs	2011	59.8
Sydney - Eastern Suburbs	2016	60
Sydney - Inner South West	2006	51.8
Sydney - Inner South West	2011	52.5
Sydney - Inner South West	2016	53.3
Sydney - Inner West	2006	59.9
Sydney - Inner West	2011	61.2
Sydney - Inner West	2016	60.8
Sydney - North Sydney and Hornsby	2006	62.4
Sydney - North Sydney and Hornsby	2011	62.5
Sydney - North Sydney and Hornsby	2016	62.3
Sydney - Northern Beaches	2006	63.3
Sydney - Northern Beaches	2011	63.9
Sydney - Northern Beaches	2016	63.9
Sydney - Outer South West	2006	60.7
Sydney - Outer South West	2011	60.4
Sydney - Outer South West	2016	59.7
Sydney - Outer West and Blue Mountains	2006	62
Sydney - Outer West and Blue Mountains	2011	61.3
Sydney - Outer West and Blue Mountains	2016	60.2
Sydney - Parramatta	2006	51.8
Sydney - Parramatta	2011	52.8
Sydney - Parramatta	2016	53.2
Sydney - Ryde	2006	58.2
Sydney - Ryde	2011	58.7
Sydney - Ryde	2016	58.6
Sydney - South West	2006	50.9
