SA4_NAME16	Year	Age5yr	LabourForceStatus	adults
Capital Region	2006	15-19		674
Capital Region	2006	15-19	Employed (away from work)	233
Capital Region	2006	15-19	Employed (full-time)	1971
Capital Region	2006	15-19	Employed (hours worked not stated)	315
Capital Region	2006	15-19	Employed (part-time)	3427
Capital Region	2006	15-19	Not in the labour force	5505
Capital Region	2006	15-19	Unemployed (looking for full-time work)	457
Capital Region	2006	15-19	Unemployed (looking for part-time work)	328
Capital Region	2006	20-24		531
Capital Region	2006	20-24	Employed (away from work)	233
Capital Region	2006	20-24	Employed (full-time)	4408
Capital Region	2006	20-24	Employed (hours worked not stated)	197
Capital Region	2006	20-24	Employed (part-time)	1787
Capital Region	2006	20-24	Not in the labour force	1494
Capital Region	2006	20-24	Unemployed (looking for full-time work)	453
Capital Region	2006	20-24	Unemployed (looking for part-time work)	136
Capital Region	2006	25-29		529
Capital Region	2006	25-29	Employed (away from work)	275
Capital Region	2006	25-29	Employed (full-time)	4395
Capital Region	2006	25-29	Employed (hours worked not stated)	144
Capital Region	2006	25-29	Employed (part-time)	1533
Capital Region	2006	25-29	Not in the labour force	1673
Capital Region	2006	25-29	Unemployed (looking for full-time work)	302
Capital Region	2006	25-29	Unemployed (looking for part-time work)	107
Capital Region	2006	30-34		594
Capital Region	2006	30-34	Employed (away from work)	419
Capital Region	2006	30-34	Employed (full-time)	5384
Capital Region	2006	30-34	Employed (hours worked not stated)	206
Capital Region	2006	30-34	Employed (part-time)	2200
Capital Region	2006	30-34	Not in the labour force	2030
Capital Region	2006	30-34	Unemployed (looking for full-time work)	282
Capital Region	2006	30-34	Unemployed (looking for part-time work)	148
Capital Region	2006	35-39		644
Capital Region	2006	35-39	Employed (away from work)	394
Capital Region	2006	35-39	Employed (full-time)	6468
Capital Region	2006	35-39	Employed (hours worked not stated)	226
Capital Region	2006	35-39	Employed (part-time)	3075
Capital Region	2006	35-39	Not in the labour force	2221
Capital Region	2006	35-39	Unemployed (looking for full-time work)	313
Capital Region	2006	35-39	Unemployed (looking for part-time work)	179
Capital Region	2006	40-44		732
Capital Region	2006	40-44	Employed (away from work)	381
Capital Region	2006	40-44	Employed (full-time)	7485
Capital Region	2006	40-44	Employed (hours worked not stated)	285
Capital Region	2006	40-44	Employed (part-time)	3273
Capital Region	2006	40-44	Not in the labour force	2056
Capital Region	2006	40-44	Unemployed (looking for full-time work)	323
Capital Region	2006	40-44	Unemployed (looking for part-time work)	162
Capital Region	2006	45-49		758
Capital Region	2006	45-49	Employed (away from work)	384
Capital Region	2006	45-49	Employed (full-time)	7993
Capital Region	2006	45-49	Employed (hours worked not stated)	253
Capital Region	2006	45-49	Employed (part-time)	3327
Capital Region	2006	45-49	Not in the labour force	2300
Capital Region	2006	45-49	Unemployed (looking for full-time work)	314
Capital Region	2006	45-49	Unemployed (looking for part-time work)	153
Capital Region	2006	50-54		680
Capital Region	2006	50-54	Employed (away from work)	448
Capital Region	2006	50-54	Employed (full-time)	7138
Capital Region	2006	50-54	Employed (hours worked not stated)	202
Capital Region	2006	50-54	Employed (part-time)	2862
Capital Region	2006	50-54	Not in the labour force	2724
Capital Region	2006	50-54	Unemployed (looking for full-time work)	314
