SA4_NAME16	Year	Age5yr	MaritalStatus	Sex	persons
Capital Region	2006	15-19	Divorced	F	5
Capital Region	2006	15-19	Divorced	M	4
Capital Region	2006	15-19	Married	F	33
Capital Region	2006	15-19	Married	M	18
Capital Region	2006	15-19	Never married	F	6226
Capital Region	2006	15-19	Never married	M	6612
Capital Region	2006	15-19	Separated	F	3
Capital Region	2006	15-19	Separated	M	3
Capital Region	2006	15-19	Widowed	F	12
Capital Region	2006	15-19	Widowed	M	6
Capital Region	2006	20-24	Divorced	F	11
Capital Region	2006	20-24	Divorced	M	8
Capital Region	2006	20-24	Married	F	472
Capital Region	2006	20-24	Married	M	226
Capital Region	2006	20-24	Never married	F	3919
Capital Region	2006	20-24	Never married	M	4538
Capital Region	2006	20-24	Separated	F	40
Capital Region	2006	20-24	Separated	M	20
Capital Region	2006	20-24	Widowed	F	12
Capital Region	2006	20-24	Widowed	M	7
Capital Region	2006	25-29	Divorced	F	77
Capital Region	2006	25-29	Divorced	M	47
Capital Region	2006	25-29	Married	F	1697
Capital Region	2006	25-29	Married	M	1159
Capital Region	2006	25-29	Never married	F	2607
Capital Region	2006	25-29	Never married	M	3175
Capital Region	2006	25-29	Separated	F	111
Capital Region	2006	25-29	Separated	M	55
Capital Region	2006	25-29	Widowed	F	17
Capital Region	2006	25-29	Widowed	M	6
Capital Region	2006	30-34	Divorced	F	343
Capital Region	2006	30-34	Divorced	M	194
Capital Region	2006	30-34	Married	F	3286
Capital Region	2006	30-34	Married	M	2621
Capital Region	2006	30-34	Never married	F	1885
Capital Region	2006	30-34	Never married	M	2540
Capital Region	2006	30-34	Separated	F	204
Capital Region	2006	30-34	Separated	M	148
Capital Region	2006	30-34	Widowed	F	29
Capital Region	2006	30-34	Widowed	M	13
Capital Region	2006	35-39	Divorced	F	624
Capital Region	2006	35-39	Divorced	M	434
Capital Region	2006	35-39	Married	F	4457
Capital Region	2006	35-39	Married	M	3725
Capital Region	2006	35-39	Never married	F	1540
Capital Region	2006	35-39	Never married	M	2076
Capital Region	2006	35-39	Separated	F	370
Capital Region	2006	35-39	Separated	M	244
Capital Region	2006	35-39	Widowed	F	41
Capital Region	2006	35-39	Widowed	M	10
Capital Region	2006	40-44	Divorced	F	980
Capital Region	2006	40-44	Divorced	M	703
Capital Region	2006	40-44	Married	F	4739
Capital Region	2006	40-44	Married	M	4498
Capital Region	2006	40-44	Never married	F	1176
Capital Region	2006	40-44	Never married	M	1724
Capital Region	2006	40-44	Separated	F	438
Capital Region	2006	40-44	Separated	M	324
Capital Region	2006	40-44	Widowed	F	94
Capital Region	2006	40-44	Widowed	M	24
Capital Region	2006	45-49	Divorced	F	1140
Capital Region	2006	45-49	Divorced	M	1026
Capital Region	2006	45-49	Married	F	5017
Capital Region	2006	45-49	Married	M	4848
Capital Region	2006	45-49	Never married	F	1005
Capital Region	2006	45-49	Never married	M	1415
Capital Region	2006	45-49	Separated	F	422
Capital Region	2006	45-49	Separated	M	421
Capital Region	2006	45-49	Widowed	F	140
Capital Region	2006	45-49	Widowed	M	57
Capital Region	2006	50-54	Divorced	F	1149
Capital Region	2006	50-54	Divorced	M	1119
Capital Region	2006	50-54	Married	F	4879
Capital Region	2006	50-54	Married	M	4777
Capital Region	2006	50-54	Never married	F	581
Capital Region	2006	50-54	Never married	M	961
Capital Region	2006	50-54	Separated	F	342
Capital Region	2006	50-54	Separated	M	385
Capital Region	2006	50-54	Widowed	F	239
Capital Region	2006	50-54	Widowed	M	76
Capital Region	2006	55-59	Divorced	F	1117
Capital Region	2006	55-59	Divorced	M	1091
Capital Region	2006	55-59	Married	F	4970
Capital Region	2006	55-59	Married	M	5122
Capital Region	2006	55-59	Never married	F	340
Capital Region	2006	55-59	Never married	M	619
Capital Region	2006	55-59	Separated	F	256
Capital Region	2006	55-59	Separated	M	393
Capital Region	2006	55-59	Widowed	F	342
Capital Region	2006	55-59	Widowed	M	132
Capital Region	2006	60-64	Divorced	F	740
Capital Region	2006	60-64	Divorced	M	755
Capital Region	2006	60-64	Married	F	4122
Capital Region	2006	60-64	Married	M	4454
Capital Region	2006	60-64	Never married	F	213
Capital Region	2006	60-64	Never married	M	410
Capital Region	2006	60-64	Separated	F	168
Capital Region	2006	60-64	Separated	M	242
Capital Region	2006	60-64	Widowed	F	631
Capital Region	2006	60-64	Widowed	M	155
Capital Region	2006	65-69	Divorced	F	525
Capital Region	2006	65-69	Divorced	M	553
Capital Region	2006	65-69	Married	F	3042
Capital Region	2006	65-69	Married	M	3628
Capital Region	2006	65-69	Never married	F	147
Capital Region	2006	65-69	Never married	M	315
Capital Region	2006	65-69	Separated	F	123
Capital Region	2006	65-69	Separated	M	192
Capital Region	2006	65-69	Widowed	F	841
Capital Region	2006	65-69	Widowed	M	230
Capital Region	2006	70-74	Divorced	F	283
Capital Region	2006	70-74	Divorced	M	371
Capital Region	2006	70-74	Married	F	2121
Capital Region	2006	70-74	Married	M	2746
Capital Region	2006	70-74	Never married	F	137
Capital Region	2006	70-74	Never married	M	245
Capital Region	2006	70-74	Separated	F	78
Capital Region	2006	70-74	Separated	M	125
Capital Region	2006	70-74	Widowed	F	1148
Capital Region	2006	70-74	Widowed	M	300
Capital Region	2006	75-79	Divorced	F	193
Capital Region	2006	75-79	Divorced	M	202
Capital Region	2006	75-79	Married	F	1492
Capital Region	2006	75-79	Married	M	2103
Capital Region	2006	75-79	Never married	F	101
Capital Region	2006	75-79	Never married	M	193
Capital Region	2006	75-79	Separated	F	40
Capital Region	2006	75-79	Separated	M	74
Capital Region	2006	75-79	Widowed	F	1474
Capital Region	2006	75-79	Widowed	M	415
Capital Region	2006	80-84	Divorced	F	92
Capital Region	2006	80-84	Divorced	M	91
Capital Region	2006	80-84	Married	F	771
Capital Region	2006	80-84	Married	M	1193
Capital Region	2006	80-84	Never married	F	88
Capital Region	2006	80-84	Never married	M	95
Capital Region	2006	80-84	Separated	F	27
Capital Region	2006	80-84	Separated	M	45
Capital Region	2006	80-84	Widowed	F	1560
Capital Region	2006	80-84	Widowed	M	412
Capital Region	2006	85+	Divorced	F	68
Capital Region	2006	85+	Divorced	M	47
Capital Region	2006	85+	Married	F	249
Capital Region	2006	85+	Married	M	572
Capital Region	2006	85+	Never married	F	111
Capital Region	2006	85+	Never married	M	60
Capital Region	2006	85+	Separated	F	5
Capital Region	2006	85+	Separated	M	16
Capital Region	2006	85+	Widowed	F	1700
Capital Region	2006	85+	Widowed	M	442
Capital Region	2011	15-19	Divorced	F	0
Capital Region	2011	15-19	Divorced	M	9
Capital Region	2011	15-19	Married	F	17
Capital Region	2011	15-19	Married	M	10
Capital Region	2011	15-19	Never married	F	6299
Capital Region	2011	15-19	Never married	M	6916
Capital Region	2011	15-19	Separated	F	5
Capital Region	2011	15-19	Separated	M	6
Capital Region	2011	15-19	Widowed	F	4
Capital Region	2011	15-19	Widowed	M	0
Capital Region	2011	20-24	Divorced	F	9
Capital Region	2011	20-24	Divorced	M	10
Capital Region	2011	20-24	Married	F	397
Capital Region	2011	20-24	Married	M	165
Capital Region	2011	20-24	Never married	F	4192
Capital Region	2011	20-24	Never married	M	4793
Capital Region	2011	20-24	Separated	F	40
Capital Region	2011	20-24	Separated	M	8
Capital Region	2011	20-24	Widowed	F	5
Capital Region	2011	20-24	Widowed	M	4
Capital Region	2011	25-29	Divorced	F	92
Capital Region	2011	25-29	Divorced	M	42
Capital Region	2011	25-29	Married	F	1674
Capital Region	2011	25-29	Married	M	1149
Capital Region	2011	25-29	Never married	F	2999
Capital Region	2011	25-29	Never married	M	3640
Capital Region	2011	25-29	Separated	F	134
Capital Region	2011	25-29	Separated	M	58
Capital Region	2011	25-29	Widowed	F	9
Capital Region	2011	25-29	Widowed	M	4
Capital Region	2011	30-34	Divorced	F	215
Capital Region	2011	30-34	Divorced	M	134
Capital Region	2011	30-34	Married	F	2961
Capital Region	2011	30-34	Married	M	2261
Capital Region	2011	30-34	Never married	F	2060
Capital Region	2011	30-34	Never married	M	2331
Capital Region	2011	30-34	Separated	F	186
Capital Region	2011	30-34	Separated	M	137
