SA4_NAME16	Year	IndigenousStatus	persons
Capital Region	2006	Aboriginal	4773
Capital Region	2006	Both Aboriginal & Torres Strait Islander	88
Capital Region	2006	Non-indigenous	192901
Capital Region	2006	Torres Strait Islander	180
Capital Region	2011	Aboriginal	6008
Capital Region	2011	Both Aboriginal & Torres Strait Islander	97
Capital Region	2011	Non-indigenous	201565
Capital Region	2011	Torres Strait Islander	153
Capital Region	2016	Aboriginal	7583
Capital Region	2016	Both Aboriginal & Torres Strait Islander	140
Capital Region	2016	Non-indigenous	210958
Capital Region	2016	Torres Strait Islander	162
Central Coast	2006	Aboriginal	6066
Central Coast	2006	Both Aboriginal & Torres Strait Islander	115
Central Coast	2006	Non-indigenous	291502
Central Coast	2006	Torres Strait Islander	274
Central Coast	2011	Aboriginal	8592
Central Coast	2011	Both Aboriginal & Torres Strait Islander	168
Central Coast	2011	Non-indigenous	303161
Central Coast	2011	Torres Strait Islander	261
Central Coast	2016	Aboriginal	11987
Central Coast	2016	Both Aboriginal & Torres Strait Islander	200
Central Coast	2016	Non-indigenous	315249
Central Coast	2016	Torres Strait Islander	300
Central West	2006	Aboriginal	7820
Central West	2006	Both Aboriginal & Torres Strait Islander	151
Central West	2006	Non-indigenous	181490
Central West	2006	Torres Strait Islander	210
Central West	2011	Aboriginal	10126
Central West	2011	Both Aboriginal & Torres Strait Islander	142
Central West	2011	Non-indigenous	186225
Central West	2011	Torres Strait Islander	247
Central West	2016	Aboriginal	12849
Central West	2016	Both Aboriginal & Torres Strait Islander	218
Central West	2016	Non-indigenous	192863
Central West	2016	Torres Strait Islander	225
Coffs Harbour - Grafton	2006	Aboriginal	4715
Coffs Harbour - Grafton	2006	Both Aboriginal & Torres Strait Islander	103
Coffs Harbour - Grafton	2006	Non-indigenous	120525
Coffs Harbour - Grafton	2006	Torres Strait Islander	126
Coffs Harbour - Grafton	2011	Aboriginal	5759
Coffs Harbour - Grafton	2011	Both Aboriginal & Torres Strait Islander	118
Coffs Harbour - Grafton	2011	Non-indigenous	124553
Coffs Harbour - Grafton	2011	Torres Strait Islander	172
Coffs Harbour - Grafton	2016	Aboriginal	7012
Coffs Harbour - Grafton	2016	Both Aboriginal & Torres Strait Islander	141
Coffs Harbour - Grafton	2016	Non-indigenous	128984
